# Kona Param. Contn. convergence history (opt tol = 1.500000e-04 | feas tol = 1.504332e-04)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      0.000e+00      0.000e+00     1.5000e+03     0.0000e+00     1.5043e+03     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0000e+03     0.0000e+00     9.9000e+02     

      1         0        10     -1.125e+03     -1.098e+03     1.5000e+03     9.7526e-01     1.5043e+03     -2.747e-01     1.0249e-03     7.4319e-01     9.995000e-01          1.0000e+03     3.5621e-01     9.9000e+02     
      1         1        23     -1.125e+03      6.959e+00     1.5000e+03     7.5009e+00     1.5043e+03      1.613e-03     1.2241e-03     3.0592e-03     9.995000e-01          1.0000e+03     4.9536e+00     9.9000e+02     

      2         0       193     -3.463e+03     -3.381e+03     1.5001e+03     3.0055e+00     1.5042e+03     -2.612e+00     7.6349e-02     2.2918e+00     9.984586e-01          1.0001e+03     1.0993e+00     9.8999e+02     
      2         1       278     -3.466e+03      2.648e+01     1.5001e+03     2.3192e+01     1.5042e+03      1.576e-02     2.3614e-02     8.3240e-03     9.984586e-01          1.0001e+03     1.5319e+01     9.8998e+02     

      3         0       448     -8.349e+03     -8.152e+03     1.5003e+03     7.2311e+00     1.5040e+03     -1.516e+01     2.1410e-01     5.5148e+00     9.962903e-01          1.0001e+03     2.6520e+00     9.8991e+02     
      3         1       533     -8.366e+03      5.404e+01     1.5003e+03     5.6521e+01     1.5039e+03      1.036e-01     8.3151e-02     2.2303e-02     9.962903e-01          1.0002e+03     3.7367e+01     9.8987e+02     

      4         0       703     -1.491e+04     -1.456e+04     1.5004e+03     1.2878e+01     1.5035e+03     -4.814e+01     6.0068e-01     9.8200e+00     9.933918e-01          1.0002e+03     4.7368e+00     9.8963e+02     
      4         1       788     -1.496e+04      6.796e+01     1.5005e+03     1.0384e+02     1.5033e+03      4.527e-01     2.0524e-01     4.6155e-02     9.933918e-01          1.0002e+03     6.8805e+01     9.8955e+02     

      5         0       958     -2.149e+04     -2.099e+04     1.5004e+03     1.8516e+01     1.5026e+03     -9.918e+01     1.3627e+00     1.4105e+01     9.905024e-01          1.0001e+03     6.8060e+00     9.8910e+02     
      5         1      1043     -2.156e+04      6.819e+01     1.5006e+03     1.5669e+02     1.5024e+03      1.424e+00     3.6658e-01     8.9161e-02     9.905024e-01          1.0001e+03     1.0420e+02     9.8901e+02     

      6         0      1213     -2.698e+04     -2.636e+04     1.5004e+03     2.3137e+01     1.5014e+03     -1.545e+02     2.3561e+00     1.7645e+01     9.881107e-01          1.0000e+03     8.4424e+00     9.8843e+02     
      6         1      1298     -2.705e+04      5.052e+01     1.5006e+03     2.0754e+02     1.5012e+03      3.301e+00     4.9733e-01     1.3948e-01     9.881107e-01          1.0000e+03     1.3857e+02     9.8835e+02     

      7         0      1468     -3.108e+04     -3.038e+04     1.5004e+03     2.6463e+01     1.5002e+03     -2.020e+02     3.3548e+00     2.0245e+01     9.863488e-01          9.9998e+02     9.5367e+00     9.8775e+02     
      7         1      1553     -3.112e+04     -7.119e-02     1.5006e+03     2.5126e+02     1.5000e+03      5.927e+00     5.6203e-01     1.7424e-01     9.863488e-01          9.9988e+02     1.6837e+02     9.8769e+02     

      8         0      1723     -3.390e+04     -3.314e+04     1.5003e+03     2.8712e+01     1.4991e+03     -2.375e+02     4.2062e+00     2.2023e+01     9.851403e-01          9.9985e+02     1.0237e+01     9.8715e+02     
      8         1      1808     -3.389e+04     -2.443e+01     1.5006e+03     2.8548e+02     1.4990e+03      8.780e+00     5.8899e-01     2.0158e-01     9.851403e-01          9.9978e+02     1.9185e+02     9.8711e+02     

      9         0      1978     -3.574e+04     -3.495e+04     1.5003e+03     3.0179e+01     1.4983e+03     -2.619e+02     4.8410e+00     2.3190e+01     9.843455e-01          9.9982e+02     1.0659e+01     9.8671e+02     
      9         1      2063     -3.576e+04     -9.095e+01     1.5005e+03     3.1034e+02     1.4982e+03      1.133e+01     5.8230e-01     2.2304e-01     9.843455e-01          9.9970e+02     2.0897e+02     9.8669e+02     

     10         0      2233     -3.695e+04     -3.614e+04     1.5002e+03     3.1074e+01     1.4977e+03     -2.779e+02     5.2853e+00     2.3938e+01     9.838349e-01          9.9975e+02     1.0863e+01     9.8639e+02     
     10         1      2318     -3.693e+04     -1.096e+02     1.5005e+03     3.2746e+02     1.4975e+03      1.333e+01     5.5042e-01     2.2599e-01     9.838349e-01          9.9965e+02     2.2080e+02     9.8639e+02     

     11         0      2488     -3.809e+04     -3.726e+04     1.5002e+03     3.1961e+01     1.4970e+03     -2.938e+02     5.7394e+00     2.4669e+01     9.833349e-01          9.9971e+02     1.1074e+01     9.8607e+02     
     11         1      2573     -3.809e+04     -1.381e+02     1.5004e+03     3.4515e+02     1.4970e+03      1.563e+01     5.5008e-01     2.0663e-01     9.833349e-01          9.9959e+02     2.3304e+02     9.8606e+02     

     12         0      2658     -3.924e+04     -3.838e+04     1.5002e+03     3.2901e+01     1.4965e+03     -3.099e+02     6.2282e+00     2.5401e+01     9.828349e-01          9.9967e+02     1.1347e+01     9.8572e+02     
     12         1      2743     -3.927e+04     -1.848e+02     1.5004e+03     3.6389e+02     1.4964e+03      1.833e+01     5.6624e-01     2.2142e-01     9.828349e-01          9.9954e+02     2.4603e+02     9.8572e+02     

     13         0      2828     -4.042e+04     -3.954e+04     1.5001e+03     3.3824e+01     1.4959e+03     -3.261e+02     6.7585e+00     2.6131e+01     9.823349e-01          9.9963e+02     1.1606e+01     9.8535e+02     
     13         1      2913     -4.043e+04     -2.168e+02     1.5003e+03     3.8385e+02     1.4958e+03      2.151e+01     5.8642e-01     2.3021e-01     9.823349e-01          9.9947e+02     2.5989e+02     9.8534e+02     

     14         0      2998     -4.157e+04     -4.067e+04     1.5001e+03     3.4767e+01     1.4953e+03     -3.422e+02     7.3333e+00     2.6860e+01     9.818349e-01          9.9957e+02     1.1867e+01     9.8495e+02     
     14         1      3083     -4.159e+04     -2.599e+02     1.5003e+03     4.0515e+02     1.4951e+03      2.526e+01     6.0063e-01     2.4658e-01     9.818349e-01          9.9941e+02     2.7471e+02     9.8494e+02     

     15         0      3168     -4.274e+04     -4.182e+04     1.5000e+03     3.5682e+01     1.4946e+03     -3.582e+02     7.9578e+00     2.7587e+01     9.813349e-01          9.9952e+02     1.2100e+01     9.8451e+02     
     15         1      3253     -4.272e+04     -2.684e+02     1.5003e+03     4.2795e+02     1.4944e+03      2.968e+01     5.9410e-01     2.5061e-01     9.813349e-01          9.9938e+02     2.9061e+02     9.8452e+02     

     16         0      3338     -4.387e+04     -4.293e+04     1.5000e+03     3.6567e+01     1.4938e+03     -3.738e+02     8.6333e+00     2.8313e+01     9.808349e-01          9.9950e+02     1.2278e+01     9.8406e+02     
     16         1      3423     -4.390e+04     -3.322e+02     1.5002e+03     4.5243e+02     1.4937e+03      3.492e+01     6.0465e-01     2.4877e-01     9.808349e-01          9.9929e+02     3.0771e+02     9.8402e+02     

     17         0      3508     -4.505e+04     -4.408e+04     1.5000e+03     3.7509e+01     1.4930e+03     -3.890e+02     9.3741e+00     2.9036e+01     9.803349e-01          9.9943e+02     1.2539e+01     9.8351e+02     
     17         1      3593     -4.505e+04     -3.804e+02     1.5001e+03     4.7881e+02     1.4929e+03      4.115e+01     6.2729e-01     2.6318e-01     9.803349e-01          9.9921e+02     3.2616e+02     9.8349e+02     

     18         0      3678     -4.621e+04     -4.522e+04     1.4999e+03     3.8442e+01     1.4921e+03     -4.035e+02     1.0184e+01     2.9757e+01     9.798349e-01          9.9937e+02     1.2777e+01     9.8293e+02     
     18         1      3763     -4.621e+04     -4.327e+02     1.5001e+03     5.0734e+02     1.4919e+03      4.858e+01     6.3525e-01     2.7641e-01     9.798349e-01          9.9916e+02     3.4616e+02     9.8291e+02     

     19         0      3848     -4.736e+04     -4.635e+04     1.4999e+03     3.9344e+01     1.4911e+03     -4.170e+02     1.1071e+01     3.0476e+01     9.793349e-01          9.9933e+02     1.2980e+01     9.8231e+02     
     19         1      3933     -4.739e+04     -5.135e+02     1.5000e+03     5.3833e+02     1.4910e+03      5.748e+01     6.5599e-01     2.8026e-01     9.793349e-01          9.9906e+02     3.6791e+02     9.8227e+02     

     20         0      4018     -4.854e+04     -4.751e+04     1.4998e+03     4.0301e+01     1.4901e+03     -4.292e+02     1.2048e+01     3.1192e+01     9.788349e-01          9.9924e+02     1.3219e+01     9.8160e+02     
     20         1      4103     -4.855e+04     -5.788e+02     1.4999e+03     5.7213e+02     1.4899e+03      6.816e+01     6.4984e-01     2.9792e-01     9.788349e-01          9.9902e+02     3.9167e+02     9.8158e+02     

     21         0      4188     -4.970e+04     -4.865e+04     1.4997e+03     4.1150e+01     1.4889e+03     -4.396e+02     1.3128e+01     3.1905e+01     9.783349e-01          9.9922e+02     1.3349e+01     9.8084e+02     
     21         1      4273     -4.973e+04     -6.821e+02     1.4998e+03     6.0916e+02     1.4888e+03      8.111e+01     6.5957e-01     2.9261e-01     9.783349e-01          9.9890e+02     4.1773e+02     9.8079e+02     

     22         0      4358     -5.088e+04     -4.981e+04     1.4996e+03     4.2118e+01     1.4877e+03     -4.476e+02     1.4325e+01     3.2614e+01     9.778349e-01          9.9911e+02     1.3596e+01     9.7997e+02     
     22         1      4443     -5.087e+04     -7.527e+02     1.4997e+03     6.4994e+02     1.4873e+03      9.681e+01     6.2276e-01     2.9067e-01     9.778349e-01          9.9885e+02     4.4649e+02     9.7994e+02     

     23         0      4528     -5.202e+04     -5.093e+04     1.4996e+03     4.2881e+01     1.4861e+03     -4.526e+02     1.5659e+01     3.3317e+01     9.773349e-01          9.9907e+02     1.3576e+01     9.7902e+02     
     23         1      4613     -5.207e+04     -8.959e+02     1.4996e+03     6.9503e+02     1.4860e+03      1.160e+02     6.0704e-01     2.7847e-01     9.773349e-01          9.9874e+02     4.7831e+02     9.7896e+02     

     24         0      4698     -5.323e+04     -5.212e+04     1.4995e+03     4.3859e+01     1.4846e+03     -4.536e+02     1.7152e+01     3.4017e+01     9.768349e-01          9.9897e+02     1.3833e+01     9.7793e+02     
     24         1      4783     -5.321e+04     -9.857e+02     1.4995e+03     7.4520e+02     1.4844e+03      1.397e+02     6.1007e-01     2.9479e-01     9.768349e-01          9.9864e+02     5.1376e+02     9.7787e+02     

     25         0      4868     -5.436e+04     -5.323e+04     1.4994e+03     4.4748e+01     1.4828e+03     -4.492e+02     1.8834e+01     3.4710e+01     9.763349e-01          9.9889e+02     1.3951e+01     9.7671e+02     
     25         1      4953     -5.441e+04     -1.160e+03     1.4993e+03     8.0136e+02     1.4827e+03      1.692e+02     6.2293e-01     2.9942e-01     9.763349e-01          9.9854e+02     5.5348e+02     9.7664e+02     

     26         0      5038     -5.557e+04     -5.441e+04     1.4993e+03     4.5710e+01     1.4809e+03     -4.377e+02     2.0740e+01     3.5397e+01     9.758349e-01          9.9882e+02     1.4187e+01     9.7533e+02     
     26         1      5123     -5.556e+04     -1.295e+03     1.4992e+03     8.6466e+02     1.4807e+03      2.060e+02     6.3351e-01     3.1773e-01     9.758349e-01          9.9845e+02     5.9828e+02     9.7525e+02     

     27         0      5208     -5.671e+04     -5.554e+04     1.4992e+03     4.6602e+01     1.4786e+03     -4.168e+02     2.2915e+01     3.6075e+01     9.753349e-01          9.9875e+02     1.4334e+01     9.7374e+02     
     27         1      5293     -5.675e+04     -1.503e+03     1.4991e+03     9.3650e+02     1.4785e+03      2.527e+02     6.4663e-01     3.2517e-01     9.753349e-01          9.9836e+02     6.4918e+02     9.7366e+02     

     28         0      5378     -5.791e+04     -5.671e+04     1.4992e+03     4.7554e+01     1.4762e+03     -3.832e+02     2.5413e+01     3.6743e+01     9.748349e-01          9.9867e+02     1.4523e+01     9.7194e+02     
     28         1      5463     -5.792e+04     -1.715e+03     1.4990e+03     1.0187e+03     1.4759e+03      3.125e+02     6.6807e-01     3.4223e-01     9.748349e-01          9.9826e+02     7.0742e+02     9.7184e+02     

     29         0      5548     -5.908e+04     -5.785e+04     1.4991e+03     4.8492e+01     1.4733e+03     -3.323e+02     2.8308e+01     3.7399e+01     9.743349e-01          9.9859e+02     1.4697e+01     9.6983e+02     
     29         1      5633     -5.906e+04     -1.935e+03     1.4989e+03     1.1134e+03     1.4730e+03      3.898e+02     6.7828e-01     3.4883e-01     9.743349e-01          9.9819e+02     7.7461e+02     9.6973e+02     

     30         0      5718     -6.021e+04     -5.897e+04     1.4990e+03     4.9394e+01     1.4699e+03     -2.574e+02     3.1693e+01     3.8039e+01     9.738349e-01          9.9854e+02     1.4829e+01     9.6738e+02     
     30         1      5803     -6.025e+04     -2.260e+03     1.4987e+03     1.2236e+03     1.4696e+03      4.913e+02     6.8036e-01     3.6464e-01     9.738349e-01          9.9804e+02     8.5279e+02     9.6722e+02     

     31         0      5888     -6.141e+04     -6.015e+04     1.4989e+03     5.0331e+01     1.4659e+03     -1.496e+02     3.5676e+01     3.8658e+01     9.733349e-01          9.9841e+02     1.4976e+01     9.6445e+02     
     31         1      5973     -6.145e+04     -2.640e+03     1.4986e+03     1.3528e+03     1.4656e+03      6.262e+02     6.9235e-01     3.6552e-01     9.733349e-01          9.9797e+02     9.4451e+02     9.6431e+02     

     32         0      6058     -6.261e+04     -6.132e+04     1.4988e+03     5.1234e+01     1.4612e+03      5.510e+00     4.0420e+01     3.9255e+01     9.728349e-01          9.9836e+02     1.5096e+01     9.6102e+02     
     32         1      6143     -6.264e+04     -3.081e+03     1.4984e+03     1.5059e+03     1.4608e+03      8.086e+02     7.1728e-01     3.7497e-01     9.728349e-01          9.9780e+02     1.0531e+03     9.6077e+02     

     33         0      6228     -6.380e+04     -6.249e+04     1.4987e+03     5.2207e+01     1.4556e+03      2.280e+02     4.6117e+01     3.9820e+01     9.723349e-01          9.9821e+02     1.5288e+01     9.5682e+02     
     33         1      6313     -6.384e+04     -3.623e+03     1.4983e+03     1.6889e+03     1.4551e+03      1.059e+03     7.3524e-01     3.8929e-01     9.723349e-01          9.9773e+02     1.1830e+03     9.5660e+02     

     34         0      6398     -6.500e+04     -6.367e+04     1.4986e+03     5.3086e+01     1.4487e+03      5.490e+02     5.3026e+01     4.0348e+01     9.718349e-01          9.9817e+02     1.5357e+01     9.5180e+02     
     34         1      6483     -6.501e+04     -4.249e+03     1.4981e+03     1.9093e+03     1.4482e+03      1.409e+03     7.7247e-01     3.9428e-01     9.718349e-01          9.9758e+02     1.3394e+03     9.5146e+02     

     35         0      6568     -6.617e+04     -6.481e+04     1.4985e+03     5.4069e+01     1.4405e+03      1.015e+03     6.1468e+01     4.0824e+01     9.713349e-01          9.9804e+02     1.5551e+01     9.4560e+02     
     35         1      6653     -6.619e+04     -5.035e+03     1.4979e+03     2.1769e+03     1.4399e+03      1.904e+03     8.2033e-01     4.1071e-01     9.713349e-01          9.9747e+02     1.5292e+03     9.4525e+02     

     36         0      6738     -6.736e+04     -6.598e+04     1.4984e+03     5.4975e+01     1.4303e+03      1.695e+03     7.1851e+01     4.1238e+01     9.708349e-01          9.9797e+02     1.5636e+01     9.3803e+02     
     36         1      6823     -6.736e+04     -5.984e+03     1.4978e+03     2.5028e+03     1.4297e+03      2.616e+03     8.8670e-01     4.1959e-01     9.708349e-01          9.9735e+02     1.7603e+03     9.3756e+02     

     37         0      6908     -6.853e+04     -6.712e+04     1.4983e+03     5.5952e+01     1.4180e+03      2.691e+03     8.4607e+01     4.1573e+01     9.703349e-01          9.9788e+02     1.5813e+01     9.2869e+02     
     37         1      6929     -6.857e+04     -7.190e+03     1.4976e+03     2.8986e+03     1.4173e+03      3.646e+03     1.0074e+00     5.0312e-01     9.703349e-01          9.9723e+02     2.0409e+03     9.2814e+02     

     38         0      7014     -6.974e+04     -6.830e+04     1.4982e+03     5.6988e+01     1.4030e+03      4.143e+03     1.0018e+02     4.1815e+01     9.698349e-01          9.9781e+02     1.6063e+01     9.1729e+02     
     38         1      7039     -6.977e+04     -8.654e+03     1.4974e+03     3.3748e+03     1.4021e+03      5.132e+03     1.1457e+00     5.8309e-01     9.698349e-01          9.9709e+02     2.3783e+03     9.1666e+02     

     39         0      7124     -7.094e+04     -6.948e+04     1.4981e+03     5.8011e+01     1.3850e+03      6.220e+03     1.1886e+02     4.1950e+01     9.693349e-01          9.9771e+02     1.6308e+01     9.0363e+02     
