# Kona Param. Contn. convergence history (opt tol = 2.395255e-04 | feas tol = 1.434956e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1     -4.950e+03     -4.950e+03     2.3953e+03     0.0000e+00     1.4350e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          5.2500e+02     0.0000e+00     1.3000e+01     

      1         0        10     -8.274e+03     -8.264e+03     3.1621e+03     7.0959e-01     1.4120e+02     -3.418e+00     3.9313e-01     4.1078e-03     9.995000e-01          7.8567e+02     6.5000e-02     1.2997e+01     
      1         1        23     -1.030e+04     -1.029e+04     3.5840e+03     6.9773e-01     1.4030e+02     -3.539e+00     1.9101e-03     1.8619e-05     9.995000e-01          1.0295e+03     6.4902e-02     1.2974e+01     

      2         0        36     -2.280e+04     -2.278e+04     5.5098e+03     1.3821e+00     1.3769e+02     -1.248e+01     9.9847e-01     9.7795e-03     9.990000e-01          1.9956e+03     1.2951e-01     1.3135e+01     
      2         1        59     -1.685e+05     -1.684e+05     1.7375e+04     1.7966e+00     1.9637e+02     -1.737e+01     8.3578e-03     3.8802e-03     9.990000e-01          1.5591e+04     5.6602e-01     5.6174e+01     

      3         0       107     -2.848e+07     -2.848e+07     2.3413e+05     1.4009e+01     2.2644e+03     -1.336e+04     1.0910e+02     2.1175e+00     9.985000e-01          2.3119e+05     7.5856e+00     7.2993e+02     
      3         1       124     -1.627e+05     -1.627e+05     1.4771e+04     2.9276e+00     1.6844e+02     -1.808e-01     9.1118e-01     1.6201e-01     9.985000e-01          6.0839e+03     7.2256e-01     3.0687e+01     

      4         0       157     -9.266e+05     -9.264e+05     3.4665e+04     5.1250e+00     3.5878e+02     -5.822e+02     2.0692e+01     3.2302e-01     9.980000e-01          9.3046e+03     1.2339e+00     6.9702e+01     
