# Kona Param. Contn. convergence history (opt tol = 5.986861e-06 | feas tol = 3.712277e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1     -2.812e+01     -2.812e+01     5.9869e+01     0.0000e+00     3.7123e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          3.7500e+01     0.0000e+00     1.3000e+01     

      1         0        10     -3.072e+01     -2.974e+01     6.2295e+01     2.6174e-01     3.7076e+01     -2.055e-02     1.9521e-03     1.4989e-04     9.992903e-01          3.9894e+01     9.2263e-02     1.3006e+01     
      1         1        39     -3.083e+01     -2.986e+01     6.2425e+01     2.6164e-01     3.7074e+01     -2.056e-02     1.8611e-05     6.0231e-06     9.992903e-01          4.0049e+01     9.2364e-02     1.3006e+01     

      2         0        64     -3.539e+01     -3.293e+01     6.6587e+01     6.6004e-01     3.6996e+01     -5.463e-02     5.0558e-03     3.9887e-04     9.982076e-01          4.4186e+01     2.3322e-01     1.3012e+01     
      2         1        97     -3.574e+01     -3.328e+01     6.6966e+01     6.6024e-01     3.6989e+01     -5.464e-02     1.7510e-05     2.6550e-06     9.982076e-01          4.4646e+01     2.3362e-01     1.3012e+01     

      3         0       130     -4.078e+01     -3.701e+01     7.1454e+01     1.0154e+00     3.6910e+01     -8.866e-02     4.8545e-03     3.7498e-04     9.972424e-01          4.9195e+01     3.5978e-01     1.3015e+01     
      3         1       167     -4.118e+01     -3.741e+01     7.1864e+01     1.0148e+00     3.6904e+01     -8.867e-02     3.6832e-06     4.6994e-07     9.972424e-01          4.9690e+01     3.5984e-01     1.3015e+01     

      4         0       204     -4.687e+01     -4.192e+01     7.6785e+01     1.3368e+00     3.6823e+01     -1.235e-01     4.8461e-03     3.9383e-04     9.963678e-01          5.4763e+01     4.7473e-01     1.3016e+01     
      4         1       241     -4.735e+01     -4.241e+01     7.7247e+01     1.3351e+00     3.6817e+01     -1.235e-01     2.3070e-05     7.3793e-06     9.963678e-01          5.5315e+01     4.7440e-01     1.3016e+01     

      5         0       282     -5.389e+01     -4.788e+01     8.2702e+01     1.6267e+00     3.6736e+01     -1.596e-01     4.8662e-03     3.5895e-04     9.955705e-01          6.1008e+01     5.7891e-01     1.3017e+01     
      5         1       323     -5.445e+01     -4.845e+01     8.3230e+01     1.6262e+00     3.6729e+01     -1.596e-01     9.8277e-06     2.2304e-06     9.955705e-01          6.1644e+01     5.7900e-01     1.3017e+01     

      6         0       364     -6.210e+01     -5.513e+01     8.9364e+01     1.8936e+00     3.6649e+01     -1.977e-01     5.0309e-03     3.7167e-04     9.948373e-01          6.8113e+01     6.7532e-01     1.3018e+01     
      6         1       405     -6.281e+01     -5.584e+01     8.9985e+01     1.8928e+00     3.6642e+01     -1.977e-01     2.9626e-05     9.6828e-06     9.948373e-01          6.8851e+01     6.7536e-01     1.3019e+01     

      7         0       450     -7.205e+01     -6.419e+01     9.7057e+01     2.1418e+00     3.6563e+01     -2.391e-01     5.3953e-03     3.8567e-04     9.941517e-01          7.6363e+01     7.6556e-01     1.3021e+01     
      7         1       495     -7.297e+01     -6.511e+01     9.7822e+01     2.1412e+00     3.6557e+01     -2.391e-01     2.6280e-06     1.2001e-07     9.941517e-01          7.7264e+01     7.6571e-01     1.3022e+01     

      8         0       536     -8.417e+01     -7.548e+01     1.0594e+02     2.3711e+00     3.6482e+01     -2.836e-01     5.6332e-03     4.6323e-04     9.935219e-01          8.5936e+01     8.4954e-01     1.3027e+01     
      8         1       581     -8.537e+01     -7.669e+01     1.0686e+02     2.3686e+00     3.6476e+01     -2.836e-01     8.0930e-06     1.1941e-06     9.935219e-01          8.6991e+01     8.4904e-01     1.3029e+01     

      9         0       626     -1.007e+02     -9.121e+01     1.1727e+02     2.5994e+00     3.6405e+01     -3.377e-01     7.3389e-03     5.1723e-04     9.928822e-01          9.8095e+01     9.3389e-01     1.3037e+01     
      9         1       671     -1.027e+02     -9.321e+01     1.1867e+02     2.5988e+00     3.6399e+01     -3.378e-01     3.5512e-05     1.0584e-05     9.928822e-01          9.9697e+01     9.3426e-01     1.3041e+01     

     10         0       720     -1.229e+02     -1.127e+02     1.3132e+02     2.8125e+00     3.6345e+01     -3.993e-01     8.1944e-03     5.7802e-04     9.922896e-01          1.1316e+02     1.0136e+00     1.3056e+01     
     10         1       769     -1.259e+02     -1.156e+02     1.3317e+02     2.8121e+00     3.6343e+01     -3.994e-01     2.6988e-06     2.8481e-08     9.922896e-01          1.1524e+02     1.0141e+00     1.3062e+01     

     11         0       818     -1.556e+02     -1.445e+02     1.4997e+02     3.0249e+00     3.6322e+01     -4.767e-01     1.0689e-02     7.2972e-04     9.917021e-01          1.3303e+02     1.0939e+00     1.3088e+01     
     11         1       867     -1.608e+02     -1.498e+02     1.5290e+02     3.0249e+00     3.6327e+01     -4.769e-01     8.3847e-06     8.3245e-08     9.917021e-01          1.3624e+02     1.0948e+00     1.3097e+01     

     12         0       916     -2.078e+02     -1.960e+02     1.7623e+02     3.2390e+00     3.6384e+01     -5.788e-01     1.4520e-02     9.7387e-04     9.911214e-01          1.6075e+02     1.1757e+00     1.3142e+01     
     12         1       965     -2.183e+02     -2.064e+02     1.8119e+02     3.2407e+00     3.6412e+01     -5.792e-01     2.9914e-05     2.3127e-07     9.911214e-01          1.6608e+02     1.1775e+00     1.3158e+01     

     13         0      1018     -3.022e+02     -2.893e+02     2.1627e+02     3.4671e+00     3.6666e+01     -7.268e-01     2.1623e-02     1.4255e-03     9.905387e-01          2.0252e+02     1.2868e+00     1.3573e+01     
     13         1      1071     -3.273e+02     -3.144e+02     2.2597e+02     3.4745e+00     3.6770e+01     -7.281e-01     1.1393e-05     9.1716e-08     9.905387e-01          2.1270e+02     1.3290e+00     1.3931e+01     

     14         0      1124     -5.049e+02     -4.906e+02     2.8454e+02     3.7410e+00     3.7600e+01     -9.725e-01     3.5891e-02     2.3275e-03     9.899516e-01          2.7281e+02     1.6199e+00     1.6114e+01     
     14         1      1177     -5.845e+02     -5.698e+02     3.0746e+02     3.7739e+00     3.8030e+01     -9.774e-01     1.3301e-04     7.0766e-06     9.899516e-01          2.9636e+02     1.7164e+00     1.6939e+01     

     15         0      1230     -1.069e+03     -1.052e+03     4.2058e+02     4.1838e+00     4.0861e+01     -1.472e+00     6.7589e-02     1.1732e-02     9.893737e-01          4.1097e+02     2.2291e+00     2.1029e+01     
     15         1      1287     -1.450e+03     -1.430e+03     4.9178e+02     4.3719e+00     4.3165e+01     -1.501e+00     2.5126e-06     1.1358e-13     9.893737e-01          4.8288e+02     2.5218e+00     2.3543e+01     

     16         0      1344     -3.365e+03     -3.334e+03     7.5422e+02     5.2464e+00     5.4094e+01     -2.815e+00     1.3899e-01     1.4290e-01     9.888737e-01          7.4601e+02     3.6281e+00     3.2797e+01     
     16         1      1401     -6.700e+03     -6.644e+03     1.0664e+03     6.8474e+00     6.9998e+01     -3.048e+00     5.7895e-05     4.9429e-13     9.888737e-01          1.0581e+03     4.8905e+00     4.3706e+01     

     17         0      1458     -3.186e+04     -3.168e+04     2.3327e+03     1.1243e+01     1.4403e+02     -1.540e+01     6.7554e-01     8.1353e-01     9.883737e-01          2.3202e+03     9.9815e+00     8.7761e+01     
     17         1      1515     -1.845e+05     -1.829e+05     5.6076e+03     3.5134e+01     3.5983e+02      1.453e+01     1.7616e-02     6.2970e-12     9.883737e-01          5.5827e+03     2.3750e+01     2.0794e+02     

     18         0      1572     -5.120e+06     -5.091e+06     2.9581e+04     1.3032e+02     1.8463e+03     -3.220e+03     1.8223e+01     1.3112e+01     9.878737e-01          2.9449e+04     1.2128e+02     1.0336e+03     
     18         1      1629     -3.632e+03     -3.579e+03     7.8159e+02     7.1448e+00     6.5842e+01      1.732e+00     2.3086e-01     3.8550e-11     9.878737e-01          7.7398e+02     4.8764e+00     3.9998e+01     

     19         0      1686     -7.063e+03     -6.996e+03     1.0936e+03     9.0608e+00     7.1823e+01     -1.997e+01     2.6319e+00     3.9430e-01     9.864809e-01          1.0840e+03     7.4829e+00     4.4881e+01     
     19         1      1743     -4.148e+02     -3.918e+02     2.4614e+02     5.4165e+00     4.1029e+01      1.630e-01     3.0636e-03     3.9643e-12     9.864809e-01          2.2599e+02     2.8037e+00     2.0538e+01     

     20         0      1800     -5.559e+02     -5.324e+02     2.7583e+02     6.3862e+00     3.7050e+01     -4.426e+00     1.9456e+00     1.2355e-01     9.823938e-01          2.4151e+02     2.3559e+00     1.6849e+01     
     20         1      1857     -3.110e+02     -2.879e+02     1.6661e+02     6.3848e+00     3.5919e+01     -8.860e-01     4.1119e-05     5.5012e-13     9.823938e-01          9.6379e+01     2.3994e+00     1.3446e+01     

     21         0      1914     -3.673e+02     -3.437e+02     1.7738e+02     6.6076e+00     3.5473e+01     -1.140e+00     1.5169e-02     1.4308e-02     9.816044e-01          1.0665e+02     2.3532e+00     1.2575e+01     
     21         1      1967     -3.762e+02     -3.527e+02     1.7955e+02     6.6025e+00     3.5449e+01     -1.140e+00     9.8838e-06     3.0043e-07     9.816044e-01          1.0789e+02     2.3414e+00     1.2549e+01     

     22         0      2020     -4.365e+02     -4.126e+02     1.9131e+02     6.7596e+00     3.5144e+01     -1.361e+00     9.2695e-03     1.3120e-02     9.810356e-01          1.1718e+02     2.2893e+00     1.1875e+01     
     22         1      2073     -4.432e+02     -4.193e+02     1.9273e+02     6.7565e+00     3.5126e+01     -1.361e+00     2.4704e-05     7.0915e-07     9.810356e-01          1.1806e+02     2.2794e+00     1.1844e+01     

     23         0      2126     -5.677e+02     -5.433e+02     2.1558e+02     6.9933e+00     3.4729e+01     -1.779e+00     2.3336e-02     1.2489e-02     9.801869e-01          1.3469e+02     2.1702e+00     1.0736e+01     
     23         1      2179     -5.910e+02     -5.667e+02     2.1986e+02     6.9843e+00     3.4690e+01     -1.780e+00     1.7700e-04     5.0719e-06     9.801869e-01          1.3743e+02     2.1411e+00     1.0638e+01     

     24         0      2232     -8.560e+02     -8.308e+02     2.6205e+02     7.3034e+00     3.4392e+01     -2.564e+00     5.0379e-02     1.2093e-02     9.791026e-01          1.6626e+02     2.3477e+00     1.1100e+01     
     24         1      2289     -9.366e+02     -9.114e+02     2.7386e+02     7.2954e+00     3.4383e+01     -2.571e+00     1.5314e-06     1.6119e-13     9.791026e-01          1.7393e+02     2.4239e+00     1.1416e+01     

     25         0      2346     -1.578e+03     -1.550e+03     3.5317e+02     7.7766e+00     3.4993e+01     -4.161e+00     1.0245e-01     1.3137e-02     9.778749e-01          2.2624e+02     3.1870e+00     1.4354e+01     
     25         1      2403     -1.907e+03     -1.878e+03     3.8784e+02     7.8665e+00     3.5582e+01     -4.206e+00     8.5334e-06     1.6925e-13     9.778749e-01          2.4875e+02     3.4800e+00     1.5503e+01     

     26         0      2460     -2.848e+03     -2.814e+03     4.7289e+02     8.4301e+00     3.7858e+01     -5.754e+00     5.5887e-02     1.0433e-02     9.772399e-01          3.0409e+02     4.2405e+00     1.8473e+01     
     26         1      2517     -3.152e+03     -3.117e+03     4.9728e+02     8.5751e+00     3.8681e+01     -5.771e+00     4.0850e-06     9.0467e-14     9.772399e-01          3.1990e+02     4.4469e+00     1.9293e+01     

     27         0      2574     -4.731e+03     -4.686e+03     6.0848e+02     9.5046e+00     4.3320e+01     -7.803e+00     6.2275e-02     7.5760e-02     9.767399e-01          3.9209e+02     5.4130e+00     2.3110e+01     
     27         1      2631     -5.249e+03     -5.201e+03     6.4069e+02     9.8270e+00     4.4873e+01     -7.822e+00     1.7967e-05     1.3672e-13     9.767399e-01          4.1285e+02     5.6847e+00     2.4199e+01     

     28         0      2688     -8.743e+03     -8.673e+03     8.2637e+02     1.1581e+01     5.5167e+01     -1.151e+01     1.2558e-01     2.7066e-01     9.762399e-01          5.3336e+02     7.2621e+00     3.0509e+01     
     28         1      2745     -1.043e+04     -1.034e+04     9.0175e+02     1.2836e+01     5.9827e+01     -1.155e+01     1.3606e-04     3.9160e-13     9.762399e-01          5.8179e+02     7.8930e+00     3.3065e+01     

     29         0      2802     -2.071e+04     -2.056e+04     1.2711e+03     1.6263e+01     8.4578e+01     -2.014e+01     2.9157e-01     7.4152e-01     9.757399e-01          8.2131e+02     1.0950e+01     4.5535e+01     
     29         1      2859     -2.986e+04     -2.960e+04     1.5243e+03     2.1781e+01     1.0272e+02     -2.043e+01     1.3067e-03     1.6210e-13     9.757399e-01          9.8428e+02     1.3020e+01     5.4119e+01     

     30         0      2916     -8.548e+04     -8.487e+04     2.5815e+03     3.0561e+01     1.8093e+02     -5.559e+01     8.7261e-01     2.2330e+00     9.752399e-01          1.6693e+03     2.1358e+01     8.9694e+01     
     30         1      2973     -3.128e+05     -3.095e+05     4.9283e+03     7.7547e+01     3.5958e+02     -6.798e+01     6.1502e-02     5.9210e-11     9.752399e-01          3.1843e+03     4.1636e+01     1.6903e+02     

     31         0      3030     -3.290e+06     -3.266e+06     1.6013e+04     1.4895e+02     1.2059e+03     -1.527e+03     8.3800e+00     1.8018e+01     9.747399e-01          1.0359e+04     9.7093e+01     5.4218e+02     
     31         1      3087     -2.116e+05     -2.088e+05     4.0506e+03     6.9972e+01     3.3278e+02      6.066e+01     1.4687e+00     8.3415e-10     9.747399e-01          2.6181e+03     3.4003e+01     1.5325e+02     

     32         0      3201     -1.335e+05     -1.318e+05     3.2174e+03     8.0393e+01     2.2957e+02     -2.106e+02     3.7634e+00     5.3850e+00     9.742399e-01          2.0776e+03     5.6349e+01     1.1119e+02     
     32         1      3258     -2.615e+04     -2.568e+04     1.4229e+03     3.0360e+01     1.3354e+02      2.218e+01     2.2525e-01     8.9888e-11     9.742399e-01          9.1990e+02     1.6371e+01     6.4982e+01     

     33         0      3315     -3.346e+03     -3.251e+03     5.1159e+02     1.9148e+01     6.8071e+01      1.063e+01     4.7636e-01     1.5763e+00     9.737399e-01          3.3156e+02     9.0780e+00     3.4069e+01     
     33         1      3372     -9.679e+03     -9.447e+03     8.6514e+02     2.1944e+01     9.2738e+01      1.408e+01     1.1585e-02     1.2248e-11     9.737399e-01          5.5937e+02     1.2044e+01     4.6159e+01     

     34         0      3429     -3.597e+03     -3.484e+03     5.2891e+02     1.6681e+01     6.9253e+01      9.882e+00     2.9164e-01     9.3692e-01     9.732399e-01          3.4251e+02     9.3544e+00     3.4708e+01     
     34         1      3486     -5.008e+03     -4.851e+03     6.2202e+02     1.8509e+01     7.5676e+01      1.056e+01     7.3535e-04     1.0578e-12     9.732399e-01          4.0219e+02     1.0136e+01     3.7919e+01     

     35         0      3543     -2.235e+03     -2.137e+03     4.1658e+02     1.5416e+01     6.1897e+01      8.015e+00     2.1543e-01     6.5740e-01     9.726475e-01          2.6970e+02     8.5223e+00     3.0897e+01     
     35         1      3600     -2.825e+03     -2.705e+03     4.6694e+02     1.6533e+01     6.5243e+01      8.328e+00     2.0247e-04     1.5333e-13     9.726475e-01          3.0191e+02     8.9498e+00     3.2647e+01     

     36         0      3657     -1.164e+03     -1.082e+03     3.0051e+02     1.4471e+01     5.4658e+01      6.371e+00     1.9117e-01     4.7833e-01     9.717937e-01          1.9449e+02     7.6934e+00     2.6938e+01     
     36         1      3714     -1.533e+03     -1.438e+03     3.4380e+02     1.5208e+01     5.7355e+01      6.578e+00     1.2496e-04     5.0866e-13     9.717937e-01          2.2227e+02     8.0616e+00     2.8440e+01     

     37         0      3771     -4.950e+02     -4.245e+02     1.9595e+02     1.3912e+01     4.8584e+01      4.956e+00     2.2614e-01     3.3719e-01     9.703893e-01          1.2669e+02     7.0412e+00     2.3339e+01     
     37         1      3828     -7.497e+02     -6.700e+02     2.4021e+02     1.4451e+01     5.1110e+01      5.144e+00     9.9312e-05     1.8084e-12     9.703893e-01          1.5529e+02     7.4181e+00     2.4873e+01     

     38         0      3885     -1.478e+02     -8.354e+01     1.0733e+02     1.4025e+01     4.3873e+01      3.796e+00     3.5726e-01     2.2070e-01     9.677787e-01          6.9125e+01     6.7086e+00     2.0232e+01     
     38         1      3942     -3.114e+02     -2.400e+02     1.5460e+02     1.4469e+01     4.6304e+01      4.049e+00     8.5710e-05     9.2789e-13     9.677787e-01          1.0007e+02     7.1147e+00     2.1888e+01     

     39         0      3999     -1.863e+01      4.710e+01     3.9260e+01     1.5516e+01     4.0491e+01      2.996e+00     6.8285e-01     1.2605e-01     9.621356e-01          2.4371e+01     7.0240e+00     1.7736e+01     
     39         1      4056     -1.032e+02     -3.103e+01     8.8403e+01     1.5930e+01     4.2810e+01      3.472e+00     7.6563e-05     8.8305e-13     9.621356e-01          5.8165e+01     7.4798e+00     1.9583e+01     

     40         0      4113     -4.050e+01      3.582e+01     5.4258e+01     1.7609e+01     4.1051e+01      3.514e+00     1.9793e-01     8.4137e-02     9.567866e-01          3.7005e+01     8.0841e+00     1.8437e+01     
     40         1      4170     -5.953e+01      1.861e+01     6.5046e+01     1.7731e+01     4.1596e+01      3.552e+00     2.0917e-05     1.5573e-13     9.567866e-01          4.5505e+01     8.2781e+00     1.9040e+01     

     41         0      4227     -5.834e+01      2.037e+01     6.3959e+01     1.7892e+01     4.1537e+01      3.569e+00     3.7233e-02     8.0923e-02     9.562866e-01          4.5205e+01     8.3794e+00     1.9061e+01     
     41         1      4280     -5.842e+01      2.046e+01     6.3920e+01     1.7912e+01     4.1539e+01      3.572e+00     8.4049e-04     1.2335e-04     9.562866e-01          4.5165e+01     8.3802e+00     1.9063e+01     

     42         0      4337     -5.798e+01      2.151e+01     6.3104e+01     1.8075e+01     4.1494e+01      3.591e+00     3.8380e-02     8.2222e-02     9.557866e-01          4.5091e+01     8.4918e+00     1.9108e+01     
     42         1      4394     -5.857e+01      2.113e+01     6.3219e+01     1.8099e+01     4.1508e+01      3.594e+00     1.0155e-06     3.0890e-15     9.557866e-01          4.5259e+01     8.5043e+00     1.9137e+01     

     43         0      4451     -5.933e+01      2.106e+01     6.2822e+01     1.8268e+01     4.1486e+01      3.613e+00     4.0076e-02     8.4933e-02     9.552866e-01          4.5509e+01     8.6321e+00     1.9220e+01     
     43         1      4508     -5.992e+01      2.069e+01     6.2931e+01     1.8293e+01     4.1498e+01      3.617e+00     1.0910e-06     1.2630e-14     9.552866e-01          4.5642e+01     8.6431e+00     1.9244e+01     

     44         0      4565     -6.258e+01      1.882e+01     6.3170e+01     1.8469e+01     4.1508e+01      3.636e+00     4.2565e-02     8.9067e-02     9.547866e-01          4.6340e+01     8.7944e+00     1.9380e+01     
     44         1      4614     -6.362e+01      1.805e+01     6.3411e+01     1.8498e+01     4.1529e+01      3.640e+00     2.3580e-04     6.5656e-06     9.547866e-01          4.6576e+01     8.8116e+00     1.9418e+01     

     45         0      4671     -6.987e+01      1.279e+01     6.4785e+01     1.8687e+01     4.1594e+01      3.657e+00     4.6580e-02     9.6122e-02     9.542866e-01          4.7987e+01     9.0012e+00     1.9640e+01     
     45         1      4724     -7.255e+01      1.051e+01     6.5433e+01     1.8728e+01     4.1639e+01      3.662e+00     3.3341e-03     1.9828e-06     9.542866e-01          4.8505e+01     9.0392e+00     1.9724e+01     

     46         0      4781     -8.618e+01     -1.773e+00     6.8994e+01     1.8941e+01     4.1807e+01      3.673e+00     5.4919e-02     1.1122e-01     9.537861e-01          5.1083e+01     9.2900e+00     2.0081e+01     
     46         1      4834     -9.050e+01     -5.535e+00     7.0087e+01     1.8999e+01     4.1876e+01      3.680e+00     2.5041e-03     3.7628e-05     9.537861e-01          5.1794e+01     9.3361e+00     2.0181e+01     

     47         0      4891     -1.437e+02     -5.564e+01     8.3384e+01     1.9336e+01     4.2540e+01      3.674e+00     8.0369e-02     1.5980e-01     9.532861e-01          5.9443e+01     9.8629e+00     2.1160e+01     
     47         1      4948     -1.400e+02     -5.147e+01     8.2272e+01     1.9402e+01     4.2512e+01      3.688e+00     1.3138e-02     2.7210e-10     9.532861e-01          5.8764e+01     9.8515e+00     2.1124e+01     

     48         0      5050     -3.466e+02     -2.488e+02     1.2187e+02     2.0200e+01     4.4753e+01      3.568e+00     1.5346e-01     2.8532e-01     9.525992e-01          7.7712e+01     1.1042e+01     2.3514e+01     
     48         1      5103     -1.071e+03     -9.410e+02     2.0739e+02     2.2723e+01     5.1218e+01      3.648e+00     4.6180e-03     9.1144e-05     9.525992e-01          1.2216e+02     1.3146e+01     2.8272e+01     

     49         0      5160     -6.309e+03     -6.023e+03     5.0027e+02     3.0568e+01     8.1511e+01      8.998e-01     8.1148e-01     1.4548e+00     9.520992e-01          2.7999e+02     1.9663e+01     4.3596e+01     
