# Kona Param. Contn. convergence history (opt tol = 1.250000e-08 | feas tol = 6.074527e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      5.556e-02      5.556e-02     1.2500e-01     0.0000e+00     6.0745e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.1111e-01     0.0000e+00     1.0091e+01     

      1         0         8      5.557e-02      3.092e+00     1.1777e-01     4.9993e-01     6.0745e+01      1.296e-03     4.5734e-04     4.1557e-05     9.991770e-01          1.0290e-01     8.3048e-02     1.0091e+01     
      1         1        25      5.554e-02      3.095e+00     1.1773e-01     5.0034e-01     6.0745e+01      1.296e-03     4.7667e-08     1.5640e-09     9.991770e-01          1.0287e-01     8.3116e-02     1.0091e+01     

      2         0        34      5.531e-02      6.452e+01     9.5103e-02     1.0612e+01     6.0728e+01      5.722e-01     1.6840e-01     1.6877e-02     9.825530e-01          7.2830e-02     1.7629e+00     1.0088e+01     
      2         1        47      5.552e-02      6.517e+01     8.6519e-02     1.0719e+01     6.0555e+01      5.868e-01     1.1700e-03     5.5094e-04     9.825530e-01          6.4193e-02     1.7805e+00     1.0059e+01     

      3         0        60      5.556e-02      1.267e+02     2.3608e-01     2.0842e+01     6.0191e+01      2.310e+00     1.7205e-01     1.1197e-02     9.660596e-01          2.2830e-01     3.4618e+00     9.9985e+00     
      3         1        77      5.634e-02      1.266e+02     2.3600e-01     2.0830e+01     6.0012e+01      2.408e+00     1.4920e-05     8.1372e-09     9.660596e-01          2.2816e-01     3.4597e+00     9.9686e+00     

      4         0        90      5.662e-02      1.943e+02     4.0789e-01     3.1981e+01     5.9197e+01      6.259e+00     2.1867e-01     8.2303e-03     9.473696e-01          4.0311e-01     5.3108e+00     9.8328e+00     
      4         1       107      5.787e-02      1.933e+02     4.0231e-01     3.1811e+01     5.8974e+01      6.567e+00     2.5660e-05     7.1215e-09     9.473696e-01          3.9755e-01     5.2821e+00     9.7955e+00     

      5         0       124      6.046e-02      2.773e+02     6.1395e-01     4.5650e+01     5.7284e+01      1.629e+01     3.6891e-01     4.3167e-03     9.221436e-01          6.1041e-01     7.5888e+00     9.5494e+00     
      5         1       137      6.092e-02      2.737e+02     5.8590e-01     4.5062e+01     5.6933e+01      1.733e+01     5.6957e-04     8.3532e-04     9.221436e-01          5.8258e-01     7.5103e+00     9.4976e+00     

      6         0       175      6.660e-02      3.799e+02     8.3388e-01     6.2562e+01     5.3241e+01      4.686e+01     7.2563e-01     5.4627e-02     8.827140e-01          8.2992e-01     1.0499e+01     9.0033e+00     
      6         1       188      6.744e-02      3.686e+02     7.6198e-01     6.0700e+01     5.2667e+01      5.032e+01     1.6243e-03     4.4316e-04     8.827140e-01          7.5738e-01     1.0227e+01     8.9075e+00     

      7         0       205      8.156e-02      4.764e+02     9.7922e-01     7.8486e+01     4.3606e+01      1.621e+02     1.3533e+00     3.9187e-01     8.068310e-01          9.5886e-01     1.3319e+01     7.6068e+00     
      7         1       222      8.053e-02      4.458e+02     8.1046e-01     7.3445e+01     4.3147e+01      1.677e+02     8.8289e-03     2.4723e-05     8.068310e-01          7.8263e-01     1.2518e+01     7.4644e+00     

      8         0       235      1.166e-01      2.995e+02     8.0219e-01     4.9523e+01     1.6505e+01      6.037e+02     6.0422e+00     4.0415e+00     5.925559e-01          5.0322e-01     8.3465e+00     3.1773e+00     
      8         1       252      1.039e-01      3.263e+02     5.2820e-01     5.3862e+01     2.1781e+01      5.156e+02     1.1259e+00     4.1068e-05     5.925559e-01          3.7158e-01     9.0518e+00     3.8665e+00     

      9         0       282      1.316e-01      1.499e+01     3.2721e-01     3.0603e+00     9.0468e-01      4.808e+02     1.5650e+01     5.1772e+00     2.924735e-01          1.6399e-01     9.9015e-01     2.4400e-01     
      9         1       303      9.015e-02      1.175e+02     2.1997e-01     1.9518e+01     6.9654e+00      4.643e+02     1.9381e+00     1.2470e-03     2.924735e-01          9.7793e-02     3.2530e+00     1.2457e+00     

     10         0       341      6.139e-02      2.484e+00     1.6363e-01     8.2016e-01     2.1029e-01      1.271e+02     4.0436e+00     1.3344e+00     7.542620e-02          5.0235e-02     4.5616e-01     1.0432e-01     
     10         1       366      6.238e-02      2.752e+01     4.2519e-02     4.6482e+00     1.4967e+00      1.452e+02     3.2364e-01     1.0594e-04     7.542620e-02          1.6167e-02     7.8139e-01     2.7329e-01     

     11         0       395      5.460e-02      4.433e-01     5.2648e-02     1.1582e-01     1.3044e-01      1.182e+01     3.3330e-01     1.6387e-01     6.777368e-03          3.0223e-02     6.4773e-02     9.1531e-02     
     11         1       452      5.496e-02      2.530e+00     2.0613e-03     4.2400e-01     1.2995e-01      1.374e+01     2.4859e-02     3.6112e-09     6.777368e-03          2.0599e-03     7.3129e-02     2.4003e-02     

     12         0       505      5.443e-02      8.363e-02     9.1619e-02     8.5480e-03     2.9050e-03      8.363e-02     9.2017e-02     2.9050e-03     -8.673617e-19          9.1619e-02     6.9330e-03     1.6954e-03     
     12         1       542      5.452e-02      5.449e-02     1.8936e-04     7.9214e-04     3.3087e-05      5.449e-02     8.1446e-04     3.3087e-05     -8.673617e-19          1.1611e-04     7.5828e-04     3.3062e-05     
     12         2       607      5.450e-02      5.450e-02     4.0808e-06     4.9030e-05     5.4327e-06      5.450e-02     4.9199e-05     5.4327e-06     -8.673617e-19          1.7211e-06     2.1891e-05     5.4327e-06     
     12         3       684      5.448e-02      5.448e-02     6.4981e-04     2.0955e-06     3.6486e-07      5.448e-02     6.4981e-04     3.6486e-07     -8.673617e-19          6.0100e-04     1.1124e-06     3.6486e-07     
     12         4       765      5.448e-02      5.448e-02     1.3815e-03     8.4946e-05     4.4985e-07      5.448e-02     1.3841e-03     4.4985e-07     -8.673617e-19          1.2196e-03     5.2287e-05     4.4985e-07     
     12         5       850      5.448e-02      5.448e-02     1.1125e-02     2.6824e+00     6.9017e-08      5.448e-02     2.6824e+00     6.9017e-08     -8.673617e-19          1.0372e-02     1.8967e+00     6.9017e-08     
