# Kona Param. Contn. convergence history (opt tol = 1.250000e-08 | feas tol = 5.991818e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      5.556e-02      5.556e-02     1.2500e-01     0.0000e+00     5.9918e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.1111e-01     0.0000e+00     1.0091e+01     

      1         0         8      5.557e-02      3.051e+00     1.2502e-01     4.9993e-01     5.9918e+01      1.297e-03     4.6634e-04     4.2148e-05     9.991656e-01          1.1112e-01     8.4194e-02     1.0091e+01     
      1         1        17      5.554e-02      3.054e+00     1.2498e-01     5.0034e-01     5.9918e+01      1.297e-03     4.5420e-08     1.0955e-10     9.991656e-01          1.1110e-01     8.4264e-02     1.0091e+01     

      2         0        26      5.528e-02      6.378e+01     1.2522e-01     1.0636e+01     5.9901e+01      5.749e-01     1.7149e-01     1.6841e-02     9.822732e-01          1.1078e-01     1.7912e+00     1.0088e+01     
      2         1        35      5.528e-02      6.443e+01     1.2478e-01     1.0743e+01     5.9724e+01      5.900e-01     1.3454e-05     8.6879e-07     9.822732e-01          1.1019e-01     1.8092e+00     1.0058e+01     

      3         0        44      5.501e-02      1.242e+02     1.2527e-01     2.0719e+01     5.9360e+01      2.287e+00     1.6930e-01     1.0694e-02     9.657933e-01          1.0872e-01     3.4888e+00     9.9963e+00     
      3         1        53      5.501e-02      1.241e+02     1.2486e-01     2.0706e+01     5.9185e+01      2.384e+00     4.2661e-05     3.1428e-06     9.657933e-01          1.0817e-01     3.4864e+00     9.9666e+00     

      4         0        62      5.472e-02      1.902e+02     1.2587e-01     3.1740e+01     5.8372e+01      6.183e+00     2.1691e-01     6.5477e-03     9.470295e-01          1.0523e-01     5.3434e+00     9.8288e+00     
      4         1        69      5.472e-02      1.891e+02     1.2633e-01     3.1557e+01     5.8153e+01      6.488e+00     8.4913e-05     1.2406e-03     9.470295e-01          1.0587e-01     5.3128e+00     9.7917e+00     

      5         0        89      5.435e-02      2.714e+02     1.2786e-01     4.5289e+01     5.6466e+01      1.612e+01     3.6821e-01     3.3930e-03     9.216284e-01          9.8893e-02     7.6206e+00     9.5058e+00     
      5         1        98      5.435e-02      2.678e+02     1.2720e-01     4.4697e+01     5.6117e+01      1.715e+01     4.9960e-04     2.7577e-05     9.216284e-01          9.8301e-02     7.5195e+00     9.4469e+00     

      6         0       107      5.385e-02      3.716e+02     1.3372e-01     6.2022e+01     5.2430e+01      4.649e+01     7.2460e-01     5.4624e-02     8.818457e-01          8.6254e-02     1.0425e+01     8.8219e+00     
      6         1       116      5.384e-02      3.604e+02     1.3282e-01     6.0152e+01     5.1860e+01      4.992e+01     2.5480e-03     9.0537e-05     8.818457e-01          8.6833e-02     1.0108e+01     8.7263e+00     

      7         0       125      5.316e-02      4.648e+02     1.5323e-01     7.7598e+01     4.2774e+01      1.615e+02     1.3437e+00     3.9795e-01     8.048705e-01          1.2474e-01     1.3007e+01     7.1873e+00     
      7         1       134      5.311e-02      4.346e+02     1.5238e-01     7.2562e+01     4.2337e+01      1.668e+02     1.3125e-02     1.2975e-03     8.048705e-01          1.2045e-01     1.2163e+01     7.1183e+00     

      8         0       143      5.266e-02      2.796e+02     2.2993e-01     4.6828e+01     1.5438e+01      5.989e+02     6.6127e+00     4.1878e+00     5.850745e-01          2.1524e-01     8.4043e+00     2.5829e+00     
      8         1       158      5.155e-02      3.108e+02     2.2071e-01     5.1987e+01     2.0933e+01      5.091e+02     1.2389e+00     3.6333e-02     5.850745e-01          2.1469e-01     8.6888e+00     3.5079e+00     

      9         0       186      5.269e-02      2.561e-01     2.9372e-01     6.1890e-01     2.3693e-01      4.428e+02     1.6300e+01     5.3285e+00     2.754284e-01          2.6741e-01     5.6828e-01     2.0039e-01     
      9         1       205      5.228e-02      1.034e+02     1.0992e-01     1.7421e+01     6.2614e+00      4.339e+02     2.1939e+00     4.5823e-02     2.754284e-01          1.0775e-01     2.9446e+00     1.0648e+00     

     10         0       243      5.559e-02      3.484e-01     7.1246e-02     5.4673e-01     2.1638e-01      1.037e+02     3.6103e+00     1.2087e+00     6.395682e-02          3.1727e-02     3.9233e-01     2.0580e-01     
     10         1       266      5.351e-02      2.284e+01     2.7092e-02     3.9140e+00     1.2367e+00      1.207e+02     3.6766e-01     2.1996e-02     6.395682e-02          2.6655e-02     6.6622e-01     2.1247e-01     

     11         0       318      5.405e-02      1.693e-02     1.0524e-02     2.6163e-01     8.3811e-02      4.793e+00     2.7111e-01     1.0028e-01     2.930506e-03          1.0259e-02     1.8768e-01     6.5057e-02     
     11         1       343      5.400e-02      1.052e+00     1.7156e-03     1.7786e-01     5.4780e-02      5.814e+00     8.8996e-02     1.4089e-03     2.930506e-03          1.6649e-03     3.4740e-02     9.7319e-03     

     12         0       397      5.410e-02      5.726e-02     1.0071e-03     1.1882e-03     6.3371e-04      7.659e-02     1.3977e-03     6.1174e-04     1.189206e-05          6.2462e-04     9.5371e-04     5.3077e-04     
     12         1       434      5.294e-02      5.698e-02     8.3439e-06     7.3923e-04     2.1981e-04      7.632e-02     2.3923e-04     3.9696e-06     1.189206e-05          7.4230e-06     2.4548e-04     3.8970e-05     

     13         0       500      5.302e-02      5.313e-02     1.8616e-06     2.1631e-05     6.7888e-06      5.370e-02     3.6945e-06     2.1614e-06     3.452109e-07          7.1625e-07     6.2846e-06     1.7543e-06     
     13         1       537      5.302e-02      5.313e-02     2.0701e-07     2.0677e-05     6.3841e-06      5.369e-02     1.0698e-08     3.9958e-08     3.452109e-07          2.0678e-07     3.4527e-06     1.1016e-06     

     14         0       570      5.302e-02      5.312e-02     1.9040e-07     1.9008e-05     5.8688e-06      5.364e-02     1.1502e-08     3.7147e-08     3.173412e-07          1.9014e-07     3.1742e-06     1.0121e-06     

     15         0       603      5.302e-02      5.312e-02     1.9040e-07     1.9008e-05     5.8688e-06      5.364e-02     1.1502e-08     3.7147e-08     3.173412e-07          1.9014e-07     3.1742e-06     1.0121e-06     

     16         0       636      5.302e-02      5.312e-02     1.9040e-07     1.9008e-05     5.8688e-06      5.364e-02     1.1502e-08     3.7147e-08     3.173412e-07          1.9014e-07     3.1742e-06     1.0121e-06     

     17         0       669      5.302e-02      5.312e-02     1.9040e-07     1.9008e-05     5.8688e-06      5.364e-02     1.1502e-08     3.7147e-08     3.173412e-07          1.9014e-07     3.1742e-06     1.0121e-06     

     18         0       702      5.302e-02      5.312e-02     1.8987e-07     1.8960e-05     5.8543e-06      5.364e-02     1.9161e-08     3.9051e-08     3.164483e-07          1.8960e-07     3.1722e-06     1.0121e-06     
