# Kona Param. Contn. convergence history (opt tol = 3.615729e-03 | feas tol = 2.731300e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      1.205e+04      1.205e+04     3.6157e+04     0.0000e+00     2.7313e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          3.0954e+04     0.0000e+00     1.9000e+01     

      1         0         8      9.060e+06      9.060e+06     1.0437e+06     1.1511e-01     1.8058e+02      4.694e+03     5.3983e+02     9.8200e-02     9.995000e-01          8.6639e+05     9.5000e-02     1.2399e+02     
      1         1        17      1.648e+02      1.642e+02     1.4604e+03     1.8934e-01     3.0048e+01      3.496e-01     8.7138e-03     3.3229e-02     9.995000e-01          1.1847e+03     1.5961e-01     2.2049e+01     

      2         0        43      5.081e+04      5.082e+04     4.6965e+04     3.1173e+00     5.1074e+01      9.698e+02     8.8716e+02     8.8219e-01     9.811724e-01          4.0248e+04     2.4881e+00     3.5883e+01     
      2         1        54      8.306e+00      1.047e+01     6.2864e+01     3.1694e+00     3.1077e+01      8.637e-01     4.8437e-02     5.9928e-01     9.811724e-01          5.2178e+01     2.2097e+00     2.3674e+01     

      3         0        92      4.796e+00      1.926e+01     4.6973e+01     9.3215e+00     2.6966e+01      1.975e+00     4.0237e+00     1.2596e+00     9.435426e-01          3.8409e+01     7.5068e+00     2.0593e+01     
      3         1       111      3.864e+00      4.105e+01     2.4597e+01     1.5466e+01     2.4814e+01      2.670e+00     1.4853e-02     2.8726e-02     9.435426e-01          1.8310e+01     1.1996e+01     1.8815e+01     

      4         0       134      3.389e+00      1.608e+01     2.4201e+01     9.6324e+00     2.2458e+01      2.804e+00     1.3987e+00     1.3479e+00     9.277750e-01          1.6701e+01     6.9148e+00     1.6857e+01     
      4         1       157      3.427e+00      4.267e+01     2.0857e+01     1.8445e+01     2.2450e+01      3.838e+00     4.9066e-03     3.4631e-04     9.277750e-01          1.4547e+01     1.4632e+01     1.6880e+01     

      5         0       180      2.773e+00      1.524e+01     2.1703e+01     1.1019e+01     1.8620e+01      5.151e+00     2.3470e+00     1.5347e+00     9.008106e-01          1.4628e+01     8.7224e+00     1.3690e+01     
      5         1       203      2.764e+00      4.116e+01     1.7584e+01     2.2647e+01     1.8669e+01      6.638e+00     1.3843e-02     2.0937e-03     9.008106e-01          1.1010e+01     1.8378e+01     1.3892e+01     

      6         0       228      1.998e+00      1.317e+01     2.0313e+01     1.1825e+01     1.4038e+01      1.041e+01     3.7681e+00     1.5449e+00     8.649756e-01          1.4042e+01     1.0148e+01     1.0144e+01     
      6         1       251      2.035e+00      3.412e+01     1.5095e+01     2.6213e+01     1.4323e+01      1.202e+01     2.4737e-02     8.6431e-03     8.649756e-01          9.2555e+00     2.1980e+01     1.0486e+01     

      7         0       276      1.214e+00      1.034e+01     1.7436e+01     1.1848e+01     8.8553e+00      2.164e+01     5.5997e+00     1.2281e+00     8.124783e-01          1.1695e+01     1.0811e+01     5.9437e+00     
      7         1       299      1.334e+00      2.276e+01     1.2242e+01     2.7617e+01     9.5960e+00      2.210e+01     5.1273e-02     2.5023e-02     8.124783e-01          8.6431e+00     2.3938e+01     6.6599e+00     

      8         0       328      5.826e-01      6.415e+00     1.4164e+01     1.2741e+01     3.9735e+00      4.115e+01     9.2575e+00     7.0537e-01     7.222871e-01          9.3032e+00     1.0177e+01     3.6099e+00     
      8         1       355      7.420e-01      1.089e+01     8.4020e+00     2.3100e+01     5.1530e+00      3.612e+01     2.8325e-01     1.4802e-02     7.222871e-01          6.3623e+00     2.0286e+01     4.0358e+00     

