# Kona Param. Contn. convergence history (opt tol = 3.615729e-03 | feas tol = 2.731300e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      1.205e+04      1.205e+04     3.6157e+04     0.0000e+00     2.7313e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          3.0954e+04     0.0000e+00     1.9000e+01     

      1         0         8      9.060e+06      9.060e+06     1.0437e+06     1.1511e-01     1.8058e+02      4.694e+03     5.3983e+02     9.8200e-02     9.995000e-01          8.6639e+05     9.5000e-02     1.2399e+02     
      1         1        15      8.312e+02      8.317e+02     3.5853e+03     1.5470e-01     3.0871e+01      5.917e-01     1.5729e+00     3.0327e-05     9.995000e-01          2.3428e+03     1.1176e-01     2.2297e+01     

      2         0        26      6.502e+04      6.502e+04     3.5129e+04     1.1668e+00     4.8632e+01      4.701e+02     2.5246e+02     3.2804e-01     9.929387e-01          2.1092e+04     9.2819e-01     4.1699e+01     
      2         1        35      1.001e+02      1.065e+02     2.2625e+02     2.1357e+00     2.9991e+01      1.057e+00     1.2394e+00     5.1073e-04     9.929387e-01          1.8660e+02     1.5747e+00     2.2086e+01     

      3         0        48      6.834e+00      1.332e+01     1.1836e+02     3.6346e+00     3.1182e+01      1.407e+00     3.8314e+00     5.4861e-01     9.786001e-01          8.6372e+01     2.9552e+00     2.4036e+01     
      3         1        61      7.537e+00      2.696e+01     5.6160e+01     6.5503e+00     2.9796e+01      1.117e+00     4.4541e-03     3.2233e-04     9.786001e-01          4.5947e+01     5.0194e+00     2.2691e+01     

      4         0        74      4.268e+00      1.349e+01     2.9340e+01     5.6577e+00     2.8526e+01      1.195e+00     4.3062e-01     8.0021e-01     9.660273e-01          2.2617e+01     4.5531e+00     2.1754e+01     
      4         1        91      5.125e+00      3.311e+01     3.7144e+01     1.0044e+01     2.8211e+01      1.534e+00     8.8676e-04     4.4841e-16     9.660273e-01          2.9804e+01     7.7683e+00     2.1504e+01     

      5         0       106      3.929e+00      1.512e+01     2.6985e+01     7.4053e+00     2.6259e+01      1.587e+00     6.5905e-01     1.0467e+00     9.518456e-01          1.9785e+01     5.6841e+00     1.9930e+01     
      5         1       119      4.209e+00      3.867e+01     2.7698e+01     1.3531e+01     2.6103e+01      2.188e+00     9.2860e-03     2.0170e-04     9.518456e-01          2.1304e+01     1.0555e+01     1.9813e+01     

      6         0       134      3.528e+00      1.598e+01     2.3848e+01     9.1343e+00     2.3421e+01      2.414e+00     1.1804e+00     1.2914e+00     9.336131e-01          1.6478e+01     6.5023e+00     1.7562e+01     
      6         1       147      3.600e+00      4.229e+01     2.1952e+01     1.7364e+01     2.3326e+01      3.368e+00     1.2068e-02     1.9213e-04     9.336131e-01          1.5719e+01     1.3704e+01     1.7566e+01     

      7         0       162      3.001e+00      1.570e+01     2.2235e+01     1.0631e+01     1.9917e+01      4.237e+00     2.0138e+00     1.4936e+00     9.097526e-01          1.4685e+01     8.1970e+00     1.4706e+01     
      7         1       175      2.979e+00      4.210e+01     1.8497e+01     2.1378e+01     1.9850e+01      5.581e+00     1.8631e-02     1.7508e-03     9.097526e-01          1.2047e+01     1.7209e+01     1.4817e+01     

      8         0       190      2.257e+00      1.391e+01     2.0950e+01     1.1652e+01     1.5508e+01      8.350e+00     3.2912e+00     1.5668e+00     8.772634e-01          1.4356e+01     9.7859e+00     1.1276e+01     
      8         1       203      2.271e+00      3.685e+01     1.5943e+01     2.5221e+01     1.5722e+01      9.951e+00     3.0579e-02     3.4266e-04     8.772634e-01          9.3111e+00     2.0913e+01     1.1586e+01     

