# Kona Param. Contn. convergence history (opt tol = 0.000000e+00 | feas tol = 7.596052e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      0.000e+00      0.000e+00     0.0000e+00     0.0000e+00     7.5961e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          0.0000e+00     0.0000e+00     2.0000e+01     

      1         0         8      0.000e+00      3.798e+00     8.8744e-02     4.9517e-01     7.5961e+01      1.251e-03     3.3110e-04     3.2906e-05     9.993418e-01          2.1720e-02     1.3164e-01     2.0000e+01     
      1         1        17      1.679e-09      3.800e+00     8.8743e-02     4.9549e-01     7.5960e+01      1.251e-03     7.6754e-08     3.7314e-10     9.993418e-01          2.1722e-02     1.3172e-01     2.0000e+01     

      2         0        26      3.362e-07      2.880e+01     6.7232e-01     3.7558e+00     7.5954e+01      7.209e-02     1.4355e-02     1.4008e-03     9.950135e-01          1.6458e-01     9.9837e-01     1.9995e+01     
      2         1        35      5.635e-06      2.890e+01     6.7124e-01     3.7682e+00     7.5936e+01      7.223e-02     2.7859e-05     8.8651e-07     9.950135e-01          1.6444e-01     1.0008e+00     1.9980e+01     

      3         0        44      4.160e-05      5.376e+01     1.2458e+00     7.0109e+00     7.5893e+01      2.508e-01     1.4219e-02     1.2536e-03     9.907369e-01          3.0531e-01     1.8606e+00     1.9945e+01     
      3         1        53      6.661e-05      5.383e+01     1.2418e+00     7.0203e+00     7.5875e+01      2.515e-01     5.5286e-05     1.9829e-06     9.907369e-01          3.0451e-01     1.8602e+00     1.9931e+01     

      4         0        62      2.501e-04      7.888e+01     1.8135e+00     1.0290e+01     7.5795e+01      5.435e-01     1.4503e-02     1.2952e-03     9.864421e-01          4.4496e-01     2.7223e+00     1.9866e+01     
      4         1        71      3.033e-04      7.892e+01     1.8055e+00     1.0297e+01     7.5776e+01      5.452e-01     8.6408e-05     5.8710e-06     9.864421e-01          4.4325e-01     2.7183e+00     1.9852e+01     

      5         0        80      8.338e-04      1.045e+02     2.3797e+00     1.3636e+01     7.5656e+01      9.654e-01     1.5215e-02     1.6541e-03     9.820621e-01          5.8468e-01     3.5910e+00     1.9755e+01     
      5         1        89      9.180e-04      1.045e+02     2.3665e+00     1.3641e+01     7.5638e+01      9.687e-01     1.1959e-04     1.6733e-05     9.820621e-01          5.8178e-01     3.5823e+00     1.9742e+01     

      6         0        98      2.115e-03      1.309e+02     2.9481e+00     1.7093e+01     7.5473e+01      1.543e+00     1.6405e-02     2.3968e-03     9.775283e-01          7.2545e-01     4.4733e+00     1.9609e+01     
      6         1       107      2.222e-03      1.309e+02     2.9281e+00     1.7095e+01     7.5453e+01      1.548e+00     1.5029e-04     3.2801e-05     9.775283e-01          7.2102e-01     4.4589e+00     1.9598e+01     

      7         0       116      4.581e-03      1.584e+02     3.5214e+00     2.0705e+01     7.5236e+01      2.316e+00     1.8176e-02     3.5690e-03     9.727666e-01          8.6811e-01     5.3755e+00     1.9423e+01     
      7         1       125      4.678e-03      1.584e+02     3.4925e+00     2.0704e+01     7.5216e+01      2.325e+00     1.6882e-04     5.4726e-05     9.727666e-01          8.6168e-01     5.3538e+00     1.9415e+01     

      8         0       138      8.552e-03      1.870e+02     4.0688e+00     2.4461e+01     7.4945e+01      3.327e+00     1.9739e-02     1.4392e-03     9.677777e-01          1.0057e+00     6.2703e+00     1.9207e+01     
      8         1       149      8.871e-03      1.869e+02     4.0517e+00     2.4454e+01     7.4921e+01      3.341e+00     8.2054e-06     6.4209e-05     9.677777e-01          1.0019e+00     6.2567e+00     1.9192e+01     

      9         0       162      1.547e-02      2.177e+02     4.6443e+00     2.8522e+01     7.4573e+01      4.694e+00     2.3496e-02     1.8046e-03     9.623162e-01          1.1511e+00     7.2165e+00     1.8931e+01     
      9         1       173      1.594e-02      2.176e+02     4.6215e+00     2.8508e+01     7.4545e+01      4.716e+00     8.6356e-06     6.3263e-05     9.623162e-01          1.1460e+00     7.1978e+00     1.8914e+01     

     10         0       186      2.664e-02      2.507e+02     5.2194e+00     3.2886e+01     7.4105e+01      6.537e+00     2.7758e-02     2.3566e-03     9.563412e-01          1.2980e+00     8.1887e+00     1.8593e+01     
     10         1       197      2.726e-02      2.505e+02     5.1900e+00     3.2864e+01     7.4073e+01      6.572e+00     1.3998e-05     3.9573e-05     9.563412e-01          1.2914e+00     8.1640e+00     1.8575e+01     

     11         0       210      4.416e-02      2.863e+02     5.7896e+00     3.7624e+01     7.3517e+01      9.066e+00     3.3654e-02     3.1978e-03     9.496967e-01          1.4457e+00     9.1870e+00     1.8181e+01     
     11         1       221      4.495e-02      2.860e+02     5.7515e+00     3.7589e+01     7.3480e+01      9.122e+00     2.8634e-05     1.5103e-04     9.496967e-01          1.4371e+00     9.1544e+00     1.8163e+01     

     12         0       234      7.109e-02      3.251e+02     6.3442e+00     4.2804e+01     7.2773e+01      1.261e+01     4.1741e-02     4.4746e-03     9.421895e-01          1.5923e+00     1.0205e+01     1.7681e+01     
     12         1       247      7.198e-02      3.246e+02     6.2953e+00     4.2747e+01     7.2729e+01      1.270e+01     1.1231e-04     1.9437e-05     9.421895e-01          1.5812e+00     1.0163e+01     1.7664e+01     

     13         0       260      1.117e-01      3.674e+02     6.8676e+00     4.8496e+01     7.1822e+01      1.769e+01     5.2985e-02     6.4458e-03     9.335568e-01          1.7348e+00     1.1232e+01     1.7076e+01     
     13         1       273      1.126e-01      3.667e+02     6.8042e+00     4.8410e+01     7.1769e+01      1.784e+01     2.3040e-04     4.0451e-05     9.335568e-01          1.7204e+00     1.1177e+01     1.7061e+01     

     14         0       286      1.719e-01      4.137e+02     7.3347e+00     5.4766e+01     7.0596e+01      2.521e+01     6.8713e-02     9.5296e-03     9.234391e-01          1.8683e+00     1.2247e+01     1.6345e+01     
     14         1       299      1.723e-01      4.126e+02     7.2530e+00     5.4633e+01     7.0532e+01      2.544e+01     4.7590e-04     9.3872e-05     9.234391e-01          1.8496e+00     1.2175e+01     1.6334e+01     

