# Kona Param. Contn. convergence history (opt tol = 0.000000e+00 | feas tol = 8.167007e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      0.000e+00      0.000e+00     0.0000e+00     0.0000e+00     8.1670e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          0.0000e+00     0.0000e+00     2.0000e+01     

      1         0         8      0.000e+00      4.083e+00     3.1553e-01     4.8435e-01     8.1670e+01      1.251e-03     3.5387e-04     3.0606e-05     9.993878e-01          1.9283e-01     1.2243e-01     2.0000e+01     
      1         1        93     -2.111e-09      4.086e+00     3.1571e-01     4.8464e-01     8.1669e+01      1.251e-03     1.0960e-05     1.3159e-06     9.993878e-01          1.9293e-01     1.2250e-01     1.9999e+01     

      2         0       166      1.187e-06      2.802e+01     2.1631e+00     3.3238e+00     8.1659e+01      5.898e-02     1.3119e-02     1.1579e-03     9.958034e-01          1.3211e+00     8.4016e-01     2.0002e+01     
      2         1       251     -3.705e-06      2.806e+01     2.1631e+00     3.3314e+00     8.1599e+01      5.902e-02     6.7005e-04     9.1204e-05     9.958034e-01          1.3202e+00     8.4020e-01     1.9944e+01     

      3         0       332     -4.130e-05      5.237e+01     4.0303e+00     6.2250e+00     8.1479e+01      2.064e-01     1.3245e-02     1.1750e-03     9.921657e-01          2.4568e+00     1.5670e+00     1.9858e+01     
      3         1       417     -5.033e-05      5.235e+01     4.0088e+00     6.2281e+00     8.1423e+01      2.068e-01     1.1324e-03     2.5962e-04     9.921657e-01          2.4396e+00     1.5615e+00     1.9800e+01     

      4         0       587     -2.130e-04      7.725e+01     5.8851e+00     9.2131e+00     8.1197e+01      4.541e-01     1.4735e-02     1.7642e-03     9.884148e-01          3.5730e+00     2.2986e+00     1.9629e+01     
      4         1       672     -2.336e-04      7.717e+01     5.8421e+00     9.2115e+00     8.1139e+01      4.551e-01     1.1092e-03     2.8324e-04     9.884148e-01          3.5383e+00     2.2866e+00     1.9561e+01     

      5         0       842     -4.770e-04      1.021e+02     7.6596e+00     1.2234e+01     8.0814e+01      8.081e-01     1.7271e-02     2.8298e-03     9.846035e-01          4.6232e+00     3.0148e+00     1.9328e+01     
      5         1       927     -7.681e-04      1.020e+02     7.5973e+00     1.2229e+01     8.0756e+01      8.099e-01     1.6452e-03     5.1549e-04     9.846035e-01          4.5708e+00     2.9947e+00     1.9241e+01     

      6         0      1097     -1.257e-03      1.270e+02     9.3314e+00     1.5300e+01     8.0332e+01      1.281e+00     1.9620e-02     4.2841e-03     9.807039e-01          5.5873e+00     3.7096e+00     1.8944e+01     
