# Kona Param. Contn. convergence history (opt tol = 4.661545e-06 | feas tol = 6.188295e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      3.425e+01      3.425e+01     4.6615e+01     0.0000e+00     6.1883e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          2.7000e+01     0.0000e+00     1.2000e+01     

      1         0        10      3.286e+01      3.534e+01     4.5562e+01     3.9855e-01     6.1894e+01      2.246e-02     7.1150e-04     8.9204e-05     9.993547e-01          2.6368e+01     7.7437e-02     1.2040e+01     
      1         1        21      3.289e+01      3.537e+01     4.5584e+01     3.9885e-01     6.1894e+01      2.246e-02     2.4767e-09     7.9155e-10     9.993547e-01          2.6382e+01     7.7739e-02     1.2039e+01     

      2         0        30      2.825e+01      3.985e+01     4.1862e+01     1.8697e+00     6.1933e+01      1.122e-01     9.3897e-03     1.1649e-03     9.969766e-01          2.4152e+01     3.6530e-01     1.2180e+01     
      2         1        41      2.858e+01      4.021e+01     4.2131e+01     1.8736e+00     6.1927e+01      1.121e-01     7.6558e-07     2.1298e-07     9.969766e-01          2.4319e+01     3.6898e-01     1.2169e+01     

      3         0        52      2.464e+01      4.607e+01     3.8715e+01     3.4507e+00     6.1958e+01      2.220e-01     9.3795e-03     1.1490e-03     9.944393e-01          2.2280e+01     6.8333e-01     1.2296e+01     
      3         1        63      2.491e+01      4.637e+01     3.8958e+01     3.4546e+00     6.1951e+01      2.220e-01     2.6415e-06     6.9292e-07     9.944393e-01          2.2430e+01     6.8671e-01     1.2285e+01     

      4         0        74      2.152e+01      5.366e+01     3.5769e+01     5.1703e+00     6.1971e+01      3.603e-01     9.8223e-03     1.1582e-03     9.916912e-01          2.0536e+01     1.0341e+00     1.2401e+01     
      4         1        85      2.176e+01      5.393e+01     3.5997e+01     5.1743e+00     6.1963e+01      3.605e-01     7.1631e-06     1.5287e-06     9.916912e-01          2.0676e+01     1.0373e+00     1.2391e+01     

      5         0        96      1.883e+01      6.264e+01     3.3020e+01     7.0412e+00     6.1971e+01      5.363e-01     1.0397e-02     1.1525e-03     9.887120e-01          1.8916e+01     1.4204e+00     1.2495e+01     
      5         1       107      1.904e+01      6.288e+01     3.3235e+01     7.0452e+00     6.1962e+01      5.367e-01     1.6832e-05     2.7537e-06     9.887120e-01          1.9047e+01     1.4232e+00     1.2486e+01     

      6         0       118      1.652e+01      7.305e+01     3.0451e+01     9.0802e+00     6.1953e+01      7.620e-01     1.1173e-02     1.1306e-03     9.854741e-01          1.7409e+01     1.8453e+00     1.2578e+01     
      6         1       129      1.670e+01      7.326e+01     3.0654e+01     9.0840e+00     6.1943e+01      7.628e-01     3.6828e-05     4.3098e-06     9.854741e-01          1.7534e+01     1.8476e+00     1.2569e+01     

      7         0       140      1.453e+01      8.493e+01     2.8053e+01     1.1301e+01     6.1913e+01      1.053e+00     1.2151e-02     1.0842e-03     9.819536e-01          1.6011e+01     2.3115e+00     1.2650e+01     
      7         1       151      1.469e+01      8.511e+01     2.8244e+01     1.1304e+01     6.1902e+01      1.054e+00     7.6692e-05     5.8795e-06     9.819536e-01          1.6128e+01     2.3132e+00     1.2640e+01     

      8         0       162      1.282e+01      9.831e+01     2.5819e+01     1.3715e+01     6.1846e+01      1.427e+00     1.3367e-02     1.0173e-03     9.781260e-01          1.4715e+01     2.8212e+00     1.2708e+01     
      8         1       175      1.296e+01      9.846e+01     2.5999e+01     1.3717e+01     6.1834e+01      1.430e+00     9.3930e-06     9.6507e-06     9.781260e-01          1.4826e+01     2.8220e+00     1.2699e+01     

      9         0       186      1.135e+01      1.132e+02     2.3738e+01     1.6336e+01     6.1747e+01      1.913e+00     1.4902e-02     9.5692e-04     9.739615e-01          1.3515e+01     3.3767e+00     1.2752e+01     
      9         1       199      1.148e+01      1.134e+02     2.3908e+01     1.6337e+01     6.1732e+01      1.917e+00     2.1148e-05     7.2407e-06     9.739615e-01          1.3621e+01     3.3762e+00     1.2744e+01     

     10         0       210      1.009e+01      1.298e+02     2.1796e+01     1.9183e+01     6.1606e+01      2.545e+00     1.6890e-02     9.9341e-04     9.694175e-01          1.2402e+01     3.9811e+00     1.2782e+01     
