# Kona Param. Contn. convergence history (opt tol = 2.101357e-05 | feas tol = 1.212178e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      2.438e+02      2.438e+02     2.1014e+02     0.0000e+00     1.2122e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          7.5000e+01     0.0000e+00     1.3000e+01     

      1         0        10      2.222e+02      2.296e+02     1.9979e+02     6.0374e-01     1.2134e+02      1.185e-01     5.1447e-03     4.3366e-04     9.995000e-01          7.1299e+01     6.5000e-02     1.3126e+01     
      1         1        19      2.232e+02      2.306e+02     2.0026e+02     6.0442e-01     1.2133e+02      1.185e-01     2.9253e-05     5.2638e-07     9.995000e-01          7.1470e+01     6.5635e-02     1.3121e+01     

      2         0        28      1.848e+02      2.078e+02     1.8039e+02     1.8813e+00     1.2159e+02      3.507e-01     2.1027e-02     1.7610e-03     9.984449e-01          6.4366e+01     2.0542e-01     1.3363e+01     
      2         1        39      1.881e+02      2.111e+02     1.8216e+02     1.8842e+00     1.2156e+02      3.506e-01     4.1946e-06     1.1233e-07     9.984449e-01          6.4996e+01     2.0780e-01     1.3342e+01     

      3         0        50      1.577e+02      1.972e+02     1.6493e+02     3.2248e+00     1.2179e+02      5.765e-01     1.8945e-02     1.5874e-03     9.973419e-01          5.8830e+01     3.5869e-01     1.3553e+01     
      3         1        61      1.602e+02      1.997e+02     1.6639e+02     3.2275e+00     1.2177e+02      5.764e-01     1.5848e-05     2.9609e-07     9.973419e-01          5.9355e+01     3.6069e-01     1.3534e+01     

      4         0        72      1.362e+02      1.928e+02     1.5154e+02     4.6126e+00     1.2197e+02      7.998e-01     1.6834e-02     1.3912e-03     9.962068e-01          5.4043e+01     5.1993e-01     1.3715e+01     
      4         1        83      1.381e+02      1.947e+02     1.5273e+02     4.6152e+00     1.2195e+02      7.997e-01     3.5628e-05     6.0817e-07     9.962068e-01          5.4473e+01     5.2156e-01     1.3700e+01     

      5         0        94      1.185e+02      1.932e+02     1.3959e+02     6.0705e+00     1.2213e+02      1.031e+00     1.5665e-02     1.2627e-03     9.950185e-01          4.9769e+01     6.9164e-01     1.3860e+01     
      5         1       105      1.200e+02      1.947e+02     1.4061e+02     6.0730e+00     1.2212e+02      1.031e+00     7.3942e-05     1.5525e-06     9.950185e-01          5.0140e+01     6.9302e-01     1.3847e+01     

      6         0       116      1.035e+02      1.977e+02     1.2857e+02     7.6455e+00     1.2228e+02      1.283e+00     1.5564e-02     1.2083e-03     9.937385e-01          4.5827e+01     8.7922e-01     1.3993e+01     
      6         1       127      1.048e+02      1.990e+02     1.2950e+02     7.6481e+00     1.2227e+02      1.283e+00     1.4871e-04     5.4707e-06     9.937385e-01          4.6170e+01     8.8042e-01     1.3981e+01     

      7         0       138      9.048e+01      2.064e+02     1.1817e+02     9.3913e+00     1.2242e+02      1.571e+00     1.6372e-02     1.2083e-03     9.923237e-01          4.2108e+01     1.0891e+00     1.4117e+01     
      7         1       151      9.158e+01      2.075e+02     1.1906e+02     9.3943e+00     1.2241e+02      1.571e+00     6.6357e-06     3.4499e-06     9.923237e-01          4.2440e+01     1.0902e+00     1.4105e+01     

      8         0       162      7.895e+01      2.195e+02     1.0818e+02     1.1372e+01     1.2255e+02      1.916e+00     1.8113e-02     1.2399e-03     9.907228e-01          3.8532e+01     1.3291e+00     1.4234e+01     
      8         1       175      7.996e+01      2.206e+02     1.0907e+02     1.1375e+01     1.2253e+02      1.916e+00     1.6979e-05     5.4287e-06     9.907228e-01          3.8874e+01     1.3300e+00     1.4221e+01     

      9         0       188      6.923e+01      2.370e+02     9.8993e+01     1.3555e+01     1.2265e+02      2.324e+00     1.8168e-02     9.1287e-04     9.889629e-01          3.5276e+01     1.5958e+00     1.4338e+01     
      9         1       201      7.009e+01      2.379e+02     9.9824e+01     1.3559e+01     1.2263e+02      2.325e+00     1.3781e-05     3.3651e-06     9.889629e-01          3.5574e+01     1.5961e+00     1.4327e+01     

     10         0       214      6.008e+01      2.611e+02     8.9541e+01     1.6207e+01     1.2274e+02      2.868e+00     2.2758e-02     1.0315e-03     9.868288e-01          3.1907e+01     1.9212e+00     1.4442e+01     
     10         1       227      6.097e+01      2.620e+02     9.0476e+01     1.6212e+01     1.2272e+02      2.869e+00     3.2102e-05     5.9603e-06     9.868288e-01          3.2240e+01     1.9210e+00     1.4430e+01     

     11         0       240      5.210e+01      2.924e+02     8.0448e+01     1.9343e+01     1.2280e+02      3.590e+00     2.6710e-02     1.2167e-03     9.843089e-01          2.8669e+01     2.3079e+00     1.4538e+01     
     11         1       253      5.294e+01      2.932e+02     8.1423e+01     1.9349e+01     1.2277e+02      3.592e+00     6.9597e-05     2.2495e-05     9.843089e-01          2.9015e+01     2.3068e+00     1.4524e+01     

     12         0       266      4.519e+01      3.321e+02     7.1734e+01     2.3065e+01     1.2281e+02      4.570e+00     3.1498e-02     1.8210e-03     9.813207e-01          2.5571e+01     2.7682e+00     1.4621e+01     
     12         1       279      4.598e+01      3.329e+02     7.2739e+01     2.3072e+01     1.2278e+02      4.574e+00     1.5034e-04     5.0920e-05     9.813207e-01          2.5924e+01     2.7657e+00     1.4607e+01     

     13         0       292      3.938e+01      3.811e+02     6.3593e+01     2.7436e+01     1.2275e+02      5.912e+00     3.6491e-02     3.0673e-03     9.778101e-01          2.2683e+01     3.3096e+00     1.4688e+01     
     13         1       305      4.009e+01      3.818e+02     6.4591e+01     2.7443e+01     1.2272e+02      5.921e+00     3.1795e-04     9.9757e-05     9.778101e-01          2.3027e+01     3.3048e+00     1.4674e+01     

