# Kona Param. Contn. convergence history (opt tol = 2.121320e-07 | feas tol = 3.234579e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      0.000e+00      0.000e+00     2.1213e+00     0.0000e+00     3.2346e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.5000e+00     0.0000e+00     1.1000e+01     

      1         0        10     -6.938e-03      1.606e+00     2.1190e+00     4.9839e-01     3.2346e+01      1.240e-03     7.6855e-04     7.7572e-05     9.984583e-01          1.5015e+00     1.6959e-01     1.1001e+01     
      1         1        19     -6.940e-03      1.609e+00     2.1190e+00     4.9914e-01     3.2345e+01      1.240e-03     8.7257e-08     2.7919e-10     9.984583e-01          1.5015e+00     1.6986e-01     1.1000e+01     

      2         0        28     -2.656e-02      6.160e+00     2.1126e+00     1.9114e+00     3.2341e+01      1.824e-02     6.1740e-03     6.0233e-04     9.941018e-01          1.5059e+00     6.5047e-01     1.1001e+01     
      2         1        37     -2.658e-02      6.177e+00     2.1127e+00     1.9167e+00     3.2335e+01      1.828e-02     3.8499e-06     3.7737e-08     9.941018e-01          1.5060e+00     6.5233e-01     1.0999e+01     

      3         0        46     -4.603e-02      1.071e+01     2.1066e+00     3.3232e+00     3.2319e+01      5.514e-02     6.1360e-03     5.4119e-04     9.897918e-01          1.5102e+00     1.1310e+00     1.0995e+01     
      3         1        55     -4.606e-02      1.072e+01     2.1070e+00     3.3274e+00     3.2312e+01      5.531e-02     1.2597e-05     1.6264e-07     9.897918e-01          1.5105e+00     1.1324e+00     1.0993e+01     

      4         0        64     -6.565e-02      1.530e+01     2.1010e+00     4.7490e+00     3.2283e+01      1.134e-01     6.2930e-03     4.9795e-04     9.854542e-01          1.5147e+00     1.6161e+00     1.0984e+01     
      4         1        73     -6.572e-02      1.531e+01     2.1018e+00     4.7522e+00     3.2277e+01      1.138e-01     2.7320e-05     5.1646e-07     9.854542e-01          1.5152e+00     1.6171e+00     1.0982e+01     

      5         0        82     -8.574e-02      2.000e+01     2.0959e+00     6.2084e+00     3.2234e+01      1.962e-01     6.6419e-03     4.6606e-04     9.810203e-01          1.5193e+00     2.1122e+00     1.0968e+01     
      5         1        91     -8.591e-02      2.001e+01     2.0970e+00     6.2106e+00     3.2227e+01      1.969e-01     4.9933e-05     1.5410e-06     9.810203e-01          1.5201e+00     2.1128e+00     1.0965e+01     

      6         0       100     -1.066e-01      2.487e+01     2.0912e+00     7.7210e+00     3.2169e+01      3.090e-01     7.2038e-03     4.4126e-04     9.764205e-01          1.5243e+00     2.6259e+00     1.0947e+01     
      6         1       111     -1.071e-01      2.487e+01     2.0927e+00     7.7221e+00     3.2161e+01      3.102e-01     3.5026e-06     4.8736e-07     9.764205e-01          1.5255e+00     2.6260e+00     1.0943e+01     

      7         0       120     -1.289e-01      2.997e+01     2.0868e+00     9.3076e+00     3.2084e+01      4.599e-01     8.0209e-03     4.1621e-04     9.715785e-01          1.5297e+00     3.1638e+00     1.0918e+01     
      7         1       131     -1.295e-01      2.997e+01     2.0889e+00     9.3073e+00     3.2076e+01      4.618e-01     6.5681e-06     8.7765e-07     9.715785e-01          1.5313e+00     3.1633e+00     1.0915e+01     

      8         0       140     -1.526e-01      3.538e+01     2.0829e+00     1.0991e+01     3.1976e+01      6.615e-01     9.1672e-03     3.8948e-04     9.664064e-01          1.5356e+00     3.7333e+00     1.0881e+01     
      8         1       151     -1.536e-01      3.537e+01     2.0856e+00     1.0989e+01     3.1967e+01      6.645e-01     1.1468e-05     1.7025e-06     9.664064e-01          1.5377e+00     3.7320e+00     1.0877e+01     

      9         0       160     -1.785e-01      4.117e+01     2.0796e+00     1.2797e+01     3.1838e+01      9.326e-01     1.0752e-02     3.5394e-04     9.607985e-01          1.5422e+00     4.3425e+00     1.0834e+01     
      9         1       171     -1.800e-01      4.115e+01     2.0830e+00     1.2792e+01     3.1827e+01      9.374e-01     1.9411e-05     3.3766e-06     9.607985e-01          1.5449e+00     4.3400e+00     1.0829e+01     

     10         0       180     -2.072e-01      4.744e+01     2.0769e+00     1.4754e+01     3.1661e+01      1.302e+00     1.2946e-02     3.0668e-04     9.546223e-01          1.5496e+00     5.0006e+00     1.0773e+01     
     10         1       191     -2.095e-01      4.740e+01     2.0814e+00     1.4746e+01     3.1649e+01      1.310e+00     3.2329e-05     6.8429e-06     9.546223e-01          1.5533e+00     4.9964e+00     1.0767e+01     

     11         0       202     -2.422e-01      5.424e+01     2.0806e+00     1.6885e+01     3.1435e+01      1.813e+00     1.5551e-02     4.2710e-04     9.477483e-01          1.5626e+00     5.7138e+00     1.0692e+01     
     11         1       211     -2.427e-01      5.418e+01     2.0810e+00     1.6870e+01     3.1420e+01      1.825e+00     1.4912e-04     2.0149e-05     9.477483e-01          1.5630e+00     5.7066e+00     1.0687e+01     

     12         0       222     -2.808e-01      6.177e+01     2.0819e+00     1.9254e+01     3.1140e+01      2.546e+00     1.9956e-02     6.6292e-04     9.398612e-01          1.5741e+00     6.5015e+00     1.0589e+01     
     12         1       233     -2.820e-01      6.169e+01     2.0828e+00     1.9229e+01     3.1120e+01      2.566e+00     2.3249e-05     4.1548e-05     9.398612e-01          1.5751e+00     6.4899e+00     1.0582e+01     

     13         0       244     -3.271e-01      7.010e+01     2.0863e+00     2.1885e+01     3.0749e+01      3.622e+00     2.5912e-02     1.1668e-03     9.306955e-01          1.5888e+00     7.3692e+00     1.0452e+01     
     13         1       255     -3.289e-01      6.997e+01     2.0873e+00     2.1845e+01     3.0724e+01      3.656e+00     4.5453e-05     8.1952e-05     9.306955e-01          1.5901e+00     7.3512e+00     1.0444e+01     

     14         0       266     -3.839e-01      7.933e+01     2.0946e+00     2.4823e+01     3.0225e+01      5.260e+00     3.4604e-02     2.2272e-03     9.197905e-01          1.6072e+00     8.3264e+00     1.0269e+01     
     14         1       277     -3.868e-01      7.911e+01     2.0964e+00     2.4757e+01     3.0193e+01      5.316e+00     1.0254e-04     1.6981e-04     9.197905e-01          1.6095e+00     8.2981e+00     1.0258e+01     

     15         0       288     -4.560e-01      8.949e+01     2.1092e+00     2.8091e+01     2.9506e+01      7.851e+00     4.7332e-02     4.3590e-03     9.064705e-01          1.6313e+00     9.3740e+00     1.0020e+01     
     15         1       299     -4.614e-01      8.912e+01     2.1128e+00     2.7981e+01     2.9465e+01      7.946e+00     2.4856e-04     3.6417e-04     9.064705e-01          1.6356e+00     9.3292e+00     1.0006e+01     

     16         0       310     -5.519e-01      1.004e+02     2.1338e+00     3.1672e+01     2.8500e+01      1.213e+01     6.5925e-02     8.7989e-03     8.896789e-01          1.6641e+00     1.0494e+01     9.6720e+00     
     16         1       325     -5.643e-01      9.980e+01     2.1424e+00     3.1487e+01     2.8449e+01      1.229e+01     6.1576e-05     8.1476e-05     8.896789e-01          1.6736e+00     1.0423e+01     9.6533e+00     

     17         0       336     -6.881e-01      1.115e+02     2.1755e+00     3.5431e+01     2.7058e+01      1.952e+01     9.1998e-02     1.8498e-02     8.676772e-01          1.7113e+00     1.1621e+01     9.1774e+00     
     17         1       351     -7.158e-01      1.105e+02     2.1938e+00     3.5120e+01     2.7000e+01      1.975e+01     1.6836e-04     2.4822e-04     8.676772e-01          1.7312e+00     1.1511e+01     9.1550e+00     

     18         0       366     -9.447e-01      1.209e+02     2.2775e+00     3.8897e+01     2.4975e+01      3.256e+01     1.1866e-01     3.8215e-02     8.378882e-01          1.8158e+00     1.2563e+01     8.4600e+00     
     18         1       381     -9.644e-01      1.193e+02     2.2865e+00     3.8408e+01     2.4930e+01      3.281e+01     2.5010e-04     3.0017e-04     8.378882e-01          1.8259e+00     1.2420e+01     8.4486e+00     

     19         0       396     -1.392e+00      1.249e+02     2.4437e+00     4.1158e+01     2.1884e+01      5.627e+01     1.3019e-01     9.2503e-02     7.945507e-01          1.9768e+00     1.3008e+01     7.4085e+00     
     19         1       415     -1.463e+00      1.227e+02     2.4685e+00     4.0438e+01     2.1916e+01      5.606e+01     3.6075e-04     2.4539e-04     7.945507e-01          2.0038e+00     1.2832e+01     7.4272e+00     

     20         0       432     -2.402e+00      1.170e+02     2.7689e+00     4.0254e+01     1.7783e+01      9.337e+01     9.0032e-02     1.9336e-01     7.335974e-01          2.2897e+00     1.2383e+01     6.0278e+00     
     20         1       455     -2.668e+00      1.153e+02     2.8336e+00     3.9609e+01     1.8022e+01      9.132e+01     3.9414e-03     5.5682e-04     7.335974e-01          2.3562e+00     1.2270e+01     6.0977e+00     

     21         0       476     -4.536e+00      1.004e+02     3.2754e+00     3.6588e+01     1.4406e+01      1.257e+02     1.9420e-01     1.8687e-01     6.723159e-01          2.7777e+00     1.1135e+01     4.9968e+00     
     21         1       503     -5.176e+00      1.003e+02     3.3825e+00     3.6483e+01     1.4711e+01      1.229e+02     6.7257e-03     9.5961e-04     6.723159e-01          2.8833e+00     1.1230e+01     5.0911e+00     

     22         0       528     -7.353e+00      9.039e+01     3.7538e+00     3.4258e+01     1.3081e+01      1.377e+02     8.4435e-02     5.1847e-02     6.385931e-01          3.2356e+00     1.0496e+01     4.5883e+00     
     22         1       557     -7.769e+00      9.052e+01     3.8092e+00     3.4307e+01     1.3179e+01      1.368e+02     9.1204e-04     2.5415e-04     6.385931e-01          3.2885e+00     1.0542e+01     4.6182e+00     

     23         0       582     -9.645e+00      8.476e+01     4.0674e+00     3.2998e+01     1.2392e+01      1.436e+02     3.3465e-02     1.5697e-02     6.198839e-01          3.5327e+00     1.0132e+01     4.4020e+00     
     23         1       611     -9.881e+00      8.479e+01     4.0983e+00     3.3024e+01     1.2425e+01      1.433e+02     2.5750e-04     1.9796e-04     6.198839e-01          3.5611e+00     1.0193e+01     4.4331e+00     

     24         0       636     -1.168e+01      8.048e+01     4.3154e+00     3.2050e+01     1.1906e+01      1.476e+02     2.2083e-02     9.1714e-03     6.062514e-01          3.7647e+00     9.9945e+00     4.4177e+00     
     24         1       669     -1.186e+01      8.050e+01     4.3373e+00     3.2069e+01     1.1925e+01      1.474e+02     8.9633e-05     5.3095e-05     6.062514e-01          3.7852e+00     1.0037e+01     4.4395e+00     

     25         0       698     -1.366e+01      7.701e+01     4.5351e+00     3.1289e+01     1.1549e+01      1.504e+02     1.5795e-02     5.6799e-03     5.954588e-01          3.9706e+00     9.8838e+00     4.4568e+00     
     25         1       731     -1.377e+01      7.704e+01     4.5450e+00     3.1304e+01     1.1561e+01      1.503e+02     9.6134e-05     6.2843e-05     5.954588e-01          3.9795e+00     9.9131e+00     4.4688e+00     

     26         0       760     -1.596e+01      7.339e+01     4.7642e+00     3.0491e+01     1.1205e+01      1.530e+02     1.9521e-02     6.2267e-03     5.843368e-01          4.1837e+00     9.7474e+00     4.5092e+00     
     26         1       793     -1.611e+01      7.342e+01     4.7768e+00     3.0511e+01     1.1219e+01      1.529e+02     9.1997e-05     4.4434e-05     5.843368e-01          4.1957e+00     9.7843e+00     4.5246e+00     

     27         0       822     -1.864e+01      6.983e+01     5.0045e+00     2.9716e+01     1.0906e+01      1.552e+02     2.1665e-02     6.4735e-03     5.735506e-01          4.4065e+00     9.6162e+00     4.5891e+00     
     27         1       857     -1.882e+01      6.986e+01     5.0179e+00     2.9738e+01     1.0921e+01      1.551e+02     7.0329e-05     9.8408e-05     5.735506e-01          4.4200e+00     9.6570e+00     4.6061e+00     

     28         0       890     -2.166e+01      6.646e+01     5.2499e+00     2.8991e+01     1.0664e+01      1.569e+02     2.3458e-02     5.5622e-03     5.634505e-01          4.6351e+00     9.4928e+00     4.6953e+00     
     28         1       925     -2.180e+01      6.651e+01     5.2553e+00     2.9013e+01     1.0676e+01      1.568e+02     8.7715e-05     1.2171e-04     5.634505e-01          4.6405e+00     9.5339e+00     4.7086e+00     

     29         0       958     -2.560e+01      6.258e+01     5.5311e+00     2.8146e+01     1.0419e+01      1.585e+02     3.6349e-02     7.8708e-03     5.518237e-01          4.8959e+00     9.3233e+00     4.8395e+00     
     29         1       993     -2.579e+01      6.267e+01     5.5358e+00     2.8179e+01     1.0437e+01      1.584e+02     1.9435e-04     2.5639e-04     5.518237e-01          4.9005e+00     9.3844e+00     4.8583e+00     

     30         0      1028     -3.035e+01      5.870e+01     5.8234e+00     2.7295e+01     1.0225e+01      1.596e+02     4.3369e-02     9.9796e-03     5.400249e-01          5.1669e+00     9.1502e+00     5.0279e+00     
     30         1      1063     -3.045e+01      5.886e+01     5.8149e+00     2.7335e+01     1.0240e+01      1.595e+02     2.7976e-04     3.3466e-04     5.400249e-01          5.1592e+00     9.2198e+00     5.0413e+00     

     31         0      1098     -3.690e+01      5.407e+01     6.1543e+00     2.6224e+01     1.0036e+01      1.606e+02     7.4832e-02     1.6583e-02     5.253652e-01          5.4740e+00     8.8756e+00     5.2863e+00     
     31         1      1135     -3.689e+01      5.441e+01     6.1241e+00     2.6292e+01     1.0053e+01      1.604e+02     3.8333e-04     1.6040e-04     5.253652e-01          5.4463e+00     8.9903e+00     5.2984e+00     

     32         0      1174     -4.539e+01      4.913e+01     6.4573e+00     2.4937e+01     9.8763e+00      1.609e+02     1.1499e-01     2.2707e-02     5.075898e-01          5.7561e+00     8.4970e+00     5.6188e+00     
     32         1      1213     -4.492e+01      4.977e+01     6.3820e+00     2.5044e+01     9.8800e+00      1.607e+02     5.9619e-04     6.3390e-04     5.075898e-01          5.6882e+00     8.6674e+00     5.6109e+00     

     33         0      1252     -5.368e+01      4.513e+01     6.5592e+00     2.3569e+01     9.7114e+00      1.604e+02     1.2690e-01     2.7086e-02     4.879259e-01          5.8577e+00     8.0711e+00     5.9225e+00     
     33         1      1295     -5.222e+01      4.597e+01     6.4257e+00     2.3687e+01     9.6723e+00      1.603e+02     8.1231e-04     1.8549e-04     4.879259e-01          5.7371e+00     8.2499e+00     5.8619e+00     

     34         0      1338     -5.632e+01      4.381e+01     6.3580e+00     2.2723e+01     9.5080e+00      1.596e+02     4.4423e-02     9.7551e-03     4.743152e-01          5.6824e+00     7.8745e+00     5.9814e+00     
     34         1      1377     -5.542e+01      4.412e+01     6.2941e+00     2.2766e+01     9.4768e+00      1.596e+02     3.9524e-04     2.7014e-04     4.743152e-01          5.6244e+00     7.9347e+00     5.9390e+00     

     35         0      1420     -5.659e+01      4.327e+01     6.1868e+00     2.2271e+01     9.3547e+00      1.591e+02     9.2965e-03     2.3314e-03     4.670335e-01          5.5309e+00     7.7477e+00     5.9523e+00     
     35         1      1463     -5.635e+01      4.333e+01     6.1720e+00     2.2280e+01     9.3462e+00      1.591e+02     3.9119e-05     3.5231e-05     4.670335e-01          5.5174e+00     7.7599e+00     5.9409e+00     

     36         0      1506     -5.673e+01      4.287e+01     6.0847e+00     2.1979e+01     9.2581e+00      1.587e+02     2.9177e-03     9.8272e-04     4.625348e-01          5.4406e+00     7.6464e+00     5.9314e+00     
     36         1      1549     -5.666e+01      4.289e+01     6.0807e+00     2.1982e+01     9.2559e+00      1.587e+02     1.9969e-05     1.2191e-05     4.625348e-01          5.4369e+00     7.6501e+00     5.9282e+00     

     37         0      1592     -5.678e+01      4.256e+01     6.0037e+00     2.1750e+01     9.1812e+00      1.585e+02     1.6234e-03     7.1134e-04     4.590400e-01          5.3689e+00     7.5623e+00     5.9123e+00     
     37         1      1637     -5.675e+01      4.257e+01     6.0022e+00     2.1752e+01     9.1806e+00      1.585e+02     1.4709e-05     1.0942e-05     4.590400e-01          5.3675e+00     7.5642e+00     5.9112e+00     

     38         0      1678     -5.672e+01      4.238e+01     5.9504e+00     2.1614e+01     9.1313e+00      1.583e+02     7.2500e-04     8.8333e-04     4.569378e-01          5.3216e+00     7.5115e+00     5.8961e+00     
     38         1      1723     -5.675e+01      4.238e+01     5.9520e+00     2.1614e+01     9.1331e+00      1.583e+02     5.6971e-06     1.2542e-05     4.569378e-01          5.3230e+00     7.5123e+00     5.8980e+00     

     39         0      1764     -5.665e+01      4.214e+01     5.8813e+00     2.1433e+01     9.0664e+00      1.581e+02     9.8995e-04     1.1171e-03     4.541845e-01          5.2603e+00     7.4430e+00     5.8752e+00     
     39         1      1809     -5.669e+01      4.214e+01     5.8831e+00     2.1434e+01     9.0686e+00      1.580e+02     1.1607e-05     1.6674e-05     4.541845e-01          5.2619e+00     7.4442e+00     5.8774e+00     

     40         0      1850     -5.652e+01      4.191e+01     5.8109e+00     2.1259e+01     9.0010e+00      1.578e+02     8.5988e-04     1.0095e-03     4.515058e-01          5.1978e+00     7.3766e+00     5.8516e+00     
     40         1      1895     -5.656e+01      4.191e+01     5.8129e+00     2.1259e+01     9.0033e+00      1.578e+02     1.1521e-05     1.4437e-05     4.515058e-01          5.1996e+00     7.3777e+00     5.8540e+00     

     41         0      1936     -5.633e+01      4.169e+01     5.7394e+00     2.1089e+01     8.9348e+00      1.576e+02     7.3908e-04     9.0226e-04     4.488925e-01          5.1343e+00     7.3118e+00     5.8253e+00     
     41         1      1981     -5.637e+01      4.169e+01     5.7416e+00     2.1089e+01     8.9372e+00      1.576e+02     1.0582e-05     1.2680e-05     4.488925e-01          5.1363e+00     7.3128e+00     5.8279e+00     

     42         0      2020     -5.621e+01      4.160e+01     5.7071e+00     2.1017e+01     8.9050e+00      1.575e+02     3.6891e-04     4.3545e-04     4.477645e-01          5.1056e+00     7.2843e+00     5.8122e+00     
     42         1      2065     -5.627e+01      4.160e+01     5.7100e+00     2.1016e+01     8.9080e+00      1.575e+02     5.2920e-06     4.4297e-06     4.477645e-01          5.1082e+00     7.2847e+00     5.8157e+00     

     43         0      2098     -5.598e+01      4.145e+01     5.6535e+00     2.0900e+01     8.8552e+00      1.573e+02     5.4961e-04     6.7961e-04     4.459552e-01          5.0578e+00     7.2389e+00     5.7891e+00     
     43         1      2141     -5.609e+01      4.145e+01     5.6585e+00     2.0900e+01     8.8603e+00      1.573e+02     7.2357e-06     5.4936e-06     4.459552e-01          5.0623e+00     7.2397e+00     5.7949e+00     

     44         0      2174     -5.353e+01      4.000e+01     5.1452e+00     1.9830e+01     8.3822e+00      1.556e+02     2.0037e-02     9.8324e-03     4.294450e-01          4.6050e+00     6.8085e+00     5.5544e+00     
     44         1      2215     -5.333e+01      4.002e+01     5.1469e+00     1.9848e+01     8.3822e+00      1.556e+02     1.0729e-04     1.9663e-04     4.294450e-01          4.6063e+00     6.8292e+00     5.5467e+00     

     45         0      2256     -5.198e+01      3.938e+01     4.9300e+00     1.9418e+01     8.1769e+00      1.547e+02     4.0233e-03     2.3697e-03     4.226222e-01          4.4129e+00     6.6593e+00     5.4320e+00     
