# Kona Param. Contn. convergence history (opt tol = 0.000000e+00 | feas tol = 2.007486e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      0.000e+00      0.000e+00     0.0000e+00     0.0000e+00     2.0075e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          0.0000e+00     0.0000e+00     1.1000e+01     

      1         0         8      0.000e+00      1.002e+00     4.5734e-02     4.9876e-01     2.0075e+01      1.250e-03     1.2459e-03     1.2423e-04     9.975124e-01          3.2339e-02     2.7364e-01     1.1000e+01     
      1         1        17      0.000e+00      1.005e+00     4.5843e-02     4.9994e-01     2.0074e+01      1.251e-03     2.7002e-08     1.5453e-09     9.975124e-01          3.2416e-02     2.7428e-01     1.0999e+01     

      2         0        26      0.000e+00      2.755e+00     1.2569e-01     1.3704e+00     2.0069e+01      9.420e-03     3.7971e-03     3.5662e-04     9.931897e-01          8.8877e-02     7.5184e-01     1.0996e+01     
      2         1        35      0.000e+00      2.761e+00     1.2597e-01     1.3735e+00     2.0065e+01      9.445e-03     6.2224e-07     3.1302e-08     9.931897e-01          8.9074e-02     7.5345e-01     1.0994e+01     

      3         0        44      0.000e+00      4.508e+00     2.0580e-01     2.2427e+00     2.0052e+01      2.528e-02     3.7943e-03     3.1936e-04     9.888979e-01          1.4552e-01     1.2302e+00     1.0986e+01     
      3         1        53      0.000e+00      4.512e+00     2.0598e-01     2.2451e+00     2.0048e+01      2.536e-02     1.6692e-06     6.3793e-08     9.888979e-01          1.4565e-01     1.2313e+00     1.0983e+01     

      4         0        62      0.000e+00      6.283e+00     2.8707e-01     3.1264e+00     2.0026e+01      4.955e-02     3.9150e-03     2.9406e-04     9.845610e-01          2.0299e-01     1.7144e+00     1.0969e+01     
      4         1        71      0.000e+00      6.286e+00     2.8715e-01     3.1280e+00     2.0022e+01      4.972e-02     3.3751e-06     8.9809e-08     9.845610e-01          2.0305e-01     1.7151e+00     1.0967e+01     

      5         0        80      0.000e+00      8.104e+00     3.7066e-01     4.0331e+00     1.9991e+01      8.362e-02     4.1525e-03     2.7853e-04     9.801109e-01          2.6210e-01     2.2109e+00     1.0947e+01     
      5         1        89      0.000e+00      8.106e+00     3.7061e-01     4.0341e+00     1.9986e+01      8.392e-02     6.0491e-06     1.9314e-07     9.801109e-01          2.6206e-01     2.2110e+00     1.0944e+01     

      6         0        98      0.000e+00      9.995e+00     4.5775e-01     4.9751e+00     1.9944e+01      1.298e-01     4.5234e-03     2.7491e-04     9.754761e-01          3.2368e-01     2.7259e+00     1.0918e+01     
      6         1       107      0.000e+00      9.995e+00     4.5753e-01     4.9752e+00     1.9939e+01      1.303e-01     1.0250e-05     6.6105e-07     9.754761e-01          3.2352e-01     2.7253e+00     1.0915e+01     

      7         0       116      0.000e+00      1.198e+01     5.4965e-01     5.9651e+00     1.9885e+01      1.914e-01     5.0578e-03     2.8977e-04     9.705770e-01          3.8866e-01     3.2663e+00     1.0881e+01     
      7         1       125      0.000e+00      1.198e+01     5.4919e-01     5.9642e+00     1.9879e+01      1.922e-01     1.6934e-05     1.8483e-06     9.705770e-01          3.8834e-01     3.2649e+00     1.0877e+01     

      8         0       134      0.000e+00      1.409e+01     6.4783e-01     7.0175e+00     1.9808e+01      2.739e-01     5.8038e-03     3.3552e-04     9.653207e-01          4.5808e-01     3.8394e+00     1.0833e+01     
      8         1       143      0.000e+00      1.409e+01     6.4703e-01     7.0152e+00     1.9802e+01      2.752e-01     2.7823e-05     4.1175e-06     9.653207e-01          4.5752e-01     3.8368e+00     1.0829e+01     

      9         0       152      0.000e+00      1.636e+01     7.5400e-01     8.1481e+00     1.9711e+01      3.852e-01     6.8354e-03     4.3074e-04     9.595938e-01          5.3316e-01     4.4534e+00     1.0772e+01     
      9         1       161      0.000e+00      1.635e+01     7.5273e-01     8.1439e+00     1.9703e+01      3.872e-01     4.6289e-05     7.9912e-06     9.595938e-01          5.3226e-01     4.4491e+00     1.0768e+01     

     10         0       170      0.000e+00      1.881e+01     8.7021e-01     9.3752e+00     1.9586e+01      5.376e-01     8.2657e-03     6.0171e-04     9.532523e-01          6.1533e-01     5.1174e+00     1.0695e+01     
     10         1       179      0.000e+00      1.880e+01     8.6822e-01     9.3680e+00     1.9577e+01      5.408e-01     7.8902e-05     1.4887e-05     9.532523e-01          6.1393e-01     5.1107e+00     1.0689e+01     

     11         0       188      0.000e+00      2.150e+01     9.9895e-01     1.0719e+01     1.9425e+01      7.509e-01     1.0269e-02     8.9066e-04     9.461074e-01          7.0636e-01     5.8412e+00     1.0594e+01     
     11         1       199      0.000e+00      2.147e+01     9.9577e-01     1.0707e+01     1.9414e+01      7.560e-01     1.3285e-06     1.4016e-05     9.461074e-01          7.0412e-01     5.8306e+00     1.0588e+01     

     12         0       208      0.000e+00      2.445e+01     1.1431e+00     1.2203e+01     1.9215e+01      1.057e+00     1.3114e-02     1.3463e-03     9.379025e-01          8.0831e-01     6.6350e+00     1.0463e+01     
     12         1       219      0.000e+00      2.441e+01     1.1382e+00     1.2184e+01     1.9201e+01      1.066e+00     2.6141e-06     2.9051e-05     9.379025e-01          8.0485e-01     6.6189e+00     1.0455e+01     

     13         0       232      0.000e+00      2.766e+01     1.2995e+00     1.3820e+01     1.8940e+01      1.503e+00     1.6422e-02     8.3774e-04     9.284496e-01          9.1890e-01     7.4878e+00     1.0293e+01     
     13         1       243      0.000e+00      2.760e+01     1.2958e+00     1.3790e+01     1.8923e+01      1.516e+00     7.2070e-06     4.8123e-05     9.284496e-01          9.1626e-01     7.4685e+00     1.0283e+01     

     14         0       256      0.000e+00      3.126e+01     1.4832e+00     1.5643e+01     1.8566e+01      2.194e+00     2.2630e-02     1.7245e-03     9.169317e-01          1.0488e+00     8.4417e+00     1.0062e+01     
     14         1       267      0.000e+00      3.115e+01     1.4768e+00     1.5593e+01     1.8544e+01      2.217e+00     2.3141e-05     1.1859e-04     9.169317e-01          1.0442e+00     8.4098e+00     1.0049e+01     

     15         0       280      0.000e+00      3.516e+01     1.6916e+00     1.7638e+01     1.8052e+01      3.293e+00     3.0595e-02     3.4524e-03     9.027676e-01          1.1961e+00     9.4671e+00     9.7463e+00     
     15         1       291      0.000e+00      3.499e+01     1.6805e+00     1.7557e+01     1.8025e+01      3.330e+00     7.4896e-05     2.9350e-04     9.027676e-01          1.1883e+00     9.4160e+00     9.7298e+00     

     16         0       304      0.000e+00      3.927e+01     1.9262e+00     1.9768e+01     1.7334e+01      5.110e+00     4.1754e-02     7.0618e-03     8.847448e-01          1.3621e+00     1.0532e+01     9.3070e+00     
     16         1       317      0.000e+00      3.899e+01     1.9075e+00     1.9633e+01     1.7301e+01      5.168e+00     1.4532e-04     6.1699e-05     8.847448e-01          1.3488e+00     1.0451e+01     9.2874e+00     

     17         0       330      0.000e+00      4.324e+01     2.1821e+00     2.1883e+01     1.6312e+01      8.223e+00     5.5304e-02     1.4801e-02     8.609668e-01          1.5430e+00     1.1544e+01     8.6870e+00     
     17         1       343      0.000e+00      4.279e+01     2.1468e+00     2.1669e+01     1.6279e+01      8.297e+00     3.2553e-04     1.5605e-04     8.609668e-01          1.5180e+00     1.1415e+01     8.6669e+00     

     18         0       356      0.000e+00      4.626e+01     2.4322e+00     2.3624e+01     1.4850e+01      1.365e+01     6.4871e-02     3.2141e-02     8.283115e-01          1.7198e+00     1.2294e+01     7.8091e+00     
     18         1       369      0.000e+00      4.561e+01     2.3661e+00     2.3307e+01     1.4834e+01      1.368e+01     5.5607e-04     3.1047e-04     8.283115e-01          1.6731e+00     1.2107e+01     7.7980e+00     

     19         0       384      0.000e+00      4.676e+01     2.5915e+00     2.4255e+01     1.2819e+01      2.270e+01     4.2542e-02     7.0569e-02     7.824668e-01          1.8325e+00     1.2390e+01     6.5940e+00     
     19         1       397      0.000e+00      4.608e+01     2.4830e+00     2.3893e+01     1.2875e+01      2.246e+01     4.8604e-04     8.0013e-04     7.824668e-01          1.7558e+00     1.2191e+01     6.6343e+00     

     20         0       412      0.000e+00      4.278e+01     2.5183e+00     2.2756e+01     1.0072e+01      3.679e+01     9.6614e-02     1.5945e-01     7.134763e-01          1.7807e+00     1.1827e+01     5.5427e+00     
     20         1       429      0.000e+00      4.257e+01     2.3443e+00     2.2555e+01     1.0296e+01      3.571e+01     3.4343e-03     1.4541e-04     7.134763e-01          1.6577e+00     1.1803e+01     5.5898e+00     

     21         0       446      0.000e+00      3.267e+01     1.9236e+00     1.8004e+01     6.7257e+00      5.352e+01     5.0654e-01     3.3396e-01     6.060656e-01          1.3602e+00     9.3289e+00     4.0904e+00     
     21         1       461      0.000e+00      3.396e+01     1.7730e+00     1.8470e+01     7.2284e+00      5.096e+01     1.5601e-02     5.0071e-03     6.060656e-01          1.2537e+00     9.8436e+00     4.2175e+00     

     22         0       478      0.000e+00      1.991e+01     9.2046e-01     1.1386e+01     3.7508e+00      5.994e+01     1.0166e+00     4.5926e-01     4.580761e-01          6.5087e-01     5.7579e+00     2.4798e+00     
     22         1       497      0.000e+00      2.244e+01     9.7174e-01     1.2572e+01     4.3558e+00      5.749e+01     3.3760e-02     1.7119e-03     4.580761e-01          6.8712e-01     6.6446e+00     2.7027e+00     

     23         0       516      0.000e+00      1.111e+01     2.9632e-01     6.7396e+00     2.0296e+00      4.972e+01     7.6680e-01     3.1314e-01     3.087890e-01          2.0953e-01     3.4365e+00     1.3734e+00     
     23         1       533      0.000e+00      1.281e+01     4.3952e-01     7.5701e+00     2.3919e+00      4.915e+01     2.0315e-02     5.0400e-03     3.087890e-01          3.1079e-01     3.9358e+00     1.5488e+00     

     24         0       550      0.000e+00      6.977e+00     1.7951e-01     4.5481e+00     1.2935e+00      3.699e+01     2.2781e-01     1.1030e-01     2.089779e-01          1.2693e-01     2.2935e+00     8.7541e-01     
     24         1       569      0.000e+00      7.459e+00     2.3169e-01     4.7610e+00     1.4040e+00      3.704e+01     4.7438e-03     1.3138e-03     2.089779e-01          1.6383e-01     2.4552e+00     9.3501e-01     

     25         0       588      0.000e+00      5.770e+00     1.7243e-01     3.8594e+00     1.0964e+00      3.182e+01     2.1861e-02     1.4009e-02     1.742965e-01          1.2193e-01     1.9748e+00     7.4130e-01     
     25         1       609      0.000e+00      5.816e+00     1.7691e-01     3.8746e+00     1.1080e+00      3.183e+01     1.4171e-04     1.3597e-16     1.742965e-01          1.2509e-01     1.9922e+00     7.4767e-01     

     26         0       628      0.000e+00      5.048e+00     1.5215e-01     3.4551e+00     9.6924e-01      2.912e+01     5.2842e-03     3.7924e-03     1.574040e-01          1.0758e-01     1.7715e+00     6.5936e-01     
     26         1       649      0.000e+00      5.057e+00     1.5312e-01     3.4563e+00     9.7191e-01      2.912e+01     1.2734e-05     1.5701e-16     1.574040e-01          1.0827e-01     1.7744e+00     6.6080e-01     

     27         0       668      0.000e+00      4.455e+00     1.3437e-01     3.1215e+00     8.6298e-01      2.684e+01     3.8913e-03     2.7594e-03     1.436010e-01          9.5013e-02     1.5991e+00     5.9097e-01     
     27         1       689      0.000e+00      4.460e+00     1.3499e-01     3.1216e+00     8.6479e-01      2.684e+01     7.5063e-06     1.7609e-16     1.436010e-01          9.5450e-02     1.6008e+00     5.9194e-01     

     28         0       708      0.000e+00      3.929e+00     1.1882e-01     2.8205e+00     7.6820e-01      2.469e+01     3.5993e-03     2.4959e-03     1.309351e-01          8.4021e-02     1.4435e+00     5.2959e-01     
     28         1       729      0.000e+00      3.933e+00     1.1932e-01     2.8202e+00     7.6975e-01      2.469e+01     6.8142e-06     1.3092e-16     1.309351e-01          8.4373e-02     1.4448e+00     5.3041e-01     

     29         0       748      0.000e+00      3.447e+00     1.0481e-01     2.5391e+00     6.8090e-01      2.259e+01     3.5956e-03     2.4139e-03     1.188898e-01          7.4115e-02     1.2984e+00     4.7263e-01     
     29         1       769      0.000e+00      3.450e+00     1.0524e-01     2.5384e+00     6.8233e-01      2.260e+01     7.1083e-06     7.8505e-17     1.188898e-01          7.4417e-02     1.2993e+00     4.7339e-01     

     30         0       788      0.000e+00      2.995e+00     9.1822e-02     2.2684e+00     5.9834e-01      2.050e+01     3.8075e-03     2.4608e-03     1.071125e-01          6.4928e-02     1.1590e+00     4.1830e-01     
