# Kona Param. Contn. convergence history (opt tol = 2.521179e-07 | feas tol = 5.001606e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      3.178e+00      3.178e+00     2.5212e+00     0.0000e+00     5.0016e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          8.4147e-01     0.0000e+00     1.0080e+01     

      1         0        10      3.172e+00      5.669e+00     2.5189e+00     4.9927e-01     5.0016e+01      4.417e-03     4.9907e-04     4.9860e-05     9.990018e-01          8.5061e-01     1.0062e-01     1.0080e+01     
      1         1        19      3.172e+00      5.671e+00     2.5189e+00     4.9976e-01     5.0016e+01      4.417e-03     5.2382e-08     1.1573e-10     9.990018e-01          8.5061e-01     1.0072e-01     1.0080e+01     

      2         0        28      3.144e+00      1.656e+01     2.5122e+00     2.6826e+00     5.0011e+01      5.298e-02     9.5472e-03     9.3198e-04     9.946455e-01          8.9049e-01     5.4064e-01     1.0079e+01     
      2         1        37      3.144e+00      1.660e+01     2.5122e+00     2.6909e+00     5.0001e+01      5.306e-02     5.2321e-06     6.1557e-08     9.946455e-01          8.9044e-01     5.4228e-01     1.0076e+01     

      3         0        46      3.117e+00      2.745e+01     2.5107e+00     4.8647e+00     4.9977e+01      1.489e-01     9.5245e-03     8.3645e-04     9.903362e-01          9.2975e-01     9.8030e-01     1.0070e+01     
      3         1        55      3.117e+00      2.748e+01     2.5108e+00     4.8712e+00     4.9967e+01      1.493e-01     8.9753e-06     1.7265e-07     9.903362e-01          9.2968e-01     9.8151e-01     1.0068e+01     

      4         0        64      3.089e+00      3.841e+01     2.5144e+00     7.0613e+00     4.9923e+01      2.951e-01     9.7054e-03     7.6484e-04     9.860131e-01          9.6890e-01     1.4227e+00     1.0058e+01     
      4         1        73      3.090e+00      3.843e+01     2.5145e+00     7.0661e+00     4.9913e+01      2.959e-01     1.2685e-05     2.9870e-07     9.860131e-01          9.6882e-01     1.4235e+00     1.0055e+01     

      5         0        82      3.062e+00      4.960e+01     2.5233e+00     9.3053e+00     4.9847e+01      4.991e-01     1.0193e-02     7.1568e-04     9.816013e-01          1.0086e+00     1.8744e+00     1.0040e+01     
      5         1        91      3.062e+00      4.962e+01     2.5234e+00     9.3086e+00     4.9837e+01      5.006e-01     1.6619e-05     4.1709e-07     9.816013e-01          1.0084e+00     1.8747e+00     1.0037e+01     

      6         0       100      3.033e+00      6.118e+01     2.5379e+00     1.1628e+01     4.9747e+01      7.732e-01     1.1002e-02     6.8265e-04     9.770294e-01          1.0493e+00     2.3414e+00     1.0016e+01     
      6         1       109      3.034e+00      6.119e+01     2.5380e+00     1.1629e+01     4.9735e+01      7.759e-01     2.0859e-05     6.1888e-07     9.770294e-01          1.0491e+00     2.3412e+00     1.0013e+01     

      7         0       118      3.003e+00      7.331e+01     2.5587e+00     1.4060e+01     4.9616e+01      1.137e+00     1.2193e-02     6.6510e-04     9.722202e-01          1.0915e+00     2.8301e+00     9.9849e+00     
      7         1       127      3.004e+00      7.331e+01     2.5588e+00     1.4059e+01     4.9603e+01      1.141e+00     2.5475e-05     1.3225e-06     9.722202e-01          1.0913e+00     2.8292e+00     9.9821e+00     

      8         0       136      2.972e+00      8.616e+01     2.5869e+00     1.6638e+01     4.9449e+01      1.618e+00     1.3869e-02     6.6925e-04     9.670856e-01          1.1359e+00     3.3472e+00     9.9456e+00     
      8         1       145      2.973e+00      8.614e+01     2.5868e+00     1.6634e+01     4.9434e+01      1.625e+00     3.0507e-05     2.9841e-06     9.670856e-01          1.1356e+00     3.3454e+00     9.9425e+00     

      9         0       154      2.938e+00      9.993e+01     2.6235e+00     1.9400e+01     4.9235e+01      2.262e+00     1.6189e-02     7.1460e-04     9.615190e-01          1.1831e+00     3.9003e+00     9.8955e+00     
      9         1       163      2.939e+00      9.989e+01     2.6233e+00     1.9392e+01     4.9219e+01      2.273e+00     3.6001e-05     5.4486e-06     9.615190e-01          1.1826e+00     3.8971e+00     9.8920e+00     

     10         0       172      2.901e+00      1.148e+02     2.6704e+00     2.2391e+01     4.8963e+01      3.136e+00     1.9399e-02     8.4446e-04     9.553869e-01          1.2338e+00     4.5027e+00     9.8516e+00     
     10         1       181      2.902e+00      1.148e+02     2.6698e+00     2.2377e+01     4.8943e+01      3.154e+00     4.2572e-05     8.5622e-06     9.553869e-01          1.2331e+00     4.5017e+00     9.8474e+00     

     11         0       190      2.860e+00      1.311e+02     2.7297e+00     2.5662e+01     4.8611e+01      4.347e+00     2.3871e-02     1.1356e-03     9.485155e-01          1.2889e+00     5.1668e+00     9.7948e+00     
     11         1       199      2.862e+00      1.310e+02     2.7284e+00     2.5638e+01     4.8587e+01      4.375e+00     5.1916e-05     1.5959e-05     9.485155e-01          1.2877e+00     5.1647e+00     9.7896e+00     

     12         0       208      2.815e+00      1.491e+02     2.8043e+00     2.9271e+01     4.8153e+01      6.068e+00     3.0179e-02     1.7130e-03     9.406709e-01          1.3491e+00     5.9022e+00     9.7196e+00     
     12         1       217      2.816e+00      1.489e+02     2.8018e+00     2.9233e+01     4.8123e+01      6.113e+00     6.6973e-05     3.5328e-05     9.406709e-01          1.3472e+00     5.8982e+00     9.7130e+00     

     13         0       226      2.765e+00      1.690e+02     2.8975e+00     3.3281e+01     4.7547e+01      8.592e+00     3.9210e-02     2.7969e-03     9.315257e-01          1.4155e+00     6.7229e+00     9.6188e+00     
     13         1       235      2.765e+00      1.687e+02     2.8930e+00     3.3218e+01     4.7509e+01      8.668e+00     9.2220e-05     8.0650e-05     9.315257e-01          1.4125e+00     6.7156e+00     9.6102e+00     

     14         0       244      2.707e+00      1.912e+02     3.0136e+00     3.7750e+01     4.6731e+01      1.243e+01     5.2337e-02     4.8259e-03     9.206040e-01          1.5116e+00     7.6430e+00     9.4812e+00     
     14         1       253      2.707e+00      1.907e+02     3.0055e+00     3.7647e+01     4.6683e+01      1.256e+01     1.3454e-04     1.8518e-04     9.206040e-01          1.5044e+00     7.6301e+00     9.4700e+00     

     15         0       262      2.642e+00      2.158e+02     3.1570e+00     4.2719e+01     4.5609e+01      1.853e+01     7.1623e-02     8.7487e-03     9.071798e-01          1.7116e+00     8.6734e+00     9.2897e+00     
     15         1       271      2.640e+00      2.149e+02     3.1424e+00     4.2547e+01     4.5548e+01      1.874e+01     2.2527e-04     4.3422e-04     9.071798e-01          1.6996e+00     8.6505e+00     9.2748e+00     

     16         0       280      2.570e+00      2.426e+02     3.3316e+00     4.8150e+01     4.4027e+01      2.866e+01     9.9812e-02     1.6772e-02     8.900829e-01          1.9402e+00     9.8116e+00     9.0162e+00     
