# Kona Param. Contn. convergence history (opt tol = 1.249000e-05 | feas tol = 7.403378e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      7.800e+01      7.800e+01     1.2490e+01     0.0000e+00     7.4034e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0000e+00     0.0000e+00     1.1000e+01     

      1         0        10      7.790e+01      8.155e+01     1.2499e+01     4.9177e-01     7.4031e+01      5.312e-02     3.2776e-04     3.5769e-05     9.993341e-01          1.0013e+00     7.3249e-02     1.1000e+01     
      1         1        59      7.790e+01      8.155e+01     1.2499e+01     4.9208e-01     7.4031e+01      5.312e-02     9.2287e-07     5.0242e-07     9.993341e-01          1.0013e+00     7.3297e-02     1.1000e+01     

      2         0       116      7.732e+01      1.013e+02     1.2548e+01     3.2327e+00     7.4011e+01      3.922e-01     1.0410e-02     1.4181e-03     9.956275e-01          1.0088e+00     4.8155e-01     1.1003e+01     
      2         1       177      7.731e+01      1.014e+02     1.2546e+01     3.2415e+00     7.4000e+01      3.922e-01     7.1300e-05     2.7510e-05     9.956275e-01          1.0087e+00     4.8288e-01     1.0998e+01     

      3         0       234      7.663e+01      1.248e+02     1.2601e+01     6.4938e+00     7.3953e+01      8.882e-01     1.4586e-02     1.8236e-03     9.912537e-01          1.0173e+00     9.6763e-01     1.0998e+01     
      3         1       299      7.662e+01      1.249e+02     1.2598e+01     6.5038e+00     7.3938e+01      8.888e-01     8.6616e-05     3.4820e-05     9.912537e-01          1.0172e+00     9.6900e-01     1.0991e+01     

      4         0       356      7.592e+01      1.484e+02     1.2647e+01     9.7704e+00     7.3862e+01      1.492e+00     1.4755e-02     1.7838e-03     9.868805e-01          1.0257e+00     1.4561e+00     1.0987e+01     
      4         1       421      7.591e+01      1.484e+02     1.2644e+01     9.7778e+00     7.3847e+01      1.494e+00     8.7886e-05     3.7366e-05     9.868805e-01          1.0256e+00     1.4569e+00     1.0981e+01     

