# Kona Param. Contn. convergence history (opt tol = 2.500000e-07 | feas tol = 7.913438e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      3.125e+00      3.125e+00     2.5000e+00     0.0000e+00     7.9134e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          5.0000e-01     0.0000e+00     1.2500e+01     

      1         0        10      3.121e+00      7.076e+00     2.4439e+00     4.9721e-01     7.9136e+01      3.222e-03     3.2219e-04     3.3519e-05     9.993685e-01          5.0284e-01     7.8934e-02     1.2502e+01     
      1         1        19      3.121e+00      7.078e+00     2.4439e+00     4.9753e-01     7.9136e+01      3.222e-03     9.3045e-08     1.0240e-09     9.993685e-01          5.0285e-01     7.8992e-02     1.2501e+01     

      2         0        28      3.096e+00      3.382e+01     2.1895e+00     3.8629e+00     7.9141e+01      9.082e-02     1.4765e-02     1.4973e-03     9.950996e-01          5.2210e-01     6.1336e-01     1.2509e+01     
      2         1        37      3.100e+00      3.393e+01     2.1887e+00     3.8758e+00     7.9119e+01      9.096e-02     4.3240e-05     2.6512e-06     9.950996e-01          5.2217e-01     6.1535e-01     1.2499e+01     

      3         0        46      3.083e+00      6.053e+01     2.1947e+00     7.2237e+00     7.9081e+01      2.920e-01     1.4654e-02     1.3202e-03     9.908812e-01          5.4134e-01     1.1468e+00     1.2487e+01     
      3         1        55      3.087e+00      6.061e+01     2.1923e+00     7.2334e+00     7.9059e+01      2.928e-01     9.8267e-05     4.6100e-06     9.908812e-01          5.4117e-01     1.1471e+00     1.2478e+01     

      4         0        64      3.078e+00      8.739e+01     2.4472e+00     1.0606e+01     7.8977e+01      6.132e-01     1.4905e-02     1.6866e-03     9.866494e-01          5.6173e-01     1.6810e+00     1.2446e+01     
      4         1        75      3.082e+00      8.743e+01     2.4357e+00     1.0612e+01     7.8956e+01      6.149e-01     1.0222e-05     4.9397e-05     9.866494e-01          5.5975e-01     1.6790e+00     1.2437e+01     

      5         0        84      3.082e+00      1.148e+02     2.8696e+00     1.4057e+01     7.8827e+01      1.071e+00     1.5633e-02     2.7707e-03     9.823322e-01          8.8509e-01     2.2217e+00     1.2385e+01     
      5         1        95      3.085e+00      1.148e+02     2.8424e+00     1.4062e+01     7.8806e+01      1.074e+00     3.0369e-05     1.0749e-04     9.823322e-01          8.6719e-01     2.2171e+00     1.2377e+01     

      6         0       104      3.094e+00      1.430e+02     3.3854e+00     1.7625e+01     7.8627e+01      1.692e+00     1.6882e-02     4.5439e-03     9.778615e-01          1.1994e+00     2.7742e+00     1.2303e+01     
      6         1       117      3.096e+00      1.430e+02     3.3376e+00     1.7629e+01     7.8607e+01      1.698e+00     4.8114e-06     2.4507e-07     9.778615e-01          1.1725e+00     2.7666e+00     1.2297e+01     

      7         0       130      3.112e+00      1.717e+02     3.8850e+00     2.1270e+01     7.8380e+01      2.498e+00     1.7605e-02     1.7420e-03     9.732774e-01          1.4722e+00     3.3233e+00     1.2206e+01     
      7         1       141      3.115e+00      1.717e+02     3.8566e+00     2.1266e+01     7.8357e+01      2.507e+00     2.4785e-05     1.3883e-04     9.732774e-01          1.4574e+00     3.3184e+00     1.2198e+01     

      8         0       154      3.140e+00      2.026e+02     4.4269e+00     2.5189e+01     7.8065e+01      3.583e+00     2.0610e-02     2.3072e-03     9.683067e-01          1.7504e+00     3.9079e+00     1.2082e+01     
      8         1       165      3.143e+00      2.025e+02     4.3894e+00     2.5181e+01     7.8040e+01      3.597e+00     3.6147e-05     1.9931e-04     9.683067e-01          1.7318e+00     3.9012e+00     1.2074e+01     

      9         0       178      3.178e+00      2.352e+02     4.9458e+00     2.9357e+01     7.7675e+01      5.021e+00     2.3657e-02     2.9278e-03     9.629592e-01          2.0068e+00     4.5159e+00     1.1933e+01     
      9         1       189      3.181e+00      2.351e+02     4.8999e+00     2.9344e+01     7.7648e+01      5.044e+00     3.8640e-05     2.2267e-04     9.629592e-01          1.9847e+00     4.5075e+00     1.1926e+01     

     10         0       202      3.227e+00      2.702e+02     5.4230e+00     3.3841e+01     7.7195e+01      6.950e+00     2.7904e-02     3.7387e-03     9.571139e-01          2.2371e+00     5.1539e+00     1.1756e+01     
     10         1       213      3.229e+00      2.700e+02     5.3680e+00     3.3821e+01     7.7164e+01      6.986e+00     4.5983e-05     2.0249e-04     9.571139e-01          2.2111e+00     5.1433e+00     1.1750e+01     

     11         0       226      3.286e+00      3.081e+02     5.8378e+00     3.8710e+01     7.6602e+01      9.583e+00     3.3728e-02     4.7858e-03     9.506276e-01          2.4344e+00     5.8274e+00     1.1548e+01     
     11         1       237      3.288e+00      3.078e+02     5.7733e+00     3.8680e+01     7.6568e+01      9.640e+00     8.7810e-05     3.2243e-04     9.506276e-01          2.4042e+00     5.8142e+00     1.1543e+01     

     12         0       250      3.357e+00      3.493e+02     6.1691e+00     4.4045e+01     7.5865e+01      1.325e+01     4.1836e-02     6.1805e-03     9.433092e-01          2.5909e+00     6.5429e+00     1.1305e+01     
     12         1       263      3.358e+00      3.489e+02     6.0955e+00     4.3992e+01     7.5825e+01      1.334e+01     1.1670e-04     2.0487e-05     9.433092e-01          2.5571e+00     6.5257e+00     1.1302e+01     

     13         0       276      3.441e+00      3.947e+02     6.3952e+00     4.9933e+01     7.4938e+01      1.852e+01     5.3383e-02     8.0522e-03     9.348897e-01          2.6984e+00     7.3072e+00     1.1022e+01     
     13         1       289      3.439e+00      3.940e+02     6.3131e+00     4.9853e+01     7.4889e+01      1.867e+01     1.9781e-04     3.6127e-05     9.348897e-01          2.6607e+00     7.2856e+00     1.1020e+01     

     14         0       302      3.535e+00      4.448e+02     6.4922e+00     5.6476e+01     7.3748e+01      2.631e+01     7.0024e-02     1.0722e-02     9.249952e-01          2.7467e+00     8.1276e+00     1.0691e+01     
     14         1       315      3.531e+00      4.438e+02     6.4018e+00     5.6349e+01     7.3687e+01      2.656e+01     2.5323e-04     1.0603e-04     9.249952e-01          2.7052e+00     8.0998e+00     1.0691e+01     

     15         0       328      3.639e+00      5.003e+02     6.4345e+00     6.3762e+01     7.2184e+01      3.832e+01     9.4603e-02     1.4987e-02     9.130591e-01          2.7254e+00     9.0091e+00     1.0299e+01     
     15         1       341      3.632e+00      4.987e+02     6.3426e+00     6.3558e+01     7.2107e+01      3.872e+01     8.3634e-04     1.1345e-04     9.130591e-01          2.6831e+00     8.9726e+00     1.0303e+01     

     16         0       354      3.749e+00      5.613e+02     6.2030e+00     7.1830e+01     7.0068e+01      5.765e+01     1.3149e-01     2.2244e-02     8.981956e-01          2.6268e+00     9.9496e+00     9.8298e+00     
     16         1       369      3.737e+00      5.586e+02     6.1076e+00     7.1492e+01     6.9969e+01      5.833e+01     2.1543e-04     7.1316e-05     8.981956e-01          2.5825e+00     9.8997e+00     9.8381e+00     

     17         0       384      3.866e+00      6.251e+02     5.7303e+00     8.0389e+01     6.7157e+01      8.971e+01     1.7654e-01     3.6253e-02     8.793061e-01          2.4211e+00     1.0908e+01     9.2606e+00     
     17         1       399      3.842e+00      6.208e+02     5.6936e+00     7.9840e+01     6.7043e+01      9.076e+01     1.0103e-03     1.2699e-03     8.793061e-01          2.4019e+00     1.0839e+01     9.2759e+00     

     18         0       414      3.977e+00      6.889e+02     5.0530e+00     8.9183e+01     6.2894e+01      1.474e+02     2.5188e-01     7.1917e-02     8.532765e-01          2.1270e+00     1.1841e+01     8.5249e+00     
     18         1       431      3.939e+00      6.816e+02     5.0645e+00     8.8233e+01     6.2775e+01      1.488e+02     9.6284e-04     5.5471e-04     8.532765e-01          2.1276e+00     1.1736e+01     8.5502e+00     

     19         0       446      4.069e+00      7.366e+02     4.2099e+00     9.6340e+01     5.6464e+01      2.551e+02     3.0824e-01     1.6660e-01     8.154164e-01          1.7544e+00     1.2529e+01     7.5276e+00     
