# Kona Param. Contn. convergence history (opt tol = 1.341641e-05 | feas tol = 2.065865e-04)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      9.000e+01      9.000e+01     1.3416e+01     0.0000e+00     2.0659e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0000e+00     0.0000e+00     1.1000e+01     

      1         0        10      8.991e+01      1.112e+02     1.3478e+01     1.0317e+00     2.0658e+02      5.031e-02     5.1738e-04     4.9587e-05     9.995000e-01          1.0050e+00     5.5000e-02     1.1001e+01     
      1         1        19      8.991e+01      1.113e+02     1.3478e+01     1.0322e+00     2.0658e+02      5.031e-02     3.3690e-08     2.0476e-11     9.995000e-01          1.0050e+00     5.5032e-02     1.1001e+01     

      2         0        28      8.912e+01      2.968e+02     1.4016e+01     1.0043e+01     2.0653e+02      9.425e-01     3.9478e-02     3.7384e-03     9.951369e-01          1.0486e+00     5.3551e-01     1.1009e+01     
      2         1        37      8.908e+01      2.975e+02     1.4015e+01     1.0077e+01     2.0649e+02      9.434e-01     2.4177e-05     1.4483e-07     9.951369e-01          1.0486e+00     5.3776e-01     1.1007e+01     

      3         0        46      8.823e+01      4.822e+02     1.4555e+01     1.9057e+01     2.0636e+02      2.640e+00     3.9528e-02     3.3456e-03     9.908169e-01          1.0917e+00     1.0175e+00     1.1011e+01     
      3         1        55      8.820e+01      4.827e+02     1.4554e+01     1.9083e+01     2.0632e+02      2.646e+00     3.8821e-05     4.4395e-07     9.908169e-01          1.0916e+00     1.0193e+00     1.1009e+01     

      4         0        64      8.728e+01      6.685e+02     1.5100e+01     2.8118e+01     2.0610e+02      5.189e+00     4.0278e-02     3.0411e-03     9.864882e-01          1.1347e+00     1.5029e+00     1.1008e+01     
      4         1        73      8.725e+01      6.688e+02     1.5100e+01     2.8137e+01     2.0606e+02      5.202e+00     4.5494e-05     8.1788e-07     9.864882e-01          1.1346e+00     1.5043e+00     1.1006e+01     

      5         0        82      8.624e+01      8.582e+02     1.5660e+01     3.7356e+01     2.0575e+02      8.708e+00     4.2189e-02     2.8265e-03     9.820789e-01          1.1782e+00     1.9985e+00     1.1000e+01     
      5         1        91      8.622e+01      8.584e+02     1.5659e+01     3.7368e+01     2.0571e+02      8.733e+00     5.1909e-05     1.4048e-06     9.820789e-01          1.1782e+00     1.9996e+00     1.0998e+01     

      6         0       100      8.510e+01      1.054e+03     1.6241e+01     4.6899e+01     2.0530e+02      1.340e+01     4.5431e-02     2.6825e-03     9.775161e-01          1.2229e+00     2.5113e+00     1.0988e+01     
      6         1       109      8.509e+01      1.054e+03     1.6241e+01     4.6903e+01     2.0525e+02      1.344e+01     6.4875e-05     2.7075e-06     9.775161e-01          1.2229e+00     2.5120e+00     1.0985e+01     

      7         0       118      8.384e+01      1.259e+03     1.6853e+01     5.6879e+01     2.0471e+02      1.958e+01     5.0226e-02     2.6057e-03     9.727229e-01          1.2695e+00     3.0483e+00     1.0969e+01     
      7         1       127      8.383e+01      1.258e+03     1.6852e+01     5.6874e+01     2.0466e+02      1.965e+01     9.1771e-05     5.8727e-06     9.727229e-01          1.2695e+00     3.0485e+00     1.0965e+01     

      8         0       136      8.241e+01      1.475e+03     1.7505e+01     6.7436e+01     2.0398e+02      2.773e+01     5.6977e-02     2.6240e-03     9.676119e-01          1.3186e+00     3.6173e+00     1.0942e+01     
      8         1       145      8.240e+01      1.474e+03     1.7503e+01     6.7418e+01     2.0392e+02      2.784e+01     1.4133e-04     1.3127e-05     9.676119e-01          1.3186e+00     3.6168e+00     1.0938e+01     

      9         0       154      8.077e+01      1.705e+03     1.8207e+01     7.8728e+01     2.0305e+02      3.855e+01     6.6317e-02     2.8234e-03     9.620781e-01          1.3711e+00     4.2266e+00     1.0906e+01     
      9         1       163      8.077e+01      1.705e+03     1.8204e+01     7.8692e+01     2.0298e+02      3.873e+01     2.2769e-04     2.7743e-05     9.620781e-01          1.3709e+00     4.2252e+00     1.0901e+01     

     10         0       172      7.887e+01      1.954e+03     1.8973e+01     9.0932e+01     2.0186e+02      5.316e+01     7.9212e-02     3.3875e-03     9.559905e-01          1.4277e+00     4.8860e+00     1.0857e+01     
     10         1       181      7.887e+01      1.953e+03     1.8968e+01     9.0871e+01     2.0178e+02      5.345e+01     3.7877e-04     5.4382e-05     9.559905e-01          1.4274e+00     4.8831e+00     1.0851e+01     

     11         0       190      7.664e+01      2.226e+03     1.9818e+01     1.0425e+02     2.0035e+02      7.329e+01     9.7137e-02     4.6323e-03     9.491794e-01          1.4896e+00     5.6063e+00     1.0792e+01     
     11         1       199      7.664e+01      2.224e+03     1.9809e+01     1.0415e+02     2.0025e+02      7.374e+01     6.5006e-04     1.0499e-04     9.491794e-01          1.4891e+00     5.6012e+00     1.0785e+01     

     12         0       208      7.396e+01      2.524e+03     2.0760e+01     1.1892e+02     1.9839e+02      1.017e+02     1.2236e-01     7.0651e-03     9.414166e-01          1.5580e+00     6.3997e+00     1.0705e+01     
     12         1       217      7.395e+01      2.520e+03     2.0745e+01     1.1875e+02     1.9827e+02      1.025e+02     1.1539e-03     2.0775e-04     9.414166e-01          1.5572e+00     6.3912e+00     1.0696e+01     

     13         0       226      7.069e+01      2.852e+03     2.1823e+01     1.3516e+02     1.9582e+02      1.432e+02     1.5842e-01     1.1588e-02     9.323849e-01          1.6346e+00     7.2789e+00     1.0588e+01     
     13         1       237      7.067e+01      2.847e+03     2.1798e+01     1.3490e+02     1.9566e+02      1.444e+02     1.8026e-04     6.1304e-04     9.323849e-01          1.6332e+00     7.2651e+00     1.0575e+01     

     14         0       246      6.664e+01      3.216e+03     2.3036e+01     1.5323e+02     1.9237e+02      2.058e+02     2.1081e-01     1.9768e-02     9.216251e-01          1.7211e+00     8.2557e+00     1.0426e+01     
     14         1       257      6.657e+01      3.207e+03     2.2991e+01     1.5280e+02     1.9217e+02      2.079e+02     4.3073e-04     1.2792e-03     9.216251e-01          1.7186e+00     8.2326e+00     1.0410e+01     

     15         0       268      6.154e+01      3.614e+03     2.4435e+01     1.7314e+02     1.8769e+02      3.039e+02     2.8230e-01     4.2646e-02     9.085050e-01          1.8197e+00     9.3285e+00     1.0196e+01     
     15         1       281      6.137e+01      3.599e+03     2.4344e+01     1.7243e+02     1.8743e+02      3.072e+02     5.6163e-04     1.5976e-04     9.085050e-01          1.8147e+00     9.2919e+00     1.0179e+01     

     16         0       294      5.496e+01      4.037e+03     2.5969e+01     1.9454e+02     1.8122e+02      4.626e+02     3.7931e-01     5.2810e-02     8.921070e-01          1.9292e+00     1.0475e+01     9.8739e+00     
     16         1       305      5.471e+01      4.013e+03     2.5857e+01     1.9340e+02     1.8091e+02      4.678e+02     1.3635e-03     2.9424e-03     8.921070e-01          1.9217e+00     1.0418e+01     9.8549e+00     

     17         0       318      4.613e+01      4.474e+03     2.7761e+01     2.1714e+02     1.7184e+02      7.386e+02     5.3707e-01     1.1719e-01     8.701875e-01          2.0551e+00     1.1672e+01     9.4016e+00     
