# Kona Param. Contn. convergence history (opt tol = 3.464102e-06 | feas tol = 6.565821e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      6.000e+00      6.000e+00     3.4641e+00     0.0000e+00     6.5658e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0000e+00     0.0000e+00     1.1000e+01     

      1         0        10      5.991e+00      9.269e+00     3.4889e+00     4.9873e-01     6.5657e+01      5.806e-03     3.8068e-04     3.7070e-05     9.992396e-01          1.0076e+00     8.3641e-02     1.1002e+01     
      1         1        51      5.991e+00      9.271e+00     3.4888e+00     4.9909e-01     6.5656e+01      5.806e-03     1.2744e-06     6.4154e-07     9.992396e-01          1.0076e+00     8.3715e-02     1.1001e+01     

      2         0        92      5.980e+00      1.298e+01     3.5173e+00     1.0649e+00     6.5654e+01      1.539e-02     5.0224e-04     7.6985e-05     9.983782e-01          1.0162e+00     1.7864e-01     1.1003e+01     
      2         1       145      5.980e+00      1.298e+01     3.5173e+00     1.0653e+00     6.5653e+01      1.539e-02     2.0641e-07     2.2727e-07     9.983782e-01          1.0162e+00     1.7873e-01     1.1003e+01     

      3         0       186      5.970e+00      1.673e+01     3.5464e+00     1.6370e+00     6.5650e+01      2.832e-02     5.1398e-04     7.7944e-05     9.975093e-01          1.0249e+00     2.7466e-01     1.1004e+01     
      3         1       239      5.969e+00      1.673e+01     3.5463e+00     1.6374e+00     6.5649e+01      2.832e-02     3.9775e-07     4.3244e-07     9.975093e-01          1.0249e+00     2.7475e-01     1.1004e+01     

      4         0       280      5.959e+00      2.048e+01     3.5758e+00     2.2094e+00     6.5644e+01      4.450e-02     5.1649e-04     7.8463e-05     9.966411e-01          1.0336e+00     3.7077e-01     1.1005e+01     
      4         1       333      5.958e+00      2.048e+01     3.5758e+00     2.2098e+00     6.5644e+01      4.450e-02     7.7627e-07     1.0531e-06     9.966411e-01          1.0335e+00     3.7086e-01     1.1005e+01     

      5         0       374      5.947e+00      2.423e+01     3.6056e+00     2.7825e+00     6.5638e+01      6.397e-02     5.1994e-04     7.9141e-05     9.957730e-01          1.0422e+00     4.6704e-01     1.1006e+01     
      5         1       431      5.947e+00      2.424e+01     3.6056e+00     2.7829e+00     6.5638e+01      6.398e-02     4.9107e-07     5.2497e-07     9.957730e-01          1.0422e+00     4.6712e-01     1.1006e+01     

