# Kona Param. Contn. convergence history (opt tol = 7.158911e-07 | feas tol = 2.503393e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      2.562e+01      2.562e+01     7.1589e+00     0.0000e+00     2.5034e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          5.0000e-01     0.0000e+00     8.6500e+01     

      1         0        10      2.552e+01      1.357e+02     7.4329e+00     4.6634e+00     2.5028e+02      1.613e-01     1.1475e-02     1.7229e-01     9.980035e-01          1.0003e+00     2.4956e-01     8.6295e+01     
      1         1        27      2.549e+01      1.507e+02     9.6978e+00     4.9805e+00     2.5021e+02      1.762e-01     5.7576e-04     4.9710e-06     9.980035e-01          8.2322e-01     1.7255e+00     8.6227e+01     

      2         0        44      2.432e+01      8.722e+02     2.5483e+01     3.5961e+01     2.4887e+02      6.978e+00     5.3300e-01     1.2876e+00     9.846451e-01          1.0922e+01     1.9207e+00     8.3799e+01     
      2         1        65      2.327e+01      9.712e+02     2.9607e+01     3.8334e+01     2.4656e+02      7.916e+00     6.8083e-03     6.1361e-05     9.846451e-01          7.1805e+00     1.2944e+01     8.1387e+01     

      3         0        86      2.004e+01      1.628e+03     2.9888e+01     6.9306e+01     2.4150e+02      2.645e+01     1.0890e+00     2.1792e+00     9.704493e-01          1.3018e+01     3.4395e+00     7.3441e+01     
      3         1       111      1.909e+01      1.780e+03     4.1360e+01     7.3017e+01     2.4047e+02      2.974e+01     8.4325e-03     1.0920e-04     9.704493e-01          8.2825e+00     2.3177e+01     7.1154e+01     

      4         0       144      1.434e+01      2.477e+03     2.4730e+01     1.0667e+02     2.3372e+02      7.006e+01     2.3112e+00     2.6401e+00     9.541447e-01          1.0757e+01     4.9799e+00     5.7431e+01     
      4         1       173      1.406e+01      2.625e+03     4.6913e+01     1.1085e+02     2.3308e+02      7.645e+01     1.2013e-02     3.9969e-04     9.541447e-01          7.2052e+00     3.1389e+01     5.6808e+01     

      5         0       194      9.049e+00      3.504e+03     1.9978e+01     1.5181e+02     2.2435e+02      1.708e+02     3.8975e+00     2.5770e+00     9.332248e-01          8.7046e+00     6.8479e+00     3.8514e+01     
      5         1       227      9.431e+00      3.592e+03     4.6896e+01     1.5486e+02     2.2376e+02      1.828e+02     2.0062e-04     4.6370e-08     9.332248e-01          5.6788e+00     3.6304e+01     4.0274e+01     

      6         0       260      5.386e+00      4.763e+03     1.5052e+01     2.0752e+02     2.1144e+02      4.312e+02     5.8046e+00     1.9971e+00     9.033556e-01          6.6604e+00     9.1449e+00     1.9774e+01     
      6         1       281      6.116e+00      4.740e+03     4.1116e+01     2.0690e+02     2.1036e+02      4.595e+02     4.2396e-02     1.4197e-03     9.033556e-01          4.1646e+00     3.6088e+01     2.4255e+01     

      7         0       302      3.700e+00      6.062e+03     1.2784e+01     2.6644e+02     1.9029e+02      1.153e+03     8.7166e+00     1.4582e+00     8.583289e-01          4.9710e+00     1.1531e+01     8.2947e+00     
      7         1       331      4.356e+00      5.879e+03     3.1373e+01     2.5891e+02     1.8866e+02      1.212e+03     1.2812e-01     5.7672e-03     8.583289e-01          2.8446e+00     3.0071e+01     1.2060e+01     

      8         0       352      3.186e+00      6.685e+03     1.2778e+01     2.9903e+02     1.5409e+02      3.016e+03     1.0810e+01     1.6778e+00     7.881649e-01          3.3309e+00     1.3926e+01     6.7272e+00     
      8         1       381      3.593e+00      6.389e+03     2.0994e+01     2.8588e+02     1.5413e+02      3.017e+03     1.9657e-01     4.4253e-03     7.881649e-01          1.7965e+00     2.0582e+01     6.7765e+00     

      9         0       398      2.920e+00      5.204e+03     1.3339e+01     2.4821e+02     8.9597e+01      7.231e+03     1.4127e+01     6.5859e+00     6.511083e-01          1.7043e+00     1.6577e+01     4.0375e+00     
      9         1       419      3.231e+00      5.214e+03     1.1041e+01     2.4484e+02     9.8613e+01      6.615e+03     7.2824e-01     5.2533e-03     6.511083e-01          9.1322e-01     1.0381e+01     4.4124e+00     

