# Kona Param. Contn. convergence history (opt tol = 1.781853e-07 | feas tol = 7.837251e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      2.000e+00      2.000e+00     1.7819e+00     0.0000e+00     7.8373e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          5.0000e-01     0.0000e+00     1.1500e+01     

      1         0        10      1.998e+00      5.915e+00     1.7234e+00     4.9891e-01     7.8374e+01      2.525e-03     3.2160e-04     3.3587e-05     9.993622e-01          4.9522e-01     7.3343e-02     1.1502e+01     
      1         1        19      1.998e+00      5.918e+00     1.7233e+00     4.9923e-01     7.8373e+01      2.525e-03     6.0530e-08     9.2542e-10     9.993622e-01          4.9521e-01     7.3402e-02     1.1502e+01     

      2         0        28      1.985e+00      3.247e+01     1.3672e+00     3.8820e+00     7.8377e+01      8.572e-02     1.4789e-02     1.5123e-03     9.950433e-01          4.6271e-01     5.7085e-01     1.1515e+01     
      2         1        37      1.988e+00      3.257e+01     1.3656e+00     3.8952e+00     7.8359e+01      8.587e-02     2.9214e-05     2.4441e-06     9.950433e-01          4.6250e-01     5.7310e-01     1.1508e+01     

      3         0        46      1.982e+00      5.898e+01     1.1285e+00     7.2582e+00     7.8327e+01      2.830e-01     1.4647e-02     1.3086e-03     9.907792e-01          4.2995e-01     1.0682e+00     1.1507e+01     
      3         1        55      1.985e+00      5.906e+01     1.1296e+00     7.2685e+00     7.8309e+01      2.837e-01     6.8503e-05     3.3522e-06     9.907792e-01          4.3018e-01     1.0692e+00     1.1500e+01     

      4         0        64      1.984e+00      8.566e+01     1.0870e+00     1.0657e+01     7.8242e+01      6.007e-01     1.4908e-02     1.3725e-03     9.865016e-01          3.9748e-01     1.5678e+00     1.1484e+01     
      4         1        73      1.987e+00      8.571e+01     1.0846e+00     1.0665e+01     7.8224e+01      6.025e-01     1.1787e-04     1.5475e-05     9.865016e-01          3.9832e-01     1.5671e+00     1.1477e+01     

      5         0        82      1.993e+00      1.129e+02     1.2527e+00     1.4127e+01     7.8117e+01      1.055e+00     1.5628e-02     1.9425e-03     9.821403e-01          3.8690e-01     2.0753e+00     1.1447e+01     
      5         1        93      1.995e+00      1.129e+02     1.2389e+00     1.4132e+01     7.8099e+01      1.059e+00     3.0351e-05     8.7579e-05     9.821403e-01          3.7539e-01     2.0725e+00     1.1441e+01     

      6         0       102      2.008e+00      1.410e+02     1.5512e+00     1.7713e+01     7.7950e+01      1.675e+00     1.6840e-02     3.0342e-03     9.776263e-01          5.9122e-01     2.5961e+00     1.1395e+01     
      6         1       113      2.009e+00      1.410e+02     1.5210e+00     1.7716e+01     7.7932e+01      1.681e+00     6.6032e-05     1.4392e-04     9.776263e-01          5.7323e-01     2.5911e+00     1.1390e+01     

      7         0       122      2.030e+00      1.704e+02     1.9105e+00     2.1465e+01     7.7733e+01      2.503e+00     1.8654e-02     4.7035e-03     9.728854e-01          7.8921e-01     3.1358e+00     1.1326e+01     
      7         1       135      2.030e+00      1.704e+02     1.8614e+00     2.1467e+01     7.7714e+01      2.512e+00     3.4066e-06     1.6024e-07     9.728854e-01          7.6379e-01     3.1284e+00     1.1323e+01     

      8         0       148      2.054e+00      2.008e+02     2.2351e+00     2.5367e+01     7.7466e+01      3.582e+00     2.0277e-02     1.4971e-03     9.679270e-01          9.5252e-01     3.6833e+00     1.1247e+01     
      8         1       159      2.056e+00      2.008e+02     2.2113e+00     2.5360e+01     7.7443e+01      3.597e+00     3.0642e-05     1.5398e-04     9.679270e-01          9.4091e-01     3.6790e+00     1.1241e+01     

      9         0       185      2.088e+00      2.339e+02     2.5911e+00     2.9602e+01     7.7122e+01      5.045e+00     2.4295e-02     1.8949e-03     9.624832e-01          1.1232e+00     4.2746e+00     1.1143e+01     
      9         1       196      2.090e+00      2.338e+02     2.5606e+00     2.9589e+01     7.7096e+01      5.069e+00     1.8742e-05     1.3840e-04     9.624832e-01          1.1089e+00     4.2686e+00     1.1137e+01     

     10         0       209      2.130e+00      2.694e+02     2.9218e+00     3.4166e+01     7.6689e+01      7.021e+00     2.8810e-02     2.4074e-03     9.565220e-01          1.2772e+00     4.9013e+00     1.1017e+01     
     10         1       220      2.131e+00      2.692e+02     2.8853e+00     3.4146e+01     7.6658e+01      7.060e+00     1.8680e-05     1.0257e-04     9.565220e-01          1.2604e+00     4.8937e+00     1.1011e+01     

     11         0       233      2.179e+00      3.081e+02     3.2146e+00     3.9143e+01     7.6141e+01      9.742e+00     3.5139e-02     3.0616e-03     9.498811e-01          1.4110e+00     5.5722e+00     1.0866e+01     
     11         1       244      2.180e+00      3.078e+02     3.1711e+00     3.9113e+01     7.6105e+01      9.804e+00     5.7830e-05     2.9002e-04     9.498811e-01          1.3913e+00     5.5624e+00     1.0861e+01     

     12         0       257      2.237e+00      3.505e+02     3.4540e+00     4.4619e+01     7.5442e+01      1.358e+01     4.4003e-02     4.0043e-03     9.423533e-01          1.5191e+00     6.2957e+00     1.0684e+01     
     12         1       270      2.237e+00      3.500e+02     3.4046e+00     4.4563e+01     7.5399e+01      1.367e+01     8.6787e-05     8.7227e-06     9.423533e-01          1.4970e+00     6.2821e+00     1.0680e+01     

     13         0       283      2.303e+00      3.973e+02     3.6262e+00     5.0686e+01     7.4538e+01      1.914e+01     5.6697e-02     5.3714e-03     9.336446e-01          1.5962e+00     7.0808e+00     1.0467e+01     
     13         1       296      2.301e+00      3.966e+02     3.5705e+00     5.0601e+01     7.4484e+01      1.930e+01     1.5349e-04     2.1059e-05     9.336446e-01          1.5714e+00     7.0626e+00     1.0463e+01     

     14         0       309      2.376e+00      4.493e+02     3.7142e+00     5.7447e+01     7.3347e+01      2.749e+01     7.5011e-02     7.5450e-03     9.233487e-01          1.6354e+00     7.9362e+00     1.0203e+01     
     14         1       322      2.373e+00      4.482e+02     3.6529e+00     5.7310e+01     7.3280e+01      2.776e+01     5.1949e-05     2.3948e-05     9.233487e-01          1.6081e+00     7.9113e+00     1.0200e+01     

     15         0       335      2.457e+00      5.069e+02     3.7021e+00     6.4985e+01     7.1745e+01      4.052e+01     1.0206e-01     1.1465e-02     9.108439e-01          1.6298e+00     8.8682e+00     9.8798e+00     
     15         1       348      2.451e+00      5.051e+02     3.6385e+00     6.4759e+01     7.1658e+01      4.098e+01     6.7389e-04     8.3392e-05     9.108439e-01          1.6017e+00     8.8329e+00     9.8779e+00     

     16         0       361      2.542e+00      5.699e+02     3.5771e+00     7.3307e+01     6.9529e+01      6.182e+01     1.4232e-01     1.9347e-02     8.951563e-01          1.5743e+00     9.8723e+00     9.4746e+00     
     16         1       376      2.533e+00      5.670e+02     3.5116e+00     7.2929e+01     6.9419e+01      6.258e+01     8.5178e-05     8.3264e-05     8.951563e-01          1.5454e+00     9.8210e+00     9.4749e+00     

     17         0       391      2.631e+00      6.358e+02     3.2953e+00     8.2126e+01     6.6403e+01      9.798e+01     1.9490e-01     3.6421e-02     8.748652e-01          1.4494e+00     1.0908e+01     8.9557e+00     
     17         1       406      2.615e+00      6.309e+02     3.2658e+00     8.1497e+01     6.6275e+01      9.917e+01     3.7686e-04     7.5384e-04     8.748652e-01          1.4368e+00     1.0831e+01     8.9596e+00     

     18         0       421      2.715e+00      6.990e+02     2.8867e+00     9.0864e+01     6.1776e+01      1.636e+02     2.7013e-01     7.9618e-02     8.467454e-01          1.2688e+00     1.1894e+01     8.2535e+00     
     18         1       438      2.692e+00      6.907e+02     2.8877e+00     8.9798e+01     6.1657e+01      1.651e+02     8.7664e-04     3.9216e-04     8.467454e-01          1.2700e+00     1.1773e+01     8.2653e+00     

     19         0       453      2.787e+00      7.403e+02     2.3153e+00     9.7275e+01     5.4762e+01      2.866e+02     3.0731e-01     1.9308e-01     8.053961e-01          1.0167e+00     1.2539e+01     7.2697e+00     
     19         1       470      2.754e+00      7.280e+02     2.3861e+00     9.5643e+01     5.4786e+01      2.863e+02     3.1152e-03     1.2395e-03     8.053961e-01          1.0493e+00     1.2373e+01     7.3037e+00     

     20         0       485      2.838e+00      7.155e+02     1.6227e+00     9.6128e+01     4.3906e+01      5.164e+02     1.5623e-01     5.3228e-01     7.388189e-01          7.1246e-01     1.2186e+01     5.8297e+00     
     20         1       506      2.783e+00      7.036e+02     1.7857e+00     9.4356e+01     4.4526e+01      5.037e+02     9.5697e-03     1.2869e-03     7.388189e-01          7.8449e-01     1.2052e+01     5.9408e+00     

     21         0       525      2.779e+00      5.955e+02     1.1901e+00     8.3127e+01     3.2182e+01      7.786e+02     9.7844e-01     8.4095e-01     6.524656e-01          5.0592e-01     1.0402e+01     4.3322e+00     
     21         1       548      2.748e+00      6.004e+02     1.2954e+00     8.3294e+01     3.3496e+01      7.485e+02     3.2335e-02     1.6389e-03     6.524656e-01          5.6083e-01     1.0545e+01     4.5192e+00     

     22         0       567      2.683e+00      4.554e+02     9.3447e-01     6.6968e+01     2.3163e+01      9.346e+02     1.3406e+00     8.0897e-01     5.607709e-01          3.6933e-01     8.3061e+00     3.1962e+00     
     22         1       594      2.668e+00      4.693e+02     9.9118e-01     6.8285e+01     2.4407e+01      9.075e+02     3.0530e-02     1.9395e-03     5.607709e-01          4.0728e-01     8.5945e+00     3.3607e+00     

     23         0       617      2.582e+00      3.145e+02     8.0224e-01     5.0208e+01     1.5507e+01      9.726e+02     1.4751e+00     8.3207e-01     4.580355e-01          2.6790e-01     6.1619e+00     2.2388e+00     
     23         1       644      2.556e+00      3.306e+02     7.8390e-01     5.1794e+01     1.6649e+01      9.526e+02     3.5491e-02     6.4397e-03     4.580355e-01          2.8971e-01     6.4930e+00     2.3740e+00     

     24         0       671      2.464e+00      2.096e+02     6.3991e-01     3.7096e+01     1.0411e+01      8.923e+02     9.5946e-01     5.9461e-01     3.624832e-01          1.9657e-01     4.5508e+00     1.5838e+00     
     24         1       702      2.457e+00      2.200e+02     6.3501e-01     3.8044e+01     1.1120e+01      8.838e+02     2.1866e-02     6.2381e-03     3.624832e-01          2.0810e-01     4.7611e+00     1.6637e+00     

     25         0       729      2.406e+00      1.598e+02     5.5357e-01     3.0310e+01     8.1649e+00      8.001e+02     2.6293e-01     1.9774e-01     3.043090e-01          1.6351e-01     3.7675e+00     1.2911e+00     
     25         1       760      2.407e+00      1.626e+02     5.4648e-01     3.0517e+01     8.3705e+00      7.984e+02     3.6158e-03     2.9123e-03     3.043090e-01          1.6643e-01     3.8152e+00     1.3057e+00     

     26         0       789      2.385e+00      1.332e+02     4.9406e-01     2.6523e+01     6.9556e+00      7.386e+02     6.6740e-02     5.2681e-02     2.717423e-01          1.4409e-01     3.3022e+00     1.1202e+00     
     26         1       820      2.384e+00      1.339e+02     4.9456e-01     2.6560e+01     7.0053e+00      7.383e+02     5.2719e-04     6.4532e-04     2.717423e-01          1.4493e-01     3.3204e+00     1.1250e+00     

     27         0       849      2.370e+00      1.139e+02     4.5342e-01     2.3716e+01     6.0454e+00      6.884e+02     3.6289e-02     2.6667e-02     2.474924e-01          1.2911e-01     2.9576e+00     9.9728e-01     
     27         1       886      2.369e+00      1.142e+02     4.5445e-01     2.3730e+01     6.0647e+00      6.883e+02     2.6569e-04     2.0295e-04     2.474924e-01          1.2964e-01     2.9672e+00     9.9803e-01     

