# Kona Param. Contn. convergence history (opt tol = 1.201666e-05 | feas tol = 1.407125e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      2.166e+03      2.166e+03     1.2017e+02     0.0000e+00     1.4071e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          7.6000e+01     0.0000e+00     9.0000e+01     

      1         0        10      2.159e+03      2.166e+03     1.2006e+02     4.6098e-01     1.4052e+02      1.083e+00     2.5316e-04     3.4943e-02     9.995000e-01          7.6027e+01     4.5000e-01     8.9886e+01     
      1         1        19      2.159e+03      2.169e+03     1.2013e+02     5.7829e-01     1.4052e+02      1.084e+00     8.7450e-08     1.3149e-07     9.995000e-01          7.6132e+01     4.4964e-01     8.9885e+01     

      2         0        28      2.039e+03      2.169e+03     1.1836e+02     8.2461e+00     1.3720e+02      1.943e+01     7.2544e-02     6.0915e-01     9.910367e-01          7.6468e+01     8.0485e+00     8.7935e+01     
      2         1        37      2.039e+03      2.209e+03     1.1953e+02     1.0172e+01     1.3697e+02      1.962e+01     8.5876e-04     7.1473e-04     9.910367e-01          7.8236e+01     7.8868e+00     8.7776e+01     

      3         0        48      1.870e+03      2.162e+03     1.1582e+02     1.8807e+01     1.3141e+02      4.655e+01     2.5400e-01     1.3842e+00     9.785450e-01          7.6808e+01     1.8302e+01     8.4429e+01     
      3         1        57      1.870e+03      2.247e+03     1.1866e+02     2.3376e+01     1.3098e+02      4.758e+01     7.9964e-03     8.9947e-03     9.785450e-01          8.0891e+01     1.7785e+01     8.4134e+01     

      4         0        68      1.704e+03      2.133e+03     1.1305e+02     2.7530e+01     1.2427e+02      7.518e+01     7.1201e-01     2.0765e+00     9.654967e-01          7.6662e+01     2.6637e+01     8.0015e+01     
      4         1        81      1.705e+03      2.253e+03     1.1750e+02     3.5410e+01     1.2385e+02      7.756e+01     8.4889e-03     6.5073e-04     9.654967e-01          8.2761e+01     2.5858e+01     7.9749e+01     

      5         0        96      1.543e+03      2.080e+03     1.0994e+02     3.3973e+01     1.1602e+02      1.062e+02     1.4697e+00     2.6573e+00     9.516968e-01          7.5829e+01     3.2519e+01     7.4908e+01     
      5         1       109      1.545e+03      2.225e+03     1.1607e+02     4.6375e+01     1.1574e+02      1.102e+02     1.8550e-02     1.2398e-03     9.516968e-01          8.3920e+01     3.2298e+01     7.4755e+01     

      6         0       124      1.390e+03      2.004e+03     1.0665e+02     3.8170e+01     1.0696e+02      1.401e+02     2.5420e+00     3.0871e+00     9.371602e-01          7.4510e+01     3.6000e+01     6.9361e+01     
      6         1       137      1.393e+03      2.159e+03     1.1417e+02     5.6319e+01     1.0684e+02      1.456e+02     3.3260e-02     2.6691e-03     9.371602e-01          8.4136e+01     4.1936e+01     6.9329e+01     

      7         0       152      1.253e+03      1.911e+03     1.0329e+02     4.0391e+01     9.7744e+01      1.764e+02     3.9020e+00     3.3214e+00     9.224567e-01          7.2726e+01     3.7347e+01     6.3804e+01     
      7         1       165      1.257e+03      2.062e+03     1.1181e+02     6.5020e+01     9.7813e+01      1.830e+02     5.0315e-02     5.4269e-03     9.224567e-01          8.3385e+01     5.1289e+01     6.3895e+01     

      8         0       182      1.122e+03      1.800e+03     9.9715e+01     4.1329e+01     8.7983e+01      2.192e+02     5.6044e+00     3.3601e+00     9.062266e-01          7.0554e+01     3.7171e+01     5.7970e+01     
      8         1       197      1.125e+03      1.929e+03     1.0862e+02     7.2695e+01     8.8143e+01      2.258e+02     3.5167e-02     1.7021e-02     9.062266e-01          8.1505e+01     5.9895e+01     5.8144e+01     

      9         0       216      9.637e+02      1.635e+03     9.4834e+01     4.1428e+01     7.5250e+01      2.816e+02     7.9246e+00     3.0722e+00     8.835688e-01          6.7159e+01     3.5623e+01     5.0331e+01     
      9         1       231      9.704e+02      1.731e+03     1.0355e+02     7.7966e+01     7.5956e+01      2.862e+02     4.2739e-02     2.7152e-02     8.835688e-01          7.7679e+01     6.6135e+01     5.0831e+01     

     10         0       252      7.902e+02      1.407e+03     8.7563e+01     4.0999e+01     6.0794e+01      3.598e+02     1.1492e+01     2.6612e+00     8.522726e-01          6.1132e+01     3.1885e+01     4.1269e+01     
     10         1       267      7.999e+02      1.470e+03     9.5940e+01     7.2929e+01     6.2149e+01      3.569e+02     3.5654e-01     4.2257e-02     8.522726e-01          7.1183e+01     6.0973e+01     4.2157e+01     

     11         0       288      7.262e+02      1.311e+03     8.4895e+01     3.9619e+01     5.6112e+01      3.797e+02     1.0699e+01     2.3577e+00     8.364693e-01          5.9098e+01     3.0305e+01     3.8122e+01     
     11         1       303      7.278e+02      1.351e+03     9.2143e+01     6.7057e+01     5.6450e+01      3.791e+02     2.1708e-01     4.3593e-02     8.364693e-01          6.7832e+01     5.4505e+01     3.8307e+01     

