# Kona Param. Contn. convergence history (opt tol = 1.201666e-05 | feas tol = 1.407125e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      2.166e+03      2.166e+03     1.2017e+02     0.0000e+00     1.4071e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          7.6000e+01     0.0000e+00     9.0000e+01     

      1         0        10      2.159e+03      2.166e+03     1.2006e+02     4.6098e-01     1.4052e+02      1.083e+00     2.5316e-04     3.4943e-02     9.995000e-01          7.6027e+01     4.5000e-01     8.9886e+01     
      1         1        19      2.159e+03      2.169e+03     1.2013e+02     5.7828e-01     1.4052e+02      1.084e+00     1.3013e-04     1.4241e-04     9.995000e-01          7.6132e+01     4.4964e-01     8.9886e+01     

      2         0        85      2.039e+03      2.169e+03     1.1838e+02     8.2537e+00     1.3720e+02      1.943e+01     7.1827e-02     6.0918e-01     9.910367e-01          7.6483e+01     8.0560e+00     8.7936e+01     
      2         1       118      2.039e+03      2.208e+03     1.1952e+02     1.0169e+01     1.3697e+02      1.962e+01     2.0367e-03     1.4217e-04     9.910367e-01          7.8225e+01     7.8821e+00     8.7775e+01     

      3         0       155      1.870e+03      2.161e+03     1.1581e+02     1.8809e+01     1.3140e+02      4.656e+01     2.5495e-01     1.3845e+00     9.785389e-01          7.6795e+01     1.8302e+01     8.4427e+01     
      3         1       188      1.869e+03      2.246e+03     1.1859e+02     2.3333e+01     1.3096e+02      4.760e+01     9.4992e-03     1.3621e-03     9.785389e-01          8.0801e+01     1.7733e+01     8.4124e+01     

      4         0       225      1.705e+03      2.132e+03     1.1301e+02     2.7449e+01     1.2430e+02      7.502e+01     7.1130e-01     2.0724e+00     9.655663e-01          7.6569e+01     2.6539e+01     8.0032e+01     
      4         1       250      1.707e+03      2.254e+03     1.1755e+02     3.5364e+01     1.2397e+02      7.739e+01     1.8957e-02     1.0951e-02     9.655663e-01          8.2781e+01     2.5842e+01     7.9818e+01     

      5         0       287      1.543e+03      2.081e+03     1.0997e+02     3.4041e+01     1.1604e+02      1.064e+02     1.4690e+00     2.6626e+00     9.516118e-01          7.5859e+01     3.2587e+01     7.4925e+01     
      5         1       312      1.546e+03      2.226e+03     1.1611e+02     4.6466e+01     1.1577e+02      1.104e+02     3.0885e-02     1.0668e-02     9.516118e-01          8.3950e+01     3.2355e+01     7.4778e+01     

      6         0       349      1.391e+03      2.006e+03     1.0670e+02     3.8196e+01     1.0703e+02      1.402e+02     2.5453e+00     3.0913e+00     9.371176e-01          7.4541e+01     3.6025e+01     6.9403e+01     
      6         1       362      1.393e+03      2.158e+03     1.1415e+02     5.6378e+01     1.0685e+02      1.457e+02     3.6427e-02     1.8713e-02     9.371176e-01          8.4129e+01     4.1960e+01     6.9340e+01     

      7         0       395      1.254e+03      1.911e+03     1.0331e+02     4.0390e+01     9.7824e+01      1.765e+02     3.9089e+00     3.3244e+00     9.224570e-01          7.2759e+01     3.7345e+01     6.3850e+01     
      7         1       416      1.255e+03      2.058e+03     1.1172e+02     6.4990e+01     9.7702e+01      1.829e+02     4.7221e-02     1.0459e-02     9.224570e-01          8.3338e+01     5.1196e+01     6.3838e+01     

      8         0       453      1.119e+03      1.796e+03     9.9615e+01     4.1380e+01     8.7843e+01      2.194e+02     5.6113e+00     3.3542e+00     9.061434e-01          7.0497e+01     3.7234e+01     5.7894e+01     
      8         1       482      1.124e+03      1.926e+03     1.0856e+02     7.2598e+01     8.7964e+01      2.259e+02     4.5020e-02     2.7727e-02     9.061434e-01          8.1461e+01     5.9795e+01     5.8033e+01     

      9         0       519      9.621e+02      1.633e+03     9.4792e+01     4.1334e+01     7.5153e+01      2.819e+02     7.9290e+00     3.0634e+00     8.834752e-01          6.7146e+01     3.5533e+01     5.0271e+01     
      9         1       544      9.701e+02      1.730e+03     1.0351e+02     7.7801e+01     7.5812e+01      2.863e+02     4.7537e-02     6.6458e-02     8.834752e-01          7.7603e+01     6.5961e+01     5.0733e+01     

     10         0       581      7.924e+02      1.410e+03     8.7631e+01     4.0940e+01     6.0951e+01      3.585e+02     1.1406e+01     2.6695e+00     8.526829e-01          6.1147e+01     3.1929e+01     4.1361e+01     
     10         1       614      8.017e+02      1.470e+03     9.5991e+01     7.2817e+01     6.2207e+01      3.557e+02     3.4521e-01     1.9923e-03     8.526829e-01          7.1263e+01     6.0862e+01     4.2184e+01     

     11         0       651      7.294e+02      1.314e+03     8.5015e+01     3.9576e+01     5.6322e+01      3.778e+02     1.0611e+01     2.3728e+00     8.372771e-01          5.9240e+01     3.0382e+01     3.8252e+01     
     11         1       664      7.300e+02      1.352e+03     9.2213e+01     6.6736e+01     5.6424e+01      3.769e+02     2.2119e-01     7.5241e-02     8.372771e-01          6.7904e+01     5.4140e+01     3.8266e+01     

