# Kona Param. Contn. convergence history (opt tol = 2.000100e-07 | feas tol = 7.676588e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1     -9.899e+01     -9.899e+01     2.0001e+00     0.0000e+00     7.6766e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          2.0000e+00     0.0000e+00     4.1000e+01     

      1         0        10     -9.902e+01     -9.244e+01     2.6754e+00     2.0691e+00     7.6770e+01     -6.230e-01     1.8659e-02     4.5495e-01     9.934895e-01          1.9927e+00     1.8881e+00     4.1000e+01     
      1         1        19     -9.901e+01     -6.049e+01     2.8934e+00     5.0311e+00     7.6671e+01     -5.185e-01     1.1586e-04     1.1935e-04     9.934895e-01          2.2651e+00     2.6896e+00     4.0971e+01     

      2         0        28     -9.907e+01     -7.729e+01     6.8497e+00     6.9974e+00     7.6206e+01     -1.929e+00     1.9841e-01     1.5397e+00     9.778950e-01          6.7286e+00     6.3744e+00     4.0860e+01     
      2         1        37     -9.905e+01      3.044e+01     7.5403e+00     1.7381e+01     7.5655e+01     -6.714e-01     4.2376e-03     3.6933e-03     9.778950e-01          7.4159e+00     9.4062e+00     4.0760e+01     

      3         0        50     -9.908e+01     -6.850e+01     1.0414e+01     1.0674e+01     7.4214e+01     -2.622e+00     8.3147e-01     2.5390e+00     9.630943e-01          1.0372e+01     9.5709e+00     4.0451e+01     
      3         1        59     -9.907e+01      1.100e+02     1.1536e+01     2.9713e+01     7.3772e+01      9.031e-01     1.0935e-02     1.6748e-02     9.630943e-01          1.1488e+01     1.6419e+01     4.0338e+01     

      4         0        72     -9.909e+01     -6.599e+01     1.2809e+01     1.3076e+01     7.1558e+01     -1.933e+00     1.9062e+00     3.5135e+00     9.478968e-01          1.2791e+01     1.1406e+01     3.9767e+01     
      4         1        83     -9.909e+01      1.804e+02     1.4231e+01     4.3568e+01     7.1308e+01      5.048e+00     3.2174e-02     2.2819e-03     9.478968e-01          1.4204e+01     2.4693e+01     3.9614e+01     

      5         0        96     -9.911e+01     -6.817e+01     1.3711e+01     1.4181e+01     6.8392e+01      2.318e+00     3.6079e+00     4.4452e+00     9.319754e-01          1.3698e+01     1.1809e+01     3.8648e+01     
      5         1       109     -9.911e+01      2.388e+02     1.5794e+01     6.0585e+01     6.8040e+01      1.419e+01     6.8469e-02     1.1228e-03     9.319754e-01          1.5774e+01     3.5117e+01     3.8426e+01     

      6         0       124     -9.913e+01     -7.279e+01     1.3545e+01     1.4498e+01     6.4140e+01      1.677e+01     6.3858e+00     5.3094e+00     9.143739e-01          1.3532e+01     1.1225e+01     3.6766e+01     
      6         1       137     -9.914e+01      2.803e+02     1.6325e+01     8.3861e+01     6.3658e+01      3.575e+01     1.6599e-01     3.6549e-03     9.143739e-01          1.6305e+01     4.9554e+01     3.6405e+01     

      7         0       152     -9.917e+01     -7.811e+01     1.2426e+01     1.4344e+01     5.7349e+01      6.737e+01     1.1495e+01     6.0177e+00     8.923193e-01          1.2407e+01     1.0403e+01     3.3160e+01     
      7         1       165     -9.918e+01      2.854e+02     1.5814e+01     1.2032e+02     5.6451e+01      9.953e+01     4.3771e-01     1.1909e-02     8.923193e-01          1.5789e+01     7.2363e+01     3.2500e+01     

      8         0       184     -9.926e+01     -8.296e+01     1.0147e+01     1.4082e+01     4.3089e+01      2.933e+02     2.2760e+01     5.9483e+00     8.584566e-01          1.0113e+01     1.1906e+01     2.4748e+01     
      8         1       197     -9.925e+01      1.901e+02     1.3869e+01     1.7579e+02     4.1886e+01      3.465e+02     8.1426e-01     3.8547e-02     8.584566e-01          1.3833e+01     1.0718e+02     2.3890e+01     

      9         0       212     -9.940e+01     -9.527e+01     4.7880e+00     6.5891e+01     9.1608e+00      1.486e+03     6.2501e+01     2.5068e+00     7.809522e-01          4.6896e+00     4.4207e+01     6.6092e+00     
      9         1       227     -9.945e+01     -2.626e+01     9.4438e+00     1.6746e+02     1.6125e+01      1.130e+03     5.5654e+00     2.2995e-01     7.809522e-01          9.3948e+00     1.0246e+02     8.8072e+00     

     10         0       244     -9.988e+01      1.438e+02     3.1338e-01     4.6786e+02     3.7726e+01      2.564e+03     3.0510e+02     1.7993e+01     4.485719e-01          3.1169e-01     2.8741e+02     2.2025e+01     
     10         1       259     -9.989e+01     -9.133e+01     2.7186e+00     5.8093e+01     2.0508e+00      1.030e+03     6.2692e+01     9.4473e-01     4.485719e-01          2.6591e+00     3.6031e+01     1.7878e+00     

     11         0       309     -9.985e+01     -9.917e+01     1.8131e+00     6.9037e+01     1.4860e+00      2.485e+02     6.9090e+01     1.2829e+00     1.359508e-01          1.7078e+00     4.0709e+01     9.4875e-01     
     11         1       338     -9.994e+01     -9.979e+01     5.5989e-01     9.4941e+00     1.5426e-01      2.351e+02     1.3414e+00     6.5897e-15     1.359508e-01          5.3952e-01     5.7295e+00     1.5108e-01     

     12         0       367     -9.994e+01     -9.990e+01     7.6185e-01     2.7659e+00     6.5624e-02      1.598e+02     9.6611e+00     2.2024e-02     1.053115e-01          7.5946e-01     1.6227e+00     6.4147e-02     
     12         1       396     -9.991e+01     -9.969e+01     4.8216e-01     8.2684e+00     1.6184e-01      1.613e+02     7.6097e-01     9.2984e-15     1.053115e-01          4.6793e-01     4.7086e+00     1.6036e-01     

     13         0       425     -9.991e+01     -9.972e+01     1.2825e+00     1.5425e+00     1.4911e-01      1.505e+02     7.2831e+00     1.8728e-02     1.009156e-01          1.2823e+00     1.4962e+00     1.4777e-01     
     13         1       446     -9.991e+01     -9.980e+01     4.6639e-01     7.7312e+00     1.1321e-01      1.502e+02     5.5235e-02     4.5323e-03     1.009156e-01          4.5826e-01     4.5229e+00     1.1147e-01     

     14         0       504     -9.991e+01     -9.983e+01     8.6044e-01     1.1545e+00     9.0020e-02      1.296e+02     6.9718e+00     1.5050e-02     9.255591e-02          8.5926e-01     9.1399e-01     8.8756e-02     
     14         1       521     -9.991e+01     -9.983e+01     4.1213e-01     7.0228e+00     9.0295e-02      1.296e+02     5.8233e-03     2.4039e-04     9.255591e-02          3.9950e-01     4.0798e+00     8.9011e-02     

     15         0       550     -9.991e+01     -9.989e+01     6.7824e-01     2.5056e+00     3.0010e-02      5.696e+01     6.6072e+00     1.2584e-02     6.320920e-02          6.7801e-01     1.4261e+00     2.9660e-02     
     15         1       567     -9.991e+01     -9.989e+01     2.6706e-01     4.6470e+00     3.1401e-02      5.695e+01     1.3123e-02     9.1142e-03     6.320920e-02          2.5796e-01     2.6997e+00     3.0662e-02     

     16         0       619     -9.991e+01     -9.990e+01     5.0035e-01     9.5217e-01     2.8416e-02      3.112e+01     4.3811e+00     5.6598e-03     5.281803e-02          4.9980e-01     5.0246e-01     2.7947e-02     
     16         1       636     -9.991e+01     -9.990e+01     2.2662e-01     3.8407e+00     2.8401e-02      3.112e+01     4.7329e-03     3.8071e-04     5.281803e-02          2.1928e-01     2.2319e+00     2.8054e-02     

     17         0       659     -9.991e+01     -9.991e+01     2.1056e-01     4.0219e+00     3.4700e-02     -9.991e+01     4.0274e+00     3.4700e-02     0.000000e+00          2.0986e-01     2.3637e+00     3.0690e-02     
     17         1       684     -9.991e+01     -9.991e+01     2.5846e-02     2.7962e-02     1.5345e-02     -9.991e+01     3.8078e-02     1.5345e-02     0.000000e+00          2.5799e-02     2.2416e-02     9.6596e-03     
     17         2       713     -9.997e+01     -9.997e+01     3.3688e-10     7.9394e-03     9.7756e-15     -9.997e+01     7.9394e-03     9.7756e-15     0.000000e+00          3.3688e-10     6.9399e-03     9.7700e-15     
