# Kona Param. Contn. convergence history (opt tol = 3.025562e-05 | feas tol = 8.708254e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1     -3.222e+04     -3.222e+04     3.0256e+02     0.0000e+00     8.7083e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          2.8932e+02     0.0000e+00     8.0112e+01     

      1         0        10     -3.250e+04     -3.250e+04     2.9303e+02     8.7494e-01     8.7457e+01     -1.028e+02     2.8636e-02     2.6298e-01     9.968238e-01          2.7943e+02     4.2044e-01     8.0136e+01     
      1         1        17     -3.250e+04     -3.247e+04     2.9326e+02     2.7880e+00     8.7438e+01     -1.027e+02     2.0512e-04     6.2653e-06     9.968238e-01          2.7968e+02     2.5552e+00     8.0126e+01     

      2         0        24     -3.405e+04     -3.403e+04     2.3590e+02     6.8382e+00     9.0041e+01     -7.833e+02     1.1429e+00     1.9930e+00     9.763237e-01          2.1951e+02     3.2725e+00     8.0145e+01     
      2         1        33     -3.384e+04     -3.365e+04     2.4456e+02     2.2454e+01     8.9231e+01     -7.816e+02     1.6520e-02     6.3354e-05     9.763237e-01          2.2890e+02     2.0251e+01     7.9728e+01     

      3         0        42     -3.538e+04     -3.530e+04     1.7856e+02     1.9935e+01     9.1792e+01     -1.977e+03     2.9895e+00     4.8998e+00     9.416688e-01          1.5804e+02     1.0461e+01     7.8180e+01     
      3         1        51     -3.513e+04     -3.464e+04     1.9079e+02     7.0118e+01     8.9289e+01     -1.962e+03     4.2188e-01     3.8536e-04     9.416688e-01          1.7213e+02     6.4186e+01     7.6589e+01     

      4         0        67     -3.553e+04     -3.542e+04     1.7486e+02     2.6500e+01     8.7159e+01     -2.484e+03     6.7802e+00     5.7881e+00     9.266800e-01          1.5467e+02     1.4698e+01     7.2983e+01     
      4         1        74     -3.550e+04     -3.491e+04     1.7418e+02     1.0804e+02     8.6422e+01     -2.462e+03     2.7895e-01     7.1135e-05     9.266800e-01          1.5443e+02     1.0141e+02     7.2315e+01     

      5         0        83     -3.574e+04     -3.561e+04     1.6535e+02     3.0380e+01     8.3512e+01     -2.842e+03     1.1073e+01     6.3182e+00     9.154095e-01          1.4446e+02     1.6898e+01     6.8219e+01     
      5         1        90     -3.573e+04     -3.510e+04     1.6351e+02     1.4724e+02     8.2776e+01     -2.812e+03     4.0906e-01     2.7762e-06     9.154095e-01          1.4305e+02     1.4038e+02     6.7441e+01     

      6         0        99     -3.591e+04     -3.576e+04     1.5789e+02     3.3348e+01     7.8844e+01     -3.101e+03     1.6395e+01     6.5210e+00     9.058773e-01          1.3641e+02     1.8511e+01     6.2223e+01     
      6         1       106     -3.590e+04     -3.527e+04     1.5545e+02     1.8838e+02     7.8213e+01     -3.066e+03     4.2352e-01     7.8485e-07     9.058773e-01          1.3445e+02     1.8142e+02     6.1518e+01     

      7         0       115     -3.606e+04     -3.589e+04     1.5133e+02     3.5886e+01     7.3513e+01     -3.291e+03     2.2487e+01     6.5027e+00     8.968329e-01          1.2931e+02     1.9833e+01     5.5264e+01     
      7         1       122     -3.605e+04     -3.544e+04     1.4850e+02     2.2815e+02     7.3076e+01     -3.256e+03     3.1791e-01     5.3182e-06     8.968329e-01          1.2704e+02     2.2092e+02     5.4777e+01     

      8         0       131     -3.620e+04     -3.603e+04     1.4473e+02     3.9038e+01     6.7699e+01     -3.445e+03     3.0073e+01     6.4668e+00     8.869625e-01          1.2214e+02     2.1046e+01     4.7411e+01     
      8         1       138     -3.620e+04     -3.562e+04     1.4158e+02     2.6389e+02     6.7514e+01     -3.417e+03     1.1066e-01     5.9112e-06     8.869625e-01          1.1968e+02     2.5600e+02     4.7259e+01     

      9         0       147     -3.637e+04     -3.617e+04     1.3732e+02     4.4875e+01     6.1569e+01     -3.598e+03     3.8869e+01     6.3118e+00     8.748699e-01          1.1409e+02     2.2206e+01     3.8703e+01     
      9         1       154     -3.636e+04     -3.582e+04     1.3393e+02     2.9193e+02     6.1635e+01     -3.584e+03     2.2327e-01     1.3014e-06     8.748699e-01          1.1155e+02     2.8264e+02     3.8997e+01     

     10         0       163     -3.656e+04     -3.634e+04     1.2838e+02     5.5275e+01     5.5221e+01     -3.808e+03     4.9075e+01     6.0197e+00     8.585211e-01          1.0435e+02     3.4088e+01     2.9214e+01     
