# Kona Param. Contn. convergence history (opt tol = 1.341641e-06 | feas tol = 1.424781e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      9.000e+01      9.000e+01     1.3416e+01     0.0000e+00     1.4248e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0000e+00     0.0000e+00     1.1000e+01     

      1         0        10      8.937e+01      1.603e+02     1.3370e+01     4.9656e+00     1.4248e+02      4.377e-01     1.7350e-02     1.7443e-03     9.965062e-01          9.9651e-01     3.8431e-01     1.1007e+01     
      1         1        19      8.937e+01      1.605e+02     1.3370e+01     4.9818e+00     1.4246e+02      4.378e-01     4.4858e-07     1.7919e-08     9.965062e-01          9.9651e-01     3.8581e-01     1.1006e+01     

      2         0        28      8.626e+01      5.134e+02     1.3140e+01     2.9906e+01     1.4229e+02      6.397e+00     4.3854e-01     4.0780e-02     9.790570e-01          9.7903e-01     2.3170e+00     1.1026e+01     
      2         1        37      8.627e+01      5.166e+02     1.3138e+01     3.0124e+01     1.4183e+02      6.555e+00     4.1960e-04     1.7490e-05     9.790570e-01          9.7906e-01     2.3389e+00     1.0989e+01     

      3         0        46      8.328e+01      8.544e+02     1.2916e+01     5.3974e+01     1.4080e+02      1.918e+01     4.1270e-01     2.3952e-02     9.623957e-01          9.6195e-01     4.1946e+00     1.0938e+01     
      3         1        55      8.337e+01      8.533e+02     1.2920e+01     5.3884e+01     1.4037e+02      1.987e+01     1.3093e-03     7.1452e-05     9.623957e-01          9.6241e-01     4.1899e+00     1.0901e+01     

      4         0        64      7.988e+01      1.240e+03     1.2662e+01     8.1139e+01     1.3814e+02      4.708e+01     5.6756e-01     1.5698e-02     9.426114e-01          9.4200e-01     6.3132e+00     1.0758e+01     
      4         1        73      7.999e+01      1.232e+03     1.2668e+01     8.0602e+01     1.3758e+02      4.929e+01     4.0734e-03     6.4426e-04     9.426114e-01          9.4262e-01     6.2704e+00     1.0708e+01     

      5         0        82      7.535e+01      1.717e+03     1.2329e+01     1.1473e+02     1.3293e+02      1.184e+02     9.9236e-01     2.7731e-02     9.151170e-01          9.1476e-01     8.9208e+00     1.0378e+01     
      5         1        93      7.544e+01      1.692e+03     1.2329e+01     1.1293e+02     1.3201e+02      1.258e+02     7.6077e-04     2.2864e-03     9.151170e-01          9.1512e-01     8.7752e+00     1.0299e+01     

      6         0       104      6.839e+01      2.297e+03     1.1826e+01     1.5540e+02     1.2165e+02      3.420e+02     1.9804e+00     2.1161e-01     8.704756e-01          8.7072e-01     1.2039e+01     9.5180e+00     
      6         1       115      6.841e+01      2.218e+03     1.1808e+01     1.4981e+02     1.2022e+02      3.656e+02     7.5348e-03     1.8310e-02     8.704756e-01          8.7051e-01     1.1568e+01     9.3989e+00     

      7         0       128      5.551e+01      2.734e+03     1.0968e+01     1.8522e+02     9.3928e+01      1.213e+03     3.1540e+00     1.4571e+00     7.787910e-01          7.8151e-01     1.3988e+01     7.3804e+00     
      7         1       143      5.538e+01      2.547e+03     1.0880e+01     1.7215e+02     9.3657e+01      1.222e+03     1.3945e-02     2.1049e-02     7.787910e-01          7.7903e-01     1.3070e+01     7.3127e+00     

      8         0       158      2.977e+01      1.464e+03     9.6443e+00     9.3905e+01     3.3283e+01      3.499e+03     2.0851e+01     9.9074e+00     5.571266e-01          1.3431e+00     7.2064e+00     2.7433e+00     
      8         1       183      3.183e+01      1.751e+03     9.1291e+00     1.1428e+02     4.6510e+01      2.983e+03     2.9892e+00     1.0483e-01     5.571266e-01          1.1633e+00     8.5885e+00     3.8108e+00     

      9         0       233      1.847e+01      4.060e+02     7.8520e+00     2.1202e+01     9.4538e+00      2.649e+03     2.7640e+01     8.5237e+00     2.923465e-01          1.4667e+00     2.3694e+00     9.2852e-01     
      9         1       278      2.935e+01      8.311e+02     6.3661e+00     4.9287e+01     1.8090e+01      2.591e+03     1.5951e+00     3.5979e-01     2.923465e-01          1.0469e+00     3.7518e+00     1.6775e+00     

     10         0       323      6.334e+01      2.161e+02     3.8494e+00     7.4756e+00     3.5361e+00      1.106e+03     9.0701e+00     2.5978e+00     1.045783e-01          6.6548e-01     8.8004e-01     4.6457e-01     
     10         1       368      6.966e+01      3.419e+02     2.6305e+00     1.6024e+01     5.6141e+00      1.179e+03     2.7091e-01     2.6248e-01     1.045783e-01          4.3947e-01     1.1552e+00     5.3549e-01     

