# Kona Param. Contn. convergence history (opt tol = 4.898979e-07 | feas tol = 4.274342e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      1.200e+01      1.200e+01     4.8990e+00     0.0000e+00     4.2743e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0000e+00     0.0000e+00     1.1000e+01     

      1         0        10      1.172e+01      3.294e+01     4.9282e+00     4.9539e+00     4.2734e+01      2.625e-01     5.7574e-02     5.8077e-03     9.883815e-01          1.0232e+00     1.2780e+00     1.1000e+01     
      1         1        19      1.172e+01      3.313e+01     4.9254e+00     4.9974e+00     4.2675e+01      2.639e-01     3.4762e-05     1.0208e-06     9.883815e-01          1.0232e+00     1.2893e+00     1.0985e+01     

      2         0        28      1.130e+01      6.413e+01     4.9612e+00     1.2335e+01     4.2488e+01      1.123e+00     1.2837e-01     9.9391e-03     9.713513e-01          1.0568e+00     3.1817e+00     1.0940e+01     
      2         1        37      1.130e+01      6.420e+01     4.9554e+00     1.2354e+01     4.2355e+01      1.156e+00     2.5700e-04     1.8258e-05     9.713513e-01          1.0566e+00     3.1862e+00     1.0906e+01     

      3         0        46      1.084e+01      9.564e+01     4.9786e+00     1.9804e+01     4.1888e+01      2.812e+00     1.3741e-01     6.5999e-03     9.537741e-01          1.0897e+00     5.1036e+00     1.0789e+01     
      3         1        55      1.085e+01      9.532e+01     4.9736e+00     1.9727e+01     4.1748e+01      2.918e+00     5.9021e-04     9.6760e-05     9.537741e-01          1.0894e+00     5.0827e+00     1.0752e+01     

      4         0        64      1.026e+01      1.334e+02     4.9850e+00     2.8768e+01     4.0788e+01      6.695e+00     2.1771e-01     6.7579e-03     9.310426e-01          1.1295e+00     7.3988e+00     1.0508e+01     
      4         1        73      1.027e+01      1.322e+02     4.9752e+00     2.8482e+01     4.0576e+01      7.047e+00     1.9112e-03     4.2782e-04     9.310426e-01          1.1280e+00     7.3228e+00     1.0452e+01     

      5         0        84      9.432e+00      1.801e+02     4.9625e+00     3.9862e+01     3.8554e+01      1.738e+01     4.0306e-01     2.5501e-02     8.974659e-01          1.1809e+00     1.0208e+01     9.9342e+00     
      5         1        95      9.424e+00      1.762e+02     4.9281e+00     3.8952e+01     3.8209e+01      1.854e+01     9.8696e-04     2.1146e-03     8.974659e-01          1.1745e+00     9.9733e+00     9.8451e+00     

      6         0       106      8.005e+00      2.312e+02     4.8106e+00     5.2100e+01     3.3473e+01      5.432e+01     8.1039e-01     1.5263e-01     8.374913e-01          1.2448e+00     1.3194e+01     8.6265e+00     
      6         1       119      8.006e+00      2.197e+02     4.7385e+00     4.9410e+01     3.3034e+01      5.731e+01     4.7833e-03     1.1891e-03     8.374913e-01          1.2233e+00     1.2513e+01     8.5152e+00     

      7         0       130      5.287e+00      2.213e+02     4.1677e+00     5.0281e+01     2.0288e+01      2.013e+02     4.4022e-01     1.2259e+00     6.948501e-01          1.2932e+00     1.2181e+01     5.2304e+00     
      7         1       149      5.422e+00      2.090e+02     3.9481e+00     4.7468e+01     2.1531e+01      1.870e+02     1.1749e-01     8.9886e-03     6.948501e-01          1.1716e+00     1.1691e+01     5.5320e+00     

      8         0       181      2.631e+00      1.463e+01     2.1809e+00     3.2805e+00     1.3609e+00      3.068e+02     1.4501e+01     4.9902e+00     3.865695e-01          8.5893e-01     1.2304e+00     5.3337e-01     
      8         1       202      3.210e+00      8.017e+01     1.8507e+00     1.7987e+01     6.9538e+00      2.707e+02     2.7181e+00     7.9113e-02     3.865695e-01          6.6093e-01     4.4150e+00     1.7419e+00     

      9         0       252      2.811e+00      7.024e+00     4.4208e-01     1.1438e+00     4.8409e-01      1.129e+02     4.8235e+00     1.5663e+00     1.330253e-01          1.6069e-01     4.3771e-01     1.5112e-01     
      9         1       285      2.885e+00      2.819e+01     5.5425e-01     5.9301e+00     1.9705e+00      1.232e+02     2.4459e-01     1.0104e-02     1.330253e-01          1.9892e-01     1.4099e+00     4.9737e-01     

     10         0       318      2.947e+00      3.561e+00     5.6367e-02     1.7388e-01     6.0303e-02      1.980e+01     7.1407e-01     2.1266e-01     1.983881e-02          1.9515e-02     6.3468e-02     1.5293e-02     
     10         1       351      2.953e+00      6.773e+00     8.0278e-02     8.9527e-01     2.7888e-01      2.254e+01     4.1848e-02     2.1963e-03     1.983881e-02          2.9463e-02     2.1319e-01     7.0565e-02     

     11         0       384      2.973e+00      3.016e+00     4.5880e-03     1.1020e-02     3.4150e-03      3.016e+00     1.1937e-02     3.4150e-03     0.000000e+00          1.9854e-03     3.8712e-03     1.2346e-03     
     11         1       409      2.973e+00      2.973e+00     5.8348e-05     8.9957e-06     4.8232e-05      2.973e+00     5.9037e-05     4.8232e-05     0.000000e+00          2.3522e-05     5.2169e-06     1.4696e-05     
     11         2       436      2.973e+00      2.973e+00     2.4764e-07     3.1052e-07     1.4248e-07      2.973e+00     3.9718e-07     1.4248e-07     0.000000e+00          8.5946e-08     2.6474e-07     5.9955e-08     
