# Kona Param. Contn. convergence history (opt tol = 3.464102e-07 | feas tol = 6.565821e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      6.000e+00      6.000e+00     3.4641e+00     0.0000e+00     6.5658e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0000e+00     0.0000e+00     1.1000e+01     

      1         0        10      5.909e+00      3.868e+01     3.7257e+00     4.9873e+00     6.5644e+01      1.708e-01     3.8068e-02     3.7070e-03     9.923963e-01          1.0760e+00     8.3641e-01     1.1015e+01     
      1         1        19      5.902e+00      3.888e+01     3.7249e+00     5.0182e+00     6.5602e+01      1.714e-01     3.0476e-05     4.6313e-07     9.923963e-01          1.0757e+00     8.4293e-01     1.1009e+01     

      2         0        28      5.667e+00      1.127e+02     4.4004e+00     1.6299e+01     6.5384e+01      1.499e+00     1.9619e-01     1.5807e-02     9.753417e-01          1.2447e+00     2.7403e+00     1.1013e+01     
      2         1        37      5.633e+00      1.130e+02     4.3923e+00     1.6352e+01     6.5167e+01      1.552e+00     5.3031e-04     2.0158e-05     9.753417e-01          1.2422e+00     2.7557e+00     1.0977e+01     

      3         0        46      5.331e+00      1.852e+02     5.1296e+00     2.7421e+01     6.4520e+01      4.455e+00     1.9520e-01     9.4439e-03     9.584594e-01          1.4032e+00     4.6276e+00     1.0911e+01     
      3         1        55      5.307e+00      1.845e+02     5.1124e+00     2.7329e+01     6.4308e+01      4.639e+00     1.0877e-03     1.5347e-04     9.584594e-01          1.3999e+00     4.6177e+00     1.0873e+01     

      4         0        64      4.861e+00      2.694e+02     6.0608e+00     4.0409e+01     6.2975e+01      1.132e+01     2.9117e-01     1.1109e-02     9.374361e-01          1.5885e+00     6.8369e+00     1.0704e+01     
      4         1        75      4.835e+00      2.670e+02     6.0144e+00     4.0051e+01     6.2670e+01      1.193e+01     1.4248e-04     5.2042e-04     9.374361e-01          1.5817e+00     6.7832e+00     1.0645e+01     

      5         0        86      4.128e+00      3.722e+02     7.3481e+00     5.6432e+01     5.9916e+01      2.979e+01     5.2413e-01     4.3216e-02     9.073572e-01          1.8257e+00     9.5584e+00     1.0253e+01     
      5         1        97      4.075e+00      3.647e+02     7.1886e+00     5.5320e+01     5.9418e+01      3.179e+01     1.6238e-03     4.5058e-03     9.073572e-01          1.8063e+00     9.3821e+00     1.0157e+01     

