# Kona Param. Contn. convergence history (opt tol = 3.464102e-07 | feas tol = 4.274342e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      6.000e+00      6.000e+00     3.4641e+00     0.0000e+00     4.2743e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0000e+00     0.0000e+00     1.1000e+01     

      1         0        10      5.986e+00      8.116e+00     3.4601e+00     4.9700e-01     4.2743e+01      8.228e-03     5.7949e-04     5.8645e-05     9.988344e-01          9.9883e-01     1.2822e-01     1.1002e+01     
      1         1        19      5.986e+00      8.118e+00     3.4601e+00     4.9757e-01     4.2743e+01      8.228e-03     1.9014e-09     9.0076e-11     9.988344e-01          9.9883e-01     1.2839e-01     1.1002e+01     

      2         0        28      5.881e+00      2.405e+01     3.4310e+00     4.2399e+00     4.2734e+01      1.498e-01     3.2878e-02     3.2432e-03     9.900754e-01          9.9001e-01     1.0942e+00     1.1017e+01     
      2         1        37      5.882e+00      2.416e+01     3.4303e+00     4.2654e+00     4.2701e+01      1.506e-01     7.9530e-06     3.8201e-07     9.900754e-01          9.8979e-01     1.1023e+00     1.1008e+01     

      3         0        46      5.779e+00      3.987e+01     3.4025e+00     7.9556e+00     4.2626e+01      4.315e-01     3.2350e-02     2.5952e-03     9.815245e-01          9.8063e-01     2.0572e+00     1.1005e+01     
      3         1        55      5.781e+00      3.993e+01     3.4022e+00     7.9688e+00     4.2593e+01      4.353e-01     3.0105e-05     1.4460e-06     9.815245e-01          9.8057e-01     2.0618e+00     1.0996e+01     

      4         0        64      5.675e+00      5.610e+01     3.3743e+00     1.1767e+01     4.2448e+01      8.903e-01     3.4698e-02     2.2106e-03     9.727252e-01          9.7063e-01     3.0468e+00     1.0974e+01     
      4         1        73      5.678e+00      5.612e+01     3.3744e+00     1.1769e+01     4.2413e+01      9.000e-01     7.2365e-05     3.9216e-06     9.727252e-01          9.7072e-01     3.0480e+00     1.0964e+01     

      5         0        82      5.563e+00      7.362e+01     3.3452e+00     1.5877e+01     4.2177e+01      1.624e+00     4.1363e-02     1.9729e-03     9.631112e-01          9.5937e-01     4.1149e+00     1.0919e+01     
      5         1        91      5.567e+00      7.356e+01     3.3455e+00     1.5864e+01     4.2134e+01      1.645e+00     1.5451e-04     1.1834e-05     9.631112e-01          9.5962e-01     4.1116e+00     1.0907e+01     

      6         0       100      5.437e+00      9.323e+01     3.3141e+00     2.0477e+01     4.1766e+01      2.833e+00     5.3762e-02     1.7413e-03     9.520541e-01          9.4607e-01     5.3107e+00     1.0829e+01     
      6         1       109      5.442e+00      9.306e+01     3.3145e+00     2.0437e+01     4.1712e+01      2.879e+00     3.3071e-04     5.4103e-05     9.520541e-01          9.4650e-01     5.2997e+00     1.0812e+01     

      7         0       118      5.289e+00      1.158e+02     3.2800e+00     2.5779e+01     4.1135e+01      4.944e+00     7.5681e-02     1.8723e-03     9.386663e-01          9.2963e-01     6.6875e+00     1.0681e+01     
      7         1       129      5.294e+00      1.155e+02     3.2798e+00     2.5687e+01     4.1061e+01      5.047e+00     2.6171e-05     1.0977e-04     9.386663e-01          9.3028e-01     6.6616e+00     1.0659e+01     

