# Kona Param. Contn. convergence history (opt tol = 1.341641e-06 | feas tol = 1.424781e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      9.000e+01      9.000e+01     1.3416e+01     0.0000e+00     1.4248e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0000e+00     0.0000e+00     1.1000e+01     

      1         0        10      8.937e+01      1.603e+02     1.3370e+01     4.9656e+00     1.4248e+02      4.377e-01     1.7350e-02     1.7443e-03     9.965062e-01          9.9651e-01     3.8431e-01     1.1007e+01     
      1         1        95      8.937e+01      1.605e+02     1.3370e+01     4.9818e+00     1.4246e+02      4.378e-01     1.2012e-04     1.4281e-04     9.965062e-01          9.9653e-01     3.8581e-01     1.1006e+01     

      2         0       180      8.716e+01      4.462e+02     1.3182e+01     2.5162e+01     1.4232e+02      4.770e+00     2.9344e-01     8.3041e-02     9.823789e-01          9.9285e-01     1.9485e+00     1.0997e+01     
      2         1       265      8.702e+01      4.484e+02     1.3181e+01     2.5329e+01     1.4203e+02      4.846e+00     5.7560e-02     6.5255e-02     9.823789e-01          9.9622e-01     1.9623e+00     1.0979e+01     

      3         0       435      8.449e+01      7.902e+02     1.2971e+01     4.9433e+01     1.4116e+02      1.606e+01     4.3903e-01     1.3409e-01     9.655801e-01          9.8627e-01     3.8278e+00     1.0912e+01     
      3         1       520      8.424e+01      7.899e+02     1.2970e+01     4.9405e+01     1.4073e+02      1.664e+01     1.0831e-01     9.3810e-02     9.655801e-01          9.9054e-01     3.8298e+00     1.0892e+01     

      4         0       690      8.142e+01      1.162e+03     1.2749e+01     7.5618e+01     1.3879e+02      3.985e+01     5.4667e-01     1.4909e-01     9.467545e-01          9.8158e-01     5.8536e+00     1.0739e+01     
      4         1       775      8.104e+01      1.156e+03     1.2741e+01     7.5203e+01     1.3826e+02      4.162e+01     1.2548e-01     1.0328e-01     9.467545e-01          9.7981e-01     5.8297e+00     1.0717e+01     

      5         0       945      7.724e+01      1.620e+03     1.2446e+01     1.0790e+02     1.3422e+02      9.889e+01     9.0913e-01     1.6836e-01     9.211237e-01          9.6494e-01     8.3404e+00     1.0396e+01     
      5         1      1030      7.684e+01      1.600e+03     1.2435e+01     1.0645e+02     1.3339e+02      1.049e+02     1.5254e-01     1.2260e-01     9.211237e-01          9.6089e-01     8.2390e+00     1.0352e+01     

      6         0      1200      7.118e+01      2.186e+03     1.2002e+01     1.4757e+02     1.2452e+02      2.768e+02     1.7614e+00     2.9289e-01     8.808669e-01          9.4645e-01     1.1352e+01     9.6597e+00     
      6         1      1285      7.071e+01      2.123e+03     1.1982e+01     1.4305e+02     1.2318e+02      2.964e+02     2.5807e-01     2.1686e-01     8.808669e-01          9.4592e-01     1.1016e+01     9.5711e+00     

      7         0      1455      6.035e+01      2.708e+03     1.1264e+01     1.8358e+02     1.0129e+02      9.468e+02     3.2252e+00     1.0966e+00     8.024153e-01          9.3312e-01     1.3903e+01     7.8875e+00     
      7         1      1540      5.949e+01      2.538e+03     1.1197e+01     1.7162e+02     1.0036e+02      9.749e+02     5.1114e-01     4.0250e-01     8.024153e-01          9.9579e-01     1.3105e+01     7.8550e+00     

      8         0      1710      3.886e+01      1.933e+03     1.0217e+01     1.2673e+02     4.6608e+01      3.094e+03     1.1163e+01     7.2962e+00     6.139450e-01          1.1585e+00     9.1166e+00     3.8059e+00     
      8         1      1747      3.652e+01      2.019e+03     9.4841e+00     1.3354e+02     5.6139e+01      2.703e+03     1.5945e+00     2.4501e-02     6.139450e-01          1.1031e+00     1.0016e+01     4.5194e+00     

      9         0      1797      1.856e+01      4.104e+02     8.4356e+00     2.2350e+01     9.9894e+00      2.982e+03     3.4048e+01     1.0857e+01     3.364568e-01          1.5314e+00     2.4817e+00     9.7319e-01     
      9         1      1830      2.573e+01      9.337e+02     6.7103e+00     5.6651e+01     2.1461e+01      2.813e+03     3.2227e+00     4.7130e-02     3.364568e-01          1.0737e+00     4.3143e+00     1.9318e+00     

     10         0      1863      5.310e+01      2.221e+02     4.0798e+00     8.0487e+00     4.0865e+00      1.328e+03     1.2216e+01     3.2250e+00     1.294543e-01          7.3412e-01     9.4276e-01     4.8852e-01     
     10         1      1924      6.125e+01      4.103e+02     3.2215e+00     2.0716e+01     7.2046e+00      1.410e+03     6.1193e-01     8.1452e-04     1.294543e-01          5.4099e-01     1.4906e+00     6.9138e-01     

