# Kona Param. Contn. convergence history (opt tol = 1.249000e-06 | feas tol = 7.403378e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      7.800e+01      7.800e+01     1.2490e+01     0.0000e+00     7.4034e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0000e+00     0.0000e+00     1.1000e+01     

      1         0        10      7.696e+01      1.134e+02     1.2580e+01     4.9177e+00     7.4005e+01      6.382e-01     3.2776e-02     3.5769e-03     9.933410e-01          1.0133e+00     7.3249e-01     1.1000e+01     
      1         1        59      7.695e+01      1.136e+02     1.2574e+01     4.9449e+00     7.3972e+01      6.386e-01     8.8855e-05     4.8932e-05     9.933410e-01          1.0132e+00     7.3671e-01     1.0995e+01     

      2         0       116      7.423e+01      2.063e+02     1.2780e+01     1.7826e+01     7.3726e+01      3.445e+00     2.2614e-01     2.2382e-02     9.760331e-01          1.0471e+00     2.6569e+00     1.0985e+01     
      2         1       173      7.415e+01      2.068e+02     1.2734e+01     1.7900e+01     7.3491e+01      3.508e+00     8.0842e-04     4.1777e-04     9.760331e-01          1.0457e+00     2.6671e+00     1.0933e+01     

      3         0       230      7.138e+01      2.970e+02     1.2851e+01     3.0488e+01     7.2791e+01      8.257e+00     2.2259e-01     1.6869e-02     9.590162e-01          1.0761e+00     4.5444e+00     1.0854e+01     
      3         1       291      7.133e+01      2.963e+02     1.2802e+01     3.0403e+01     7.2562e+01      8.487e+00     8.3770e-04     5.3840e-04     9.590162e-01          1.0742e+00     4.5273e+00     1.0803e+01     

      4         0       348      6.790e+01      4.017e+02     1.2830e+01     4.5143e+01     7.1152e+01      1.812e+01     3.2469e-01     2.1004e-02     9.381000e-01          1.1065e+00     6.7203e+00     1.0619e+01     
      4         1       405      6.787e+01      3.989e+02     1.2755e+01     4.4778e+01     7.0830e+01      1.887e+01     1.8336e-03     1.8326e-03     9.381000e-01          1.1035e+00     6.6562e+00     1.0551e+01     

