# Kona Param. Contn. convergence history (opt tol = 2.500000e-07 | feas tol = 7.913438e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      3.125e+00      3.125e+00     2.5000e+00     0.0000e+00     7.9134e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          5.0000e-01     0.0000e+00     1.2500e+01     

      1         0        10      3.086e+00      4.264e+01     2.1618e+00     4.9721e+00     7.9152e+01      1.453e-01     3.2219e-02     3.3519e-03     9.936853e-01          5.2842e-01     7.8934e-01     1.2516e+01     
      1         1        19      3.095e+00      4.286e+01     2.1602e+00     4.9998e+00     7.9104e+01      1.457e-01     1.3190e-04     1.0322e-05     9.936853e-01          5.2857e-01     7.9358e-01     1.2494e+01     

      2         0        28      3.066e+00      9.580e+01     2.5817e+00     1.1664e+01     7.8999e+01      7.368e-01     5.8071e-02     5.0898e-03     9.852983e-01          6.7593e-01     1.8506e+00     1.2457e+01     
      2         1        39      3.082e+00      9.600e+01     2.5500e+00     1.1692e+01     7.8914e+01      7.441e-01     2.0406e-05     1.2809e-04     9.852983e-01          6.5181e-01     1.8479e+00     1.2420e+01     

      3         0        48      3.087e+00      1.492e+02     3.5585e+00     1.8404e+01     7.8636e+01      1.836e+00     5.9455e-02     8.4677e-03     9.768756e-01          1.2957e+00     2.9028e+00     1.2306e+01     
      3         1        59      3.100e+00      1.491e+02     3.4478e+00     1.8407e+01     7.8557e+01      1.857e+00     1.4741e-04     5.7601e-04     9.768756e-01          1.2349e+00     2.8853e+00     1.2277e+01     

      4         0        72      3.134e+00      2.049e+02     4.5415e+00     2.5481e+01     7.8099e+01      3.639e+00     6.6656e-02     6.8953e-03     9.679437e-01          1.8072e+00     3.9622e+00     1.2093e+01     
      4         1        85      3.146e+00      2.047e+02     4.4267e+00     2.5467e+01     7.8015e+01      3.686e+00     3.9986e-05     2.9864e-06     9.679437e-01          1.7506e+00     3.9434e+00     1.2065e+01     

      5         0        98      3.214e+00      2.660e+02     5.4766e+00     3.3287e+01     7.7325e+01      6.603e+00     8.3297e-02     1.0317e-02     9.578910e-01          2.2621e+00     5.0916e+00     1.1797e+01     
      5         1       109      3.222e+00      2.654e+02     5.3115e+00     3.3227e+01     7.7232e+01      6.704e+00     1.0331e-04     5.9038e-04     9.578910e-01          2.1838e+00     5.0601e+00     1.1774e+01     

      6         0       122      3.327e+00      3.343e+02     6.1976e+00     4.2094e+01     7.6229e+01      1.161e+01     1.1105e-01     1.5744e-02     9.461088e-01          2.6029e+00     6.3035e+00     1.1411e+01     
      6         1       135      3.331e+00      3.334e+02     5.9886e+00     4.1982e+01     7.6118e+01      1.183e+01     2.5027e-04     4.7693e-05     9.461088e-01          2.5064e+00     6.2591e+00     1.1395e+01     

      7         0       148      3.476e+00      4.129e+02     6.6049e+00     5.2290e+01     7.4648e+01      2.059e+01     1.5923e-01     2.4096e-02     9.316173e-01          2.7954e+00     7.6288e+00     1.0916e+01     
      7         1       161      3.470e+00      4.109e+02     6.3615e+00     5.2051e+01     7.4503e+01      2.107e+01     6.0489e-04     1.1511e-04     9.316173e-01          2.6842e+00     7.5643e+00     1.0911e+01     

      8         0       174      3.654e+00      5.041e+02     6.5976e+00     6.4251e+01     7.2265e+01      3.804e+01     2.4602e-01     3.8619e-02     9.127236e-01          2.7995e+00     9.0920e+00     1.0284e+01     
      8         1       187      3.635e+00      5.002e+02     6.3406e+00     6.3751e+01     7.2060e+01      3.911e+01     1.9026e-03     3.0386e-04     9.127236e-01          2.6824e+00     8.9954e+00     1.0293e+01     

      9         0       200      3.849e+00      6.084e+02     6.0850e+00     7.8102e+01     6.8428e+01      7.553e+01     4.0510e-01     7.0908e-02     8.862177e-01          2.5788e+00     1.0680e+01     9.4488e+00     
      9         1       215      3.807e+00      5.999e+02     5.8508e+00     7.7012e+01     6.8136e+01      7.791e+01     8.9896e-04     2.0802e-04     8.862177e-01          2.4711e+00     1.0525e+01     9.4780e+00     

     10         0       230      4.048e+00      7.123e+02     4.8964e+00     9.2396e+01     6.1806e+01      1.645e+02     6.5237e-01     1.7121e-01     8.455814e-01          2.0613e+00     1.2191e+01     8.2807e+00     
     10         1       247      3.958e+00      6.944e+02     4.8852e+00     9.0076e+01     6.1489e+01      1.686e+02     2.6597e-03     1.6248e-03     8.455814e-01          2.0489e+00     1.1923e+01     8.3457e+00     

     11         0       262      4.164e+00      7.529e+02     3.5001e+00     9.9384e+01     5.1463e+01      3.528e+02     5.6541e-01     4.2266e-01     7.856596e-01          1.4620e+00     1.2726e+01     6.7674e+00     
     11         1       281      4.026e+00      7.306e+02     3.6869e+00     9.6369e+01     5.1607e+01      3.507e+02     3.6138e-03     3.1364e-03     7.856596e-01          1.5241e+00     1.2438e+01     6.8986e+00     

     12         0       298      4.131e+00      6.633e+02     2.1694e+00     9.0783e+01     3.7115e+01      6.708e+02     6.3819e-01     9.9567e-01     6.942945e-01          8.3559e-01     1.1377e+01     4.8901e+00     
     12         1       321      3.938e+00      6.563e+02     2.5006e+00     8.9374e+01     3.8491e+01      6.406e+02     4.1711e-02     1.9890e-03     6.942945e-01          1.0019e+00     1.1331e+01     5.1424e+00     

     13         0       340      3.789e+00      5.191e+02     1.6108e+00     7.4371e+01     2.6950e+01      8.801e+02     1.3001e+00     8.6735e-01     6.034087e-01          6.0197e-01     9.2340e+00     3.6479e+00     
     13         1       363      3.752e+00      5.310e+02     1.7946e+00     7.5394e+01     2.8322e+01      8.490e+02     3.6707e-02     3.0459e-03     6.034087e-01          6.8761e-01     9.4858e+00     3.8356e+00     

     14         0       386      3.560e+00      3.783e+02     1.2227e+00     5.7845e+01     1.8812e+01      9.729e+02     1.4338e+00     8.0616e-01     5.062368e-01          4.1889e-01     7.1354e+00     2.6248e+00     
     14         1       413      3.507e+00      3.938e+02     1.2992e+00     5.9382e+01     2.0004e+01      9.493e+02     3.1157e-02     2.7166e-03     5.062368e-01          4.7104e-01     7.4372e+00     2.7810e+00     

     15         0       438      3.235e+00      2.368e+02     8.6008e-01     4.0731e+01     1.1611e+01      9.336e+02     1.5345e+00     9.1048e-01     3.934913e-01          2.6191e-01     4.9506e+00     1.7246e+00     
     15         1       465      3.215e+00      2.537e+02     9.0953e-01     4.2308e+01     1.2747e+01      9.177e+02     4.8258e-02     6.9108e-03     3.934913e-01          3.0466e-01     5.2903e+00     1.8618e+00     

     16         0       490      2.918e+00      1.101e+02     5.6310e-01     2.4313e+01     5.5616e+00      7.265e+02     1.4214e+00     1.0748e+00     2.626442e-01          1.4370e-01     2.9370e+00     9.4683e-01     
     16         1       525      2.938e+00      1.259e+02     5.7058e-01     2.5380e+01     6.6174e+00      7.209e+02     1.0640e-01     4.9797e-03     2.626442e-01          1.7065e-01     3.1834e+00     1.0694e+00     

     17         0       554      2.803e+00      7.315e+01     4.1042e-01     1.7712e+01     3.9958e+00      5.652e+02     2.7542e-01     2.5621e-01     1.940573e-01          1.1189e-01     2.1627e+00     7.2499e-01     
     17         1       593      2.804e+00      7.629e+01     4.1390e-01     1.7833e+01     4.2076e+00      5.649e+02     8.3699e-03     2.7441e-03     1.940573e-01          1.1600e-01     2.2320e+00     7.3655e-01     

     18         0       626      2.733e+00      5.228e+01     3.2549e-01     1.3777e+01     2.9744e+00      4.618e+02     1.0383e-01     9.5635e-02     1.543622e-01          8.6713e-02     1.7039e+00     5.6294e-01     
     18         1       667      2.729e+00      5.315e+01     3.2550e-01     1.3748e+01     3.0338e+00      4.618e+02     1.9705e-03     6.5544e-04     1.543622e-01          8.7789e-02     1.7236e+00     5.6343e-01     

     19         0       702      2.668e+00      3.504e+01     2.4436e-01     1.0214e+01     2.0474e+00      3.595e+02     1.0174e-01     9.0660e-02     1.176229e-01          6.2323e-02     1.2632e+00     4.1045e-01     
