# Kona Param. Contn. convergence history (opt tol = 1.781853e-07 | feas tol = 7.837251e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      2.000e+00      2.000e+00     1.7819e+00     0.0000e+00     7.8373e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          5.0000e-01     0.0000e+00     1.1500e+01     

      1         0        10      1.980e+00      4.116e+01     1.2731e+00     4.9891e+00     7.8386e+01      1.384e-01     3.2160e-02     3.3587e-03     9.936224e-01          4.5217e-01     7.3343e-01     1.1522e+01     
      1         1        35      1.986e+00      4.138e+01     1.2700e+00     5.0174e+00     7.8347e+01      1.389e-01     3.4012e-05     6.4944e-06     9.936224e-01          4.5169e-01     7.3822e-01     1.1507e+01     

      2         0        60      1.978e+00      9.394e+01     1.1226e+00     1.1712e+01     7.8260e+01      7.223e-01     5.8077e-02     4.9645e-03     9.851453e-01          3.8734e-01     1.7229e+00     1.1496e+01     
      2         1        85      1.989e+00      9.417e+01     1.1142e+00     1.1743e+01     7.8189e+01      7.298e-01     2.7826e-04     2.0778e-04     9.851453e-01          3.8841e-01     1.7247e+00     1.1468e+01     

      3         0       110      2.005e+00      1.470e+02     1.6331e+00     1.8486e+01     7.7961e+01      1.816e+00     5.9420e-02     4.3195e-03     9.766444e-01          6.3832e-01     2.7087e+00     1.1403e+01     
      3         1       147      2.013e+00      1.471e+02     1.5904e+00     1.8495e+01     7.7890e+01      1.838e+00     1.3709e-05     1.3258e-05     9.766444e-01          6.1451e-01     2.7033e+00     1.1378e+01     

      4         0       172      2.052e+00      2.031e+02     2.3126e+00     2.5658e+01     7.7498e+01      3.636e+00     6.8054e-02     4.8753e-03     9.675653e-01          9.8994e-01     3.7320e+00     1.1259e+01     
      4         1       209      2.058e+00      2.030e+02     2.2363e+00     2.5644e+01     7.7422e+01      3.686e+00     3.5073e-05     3.4507e-05     9.675653e-01          9.5317e-01     3.7189e+00     1.1234e+01     

      5         0       234      2.120e+00      2.647e+02     2.9516e+00     3.3554e+01     7.6815e+01      6.644e+00     8.4991e-02     6.6752e-03     9.573704e-01          1.2908e+00     4.8286e+00     1.1053e+01     
      5         1       267      2.125e+00      2.642e+02     2.8430e+00     3.3504e+01     7.6724e+01      6.751e+00     1.0686e-04     5.1251e-05     9.573704e-01          1.2408e+00     4.8063e+00     1.1030e+01     

      6         0       292      2.212e+00      3.343e+02     3.4611e+00     4.2524e+01     7.5806e+01      1.179e+01     1.1471e-01     1.0609e-02     9.453623e-01          1.5223e+00     6.0339e+00     1.0771e+01     
      6         1       313      2.213e+00      3.333e+02     3.3231e+00     4.2408e+01     7.5691e+01      1.202e+01     4.3483e-04     2.6526e-04     9.453623e-01          1.4602e+00     5.9997e+00     1.0754e+01     

      7         0       338      2.326e+00      4.149e+02     3.7725e+00     5.2961e+01     7.4286e+01      2.117e+01     1.6693e-01     1.8392e-02     9.304844e-01          1.6613e+00     7.3859e+00     1.0395e+01     
      7         1       375      2.324e+00      4.128e+02     3.6070e+00     5.2712e+01     7.4128e+01      2.168e+01     2.1518e-04     1.5247e-04     9.304844e-01          1.5877e+00     7.3317e+00     1.0382e+01     

      8         0       400      2.465e+00      5.090e+02     3.8054e+00     6.5252e+01     7.1895e+01      3.971e+01     2.6076e-01     2.9408e-02     9.109262e-01          1.6755e+00     8.9174e+00     9.8859e+00     
      8         1       437      2.451e+00      5.047e+02     3.6386e+00     6.4712e+01     7.1669e+01      4.088e+01     3.4869e-04     1.3191e-04     9.109262e-01          1.6017e+00     8.8272e+00     9.8801e+00     

      9         0       462      2.617e+00      6.161e+02     3.5047e+00     7.9431e+01     6.7917e+01      8.029e+01     4.3069e-01     6.1509e-02     8.832316e-01          1.5420e+00     1.0614e+01     9.1681e+00     
      9         1       499      2.584e+00      6.067e+02     3.3729e+00     7.8237e+01     6.7599e+01      8.290e+01     5.5588e-04     1.5462e-04     8.832316e-01          1.4840e+00     1.0450e+01     9.1709e+00     

     10         0       524      2.753e+00      7.190e+02     2.8404e+00     9.3583e+01     6.0958e+01      1.773e+02     6.7729e-01     1.7343e-01     8.406331e-01          1.2481e+00     1.2211e+01     8.0920e+00     
     10         1       561      2.705e+00      6.998e+02     2.8082e+00     9.1102e+01     6.0637e+01      1.814e+02     1.6207e-03     1.8733e-04     8.406331e-01          1.2349e+00     1.1915e+01     8.1183e+00     

     11         0       586      2.803e+00      7.498e+02     1.9927e+00     9.9378e+01     5.0098e+01      3.807e+02     5.1935e-01     4.5331e-01     7.775316e-01          8.7278e-01     1.2694e+01     6.6057e+00     
     11         1       619      2.775e+00      7.274e+02     2.1054e+00     9.6336e+01     5.0326e+01      3.768e+02     4.1067e-03     3.0325e-03     7.775316e-01          9.2579e-01     1.2382e+01     6.7028e+00     

     12         0       644      2.834e+00      6.489e+02     1.2734e+00     8.9234e+01     3.6021e+01      6.950e+02     7.4812e-01     9.9085e-01     6.858647e-01          5.5097e-01     1.1181e+01     4.7888e+00     
     12         1       673      2.767e+00      6.449e+02     1.4537e+00     8.8205e+01     3.7442e+01      6.633e+02     4.2297e-02     4.3701e-03     6.858647e-01          6.3498e-01     1.1195e+01     5.0239e+00     

     13         0       698      2.742e+00      5.049e+02     9.9730e-01     7.2727e+01     2.6108e+01      8.931e+02     1.3390e+00     8.5039e-01     5.944104e-01          4.1154e-01     9.0538e+00     3.5563e+00     
     13         1       727      2.700e+00      5.175e+02     1.0847e+00     7.3875e+01     2.7467e+01      8.625e+02     3.3400e-02     4.1785e-03     5.944104e-01          4.5663e-01     9.3156e+00     3.7522e+00     

     14         0       748      2.633e+00      3.632e+02     8.4865e-01     5.6038e+01     1.8031e+01      9.746e+02     1.4706e+00     8.1754e-01     4.954251e-01          3.0471e-01     6.9208e+00     2.5399e+00     
     14         1       769      2.594e+00      3.790e+02     8.3837e-01     5.7628e+01     1.9225e+01      9.516e+02     3.4549e-02     4.7750e-03     4.954251e-01          3.2611e-01     7.2332e+00     2.7020e+00     

     15         0       790      2.485e+00      2.225e+02     6.3672e-01     3.8910e+01     1.0938e+01      9.188e+02     1.5543e+00     9.0759e-01     3.806318e-01          2.0032e-01     4.7212e+00     1.6478e+00     
     15         1       815      2.474e+00      2.393e+02     6.6255e-01     4.0492e+01     1.2063e+01      9.042e+02     4.6408e-02     7.4894e-04     3.806318e-01          2.2213e-01     5.0692e+00     1.7867e+00     

     16         0       840      2.375e+00      9.741e+01     4.7829e-01     2.2509e+01     4.9786e+00      6.908e+02     1.4423e+00     1.0686e+00     2.466861e-01          1.1599e-01     2.7310e+00     8.6525e-01     
     16         1       861      2.369e+00      1.130e+02     4.4074e-01     2.3521e+01     6.0188e+00      6.867e+02     1.0696e-01     5.8694e-04     2.466861e-01          1.2785e-01     2.9530e+00     9.9388e-01     

     17         0       890      2.341e+00      6.508e+01     3.3218e-01     1.6378e+01     3.6002e+00      5.317e+02     2.5749e-01     2.5769e-01     1.811012e-01          8.7423e-02     1.9996e+00     6.6014e-01     
     17         1       919      2.342e+00      6.804e+01     3.3849e-01     1.6466e+01     3.8117e+00      5.315e+02     8.6578e-03     1.7888e-05     1.811012e-01          9.0456e-02     2.0635e+00     6.8215e-01     

     18         0       948      2.333e+00      4.684e+01     2.7136e-01     1.2746e+01     2.6987e+00      4.330e+02     9.3573e-02     8.9681e-02     1.440045e-01          6.9540e-02     1.5788e+00     5.1737e-01     
     18         1       977      2.333e+00      4.763e+01     2.7008e-01     1.2716e+01     2.7605e+00      4.330e+02     1.4382e-03     3.6007e-06     1.440045e-01          7.0039e-02     1.5960e+00     5.2326e-01     

     19         0      1006      2.329e+00      3.096e+01     2.0284e-01     9.3135e+00     1.8324e+00      3.316e+02     9.7507e-02     8.9699e-02     1.080951e-01          5.0742e-02     1.1521e+00     3.7495e-01     
     19         1      1035      2.329e+00      3.168e+01     2.0206e-01     9.2708e+00     1.8861e+00      3.317e+02     1.6240e-03     1.4522e-06     1.080951e-01          5.1183e-02     1.1668e+00     3.7991e-01     

     20         0      1064      2.328e+00      1.757e+01     1.2701e-01     5.7500e+00     1.0360e+00      2.150e+02     1.1062e-01     1.1420e-01     6.876651e-02          3.1015e-02     7.0571e-01     2.2812e-01     
     20         1      1093      2.328e+00      1.835e+01     1.2688e-01     5.7068e+00     1.0877e+00      2.152e+02     2.5710e-03     5.8994e-07     6.876651e-02          3.1553e-02     7.2159e-01     2.3341e-01     

     21         0      1122      2.329e+00      6.008e+00     3.6574e-02     1.7024e+00     3.0937e-01      6.885e+01     1.1790e-01     1.7208e-01     2.131073e-02          8.5720e-03     2.1356e-01     6.2783e-02     
     21         1      1147      2.329e+00      6.700e+00     3.9504e-02     1.6959e+00     3.0850e-01      6.926e+01     3.4986e-03     1.4957e-05     2.131073e-02          9.5067e-03     2.1627e-01     6.9500e-02     

     22         0      1168      2.330e+00      2.334e+00     1.0281e-03     7.7831e-03     3.1245e-02      3.518e+00     2.4952e-02     3.1697e-02     4.001379e-04          3.3313e-04     2.3008e-03     5.2007e-03     
     22         1      1197      2.330e+00      2.411e+00     7.1760e-04     3.1370e-02     5.6614e-03      3.593e+00     1.0509e-04     9.3311e-09     4.001379e-04          1.7392e-04     4.0026e-03     1.2828e-03     

     23         0      1222      2.331e+00      2.331e+00     3.2350e-05     1.1851e-04     1.1745e-05      2.332e+00     9.4722e-05     1.0819e-05     4.983955e-07          1.4533e-05     2.3269e-05     1.7653e-06     
     23         1      1271      2.331e+00      2.331e+00     3.0371e-06     3.8955e-05     7.0501e-06      2.332e+00     3.2500e-06     3.6091e-09     4.983955e-07          1.1813e-06     4.9849e-06     1.5976e-06     

     24         0      1300      2.331e+00      2.331e+00     3.0223e-06     2.5040e-05     4.5331e-06      2.332e+00     3.1848e-06     3.5706e-09     3.204407e-07          1.2275e-06     3.2053e-06     1.0273e-06     
     24         1      1333      2.331e+00      2.331e+00     5.6743e-07     2.5056e-05     4.5324e-06      2.332e+00     1.8408e-08     9.1720e-10     3.204407e-07          1.4035e-07     3.2044e-06     1.0271e-06     

     25         0      1370      2.331e+00      2.331e+00     5.6685e-07     2.5029e-05     4.5277e-06      2.332e+00     1.8959e-08     1.6332e-09     3.200888e-07          1.4024e-07     3.2052e-06     1.0273e-06     

     26         0      1407      2.331e+00      2.331e+00     5.6578e-07     2.4997e-05     4.5222e-06      2.332e+00     2.0768e-08     3.1452e-09     3.196595e-07          1.3969e-07     3.2052e-06     1.0273e-06     

     27         0      1444      2.331e+00      2.331e+00     5.6514e-07     2.4965e-05     4.5171e-06      2.332e+00     2.4488e-08     5.1066e-09     3.192310e-07          1.3964e-07     3.2052e-06     1.0272e-06     

     28         0      1481      2.331e+00      2.331e+00     5.6446e-07     2.4934e-05     4.5122e-06      2.332e+00     2.9933e-08     7.4037e-09     3.188027e-07          1.3955e-07     3.2052e-06     1.0272e-06     

     29         0      1522      2.331e+00      2.331e+00     5.6359e-07     2.4903e-05     4.5077e-06      2.332e+00     3.6764e-08     9.9852e-09     3.183744e-07          1.3923e-07     3.2052e-06     1.0272e-06     

     30         0      1563      2.331e+00      2.331e+00     5.6293e-07     2.4873e-05     4.5035e-06      2.332e+00     4.4925e-08     1.2818e-08     3.179466e-07          1.3916e-07     3.2052e-06     1.0271e-06     

