# Kona Param. Contn. convergence history (opt tol = 8.880456e-06 | feas tol = 4.537731e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      6.188e+01      6.188e+01     8.8805e+01     0.0000e+00     4.5377e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          5.2500e+01     0.0000e+00     1.3000e+01     

      1         0        10      2.936e+01      3.994e+01     5.7399e+01     2.2500e+00     4.6634e+01      2.731e-01     1.6555e-01     1.8953e-02     9.949865e-01          2.8114e+01     6.5175e-01     1.4293e+01     
      1         1        23      3.635e+01      4.713e+01     6.5482e+01     2.2935e+00     4.6255e+01      2.635e-01     4.9738e-05     3.9719e-05     9.949865e-01          3.4768e+01     7.0050e-01     1.3909e+01     

      2         0        36      2.502e+01      4.448e+01     5.2416e+01     4.0853e+00     4.6794e+01      4.429e-01     5.1659e-02     5.5987e-03     9.911274e-01          2.5523e+01     1.2669e+00     1.4397e+01     
      2         1        49      2.671e+01      4.623e+01     5.4531e+01     4.1005e+00     4.6687e+01      4.423e-01     1.0594e-04     3.3202e-05     9.911274e-01          2.7370e+01     1.2788e+00     1.4302e+01     

      3         0        62      2.000e+01      4.828e+01     4.5585e+01     5.8830e+00     4.7045e+01      6.238e-01     3.4920e-02     3.1973e-03     9.873410e-01          2.1765e+01     1.8560e+00     1.4609e+01     
      3         1        75      2.088e+01      4.918e+01     4.6796e+01     5.8936e+00     4.6977e+01      6.239e-01     2.2916e-04     3.5176e-05     9.873410e-01          2.2519e+01     1.8617e+00     1.4556e+01     

      4         0        92      1.584e+01      5.448e+01     3.9068e+01     7.9802e+00     4.7258e+01      8.577e-01     3.5333e-02     3.8639e-03     9.829462e-01          1.8627e+01     2.5429e+00     1.4797e+01     
      4         1       107      1.652e+01      5.516e+01     4.0101e+01     7.9877e+00     4.7194e+01      8.586e-01     1.5417e-05     9.2099e-05     9.829462e-01          1.9100e+01     2.5477e+00     1.4751e+01     

      5         0       124      1.254e+01      6.406e+01     3.2986e+01     1.0568e+01     4.7401e+01      1.198e+00     4.1220e-02     4.2472e-03     9.775288e-01          1.5681e+01     3.3943e+00     1.4942e+01     
