# Kona Param. Contn. convergence history (opt tol = 8.880456e-06 | feas tol = 4.537731e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      6.188e+01      6.188e+01     8.8805e+01     0.0000e+00     4.5377e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          5.2500e+01     0.0000e+00     1.3000e+01     

      1         0        10      2.936e+01      3.994e+01     5.7399e+01     2.2500e+00     4.6634e+01      2.731e-01     1.6555e-01     1.8953e-02     9.949865e-01          2.8114e+01     6.5175e-01     1.4293e+01     
      1         1        71      3.635e+01      4.713e+01     6.5481e+01     2.2936e+00     4.6255e+01      2.635e-01     3.9374e-04     2.4570e-06     9.949865e-01          3.4768e+01     7.0058e-01     1.3909e+01     

      2         0       132      2.501e+01      4.448e+01     5.2416e+01     4.0861e+00     4.6794e+01      4.429e-01     5.1627e-02     5.9371e-03     9.911268e-01          2.5526e+01     1.2666e+00     1.4397e+01     
      2         1       197      2.671e+01      4.623e+01     5.4530e+01     4.1009e+00     4.6687e+01      4.424e-01     4.3620e-06     7.0619e-08     9.911268e-01          2.7370e+01     1.2789e+00     1.4302e+01     

      3         0       258      2.001e+01      4.828e+01     4.5607e+01     5.8814e+00     4.7043e+01      6.235e-01     3.4618e-02     3.9147e-03     9.873475e-01          2.1772e+01     1.8541e+00     1.4609e+01     
      3         1       323      2.089e+01      4.917e+01     4.6807e+01     5.8907e+00     4.6977e+01      6.236e-01     1.6439e-05     3.8399e-07     9.873475e-01          2.2526e+01     1.8607e+00     1.4555e+01     

      4         0       384      1.583e+01      5.450e+01     3.9040e+01     7.9869e+00     4.7259e+01      8.585e-01     3.5696e-02     3.9122e-03     9.829323e-01          1.8613e+01     2.5450e+00     1.4798e+01     
      4         1       449      1.651e+01      5.519e+01     4.0083e+01     7.9946e+00     4.7195e+01      8.594e-01     1.8745e-05     4.2012e-07     9.829323e-01          1.9091e+01     2.5500e+00     1.4751e+01     

      5         0       510      1.254e+01      6.408e+01     3.2980e+01     1.0572e+01     4.7400e+01      1.199e+00     4.1059e-02     4.2414e-03     9.775197e-01          1.5677e+01     3.3959e+00     1.4942e+01     
