# Kona Param. Contn. convergence history (opt tol = 8.880456e-06 | feas tol = 3.712277e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      6.188e+01      6.188e+01     8.8805e+01     0.0000e+00     3.7123e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          5.2500e+01     0.0000e+00     1.3000e+01     

      1         0        10      2.845e+01      3.576e+01     5.6551e+01     1.9157e+00     3.7998e+01      2.731e-01     1.7613e-01     1.4055e-02     9.948056e-01          2.7667e+01     6.7528e-01     1.4340e+01     
      1         1        47      3.569e+01      4.313e+01     6.5099e+01     1.9512e+00     3.7739e+01      2.623e-01     2.4083e-04     9.7770e-05     9.948056e-01          3.4528e+01     7.2794e-01     1.3935e+01     

      2         0        84      3.145e+00      4.593e+01     1.8577e+01     1.0555e+01     4.0189e+01      1.734e+00     1.7175e+00     1.4263e-01     9.721718e-01          1.7825e+01     4.0469e+00     1.6762e+01     
      2         1       125      1.022e+01      5.271e+01     3.0157e+01     1.0762e+01     3.8529e+01      1.284e+00     3.2246e-03     1.8422e-05     9.721718e-01          1.3739e+01     4.2444e+00     1.5010e+01     

      3         0       166      1.695e+00      1.029e+02     4.7700e+00     2.4910e+01     3.8584e+01      4.855e+00     1.1536e+00     8.7111e-02     9.349018e-01          2.6030e+00     9.8622e+00     1.5419e+01     
      3         1       207      4.886e+00      1.029e+02     1.5365e+01     2.4384e+01     3.7524e+01      5.392e+00     2.4507e-03     2.8256e-05     9.349018e-01          6.2380e+00     9.5764e+00     1.4735e+01     

      4         0       244      3.412e+00      1.481e+02     7.8166e+00     3.5548e+01     3.5809e+01      1.386e+01     5.0686e-01     1.8724e-02     8.988640e-01          3.8517e+00     1.3679e+01     1.4051e+01     
      4         1       281      4.162e+00      1.448e+02     1.0082e+01     3.4585e+01     3.5350e+01      1.491e+01     1.8383e-03     6.7985e-05     8.988640e-01          4.6303e+00     1.3260e+01     1.3851e+01     

      5         0       318      4.155e+00      1.872e+02     5.4891e+00     4.4366e+01     3.1905e+01      3.727e+01     5.4926e-01     9.1242e-02     8.497744e-01          3.1884e+00     1.6293e+01     1.2450e+01     
      5         1       355      4.578e+00      1.809e+02     6.7772e+00     4.2739e+01     3.1581e+01      3.878e+01     3.9330e-03     4.0050e-04     8.497744e-01          3.5858e+00     1.5755e+01     1.2352e+01     

      6         0       388      6.148e+00      2.060e+02     3.8995e+00     4.7155e+01     2.5263e+01      9.592e+01     5.3840e-01     3.3470e-01     7.708973e-01          2.6673e+00     1.5896e+01     9.8844e+00     
      6         1       429      6.381e+00      1.985e+02     4.6121e+00     4.5379e+01     2.5423e+01      9.437e+01     8.3830e-03     2.2154e-04     7.708973e-01          2.8868e+00     1.5783e+01     1.0014e+01     

      7         0       458      1.062e+01      1.766e+02     3.4825e+00     3.6956e+01     1.6268e+01      1.919e+02     1.7115e+00     8.6727e-01     6.448467e-01          2.3992e+00     1.0654e+01     6.6010e+00     
      7         1       487      1.059e+01      1.796e+02     3.4147e+00     3.8087e+01     1.7513e+01      1.784e+02     8.6194e-02     4.7942e-03     6.448467e-01          2.3283e+00     1.2331e+01     7.0991e+00     

      8         0       520      1.700e+01      1.340e+02     2.8847e+00     2.4125e+01     1.0116e+01      2.356e+02     2.5303e+00     8.5640e-01     5.013869e-01          1.8861e+00     6.5824e+00     4.3264e+00     
      8         1       545      1.662e+01      1.452e+02     2.6270e+00     2.7025e+01     1.1369e+01      2.247e+02     8.2599e-02     8.2886e-04     5.013869e-01          1.7715e+00     8.2789e+00     4.7915e+00     

      9         0       574      2.573e+01      9.812e+01     1.8604e+00     1.2340e+01     5.5475e+00      2.159e+02     3.2934e+00     8.8321e-01     3.289039e-01          1.2028e+00     3.6442e+00     2.4542e+00     
      9         1       611      2.569e+01      1.139e+02     1.6251e+00     1.5508e+01     6.5745e+00      2.128e+02     2.1708e-01     3.1995e-03     3.289039e-01          1.0420e+00     4.7153e+00     2.8406e+00     

     10         0       640      3.625e+01      8.895e+01     7.3971e-01     5.6205e+00     3.3646e+00      1.580e+02     2.7613e+00     5.9418e-01     1.734707e-01          3.8741e-01     1.8258e+00     1.8509e+00     
     10         1       673      3.885e+01      1.032e+02     7.2605e-01     7.3632e+00     3.6758e+00      1.615e+02     4.1165e-01     2.0532e-04     1.734707e-01          4.0469e-01     2.3941e+00     1.8252e+00     

     11         0       743      4.656e+01      1.006e+02     4.3824e-01     4.1507e+00     2.6923e+00      1.367e+02     6.5452e-01     1.7038e-01     1.130124e-01          2.2878e-01     1.2219e+00     1.4583e+00     
     11         1       776      4.803e+01      1.043e+02     4.2159e-01     4.4769e+00     2.6773e+00      1.375e+02     2.8812e-02     5.3199e-05     1.130124e-01          2.2019e-01     1.2830e+00     1.4203e+00     

     12         0       809      5.511e+01      1.061e+02     2.8188e-01     2.9312e+00     2.1406e+00      1.254e+02     2.9056e-01     9.5001e-02     7.939817e-02          1.3750e-01     8.4442e-01     1.1798e+00     
     12         1       850      5.618e+01      1.079e+02     2.7065e-01     3.0565e+00     2.1123e+00      1.257e+02     7.7393e-03     8.5849e-06     7.939817e-02          1.2890e-01     8.6015e-01     1.1566e+00     

     13         0       887      6.399e+01      1.108e+02     1.7523e-01     1.9819e+00     1.6856e+00      1.187e+02     1.9990e-01     8.0575e-02     5.482490e-02          8.4741e-02     5.7870e-01     9.4325e-01     
