# Kona Param. Contn. convergence history (opt tol = 6.772707e-05 | feas tol = 1.875477e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      0.000e+00      0.000e+00     6.7727e+02     0.0000e+00     1.8755e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.8464e+02     0.0000e+00     1.1398e+01     

      1         0        10     -3.103e+02     -2.853e+02     6.1198e+02     1.3344e+00     1.8755e+02     -9.588e-02     5.3991e-02     3.4308e-04     9.992885e-01          1.6876e+02     8.1092e-02     1.1461e+01     
      1         1        19     -2.854e+02     -2.604e+02     6.1894e+02     1.3354e+00     1.8755e+02     -9.714e-02     1.0004e-04     1.2487e-08     9.992885e-01          1.7043e+02     8.1577e-02     1.1458e+01     

      2         0        28     -5.284e+02     -4.780e+02     5.6743e+02     2.6896e+00     1.8756e+02     -3.596e-01     4.2175e-02     2.9055e-04     9.985681e-01          1.5754e+02     1.6471e-01     1.1515e+01     
      2         1        37     -5.115e+02     -4.611e+02     5.7213e+02     2.6895e+00     1.8756e+02     -3.602e-01     2.4744e-04     1.3865e-07     9.985681e-01          1.5874e+02     1.6508e-01     1.1512e+01     

      3         0        46     -7.458e+02     -6.645e+02     5.2145e+02     4.3353e+00     1.8756e+02     -8.481e-01     4.9541e-02     3.7802e-04     9.976939e-01          1.4589e+02     2.6699e-01     1.1575e+01     
      3         1        57     -7.288e+02     -6.475e+02     5.2621e+02     4.3351e+00     1.8756e+02     -8.489e-01     1.3487e-04     3.2174e-07     9.976939e-01          1.4713e+02     2.6745e-01     1.1572e+01     

      4         0        68     -9.458e+02     -8.281e+02     4.7802e+02     6.2743e+00     1.8756e+02     -1.604e+00     5.4254e-02     4.6924e-04     9.966651e-01          1.3478e+02     3.8860e-01     1.1637e+01     
      4         1        79     -9.297e+02     -8.119e+02     4.8256e+02     6.2751e+00     1.8756e+02     -1.605e+00     2.2161e-04     4.3723e-07     9.966651e-01          1.3603e+02     3.8921e-01     1.1633e+01     

      5         0        90     -1.130e+03     -9.691e+02     4.3655e+02     8.5684e+00     1.8756e+02     -2.681e+00     6.0506e-02     5.6135e-04     9.954511e-01          1.2421e+02     5.3434e-01     1.1721e+01     
      5         1       101     -1.114e+03     -9.537e+02     4.4097e+02     8.5688e+00     1.8755e+02     -2.682e+00     4.6396e-04     1.2215e-06     9.954511e-01          1.2544e+02     5.3524e-01     1.1716e+01     

      6         0       112     -1.289e+03     -1.080e+03     3.9913e+02     1.1156e+01     1.8754e+02     -4.068e+00     6.1852e-02     6.2530e-04     9.940852e-01          1.1469e+02     7.0098e-01     1.1805e+01     
      6         1       125     -1.276e+03     -1.067e+03     4.0308e+02     1.1154e+01     1.8754e+02     -4.068e+00     1.1249e-04     2.8795e-07     9.940852e-01          1.1581e+02     7.0184e-01     1.1801e+01     

      7         0       138     -1.420e+03     -1.160e+03     3.6727e+02     1.3881e+01     1.8752e+02     -5.667e+00     5.4383e-02     6.5660e-04     9.926462e-01          1.0667e+02     8.7843e-01     1.1884e+01     
      7         1       151     -1.410e+03     -1.149e+03     3.7039e+02     1.3884e+01     1.8751e+02     -5.668e+00     1.5676e-04     5.3936e-07     9.926462e-01          1.0752e+02     8.7945e-01     1.1879e+01     

      8         0       164     -1.536e+03     -1.219e+03     3.3769e+02     1.6903e+01     1.8748e+02     -7.546e+00     5.4582e-02     7.1558e-04     9.910558e-01          9.9200e+01     1.0768e+00     1.1960e+01     
      8         1       177     -1.527e+03     -1.210e+03     3.4050e+02     1.6906e+01     1.8747e+02     -7.546e+00     2.1987e-04     8.9669e-07     9.910558e-01          9.9958e+01     1.0779e+00     1.1955e+01     

      9         0       190     -1.635e+03     -1.256e+03     3.1120e+02     2.0174e+01     1.8743e+02     -9.658e+00     5.2814e-02     7.2530e-04     9.893372e-01          9.2523e+01     1.2935e+00     1.2033e+01     
      9         1       203     -1.627e+03     -1.249e+03     3.1365e+02     2.0176e+01     1.8742e+02     -9.657e+00     3.0057e-04     1.3353e-06     9.893372e-01          9.3170e+01     1.2946e+00     1.2028e+01     

     10         0       216     -1.721e+03     -1.276e+03     2.8708e+02     2.3733e+01     1.8736e+02     -1.200e+01     5.2120e-02     7.3166e-04     9.874697e-01          8.6433e+01     1.5311e+00     1.2103e+01     
     10         1       229     -1.715e+03     -1.269e+03     2.8926e+02     2.3735e+01     1.8735e+02     -1.200e+01     4.2772e-04     1.8724e-06     9.874697e-01          8.7004e+01     1.5322e+00     1.2099e+01     

     11         0       242     -1.797e+03     -1.278e+03     2.6482e+02     2.7646e+01     1.8726e+02     -1.459e+01     5.2799e-02     7.3857e-04     9.854192e-01          8.0808e+01     1.7944e+00     1.2171e+01     
     11         1       257     -1.792e+03     -1.273e+03     2.6681e+02     2.7646e+01     1.8725e+02     -1.458e+01     2.3148e-04     5.1238e-07     9.854192e-01          8.1321e+01     1.7955e+00     1.2167e+01     

     12         0       272     -1.866e+03     -1.265e+03     2.4408e+02     3.1985e+01     1.8713e+02     -1.742e+01     5.4129e-02     1.0523e-03     9.831433e-01          7.5532e+01     2.0886e+00     1.2238e+01     
     12         1       285     -1.861e+03     -1.260e+03     2.4593e+02     3.1989e+01     1.8712e+02     -1.742e+01     5.2020e-04     2.5972e-06     9.831433e-01          7.6015e+01     2.0900e+00     1.2233e+01     

     13         0       298     -1.928e+03     -1.235e+03     2.2443e+02     3.6888e+01     1.8697e+02     -2.054e+01     5.9220e-02     1.0219e-03     9.805752e-01          7.0525e+01     2.4233e+00     1.2303e+01     
     13         1       313     -1.923e+03     -1.231e+03     2.2623e+02     3.6888e+01     1.8695e+02     -2.053e+01     5.2357e-04     1.0559e-06     9.805752e-01          7.0981e+01     2.4248e+00     1.2299e+01     

     14         0       328     -1.984e+03     -1.188e+03     2.0603e+02     4.2408e+01     1.8674e+02     -2.388e+01     6.2284e-02     1.4604e-03     9.776770e-01          6.5780e+01     2.8033e+00     1.2369e+01     
     14         1       343     -1.980e+03     -1.184e+03     2.0773e+02     4.2411e+01     1.8672e+02     -2.386e+01     5.0353e-04     2.6080e-07     9.776770e-01          6.6212e+01     2.8049e+00     1.2364e+01     

     15         0       356     -2.035e+03     -1.122e+03     1.8876e+02     4.8644e+01     1.8645e+02     -2.736e+01     6.7811e-02     1.2266e-03     9.744019e-01          6.1273e+01     3.2351e+00     1.2431e+01     
     15         1       373     -2.032e+03     -1.119e+03     1.9039e+02     4.8637e+01     1.8643e+02     -2.734e+01     3.0012e-04     2.2864e-06     9.744019e-01          6.1698e+01     3.2366e+00     1.2426e+01     

     16         0       388     -2.083e+03     -1.036e+03     1.7244e+02     5.5743e+01     1.8606e+02     -3.089e+01     7.4221e-02     1.7900e-03     9.706504e-01          5.6959e+01     3.7309e+00     1.2492e+01     
     16         1       403     -2.079e+03     -1.033e+03     1.7401e+02     5.5737e+01     1.8603e+02     -3.085e+01     6.6961e-04     6.7217e-07     9.706504e-01          5.7373e+01     3.7324e+00     1.2485e+01     

     17         0       418     -2.125e+03     -9.287e+02     1.5731e+02     6.3732e+01     1.8554e+02     -3.417e+01     8.0972e-02     1.8943e-03     9.664040e-01          5.2893e+01     4.2924e+00     1.2546e+01     
     17         1       433     -2.122e+03     -9.258e+02     1.5880e+02     6.3718e+01     1.8551e+02     -3.410e+01     5.1982e-04     1.4748e-06     9.664040e-01          5.3295e+01     4.2936e+00     1.2538e+01     

