# Kona Param. Contn. convergence history (opt tol = 3.615729e-03 | feas tol = 2.731300e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      1.205e+04      1.205e+04     3.6157e+04     0.0000e+00     2.7313e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          3.0954e+04     0.0000e+00     1.9000e+01     

      1         0         8      9.060e+06      9.060e+06     1.0437e+06     1.1511e-01     1.8058e+02      4.694e+03     5.3983e+02     9.8200e-02     9.995000e-01          8.6639e+05     9.5000e-02     1.2399e+02     
      1         1        15      8.312e+02      8.317e+02     3.5853e+03     1.5470e-01     3.0871e+01      5.917e-01     1.5729e+00     3.0327e-05     9.995000e-01          2.3428e+03     1.1176e-01     2.2297e+01     

      2         0        26      1.308e+04      1.308e+04     1.5780e+04     6.2515e-01     3.3389e+01      5.252e+01     6.2026e+01     1.1169e-01     9.962193e-01          9.3748e+03     4.9746e-01     2.1124e+01     
      2         1        35      1.017e+02      1.051e+02     2.8642e+02     1.1410e+00     3.0006e+01      7.146e-01     5.9773e-01     3.3858e-04     9.962193e-01          2.2964e+02     8.4111e-01     2.2093e+01     

      3         0        46      4.889e+01      5.074e+01     1.4824e+02     1.0944e+00     3.0354e+01      7.488e-01     5.9229e-01     1.6456e-01     9.934784e-01          1.2188e+02     8.8065e-01     2.2687e+01     
      3         1        59      2.748e+01      3.361e+01     1.5628e+02     2.0071e+00     3.0562e+01      7.220e-01     3.2243e-05     4.8612e-06     9.934784e-01          1.2332e+02     1.5133e+00     2.3030e+01     

      4         0        70      1.667e+01      1.946e+01     1.0170e+02     1.6211e+00     3.0674e+01      7.783e-01     1.5821e-01     2.3734e-01     9.906447e-01          8.3044e+01     1.3358e+00     2.3229e+01     
      4         1        83      1.860e+01      2.743e+01     1.1559e+02     2.8904e+00     3.0578e+01      8.059e-01     6.2972e-05     3.8037e-06     9.906447e-01          9.3158e+01     2.1893e+00     2.3135e+01     

      5         0        96      1.331e+01      1.689e+01     8.9366e+01     2.0793e+00     3.0547e+01      8.275e-01     7.6969e-02     3.0242e-01     9.880220e-01          7.2611e+01     1.7148e+00     2.3177e+01     
      5         1       107      1.406e+01      2.536e+01     9.3607e+01     3.7059e+00     3.0537e+01      8.737e-01     3.0517e-03     2.0433e-04     9.880220e-01          7.6124e+01     2.8153e+00     2.3159e+01     

      6         0       120      1.053e+01      1.497e+01     7.5317e+01     2.5833e+00     3.0422e+01      8.750e-01     8.3091e-02     3.7405e-01     9.851151e-01          6.1188e+01     2.1300e+00     2.3122e+01     
      6         1       133      1.102e+01      2.495e+01     7.7526e+01     4.5978e+00     3.0357e+01      9.460e-01     5.2414e-04     2.2140e-05     9.851151e-01          6.3359e+01     3.5039e+00     2.3066e+01     

      7         0       146      8.383e+00      1.381e+01     6.2869e+01     3.1798e+00     3.0130e+01      9.291e-01     1.1820e-01     4.5839e-01     9.815743e-01          5.0950e+01     2.6127e+00     2.2935e+01     
      7         1       157      8.741e+00      2.575e+01     6.4147e+01     5.6709e+00     3.0111e+01      1.036e+00     3.3896e-03     2.2076e-04     9.815743e-01          5.2508e+01     4.3344e+00     2.2915e+01     

      8         0       170      6.722e+00      1.334e+01     5.1915e+01     3.9211e+00     2.9715e+01      9.986e-01     1.7553e-01     5.6310e-01     9.770440e-01          4.1762e+01     3.2032e+00     2.2645e+01     
      8         1       181      7.016e+00      2.768e+01     5.2625e+01     7.0067e+00     2.9665e+01      1.162e+00     5.8594e-03     2.9931e-04     9.770440e-01          4.2989e+01     5.3746e+00     2.2602e+01     

