# Kona Param. Contn. convergence history (opt tol = 5.385165e-07 | feas tol = 2.103568e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      2.250e+00      2.250e+00     5.3852e+00     0.0000e+00     2.1036e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          4.0000e+00     0.0000e+00     9.5000e+00     

      1         0        10      2.184e+00      3.202e+00     5.2780e+00     4.8387e-01     2.1043e+01      6.274e-03     1.1353e-03     1.4466e-04     9.976998e-01          3.9287e+00     2.1852e-01     9.4954e+00     
      1         1        19      2.185e+00      3.206e+00     5.2792e+00     4.8509e-01     2.1041e+01      6.274e-03     6.3867e-06     7.4537e-08     9.976998e-01          3.9296e+00     2.1890e-01     9.4950e+00     

      2         0        28      1.946e+00      6.938e+00     4.8734e+00     2.3698e+00     2.1059e+01      5.179e-02     1.7393e-02     2.0913e-03     9.887812e-01          3.6602e+00     1.0687e+00     9.4744e+00     
      2         1        39      1.961e+00      6.984e+00     4.8901e+00     2.3845e+00     2.1039e+01      5.206e-02     1.3924e-06     1.8945e-06     9.887812e-01          3.6734e+00     1.0730e+00     9.4684e+00     

      3         0        50      1.773e+00      1.062e+01     4.5371e+00     4.1982e+00     2.1019e+01      1.290e-01     1.5945e-02     1.5411e-03     9.803003e-01          3.4418e+00     1.8858e+00     9.4373e+00     
      3         1        61      1.785e+00      1.065e+01     4.5510e+00     4.2058e+00     2.1001e+01      1.301e-01     4.3101e-06     3.8444e-06     9.803003e-01          3.4527e+00     1.8881e+00     9.4317e+00     

      4         0        72      1.622e+00      1.447e+01     4.2145e+00     6.0922e+00     2.0943e+01      2.500e-01     1.7399e-02     1.2699e-03     9.714971e-01          3.2342e+00     2.7293e+00     9.3877e+00     
      4         1        83      1.633e+00      1.448e+01     4.2287e+00     6.0941e+00     2.0924e+01      2.526e-01     1.0499e-05     5.0613e-06     9.714971e-01          3.2450e+00     2.7304e+00     9.3815e+00     

      5         0        94      1.486e+00      1.863e+01     3.8935e+00     8.1360e+00     2.0818e+01      4.392e-01     2.0740e-02     1.0718e-03     9.618938e-01          3.0290e+00     3.6362e+00     9.3200e+00     
      5         1       105      1.497e+00      1.863e+01     3.9096e+00     8.1302e+00     2.0795e+01      4.449e-01     2.4300e-05     1.5623e-06     9.618938e-01          3.0410e+00     3.6360e+00     9.3124e+00     

      6         0       116      1.361e+00      2.331e+01     3.5627e+00     1.0425e+01     2.0621e+01      7.472e-01     2.6984e-02     1.1001e-03     9.508728e-01          2.8182e+00     4.6488e+00     9.2247e+00     
      6         1       127      1.373e+00      2.328e+01     3.5828e+00     1.0406e+01     2.0592e+01      7.593e-01     5.6493e-05     1.2337e-05     9.508728e-01          2.8328e+00     4.6465e+00     9.2148e+00     

      7         0       138      1.243e+00      2.871e+01     3.2138e+00     1.3065e+01     2.0312e+01      1.280e+00     3.7992e-02     1.9776e-03     9.375824e-01          2.5953e+00     5.8127e+00     9.0860e+00     
      7         1       149      1.257e+00      2.862e+01     3.2407e+00     1.3021e+01     2.0272e+01      1.306e+00     1.4036e-04     3.2116e-05     9.375824e-01          2.6145e+00     5.8061e+00     9.0721e+00     

      8         0       162      1.135e+00      3.500e+01     2.8503e+00     1.6166e+01     1.9815e+01      2.276e+00     5.7383e-02     1.9335e-03     9.206859e-01          2.3587e+00     7.1950e+00     8.8743e+00     
      8         1       173      1.152e+00      3.478e+01     2.8810e+00     1.6067e+01     1.9759e+01      2.335e+00     3.7648e-04     1.2963e-04     9.206859e-01          2.3810e+00     7.1581e+00     8.8544e+00     

      9         0       188      1.039e+00      4.222e+01     2.4687e+00     1.9798e+01     1.8993e+01      4.317e+00     9.2177e-02     7.0707e-03     8.978504e-01          2.0948e+00     8.8062e+00     8.5351e+00     
      9         1       203      1.062e+00      4.175e+01     2.5113e+00     1.9577e+01     1.8910e+01      4.450e+00     1.4658e-04     2.5526e-05     8.978504e-01          2.1292e+00     8.7186e+00     8.5070e+00     

     10         0       218      9.673e-01      4.983e+01     2.1047e+00     2.3823e+01     1.7563e+01      8.940e+00     1.5416e-01     2.4216e-02     8.644231e-01          1.8050e+00     1.0589e+01     7.9606e+00     
