# Kona Param. Contn. convergence history (opt tol = 1.732051e-07 | feas tol = 2.195450e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1     -1.000e+00     -1.000e+00     1.7321e+00     0.0000e+00     2.1954e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0000e+00     0.0000e+00     9.0000e+00     

      1         0        10     -1.067e+00      9.872e+00     1.7123e+00     4.9794e+00     2.1969e+01      1.035e-01     1.1459e-01     1.1842e-02     9.773195e-01          1.4990e+00     2.0412e+00     9.0227e+00     
      1         1        19     -1.059e+00      9.988e+00     1.7055e+00     5.0419e+00     2.1818e+01      1.087e-01     4.8401e-04     4.4194e-05     9.773195e-01          1.4924e+00     2.0754e+00     8.9867e+00     

      2         0        28     -1.186e+00      3.708e+01     3.0507e+00     1.7685e+01     2.1086e+01      1.732e+00     7.7563e-01     5.4886e-02     9.192447e-01          2.7158e+00     7.2803e+00     8.8587e+00     
      2         1        39     -1.123e+00      3.461e+01     2.5345e+00     1.6742e+01     2.0195e+01      2.372e+00     2.4795e-03     6.9042e-03     9.192447e-01          2.2911e+00     7.0424e+00     8.5818e+00     

      3         0        65     -1.121e+00      4.725e+01     3.0639e+00     2.3256e+01     1.8562e+01      6.506e+00     2.8972e-01     5.2502e-02     8.783880e-01          2.5074e+00     9.8792e+00     8.0986e+00     
      3         1        78     -1.104e+00      4.550e+01     2.7917e+00     2.2443e+01     1.8344e+01      7.002e+00     2.3844e-03     1.7191e-03     8.783880e-01          2.3205e+00     9.5999e+00     7.9917e+00     

      4         0        95     -1.036e+00      5.524e+01     2.9995e+00     2.8695e+01     1.4893e+01      2.110e+01     5.0618e-01     2.0432e-01     8.058742e-01          2.0929e+00     1.2317e+01     6.7865e+00     
      4         1       112     -1.031e+00      5.158e+01     2.5595e+00     2.6727e+01     1.4778e+01      2.175e+01     4.8633e-03     6.3913e-04     8.058742e-01          1.8911e+00     1.1587e+01     6.6693e+00     

      5         0       127     -8.828e-01      4.217e+01     1.8176e+00     2.5505e+01     8.5204e+00      5.868e+01     4.3788e-01     7.3092e-01     6.710946e-01          1.1632e+00     1.0750e+01     4.1414e+00     
      5         1       158     -1.049e+00      4.130e+01     1.5686e+00     2.4048e+01     9.2946e+00      5.405e+01     5.5318e-02     2.4141e-03     6.710946e-01          1.1432e+00     1.0455e+01     4.4012e+00     

      6         0       210     -1.319e+00      1.572e+01     5.9666e-01     1.4618e+01     3.2018e+00      8.146e+01     1.5817e+00     1.0432e+00     4.829896e-01          4.3923e-01     5.8221e+00     1.7553e+00     
      6         1       255     -1.232e+01      1.354e+01     3.3411e+00     1.3864e+01     4.9315e+00      8.005e+01     2.3147e+00     5.6872e-02     4.829896e-01          2.0618e+00     7.2208e+00     3.3056e+00     

      7         0       345     -1.175e+00      1.752e+01     4.4144e-01     1.4353e+01     3.9782e+00      7.583e+01     6.6503e-01     5.2340e-02     4.608275e-01          3.5650e-01     6.0874e+00     1.9944e+00     
      7         1       388     -2.776e+00      1.781e+01     1.3699e+00     1.4675e+01     4.1937e+00      7.485e+01     2.0054e-01     3.7935e-03     4.608275e-01          9.5503e-01     6.4845e+00     2.4140e+00     

      8         0       478     -1.959e+00      1.710e+01     9.7341e-01     1.4261e+01     3.9384e+00      7.464e+01     1.4861e-01     1.3022e-02     4.494884e-01          7.0943e-01     6.2239e+00     2.1928e+00     
      8         1       523     -2.804e+00      1.705e+01     1.3103e+00     1.4368e+01     4.0263e+00      7.438e+01     2.3025e-02     1.5341e-03     4.494884e-01          9.0431e-01     6.3392e+00     2.3295e+00     

      9         0       613     -1.457e+00      1.427e+01     5.0309e-01     1.2979e+01     3.3265e+00      7.383e+01     1.6140e-01     4.5842e-02     4.165944e-01          3.7708e-01     5.5621e+00     1.7811e+00     
      9         1       658     -1.924e+00      1.433e+01     8.2920e-01     1.3029e+01     3.4070e+00      7.351e+01     2.1630e-02     1.4513e-03     4.165944e-01          5.8046e-01     5.6325e+00     1.9143e+00     

     10         0       748     -1.692e+00      6.457e+00     3.4089e-01     9.4411e+00     1.8260e+00      6.646e+01     1.5355e-01     1.9702e-01     3.206166e-01          3.0139e-01     3.9045e+00     1.0319e+00     
     10         1       793     -1.735e+00      6.900e+00     4.2427e-01     9.4161e+00     2.0178e+00      6.589e+01     1.2575e-02     4.6674e-03     3.206166e-01          3.2023e-01     3.9408e+00     1.1366e+00     

     11         0       834     -2.071e+00     -3.539e+00     2.9961e-01     3.4438e+00     5.5505e-01      2.795e+01     4.9994e-01     8.1191e-01     1.152068e-01          2.2329e-01     1.2840e+00     3.4044e-01     
