# Kona Param. Contn. convergence history (opt tol = 1.732051e-07 | feas tol = 2.195450e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1     -1.000e+00     -1.000e+00     1.7321e+00     0.0000e+00     2.1954e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0000e+00     0.0000e+00     9.0000e+00     

      1         0        10     -1.007e+00      8.648e-02     1.7105e+00     4.9794e-01     2.1956e+01     -1.033e-03     1.1459e-03     1.1842e-04     9.977320e-01          1.0499e+00     2.0412e-01     9.0023e+00     
      1         1        17     -1.007e+00      8.897e-02     1.7104e+00     4.9905e-01     2.1954e+01     -1.033e-03     5.6452e-07     9.3824e-09     9.977320e-01          1.0500e+00     2.0462e-01     9.0019e+00     

      2         0        24     -1.032e+00      4.213e+00     1.6672e+00     2.3884e+00     2.1949e+01      1.764e-02     1.6505e-02     1.6067e-03     9.891608e-01          1.2390e+00     9.7946e-01     9.0079e+00     
      2         1        31     -1.030e+00      4.238e+00     1.6664e+00     2.4005e+00     2.1927e+01      1.789e-02     2.0404e-05     3.2632e-07     9.891608e-01          1.2388e+00     9.8546e-01     9.0028e+00     

      3         0        38     -1.052e+00      8.305e+00     1.6845e+00     4.2664e+00     2.1880e+01      7.271e-02     1.6190e-02     1.2591e-03     9.807756e-01          1.4225e+00     1.7527e+00     8.9985e+00     
      3         1        45     -1.051e+00      8.314e+00     1.6827e+00     4.2717e+00     2.1859e+01      7.379e-02     1.5072e-05     4.0221e-08     9.807756e-01          1.4199e+00     1.7567e+00     8.9934e+00     

      4         0        52     -1.071e+00      1.251e+01     1.7589e+00     6.2051e+00     2.1766e+01      1.737e-01     1.7596e-02     1.1570e-03     9.720859e-01          1.6040e+00     2.5553e+00     8.9783e+00     
      4         1        59     -1.070e+00      1.251e+01     1.7549e+00     6.2038e+00     2.1743e+01      1.763e-01     4.3492e-05     3.2076e-07     9.720859e-01          1.5988e+00     2.5576e+00     8.9725e+00     

      5         0        66     -1.089e+00      1.701e+01     1.8877e+00     8.2929e+00     2.1593e+01      3.441e-01     2.0962e-02     1.3449e-03     9.625976e-01          1.7870e+00     3.4260e+00     8.9435e+00     
      5         1        73     -1.087e+00      1.699e+01     1.8799e+00     8.2829e+00     2.1567e+01      3.498e-01     9.1040e-05     6.9687e-07     9.625976e-01          1.7783e+00     3.4259e+00     8.9361e+00     

      6         0        80     -1.105e+00      2.197e+01     2.0671e+00     1.0617e+01     2.1335e+01      6.325e-01     2.7001e-02     2.0268e-03     9.517433e-01          1.9710e+00     4.4043e+00     8.8868e+00     
      6         1        87     -1.102e+00      2.191e+01     2.0532e+00     1.0592e+01     2.1304e+01      6.445e-01     1.3318e-04     9.8429e-07     9.517433e-01          1.9573e+00     4.4002e+00     8.8762e+00     

      7         0        94     -1.118e+00      2.753e+01     2.2879e+00     1.3266e+01     2.0951e+01      1.139e+00     3.7307e-02     3.6389e-03     9.387542e-01          2.1483e+00     5.5340e+00     8.7950e+00     
      7         1       101     -1.115e+00      2.742e+01     2.2655e+00     1.3216e+01     2.0912e+01      1.165e+00     3.1838e-05     2.9286e-07     9.387542e-01          2.1284e+00     5.5210e+00     8.7787e+00     

      8         0       110     -1.126e+00      3.389e+01     2.5460e+00     1.6360e+01     2.0370e+01      2.090e+00     5.6073e-02     6.8955e-03     9.223273e-01          2.3128e+00     6.8695e+00     8.6376e+00     
      8         1       117     -1.122e+00      3.363e+01     2.4959e+00     1.6249e+01     2.0313e+01      2.146e+00     5.3734e-04     8.6967e-06     9.223273e-01          2.2717e+00     6.8380e+00     8.6159e+00     

      9         0       126     -1.125e+00      4.085e+01     2.7826e+00     1.9893e+01     1.9465e+01      3.989e+00     8.6218e-02     1.4564e-02     9.006486e-01          2.4096e+00     8.4244e+00     8.3724e+00     
      9         1       133     -1.119e+00      4.036e+01     2.7036e+00     1.9670e+01     1.9392e+01      4.109e+00     5.7261e-04     2.7688e-06     9.006486e-01          2.3504e+00     8.3502e+00     8.3377e+00     

     10         0       142     -1.105e+00      4.791e+01     2.9321e+00     2.3743e+01     1.8015e+01      8.100e+00     1.3695e-01     3.3905e-02     8.699360e-01          2.3777e+00     1.0148e+01     7.8999e+00     
     10         1       151     -1.097e+00      4.697e+01     2.8025e+00     2.3289e+01     1.7931e+01      8.333e+00     3.2991e-04     4.2733e-06     8.699360e-01          2.2918e+00     9.9844e+00     7.8498e+00     

     11         0       160     -1.051e+00      5.296e+01     2.8379e+00     2.7146e+01     1.5614e+01      1.762e+01     2.0365e-01     8.9450e-02     8.223679e-01          2.0937e+00     1.1695e+01     7.0306e+00     
