# Kona Param. Contn. convergence history (opt tol = 3.240370e-07 | feas tol = 2.388514e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1     -1.250e+00     -1.250e+00     3.2404e+00     0.0000e+00     2.3885e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          2.5000e+00     0.0000e+00     9.5000e+00     

      1         0        10     -1.272e+00     -8.904e-02     3.1879e+00     4.9504e-01     2.3891e+01     -1.385e-03     1.0386e-03     1.1811e-04     9.979274e-01          2.4845e+00     1.9689e-01     9.5041e+00     
      1         1        19     -1.271e+00     -8.611e-02     3.1880e+00     4.9614e-01     2.3890e+01     -1.384e-03     2.1113e-06     1.2026e-08     9.979274e-01          2.4844e+00     1.9737e-01     9.5036e+00     

      2         0        28     -1.359e+00      4.811e+00     2.9833e+00     2.5802e+00     2.3903e+01      1.944e-02     1.8458e-02     1.9931e-03     9.892372e-01          2.4192e+00     1.0266e+00     9.5168e+00     
      2         1        39     -1.354e+00      4.851e+00     2.9855e+00     2.5954e+00     2.3881e+01      1.973e-02     3.6751e-07     2.0892e-06     9.892372e-01          2.4188e+00     1.0333e+00     9.5076e+00     

      3         0        48     -1.430e+00      9.719e+00     2.8125e+00     4.6614e+00     2.3851e+01      8.449e-02     1.8560e-02     1.5878e-03     9.807151e-01          2.3541e+00     1.8564e+00     9.5030e+00     
      3         1        59     -1.424e+00      9.741e+00     2.8154e+00     4.6691e+00     2.3828e+01      8.583e-02     1.4730e-06     4.2591e-06     9.807151e-01          2.3540e+00     1.8600e+00     9.4935e+00     

      4         0        68     -1.493e+00      1.474e+01     2.6689e+00     6.7893e+00     2.3752e+01      2.041e-01     1.9729e-02     1.3311e-03     9.719770e-01          2.2870e+00     2.7056e+00     9.4704e+00     
      4         1        79     -1.485e+00      1.475e+01     2.6719e+00     6.7899e+00     2.3728e+01      2.073e-01     3.6502e-06     3.3502e-06     9.719770e-01          2.2872e+00     2.7062e+00     9.4603e+00     

      5         0        88     -1.549e+00      2.015e+01     2.5489e+00     9.0829e+00     2.3594e+01      4.074e-01     2.3335e-02     1.3061e-03     9.624335e-01          2.2136e+00     3.6215e+00     9.4141e+00     
      5         1        99     -1.541e+00      2.013e+01     2.5513e+00     9.0740e+00     2.3565e+01      4.144e-01     6.9088e-06     1.3034e-05     9.624335e-01          2.2140e+00     3.6182e+00     9.4026e+00     

      6         0       108     -1.599e+00      2.619e+01     2.4565e+00     1.1648e+01     2.3347e+01      7.555e-01     3.0123e-02     1.8393e-03     9.514649e-01          2.1294e+00     4.6461e+00     9.3233e+00     
      6         1       119     -1.591e+00      2.613e+01     2.4575e+00     1.1623e+01     2.3313e+01      7.703e-01     1.4574e-05     4.3163e-05     9.514649e-01          2.1299e+00     4.6364e+00     9.3095e+00     

      7         0       132     -1.642e+00      3.310e+01     2.4024e+00     1.4600e+01     2.2967e+01      1.378e+00     4.2214e-02     1.1520e-03     9.382108e-01          2.0285e+00     5.8272e+00     9.1895e+00     
      7         1       143     -1.631e+00      3.297e+01     2.3993e+00     1.4544e+01     2.2920e+01      1.410e+00     3.8884e-05     5.0843e-05     9.382108e-01          2.0294e+00     5.8121e+00     9.1758e+00     

      8         0       156     -1.669e+00      4.112e+01     2.4012e+00     1.8060e+01     2.2361e+01      2.570e+00     6.3923e-02     3.3529e-03     9.212855e-01          1.9017e+00     7.2400e+00     9.0043e+00     
      8         1       167     -1.655e+00      4.081e+01     2.3901e+00     1.7938e+01     2.2294e+01      2.642e+00     1.0798e-04     2.4825e-04     9.212855e-01          1.9039e+00     7.2048e+00     8.9837e+00     

