# Kona Param. Contn. convergence history (opt tol = 3.240370e-07 | feas tol = 2.629639e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1     -1.250e+00     -1.250e+00     3.2404e+00     0.0000e+00     2.6296e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          2.5000e+00     0.0000e+00     9.5000e+00     

      1         0        10     -1.445e+00      1.162e+01     2.7832e+00     4.9589e+00     2.6348e+01      1.003e-01     9.4507e-02     1.0660e-02     9.811421e-01          2.2548e+00     1.7915e+00     9.5377e+00     
      1         1        17     -1.419e+00      1.181e+01     2.7895e+00     5.0265e+00     2.6234e+01      1.040e-01     1.7368e-04     1.3435e-06     9.811421e-01          2.2538e+00     1.8188e+00     9.4964e+00     

      2         0        24     -1.479e+00      1.747e+01     2.6379e+00     7.2029e+00     2.6156e+01      2.349e-01     1.8448e-02     1.2253e-03     9.730040e-01          2.1477e+00     2.6071e+00     9.4766e+00     
      2         1        31     -1.474e+00      1.748e+01     2.6390e+00     7.2043e+00     2.6135e+01      2.380e-01     3.6086e-05     2.6070e-07     9.730040e-01          2.1483e+00     2.6081e+00     9.4689e+00     

      3         0        38     -1.533e+00      2.404e+01     2.4985e+00     9.7315e+00     2.5993e+01      4.726e-01     2.5314e-02     1.2557e-03     9.634822e-01          2.0255e+00     3.5237e+00     9.4275e+00     
      3         1        45     -1.527e+00      2.402e+01     2.4995e+00     9.7237e+00     2.5963e+01      4.805e-01     6.5036e-05     3.8934e-07     9.634822e-01          2.0267e+00     3.5215e+00     9.4167e+00     

      4         0        52     -1.579e+00      3.129e+01     2.3888e+00     1.2529e+01     2.5736e+01      8.749e-01     3.2118e-02     1.0639e-03     9.526975e-01          1.8904e+00     4.5373e+00     9.3456e+00     
      4         1        59     -1.571e+00      3.122e+01     2.3886e+00     1.2505e+01     2.5699e+01      8.915e-01     8.6689e-05     3.4419e-07     9.526975e-01          1.8924e+00     4.5293e+00     9.3321e+00     

      5         0        66     -1.614e+00      3.955e+01     2.3181e+00     1.5742e+01     2.5338e+01      1.588e+00     4.4830e-02     1.3022e-03     9.397567e-01          1.7345e+00     5.7017e+00     9.2223e+00     
      5         1        73     -1.604e+00      3.939e+01     2.3149e+00     1.5686e+01     2.5288e+01      1.624e+00     1.2562e-04     4.0348e-07     9.397567e-01          1.7383e+00     5.6883e+00     9.2092e+00     

      6         0        80     -1.629e+00      4.906e+01     2.3039e+00     1.9493e+01     2.4711e+01      2.931e+00     6.6892e-02     3.3732e-03     9.234419e-01          1.5502e+00     7.0858e+00     9.0570e+00     
      6         1        87     -1.614e+00      4.873e+01     2.2934e+00     1.9373e+01     2.4642e+01      3.011e+00     2.2051e-04     1.0508e-06     9.234419e-01          1.5572e+00     7.0541e+00     9.0372e+00     

      7         0        94     -1.601e+00      5.985e+01     2.3611e+00     2.3863e+01     2.3690e+01      5.670e+00     1.0596e-01     9.9724e-03     9.016449e-01          1.8503e+00     8.7206e+00     8.7846e+00     
      7         1       101     -1.579e+00      5.914e+01     2.3340e+00     2.3606e+01     2.3594e+01      5.849e+00     5.8698e-04     3.7601e-06     9.016449e-01          1.8015e+00     8.6476e+00     8.7532e+00     

      8         0       108     -1.475e+00      7.107e+01     2.4774e+00     2.8695e+01     2.1970e+01      1.175e+01     1.7299e-01     3.0082e-02     8.704280e-01          2.1829e+00     1.0562e+01     8.3124e+00     
      8         1       117     -1.449e+00      6.962e+01     2.4159e+00     2.8144e+01     2.1850e+01      1.211e+01     2.3234e-04     5.4110e-07     8.704280e-01          2.0988e+00     1.0398e+01     8.2646e+00     

      9         0       126     -1.131e+00      7.926e+01     2.5838e+00     3.3012e+01     1.8983e+01      2.620e+01     2.6559e-01     9.6770e-02     8.215463e-01          2.4164e+00     1.2225e+01     7.4444e+00     
      9         1       135     -1.122e+00      7.657e+01     2.4340e+00     3.1910e+01     1.8912e+01      2.658e+01     5.6669e-04     9.2244e-06     8.215463e-01          2.2420e+00     1.1914e+01     7.3993e+00     

     10         0       144     -3.372e-01      7.407e+01     2.3529e+00     3.3482e+01     1.3813e+01      5.980e+01     2.6799e-01     3.3904e-01     7.362059e-01          2.2209e+00     1.2314e+01     5.8517e+00     
     10         1       155     -5.160e-01      7.131e+01     2.1309e+00     3.1923e+01     1.4158e+01      5.780e+01     8.1094e-03     1.9539e-06     7.362059e-01          1.9794e+00     1.2022e+01     5.8980e+00     

     11         0       164      6.803e-01      3.858e+01     1.3363e+00     2.3519e+01     5.9387e+00      1.135e+02     1.3434e+00     1.2031e+00     5.694406e-01          1.1664e+00     7.7951e+00     3.1450e+00     
     11         1       175     -1.991e-01      4.332e+01     1.2478e+00     2.3417e+01     7.5867e+00      1.015e+02     1.5778e-01     7.3470e-05     5.694406e-01          1.0895e+00     8.7807e+00     3.5753e+00     

     12         0       195     -5.737e-01      4.362e-01     3.7123e-01     8.6940e+00     1.2638e+00      9.779e+01     2.8649e+00     1.9952e+00     3.095513e-01          2.4062e-01     3.0882e+00     6.6655e-01     
     12         1       206     -1.446e+00      1.000e+01     4.2227e-01     9.8861e+00     2.2654e+00      9.019e+01     5.9467e-01     2.6179e-04     3.095513e-01          2.7057e-01     3.5387e+00     1.2752e+00     

     13         0       228     -2.433e+00     -1.553e+00     1.8143e-01     4.2313e+00     3.5104e-01      4.608e+01     3.8436e-01     5.4225e-01     1.417013e-01          1.4029e-01     1.5519e+00     2.2196e-01     
     13         1       239     -2.685e+00     -2.967e-01     1.4661e-01     4.1570e+00     6.2796e-01      4.593e+01     1.3264e-01     4.5499e-05     1.417013e-01          1.2255e-01     1.5010e+00     3.8017e-01     

     14         0       261     -3.037e+00     -1.887e+00     1.0460e-01     2.9838e+00     3.4207e-01      3.257e+01     5.2221e-02     3.6219e-02     1.011946e-01          9.4316e-02     1.0890e+00     2.0687e-01     
     14         1       272     -3.093e+00     -1.876e+00     1.0470e-01     2.9499e+00     3.7013e-01      3.255e+01     7.9322e-04     3.5469e-07     1.011946e-01          9.3957e-02     1.0645e+00     2.2179e-01     

     15         0       283     -3.408e+00     -2.868e+00     7.9718e-02     2.0558e+00     1.9343e-01      2.211e+01     4.5371e-02     2.1795e-02     7.125678e-02          7.4225e-02     7.4942e-01     1.2248e-01     
     15         1       294     -3.460e+00     -2.881e+00     7.8391e-02     2.0325e+00     2.1076e-01      2.209e+01     2.9394e-04     1.8167e-06     7.125678e-02          7.2912e-02     7.3363e-01     1.2833e-01     

     16         0       305     -3.804e+00     -3.609e+00     5.6348e-02     1.2664e+00     8.7574e-02      1.232e+01     5.4799e-02     1.9105e-02     4.433313e-02          5.3622e-02     4.6453e-01     6.5392e-02     
     16         1       316     -3.866e+00     -3.641e+00     5.4293e-02     1.2409e+00     1.0218e-01      1.230e+01     6.1666e-04     1.0208e-06     4.433313e-02          5.1454e-02     4.5026e-01     7.0814e-02     

     17         0       327     -4.216e+00     -4.168e+00     3.3668e-02     6.1822e-01     2.9287e-02      3.680e+00     5.8664e-02     1.5161e-02     2.137981e-02          3.1880e-02     2.3611e-01     2.6647e-02     
     17         1       338     -4.278e+00     -4.212e+00     3.0371e-02     5.8971e-01     3.8211e-02      3.642e+00     1.1906e-03     1.8524e-07     2.137981e-02          2.8713e-02     2.1482e-01     3.1221e-02     

     18         0       349     -4.527e+00     -4.512e+00     1.4778e-02     2.1804e-01     1.0900e-02     -1.786e+00     3.4917e-02     6.3567e-03     7.325950e-03          1.3296e-02     9.0001e-02     9.9324e-03     
     18         1       362     -4.551e+00     -4.531e+00     1.1560e-02     2.0021e-01     1.2154e-02     -1.806e+00     7.5652e-04     8.5630e-09     7.325950e-03          1.0934e-02     7.3315e-02     1.1261e-02     

     19         0       375     -4.632e+00     -4.623e+00     5.0373e-03     8.1324e-02     5.2180e-03     -3.534e+00     6.4492e-03     8.3595e-04     2.916776e-03          4.7474e-03     3.2988e-02     5.0600e-03     
     19         1       386     -4.632e+00     -4.623e+00     4.8016e-03     7.9445e-02     5.0116e-03     -3.535e+00     8.7636e-05     1.1140e-07     2.916776e-03          4.5388e-03     2.9246e-02     4.7861e-03     

     20         0       397     -4.679e+00     -4.678e+00     4.6472e-04     5.2670e-03     5.5806e-04     -4.625e+00     2.7991e-03     3.9257e-04     1.442439e-04          4.1580e-04     3.3625e-03     4.6146e-04     
     20         1       408     -4.679e+00     -4.679e+00     2.4109e-04     3.9243e-03     2.5710e-04     -4.625e+00     1.0195e-05     3.1606e-08     1.442439e-04          2.2741e-04     1.4478e-03     2.4853e-04     

     21         0       419     -4.682e+00     -4.682e+00     3.3874e-05     1.6413e-05     1.3350e-06     -4.682e+00     3.6664e-05     1.1748e-06     1.588706e-07          2.2308e-05     1.3721e-05     9.3900e-07     
     21         1       432     -4.682e+00     -4.682e+00     2.6732e-07     4.3186e-06     2.8375e-07     -4.682e+00     9.5305e-10     4.4012e-12     1.588706e-07          2.5278e-07     1.5888e-06     2.7441e-07     

     22         0       443     -4.682e+00     -4.682e+00     9.2153e-08     2.0745e-06     8.1564e-07     -4.682e+00     1.2727e-06     7.3683e-07     4.547405e-08          8.5144e-08     1.7273e-06     8.1538e-07     
     22         1       454     -4.682e+00     -4.682e+00     7.6565e-08     1.2361e-06     8.1220e-08     -4.682e+00     6.4687e-12     2.2242e-14     4.547405e-08          7.2347e-08     4.5474e-07     7.8546e-08     

     23         0       465     -4.682e+00     -4.682e+00     7.6532e-08     2.0745e-06     8.1562e-07     -4.682e+00     1.2727e-06     7.3684e-07     4.545461e-08          7.2316e-08     1.7273e-06     8.1535e-07     
     23         1       472     -4.682e+00     -4.682e+00     7.6576e-08     1.2356e-06     8.1186e-08     -4.682e+00     1.4266e-10     6.9571e-15     4.545461e-08          7.2398e-08     4.5455e-07     7.8512e-08     

     24         0       483     -4.682e+00     -4.682e+00     7.6576e-08     2.0745e-06     8.1562e-07     -4.682e+00     1.2727e-06     7.3684e-07     4.545461e-08          7.2398e-08     1.7273e-06     8.1535e-07     
     24         1       490     -4.682e+00     -4.682e+00     7.6527e-08     1.2356e-06     8.1186e-08     -4.682e+00     9.9998e-12     8.2961e-16     4.545461e-08          7.2309e-08     4.5455e-07     7.8512e-08     

     25         0       501     -4.682e+00     -4.682e+00     4.9880e-11     1.7861e-06     1.4142e-06     -4.682e+00     1.7861e-06     1.4142e-06     0.000000e+00          4.9055e-11     1.7273e-06     1.0000e-06     
