# Kona Param. Contn. convergence history (opt tol = 1.500000e-04 | feas tol = 1.504332e-04)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      0.000e+00      0.000e+00     1.5000e+03     0.0000e+00     1.5043e+03     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0000e+03     0.0000e+00     9.9000e+02     

      1         0        10     -1.125e+03     -1.098e+03     1.5000e+03     9.7526e-01     1.5043e+03     -2.747e-01     1.0249e-03     7.4319e-01     9.995000e-01          1.0000e+03     3.5621e-01     9.9000e+02     
      1         1        23     -1.125e+03      6.959e+00     1.5000e+03     7.5009e+00     1.5043e+03      1.613e-03     1.2241e-03     3.0592e-03     9.995000e-01          1.0000e+03     4.9536e+00     9.9000e+02     

      2         0       193     -1.033e+04     -1.008e+04     1.5004e+03     8.9673e+00     1.5041e+03     -2.333e+01     3.1400e-01     6.8399e+00     9.954006e-01          1.0002e+03     3.2803e+00     9.8996e+02     
      2         1       278     -1.038e+04      6.521e+01     1.5003e+03     7.0605e+01     1.5038e+03      1.737e-01     1.3225e-01     4.3934e-02     9.954006e-01          1.0002e+03     4.6703e+01     9.8979e+02     

      3         0       448     -3.505e+04     -3.424e+04     1.5011e+03     3.0297e+01     1.5023e+03     -2.675e+02     2.2397e+00     2.3080e+01     9.844595e-01          1.0002e+03     1.1134e+01     9.8869e+02     
      3         1       533     -3.544e+04      2.061e+01     1.5006e+03     2.9649e+02     1.4999e+03      8.443e+00     1.0875e+00     3.3392e-01     9.844595e-01          9.9968e+02     1.9896e+02     9.8724e+02     

      4         0       703     -6.191e+04     -6.049e+04     1.5002e+03     5.2991e+01     1.4905e+03     -7.270e+02     1.4214e+01     3.9910e+01     9.729008e-01          9.9902e+02     1.8674e+01     9.8029e+02     
      4         1       788     -6.227e+04     -1.197e+03     1.4991e+03     9.8270e+02     1.4827e+03      2.132e+02     5.8229e+00     1.2050e+00     9.729008e-01          9.9780e+02     6.7831e+02     9.7502e+02     

      5         0       958     -6.413e+04     -6.272e+04     1.4990e+03     5.4508e+01     1.4543e+03      4.148e+02     5.0183e+01     4.0080e+01     9.721055e-01          9.9832e+02     1.8279e+01     9.5400e+02     
      5         1      1043     -6.425e+04     -3.719e+03     1.4988e+03     1.8058e+03     1.4538e+03      1.246e+03     2.0581e+00     1.1458e+00     9.721055e-01          9.9765e+02     1.2658e+03     9.5379e+02     

      6         0      1128     -6.579e+04     -6.435e+04     1.4987e+03     5.5690e+01     1.4446e+03      9.201e+02     5.9842e+01     4.0746e+01     9.714473e-01          9.9806e+02     1.8381e+01     9.4683e+02     
      6         1      1213     -6.580e+04     -4.622e+03     1.4988e+03     2.1209e+03     1.4439e+03      1.798e+03     2.0096e+00     1.1472e+00     9.714473e-01          9.9765e+02     1.4893e+03     9.4666e+02     

      7         0      1298     -6.709e+04     -6.564e+04     1.4988e+03     5.6530e+01     1.4338e+03      1.614e+03     7.0701e+01     4.1227e+01     9.708932e-01          9.9812e+02     1.8270e+01     9.3902e+02     
      7         1      1383     -6.713e+04     -5.675e+03     1.4984e+03     2.4649e+03     1.4329e+03      2.530e+03     1.9813e+00     1.1125e+00     9.708932e-01          9.9739e+02     1.7332e+03     9.3848e+02     

      8         0      1468     -6.830e+04     -6.683e+04     1.4985e+03     5.7420e+01     1.4215e+03      2.567e+03     8.3126e+01     4.1566e+01     9.703932e-01          9.9792e+02     1.8323e+01     9.2981e+02     
      8         1      1553     -6.832e+04     -6.838e+03     1.4983e+03     2.8518e+03     1.4205e+03      3.516e+03     1.9336e+00     1.0963e+00     9.703932e-01          9.9737e+02     2.0076e+03     9.2939e+02     

      9         0      1638     -6.949e+04     -6.800e+04     1.4985e+03     5.8157e+01     1.4066e+03      3.957e+03     9.8332e+01     4.1820e+01     9.698932e-01          9.9794e+02     1.8164e+01     9.1879e+02     
      9         1      1723     -6.951e+04     -8.274e+03     1.4980e+03     3.3176e+03     1.4055e+03      4.941e+03     1.9143e+00     1.0610e+00     9.698932e-01          9.9714e+02     2.3376e+03     9.1807e+02     

     10         0      1808     -7.068e+04     -6.917e+04     1.4983e+03     5.9070e+01     1.3887e+03      5.951e+03     1.1661e+02     4.1961e+01     9.693932e-01          9.9775e+02     1.8235e+01     9.0531e+02     
     10         1      1893     -7.071e+04     -9.993e+03     1.4979e+03     3.8687e+03     1.3875e+03      6.972e+03     1.8810e+00     1.0402e+00     9.693932e-01          9.9712e+02     2.7280e+03     9.0470e+02     

     11         0      1978     -7.188e+04     -7.036e+04     1.4983e+03     5.9779e+01     1.3679e+03      8.737e+03     1.3806e+02     4.1996e+01     9.688932e-01          9.9778e+02     1.8021e+01     8.8970e+02     
     11         1      2063     -7.190e+04     -1.200e+04     1.4975e+03     4.5003e+03     1.3667e+03      9.790e+03     1.8538e+00     9.9582e-01     9.688932e-01          9.9690e+02     3.1752e+03     8.8887e+02     

     12         0      2148     -7.307e+04     -7.165e+04     1.4981e+03     6.2145e+01     1.3444e+03      1.247e+04     1.6275e+02     4.2012e+01     9.683932e-01          9.9760e+02     1.8095e+01     8.7184e+02     
     12         1      2233     -7.311e+04     -1.431e+04     1.4973e+03     5.1992e+03     1.3428e+03      1.355e+04     1.7137e+00     9.4109e-01     9.683932e-01          9.9686e+02     3.6699e+03     8.7114e+02     

     13         0      2318     -7.429e+04     -7.298e+04     1.4981e+03     6.8248e+01     1.3185e+03      1.725e+04     1.8983e+02     4.1934e+01     9.678932e-01          9.9761e+02     2.1386e+01     8.5248e+02     
     13         1      2343     -7.443e+04     -1.690e+04     1.4971e+03     5.9414e+03     1.3175e+03      1.834e+04     1.7959e+00     1.0892e+00     9.678932e-01          9.9663e+02     4.1952e+03     8.5172e+02     

     14         0      2428     -7.562e+04     -7.437e+04     1.4979e+03     7.9055e+01     1.2915e+03      2.317e+04     2.1880e+02     4.1775e+01     9.673864e-01          9.9744e+02     3.4471e+01     8.3166e+02     
     14         1      2457     -7.565e+04     -1.952e+04     1.4971e+03     6.7129e+03     1.2907e+03      2.427e+04     1.8822e+00     1.2912e+00     9.673864e-01          9.9655e+02     4.7411e+03     8.3104e+02     

     15         0      2542     -7.690e+04     -7.567e+04     1.4979e+03     9.4281e+01     1.2628e+03      3.043e+04     2.4986e+02     4.1551e+01     9.668582e-01          9.9740e+02     4.9374e+01     8.0945e+02     
     15         1      2571     -7.706e+04     -2.250e+04     1.4967e+03     7.5127e+03     1.2621e+03      3.151e+04     2.0720e+00     1.5672e+00     9.668582e-01          9.9623e+02     5.3070e+03     8.0893e+02     

     16         0      2656     -7.838e+04     -7.720e+04     1.4977e+03     1.1438e+02     1.2320e+03      3.927e+04     2.8321e+02     4.1270e+01     9.662951e-01          9.9715e+02     6.6792e+01     7.8564e+02     
     16         1      2689     -7.823e+04     -2.537e+04     1.4964e+03     8.3401e+03     1.2315e+03      4.030e+04     1.9627e+00     1.5845e+00     9.662951e-01          9.9604e+02     5.8921e+03     7.8520e+02     

     17         0      2774     -7.966e+04     -7.851e+04     1.4974e+03     1.4022e+02     1.1991e+03      4.998e+04     3.1914e+02     4.0924e+01     9.656830e-01          9.9700e+02     8.7589e+01     7.6000e+02     
     17         1      2799     -7.997e+04     -2.892e+04     1.4959e+03     9.1962e+03     1.1989e+03      5.096e+04     2.3056e+00     2.0884e+00     9.656830e-01          9.9559e+02     6.4975e+03     7.5980e+02     

     18         0      2884     -8.156e+04     -8.041e+04     1.4971e+03     1.7332e+02     1.1639e+03      6.296e+04     3.5807e+02     4.0553e+01     9.650061e-01          9.9663e+02     1.1299e+02     7.3242e+02     
     18         1      2917     -8.129e+04     -3.219e+04     1.4958e+03     1.0078e+04     1.1637e+03      6.384e+04     2.4227e+00     2.3390e+00     9.650061e-01          9.9537e+02     7.1207e+03     7.3229e+02     

     19         0      3002     -8.309e+04     -8.193e+04     1.4970e+03     2.1549e+02     1.1258e+03      7.866e+04     4.0044e+02     4.0116e+01     9.642449e-01          9.9645e+02     1.4442e+02     7.0242e+02     
     19         1      3035     -8.291e+04     -3.590e+04     1.4955e+03     1.0985e+04     1.1259e+03      7.942e+04     2.9383e+00     2.6895e+00     9.642449e-01          9.9500e+02     7.7613e+03     7.0252e+02     

     20         0      3120     -8.497e+04     -8.380e+04     1.4967e+03     2.6970e+02     1.0844e+03      9.772e+04     4.4689e+02     3.9630e+01     9.633744e-01          9.9614e+02     1.8408e+02     6.6978e+02     
     20         1      3157     -8.482e+04     -4.011e+04     1.4956e+03     1.1918e+04     1.0848e+03      9.834e+04     2.8890e+00     2.5939e+00     9.633744e-01          9.9562e+02     8.4226e+03     6.7036e+02     

     21         0      3242     -8.722e+04     -8.609e+04     1.4969e+03     3.3998e+02     1.0394e+03      1.210e+05     4.9826e+02     3.9055e+01     9.623627e-01          9.9681e+02     2.3512e+02     6.3427e+02     
     21         1      3267     -8.768e+04     -4.537e+04     1.4947e+03     1.2863e+04     1.0403e+03      1.213e+05     3.2997e+00     3.2911e+00     9.623627e-01          9.9434e+02     9.0869e+03     6.3487e+02     

     22         0      3352     -9.052e+04     -8.935e+04     1.4961e+03     4.3179e+02     9.9010e+02      1.493e+05     5.5544e+02     3.8461e+01     9.611638e-01          9.9565e+02     3.0066e+02     5.9492e+02     
     22         1      3389     -9.005e+04     -5.042e+04     1.4942e+03     1.3804e+04     9.9079e+02      1.493e+05     3.8312e+00     3.3607e+00     9.611638e-01          9.9427e+02     9.7518e+03     5.9585e+02     

     23         0      3474     -9.351e+04     -9.232e+04     1.4958e+03     5.5349e+02     9.3474e+02      1.842e+05     6.1963e+02     3.7696e+01     9.597118e-01          9.9565e+02     3.8777e+02     5.5133e+02     
     23         1      3507     -9.363e+04     -5.680e+04     1.4934e+03     1.4732e+04     9.3653e+02      1.836e+05     4.8720e+00     4.3019e+00     9.597118e-01          9.9339e+02     1.0404e+04     5.5291e+02     

     24         0      3677     -9.808e+04     -9.696e+04     1.4964e+03     7.1093e+02     8.7398e+02      2.251e+05     6.8934e+02     3.6702e+01     9.579402e-01          9.9618e+02     4.9943e+02     5.0530e+02     
     24         1      3694     -9.814e+04     -6.479e+04     1.4925e+03     1.5593e+04     8.7487e+02      2.245e+05     3.2072e+00     3.1178e+00     9.579402e-01          9.9369e+02     1.0995e+04     5.0669e+02     

     25         0      3779     -1.035e+05     -1.024e+05     1.4947e+03     9.2196e+02     8.0200e+02      2.784e+05     7.7304e+02     3.5549e+01     9.556940e-01          9.9536e+02     6.4917e+02     4.5154e+02     
     25         1      3800     -1.030e+05     -7.329e+04     1.4925e+03     1.6362e+04     8.0442e+02      2.762e+05     5.2364e+00     3.6700e+00     9.556940e-01          9.9353e+02     1.1513e+04     4.5428e+02     

     26         0      3970     -1.105e+05     -1.093e+05     1.4953e+03     1.1837e+03     7.2001e+02      3.408e+05     8.6432e+02     3.3953e+01     9.528487e-01          9.9531e+02     8.3403e+02     3.9629e+02     
     26         1      3987     -1.101e+05     -8.423e+04     1.4934e+03     1.6983e+04     7.2350e+02      3.380e+05     5.1884e+00     4.7139e+00     9.528487e-01          9.9345e+02     1.1900e+04     3.9946e+02     

     27         0      4157     -1.196e+05     -1.182e+05     1.4942e+03     1.5619e+03     6.2778e+02      4.200e+05     9.7532e+02     3.2061e+01     9.490484e-01          9.9447e+02     1.0965e+03     3.3439e+02     
     27         1      4174     -1.198e+05     -9.854e+04     1.4881e+03     1.7331e+04     6.3280e+02      4.146e+05     7.2321e+00     3.1671e+00     9.490484e-01          9.9049e+02     1.2064e+04     3.3910e+02     

     28         0      4259     -1.333e+05     -1.316e+05     1.4918e+03     2.1923e+03     5.2279e+02      5.255e+05     1.1231e+03     2.9515e+01     9.434533e-01          9.9287e+02     1.5242e+03     2.6153e+02     
     28         1      4280     -1.331e+05     -1.163e+05     1.4857e+03     1.7196e+04     5.3375e+02      5.124e+05     1.4577e+01     4.5054e+00     9.434533e-01          9.8856e+02     1.1868e+04     2.7070e+02     

     29         0      4450     -1.542e+05     -1.514e+05     1.4901e+03     3.0707e+03     4.2670e+02      6.453e+05     1.3022e+03     2.6514e+01     9.349804e-01          9.9103e+02     2.1089e+03     1.8779e+02     
     29         1      4467     -1.544e+05     -1.412e+05     1.4782e+03     1.6373e+04     4.4089e+02      6.248e+05     2.0995e+01     6.5721e+00     9.349804e-01          9.8372e+02     1.1202e+04     2.0056e+02     

     30         0      4637     -1.887e+05     -1.837e+05     1.4853e+03     4.3187e+03     3.5994e+02      7.825e+05     1.5476e+03     2.3402e+01     9.208820e-01          9.8719e+02     2.9305e+03     1.0979e+02     
     30         1      4654     -1.895e+05     -1.777e+05     1.4634e+03     1.4420e+04     3.7619e+02      7.449e+05     3.7591e+01     1.3305e+01     9.208820e-01          9.7392e+02     9.7861e+03     1.3010e+02     

     31         0      4824     -2.503e+05     -2.399e+05     1.4745e+03     5.5110e+03     3.6435e+02      8.970e+05     1.8472e+03     2.2545e+01     8.964975e-01          9.7795e+02     3.7042e+03     1.1421e+02     
     31         1      4845     -2.498e+05     -2.349e+05     1.4512e+03     1.1458e+04     3.6796e+02      8.434e+05     5.6306e+01     9.8446e+00     8.964975e-01          9.6328e+02     7.7245e+03     1.1417e+02     

     32         0      5015     -3.001e+05     -2.830e+05     1.4600e+03     2.5695e+03     3.8325e+02      8.904e+05     1.5761e+03     1.9691e+01     8.772808e-01          9.6673e+02     1.7215e+03     1.3447e+02     
     32         1      5036     -3.017e+05     -2.814e+05     1.4372e+03     1.0121e+04     3.8461e+02      8.773e+05     1.3242e+01     8.8518e+00     8.772808e-01          9.5210e+02     6.7678e+03     1.3551e+02     

     33         0      5206     -3.766e+05     -3.464e+05     1.4388e+03     2.7196e+03     4.3312e+02      9.196e+05     1.6759e+03     1.7259e+01     8.496456e-01          9.4924e+02     1.8095e+03     1.6587e+02     
     33         1      5227     -3.760e+05     -3.443e+05     1.4178e+03     8.2904e+03     4.3033e+02      9.051e+05     1.6687e+01     1.1723e+01     8.496456e-01          9.3679e+02     5.4961e+03     1.6573e+02     

     34         0      5397     -4.993e+05     -4.357e+05     1.3913e+03     3.0572e+03     5.3188e+02      9.376e+05     1.8533e+03     1.5578e+01     8.050592e-01          9.1108e+02     2.0046e+03     2.1547e+02     
     34         1      5422     -4.978e+05     -4.344e+05     1.3736e+03     6.3227e+03     5.2455e+02      9.201e+05     2.4429e+01     1.4406e+01     8.050592e-01          9.0298e+02     4.1346e+03     2.1488e+02     

     35         0      5592     -6.657e+05     -5.268e+05     1.2937e+03     2.5975e+03     6.6098e+02      9.203e+05     1.8825e+03     1.7387e+01     7.443290e-01          8.3374e+02     1.6678e+03     2.8231e+02     
     35         1      5625     -6.706e+05     -5.222e+05     1.2649e+03     4.7320e+03     6.6661e+02      9.133e+05     1.3318e+01     1.3846e+01     7.443290e-01          8.1677e+02     3.0197e+03     2.8409e+02     

     36         0      5795     -8.106e+05     -5.605e+05     1.1488e+03     1.6435e+03     7.5322e+02      8.604e+05     1.6774e+03     1.7475e+01     6.807215e-01          7.2548e+02     1.0346e+03     3.3956e+02     
     36         1      5836     -8.015e+05     -5.471e+05     1.1205e+03     3.5774e+03     7.4061e+02      8.511e+05     1.8976e+01     1.2761e+01     6.807215e-01          7.1085e+02     2.2601e+03     3.3617e+02     

     37         0      6006     -8.991e+05     -5.379e+05     9.8599e+02     1.0222e+03     7.8272e+02      7.674e+05     1.4559e+03     1.3763e+01     6.203258e-01          6.1226e+02     6.3596e+02     3.7708e+02     
     37         1      6047     -8.712e+05     -5.225e+05     9.6835e+02     2.7530e+03     7.5486e+02      7.481e+05     2.3490e+01     4.8800e+00     6.203258e-01          6.0601e+02     1.7287e+03     3.6722e+02     

     38         0      6205     -9.293e+05     -4.751e+05     8.2042e+02     6.9516e+02     7.7357e+02      6.485e+05     1.2707e+03     1.0837e+01     5.625332e-01          4.9827e+02     4.2910e+02     3.9307e+02     
     38         1      6234     -9.030e+05     -4.642e+05     8.1068e+02     2.1753e+03     7.5068e+02      6.341e+05     1.7149e+01     4.0485e+00     5.625332e-01          4.9964e+02     1.3578e+03     3.8301e+02     

     39         0      6348     -9.185e+05     -3.826e+05     6.4897e+02     5.4304e+02     7.4296e+02      5.182e+05     1.1236e+03     1.1151e+01     5.021079e-01          3.8541e+02     3.3428e+02     3.9235e+02     
