# Kona Param. Contn. convergence history (opt tol = 5.986861e-06 | feas tol = 3.712277e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1     -2.812e+01     -2.812e+01     5.9869e+01     0.0000e+00     3.7123e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          3.7500e+01     0.0000e+00     1.3000e+01     

      1         0        10     -3.072e+01     -2.974e+01     6.2295e+01     2.6174e-01     3.7076e+01     -2.055e-02     1.9521e-03     1.4989e-04     9.992903e-01          3.9894e+01     9.2263e-02     1.3006e+01     
      1         1        21     -3.084e+01     -2.986e+01     6.2425e+01     2.6164e-01     3.7074e+01     -2.056e-02     1.0486e-06     2.3366e-09     9.992903e-01          4.0049e+01     9.2368e-02     1.3006e+01     

      2         0        32     -1.059e+02     -8.736e+01     1.1533e+02     5.1115e+00     3.6377e+01     -9.403e-01     7.5006e-01     5.7524e-02     9.861267e-01          9.0371e+01     1.8070e+00     1.3094e+01     
      2         1        51     -3.376e+02     -3.152e+02     2.1623e+02     5.4442e+00     3.9907e+01      3.742e-02     2.0578e-03     1.6148e-04     9.861267e-01          1.9165e+02     2.6970e+00     1.9240e+01     

      3         0        70     -1.900e+02     -1.688e+02     1.3681e+02     5.6734e+00     3.6960e+01     -3.505e-01     1.5687e-01     3.0421e-02     9.847589e-01          7.9182e+01     2.3600e+00     1.4912e+01     
      3         1        87     -2.441e+02     -2.221e+02     1.6566e+02     5.7325e+00     3.7697e+01     -3.123e-01     1.5202e-03     1.8894e-04     9.847589e-01          1.2075e+02     2.5137e+00     1.6300e+01     

      4         0       106     -5.293e+02     -5.020e+02     2.1872e+02     7.8319e+00     3.5138e+01     -4.114e+00     1.6513e+00     1.2795e-01     9.779126e-01          1.2347e+02     2.4345e+00     1.4049e+01     
      4         1       125     -1.857e+03     -1.829e+03     3.8280e+02     7.8391e+00     3.5478e+01     -4.135e+00     9.3294e-03     7.3503e-04     9.779126e-01          2.4533e+02     3.4313e+00     1.5306e+01     

      5         0       146     -3.628e+03     -3.590e+03     5.3323e+02     8.9376e+00     4.0062e+01     -7.491e+00     1.7989e-01     2.2139e-02     9.767604e-01          3.4313e+02     4.7752e+00     2.0559e+01     
      5         1       169     -5.126e+03     -5.079e+03     6.3319e+02     9.7514e+00     4.4503e+01     -7.715e+00     4.7787e-04     1.1775e-03     9.767604e-01          4.0800e+02     5.6190e+00     2.3943e+01     

      6         0       190     -1.112e+04     -1.103e+04     9.3166e+02     1.2677e+01     6.1716e+01     -1.502e+01     2.8331e-01     3.8108e-01     9.759375e-01          6.0155e+02     8.1514e+00     3.4086e+01     
      6         1       215     -1.842e+04     -1.826e+04     1.1975e+03     1.6900e+01     7.9516e+01     -1.577e+01     1.0445e-03     5.9686e-05     9.759375e-01          7.7303e+02     1.0349e+01     4.3075e+01     

      7         0       236     -4.388e+04     -4.356e+04     1.8496e+03     2.2592e+01     1.2637e+02     -3.383e+01     5.3666e-01     1.3906e+00     9.754375e-01          1.1957e+03     1.5625e+01     6.5038e+01     
      7         1       261     -8.821e+04     -8.735e+04     2.6181e+03     3.9200e+01     1.8397e+02     -3.589e+01     1.2875e-02     7.3145e-04     9.754375e-01          1.6914e+03     2.1674e+01     9.1067e+01     

      8         0       286     -4.224e+05     -4.193e+05     5.7376e+03     6.3247e+01     4.2058e+02     -2.130e+02     2.4739e+00     5.9235e+00     9.749375e-01          3.7113e+03     4.4031e+01     1.9600e+02     
      8         1       313     -2.516e+06     -2.485e+06     1.3970e+04     2.3581e+02     1.0920e+03      2.186e+02     2.3338e+00     2.8539e-02     9.749375e-01          9.0289e+03     1.4847e+02     4.8779e+02     

      9         0       355     -3.939e+06     -3.897e+06     1.7491e+04     1.8969e+02     1.3191e+03     -1.796e+03     1.1812e+01     2.5421e+01     9.747595e-01          1.1306e+04     9.7609e+01     5.8624e+02     
      9         1       380     -2.397e+05     -2.364e+05     4.3103e+03     6.8127e+01     3.5493e+02      7.397e+01     4.9145e+00     9.5279e-03     9.747595e-01          2.7868e+03     3.6726e+01     1.6239e+02     

     10         0       418     -2.144e+05     -2.118e+05     4.0784e+03     9.1760e+01     2.9478e+02     -2.997e+02     4.4016e+00     6.2894e+00     9.742595e-01          2.6340e+03     6.3763e+01     1.3998e+02     
     10         1       441     -2.746e+04     -2.697e+04     1.4582e+03     3.0582e+01     1.3620e+02      2.271e+01     3.0095e-01     3.6078e-02     9.742595e-01          9.4298e+02     1.6493e+01     6.6182e+01     

     11         0       462     -7.507e+03     -7.377e+03     7.6285e+02     2.6457e+01     5.1600e+01     -3.622e+01     2.5671e+00     1.5420e+00     9.731052e-01          4.9069e+02     1.8343e+01     2.8394e+01     
     11         1       481     -4.330e+03     -4.184e+03     5.7832e+02     1.7945e+01     7.2695e+01      9.932e+00     3.5446e-02     5.3891e-03     9.731052e-01          3.7402e+02     9.8039e+00     3.6423e+01     

     12         0       502     -4.881e+03     -4.810e+03     6.1682e+02     1.6262e+01     4.4119e+01     -4.537e+01     4.8211e+00     4.9419e-01     9.691480e-01          3.9680e+02     1.0301e+01     2.3904e+01     
     12         1       521     -4.690e+02     -3.950e+02     1.8992e+02     1.4332e+01     4.8197e+01      4.486e+00     3.7992e-02     2.8828e-03     9.691480e-01          1.2201e+02     7.1551e+00     2.3008e+01     

     13         0       542     -5.264e+03     -5.189e+03     6.4253e+02     2.0316e+01     4.5957e+01     -1.864e+02     2.2115e+01     1.6420e+00     9.432018e-01          4.1330e+02     8.0455e+00     2.5583e+01     
     13         1       557     -1.977e+01      7.444e+01     3.7691e+01     2.2345e+01     3.9588e+01      4.772e+00     1.6381e-01     1.1875e-01     9.432018e-01          2.2259e+01     9.4403e+00     1.7009e+01     

     14         0       588     -1.334e+03     -1.054e+03     2.3147e+02     6.5647e+01     4.5043e+01     -1.789e+02     4.4748e+01     7.3493e+00     7.754088e-01          1.5658e+02     2.4714e+01     2.5363e+01     
     14         1       625     -9.357e+00      1.919e+02     1.0764e+01     4.5781e+01     2.6338e+01      9.098e+01     5.9489e-01     8.7974e-02     7.754088e-01          6.1358e+00     1.6175e+01     1.0320e+01     

     15         0       664     -1.957e+02      6.890e+00     3.3129e+01     3.7957e+01     1.9869e+01      1.654e+02     5.1800e+00     1.7912e+00     6.579355e-01          2.1132e+01     1.1627e+01     8.8631e+00     
     15         1       709     -2.153e+01      1.714e+02     9.1487e+00     3.7197e+01     1.9272e+01      1.895e+02     4.5545e+00     1.2064e-01     6.579355e-01          5.0267e+00     1.3002e+01     9.0036e+00     

     16         0       797      7.865e+00      1.465e+02     6.3028e+00     2.3958e+01     1.0967e+01      2.408e+02     4.9851e+00     1.3692e+00     5.013599e-01          3.9571e+00     7.1519e+00     5.1694e+00     
     16         1       842     -2.109e+00      1.673e+02     4.3213e+00     2.7124e+01     1.3137e+01      2.326e+02     4.7634e-01     1.8681e-01     5.013599e-01          2.8805e+00     8.7956e+00     6.4726e+00     

     17         0       932      8.938e-01      1.381e+02     2.7800e+00     1.1001e+01     8.2542e+00      2.289e+02     5.7441e+00     1.2131e+00     3.201274e-01          1.7181e+00     3.5585e+00     4.4809e+00     
     17         1       977     -2.394e+01      1.875e+02     2.8405e+00     1.5381e+01     1.0604e+01      2.322e+02     1.4852e+00     9.5745e-01     3.201274e-01          1.9063e+00     5.8793e+00     5.6136e+00     

     18         0      1067     -4.539e+01      2.186e+02     1.6751e+00     5.9825e+00     9.9852e+00      2.287e+02     4.2889e+00     3.4362e+00     1.853687e-01          9.4550e-01     2.1345e+00     5.4975e+00     
     18         1      1112     -7.339e+00      1.788e+02     9.9618e-01     7.1374e+00     8.5432e+00      2.126e+02     1.9255e+00     3.1036e+00     1.853687e-01          6.0854e-01     2.1009e+00     4.8830e+00     

     19         0      1202      3.117e+01      1.253e+02     9.9281e-01     2.9027e+00     6.0233e+00      1.597e+02     2.4609e+00     3.9868e+00     9.859994e-02          5.8675e-01     1.2056e+00     3.8509e+00     
     19         1      1247      3.566e+01      6.304e+01     1.3609e+00     3.6466e+00     4.1686e+00      1.111e+02     3.7191e+00     3.2769e+00     9.859994e-02          8.1866e-01     2.1615e+00     2.1131e+00     

     20         0      1337      4.581e+01      7.913e+01     3.2838e+00     2.0434e+00     3.6022e+00      1.006e+02     3.4873e+00     3.0409e+00     4.699447e-02          2.6490e+00     1.3295e+00     2.3784e+00     
     20         1      1382      4.262e+01      7.672e+01     1.2256e+00     1.6791e+00     3.8460e+00      9.802e+01     1.5869e+00     3.2901e+00     4.699447e-02          7.5760e-01     8.3968e-01     2.4018e+00     

     21         0      1472      4.813e+01      8.159e+01     8.0433e-01     1.5165e+00     3.5778e+00      9.853e+01     1.2842e+00     3.1090e+00     3.976484e-02          5.2970e-01     8.0036e-01     2.1708e+00     
     21         1      1517      3.474e+01      5.598e+01     6.3239e-01     2.1494e+00     3.1384e+00      7.418e+01     2.2248e+00     2.7930e+00     3.976484e-02          4.4202e-01     1.5642e+00     1.7971e+00     

     22         0      1607      4.533e+01      7.098e+01     3.5201e+00     1.1190e+00     2.6475e+00      8.538e+01     3.5161e+00     2.2814e+00     3.355669e-02          3.4746e+00     4.6158e-01     1.5553e+00     
     22         1      1652      4.793e+01      7.373e+01     5.7021e-01     1.1158e+00     2.7343e+00      8.725e+01     8.3525e-01     2.3819e+00     3.355669e-02          3.5083e-01     5.1843e-01     1.3758e+00     

     23         0      1742      4.686e+01      6.831e+01     1.3865e+00     7.4970e-01     2.6912e+00      7.624e+01     1.4862e+00     2.5096e+00     1.840543e-02          1.2588e+00     3.7427e-01     1.4457e+00     
     23         1      1787      4.573e+01      6.870e+01     6.2097e-01     7.6308e-01     2.4820e+00      7.627e+01     8.9085e-01     2.2841e+00     1.840543e-02          3.1693e-01     4.2468e-01     1.2434e+00     

     24         0      1877      5.430e+01      7.413e+01     6.3526e-01     5.6823e-01     2.3958e+00      7.909e+01     7.7902e-01     2.2698e+00     1.290142e-02          4.3913e-01     3.2168e-01     1.3062e+00     
     24         1      1922      4.404e+01      6.629e+01     3.4997e-01     7.1020e-01     2.2059e+00      7.133e+01     7.6123e-01     2.0586e+00     1.290142e-02          2.4202e-01     3.3263e-01     1.3434e+00     

     25         0      2012      5.239e+01      7.173e+01     1.0078e+00     4.0629e-01     1.9930e+00      7.496e+01     1.0627e+00     1.8965e+00     8.848366e-03          7.2603e-01     1.7431e-01     1.2817e+00     
     25         1      2057      5.217e+01      7.410e+01     2.7634e-01     4.3963e-01     1.9730e+00      7.716e+01     4.6299e-01     1.8645e+00     8.848366e-03          2.2368e-01     1.6404e-01     1.2618e+00     

     26         0      2147      5.120e+01      7.103e+01     9.5514e-01     2.6504e-01     1.9408e+00      7.332e+01     9.8549e-01     1.8668e+00     6.397304e-03          7.1184e-01     1.2567e-01     1.3345e+00     
     26         1      2192      5.292e+01      7.335e+01     1.8308e-01     4.0341e-01     1.8710e+00      7.550e+01     4.4835e-01     1.7934e+00     6.397304e-03          1.4121e-01     1.7761e-01     1.3170e+00     

     27         0      2282      5.403e+01      7.292e+01     4.9279e-01     2.0466e-01     1.9163e+00      7.372e+01     5.2569e-01     1.8892e+00     2.347930e-03          4.4728e-01     1.1201e-01     1.3113e+00     
     27         1      2327      5.184e+01      7.073e+01     1.5964e-01     2.8463e-01     1.8316e+00      7.155e+01     3.4828e-01     1.8036e+00     2.347930e-03          8.6733e-02     1.5636e-01     1.3452e+00     

     28         0      2417      5.509e+01      7.434e+01     7.3863e-01     1.5803e-01     1.8244e+00      7.469e+01     7.5409e-01     1.8109e+00     1.099383e-03          5.8696e-01     7.9558e-02     1.3354e+00     
     28         1      2462      5.163e+01      7.013e+01     1.6678e-01     2.1289e-01     1.7980e+00      7.051e+01     2.8207e-01     1.7848e+00     1.099383e-03          9.5979e-02     9.9706e-02     1.3707e+00     

     29         0      2552      5.438e+01      7.205e+01     1.4049e+00     1.6070e-01     1.7722e+00      7.235e+01     1.4142e+00     1.7617e+00     9.035461e-04          1.0478e+00     9.5858e-02     1.3601e+00     
     29         1      2597      5.224e+01      6.984e+01     1.8241e-01     2.2355e-01     1.7971e+00      7.015e+01     2.9761e-01     1.7867e+00     9.035461e-04          9.8065e-02     1.2920e-01     1.3721e+00     

     30         0      2687      5.394e+01      7.085e+01     1.3887e+00     2.5108e-01     1.7657e+00      7.098e+01     1.4105e+00     1.7611e+00     4.035461e-04          9.6771e-01     1.5480e-01     1.4066e+00     
     30         1      2732      5.228e+01      6.914e+01     1.7138e-01     1.7946e-01     1.8132e+00      6.928e+01     2.5039e-01     1.8087e+00     4.035461e-04          1.0346e-01     9.8174e-02     1.4137e+00     

     31         0      2822      5.420e+01      6.973e+01     1.1348e+00     1.7972e-01     1.7822e+00      6.973e+01     1.1489e+00     1.7822e+00     0.000000e+00          7.5254e-01     1.1076e-01     1.4139e+00     
     31         1      2867      5.182e+01      6.783e+01     1.8541e-01     1.6638e-01     1.8233e+00      6.783e+01     2.4911e-01     1.8233e+00     0.000000e+00          1.3045e-01     1.0273e-01     1.4390e+00     
     31         2      2912      5.410e+01      6.521e+01     2.4306e-01     2.4337e-01     1.7443e+00      6.521e+01     3.4396e-01     1.7443e+00     0.000000e+00          1.8333e-01     1.7249e-01     1.4374e+00     
     31         3      2957      5.354e+01      6.468e+01     1.5663e-01     2.4220e-01     1.7269e+00      6.468e+01     2.8844e-01     1.7269e+00     0.000000e+00          9.6265e-02     1.9723e-01     1.4390e+00     
     31         4      3002      5.447e+01      6.483e+01     1.4399e-01     2.7416e-01     1.7045e+00      6.483e+01     3.0967e-01     1.7045e+00     0.000000e+00          9.9460e-02     2.0644e-01     1.4233e+00     
     31         5      3047      5.425e+01      6.416e+01     1.5169e-01     2.5431e-01     1.6875e+00      6.416e+01     2.9611e-01     1.6875e+00     0.000000e+00          1.1094e-01     2.0274e-01     1.4141e+00     
