# Kona Param. Contn. convergence history (opt tol = 5.986861e-06 | feas tol = 3.712277e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1     -2.812e+01     -2.812e+01     5.9869e+01     0.0000e+00     3.7123e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          3.7500e+01     0.0000e+00     1.3000e+01     

      1         0        10     -3.072e+01     -2.974e+01     6.2295e+01     2.6174e-01     3.7076e+01     -2.055e-02     1.9521e-03     1.4989e-04     9.992903e-01          3.9894e+01     9.2263e-02     1.3006e+01     
      1         1        39     -3.083e+01     -2.986e+01     6.2425e+01     2.6164e-01     3.7074e+01     -2.056e-02     1.8610e-05     6.0227e-06     9.992903e-01          4.0049e+01     9.2364e-02     1.3006e+01     

      2         0        64     -1.047e+02     -8.639e+01     1.1463e+02     5.0416e+00     3.6379e+01     -9.181e-01     7.3027e-01     5.5978e-02     9.862981e-01          8.9692e+01     1.7822e+00     1.3084e+01     
      2         1       109     -3.699e+02     -3.472e+02     2.2934e+02     5.4288e+00     4.0402e+01      9.477e-02     3.6945e-03     7.1010e-04     9.862981e-01          2.0696e+02     2.7479e+00     1.9823e+01     

      3         0       154     -2.001e+02     -1.789e+02     1.4639e+02     5.5682e+00     3.7440e+01     -2.441e-01     1.2310e-01     3.2220e-02     9.851742e-01          9.9221e+01     2.4111e+00     1.5740e+01     
      3         1       199     -2.544e+02     -2.324e+02     1.7427e+02     5.6285e+00     3.8176e+01     -2.172e-01     5.8163e-04     1.0515e-04     9.851742e-01          1.3605e+02     2.5471e+00     1.6990e+01     

      4         0       244     -6.404e+02     -6.122e+02     2.6117e+02     7.9656e+00     3.6189e+01     -6.006e+00     2.5052e+00     1.8514e-01     9.775831e-01          1.7858e+02     2.7161e+00     1.6589e+01     
      4         1       293     -2.362e+03     -2.332e+03     4.3113e+02     8.1300e+00     3.6606e+01     -4.828e+00     3.6977e-03     3.5008e-03     9.775831e-01          2.7692e+02     3.8903e+00     1.7011e+01     

      5         0       342     -4.536e+03     -4.492e+03     5.9583e+02     9.4560e+00     4.2755e+01     -8.450e+00     1.7109e-01     6.7666e-02     9.765941e-01          3.8389e+02     5.3417e+00     2.2708e+01     
      5         1       399     -6.266e+03     -6.211e+03     6.9969e+02     1.0437e+01     4.7928e+01     -8.666e+00     9.5365e-05     5.8744e-13     9.765941e-01          4.5105e+02     6.1879e+00     2.6207e+01     

      6         0       456     -1.332e+04     -1.322e+04     1.0196e+03     1.3585e+01     6.7427e+01     -1.640e+01     2.8204e-01     4.7309e-01     9.758727e-01          6.5853e+02     8.8816e+00     3.7057e+01     
      6         1       513     -2.131e+04     -2.113e+04     1.2880e+03     1.8222e+01     8.5836e+01     -1.706e+01     1.0600e-03     4.3827e-12     9.758727e-01          8.3152e+02     1.1093e+01     4.6133e+01     

      7         0       570     -5.351e+04     -5.312e+04     2.0425e+03     2.4696e+01     1.4064e+02     -3.907e+01     6.2320e-01     1.6113e+00     9.753727e-01          1.3205e+03     1.7153e+01     7.1537e+01     
      7         1       627     -1.233e+05     -1.221e+05     3.0951e+03     4.7011e+01     2.2003e+02     -4.255e+01     1.5262e-02     3.5061e-12     9.753727e-01          1.9995e+03     2.5313e+01     1.0715e+02     

      8         0       684     -7.128e+05     -7.076e+05     7.4534e+03     7.9727e+01     5.5155e+02     -3.450e+02     3.4044e+00     7.9397e+00     9.748727e-01          4.8214e+03     5.5026e+01     2.5379e+02     
      8         1       741     -7.605e+05     -7.509e+05     7.6800e+03     1.3042e+02     6.1005e+02      1.170e+02     1.1868e+00     2.7462e-10     9.748727e-01          4.9637e+03     7.3041e+01     2.7575e+02     

      9         0       823     -4.672e+06     -4.629e+06     1.9064e+04     1.8714e+02     1.4401e+03     -3.841e+03     1.5512e+01     2.3477e+01     9.743727e-01          1.2328e+04     9.1927e+01     6.4261e+02     
      9         1       872     -3.802e+04     -3.738e+04     1.7159e+03     3.3357e+01     1.5655e+02      2.979e+01     2.8704e+00     2.0932e-03     9.743727e-01          1.1090e+03     1.8360e+01     7.4746e+01     

     10         0       942     -4.861e+04     -4.807e+04     1.9432e+03     4.2558e+01     1.3373e+02     -1.567e+02     5.1598e+00     2.3742e+00     9.729991e-01          1.2548e+03     3.0151e+01     6.8405e+01     
     10         1       991     -3.995e+03     -3.854e+03     5.5543e+02     1.7742e+01     7.1169e+01      9.491e+00     6.1933e-02     3.1813e-02     9.729991e-01          3.5942e+02     9.7981e+00     3.5683e+01     

     11         0      1040     -1.014e+04     -1.002e+04     8.8843e+02     1.8736e+01     5.9506e+01     -9.892e+01     7.7380e+00     6.3883e-01     9.677473e-01          5.7215e+02     1.2377e+01     3.3024e+01     
     11         1      1093     -3.079e+02     -2.369e+02     1.5373e+02     1.4384e+01     4.6258e+01      4.041e+00     2.0164e-02     1.3287e-02     9.677473e-01          9.9565e+01     7.0086e+00     2.1857e+01     

     12         0      1146     -6.808e+03     -6.720e+03     7.3128e+02     2.6076e+01     5.0653e+01     -3.618e+02     3.8401e+01     2.9112e+00     9.253731e-01          4.6422e+02     8.8905e+00     2.8165e+01     
     12         1      1191     -1.626e+01      1.038e+02     2.7723e+01     2.8034e+01     3.8739e+01      8.138e+00     1.5087e-01     4.7538e-02     9.253731e-01          1.6660e+01     1.1463e+01     1.5897e+01     

     13         0      1244     -1.166e+03     -8.824e+02     1.8276e+02     5.6263e+01     4.5781e+01     -1.018e+02     2.6517e+01     5.6056e+00     8.038421e-01          1.1969e+02     2.1833e+01     2.3042e+01     
     13         1      1297     -4.793e+00      1.931e+02     9.8256e+00     4.5542e+01     2.8400e+01      7.104e+01     4.2321e-01     1.3432e-01     8.038421e-01          5.5588e+00     1.6348e+01     1.1143e+01     

     14         0      1350     -6.907e+01      1.076e+02     2.1566e+01     3.6522e+01     1.6644e+01      1.894e+02     4.8904e+00     1.9780e+00     6.435891e-01          1.3938e+01     1.0246e+01     6.9897e+00     
     14         1      1403     -1.737e+01      1.789e+02     8.2042e+00     3.7138e+01     1.8824e+01      1.917e+02     2.3820e+00     3.9651e-02     6.435891e-01          4.6851e+00     1.3376e+01     8.8542e+00     

     15         0      1505      9.947e+00      1.164e+02     7.5860e+00     1.6246e+01     8.0859e+00      2.468e+02     8.0035e+00     2.1969e+00     4.318380e-01          4.8015e+00     4.9302e+00     3.9173e+00     
     15         1      1554     -2.169e+01      1.752e+02     4.5614e+00     2.2274e+01     1.2237e+01      2.401e+02     2.2689e+00     3.6172e-02     4.318380e-01          2.9366e+00     8.4507e+00     6.4850e+00     

     16         0      1652     -4.695e+01      1.803e+02     4.2694e+00     1.0184e+01     1.0495e+01      2.301e+02     5.1422e+00     1.0606e+00     3.023164e-01          2.6305e+00     3.6894e+00     5.5607e+00     
     16         1      1701     -3.160e+02      4.026e+02     7.0879e+00     1.6415e+01     1.7632e+01      2.495e+02     7.4605e+00     4.9314e-02     3.023164e-01          3.7441e+00     8.8957e+00     8.6907e+00     

     17         0      1803     -3.668e+02      4.467e+02     7.5976e+00     1.3592e+01     1.8572e+01      2.491e+02     3.6342e+00     1.0485e-01     2.970732e-01          4.0678e+00     4.3250e+00     8.9408e+00     
     17         1      1852     -3.875e+02      4.615e+02     7.5130e+00     1.4601e+01     1.8941e+01      2.500e+02     4.1572e-02     5.9258e-03     2.970732e-01          3.9332e+00     4.1428e+00     9.1000e+00     

     18         0      1905     -7.266e+02      6.866e+02     1.0022e+01     1.1337e+01     2.4165e+01      2.687e+02     5.8071e+00     1.6472e-01     2.909984e-01          5.0388e+00     3.7787e+00     1.1405e+01     
     18         1      1954     -3.603e+02      4.519e+02     7.2050e+00     1.2296e+01     1.8264e+01      2.538e+02     2.9731e+00     1.7357e-02     2.909984e-01          3.7805e+00     3.8145e+00     8.9785e+00     

     19         0      2052     -8.511e+02      8.109e+02     1.0002e+01     9.1908e+00     2.5772e+01      2.859e+02     7.6233e+00     6.7382e-01     2.851074e-01          5.2613e+00     3.5514e+00     1.2310e+01     
     19         1      2101      9.308e+00      1.977e+02     3.3094e+00     2.2751e+01     8.6707e+00      2.592e+02     1.8027e+01     8.2966e-03     2.851074e-01          2.2379e+00     2.1278e+01     4.3637e+00     

     20         0      2203     -1.549e+02      3.587e+02     4.8195e+00     3.1059e+01     1.4351e+01      2.580e+02     1.8474e+01     1.1114e+00     2.839232e-01          3.1534e+00     2.6084e+01     7.2801e+00     
     20         1      2252     -3.257e+03      1.455e+03     1.7454e+01     4.9047e+02     4.3199e+01      2.962e+02     3.5629e+02     7.1057e-02     2.839232e-01          1.0262e+01     3.8024e+02     2.3228e+01     

     21         0      2350     -8.176e+02      4.166e+02     1.2716e+02     5.2811e+02     3.2402e+01      5.755e+01     3.9011e+02     1.7352e+01     2.827742e-01          8.0931e+01     5.1387e+02     1.3850e+01     
     21         1      2399     -1.742e+07      7.102e+06     1.2681e+03     2.2280e+06     3.1100e+03     -2.842e+05     1.5982e+06     1.1742e+00     2.827742e-01          7.4211e+02     1.1746e+06     1.3136e+03     

     22         0      2457     -8.246e+02      4.157e+02     1.2717e+02     5.2858e+02     3.2579e+01      5.837e+01     3.9012e+02     1.7423e+01     2.834232e-01          8.0937e+01     5.1434e+02     1.3828e+01     
     22         1      2506     -2.607e+04      1.109e+04     4.9326e+01     3.6886e+03     1.2126e+02      3.664e+02     2.6537e+03     7.9998e-02     2.834232e-01          2.8456e+01     1.8406e+03     5.4020e+01     

     23         0      2600     -6.676e+03     -8.635e+01     3.1423e+02     2.4973e+02     8.5798e+01     -7.162e+02     2.8286e+02     4.6203e+01     2.829232e-01          1.8381e+02     2.4900e+02     3.6622e+01     
     23         1      2649     -3.858e+02      6.339e+02     6.8255e+00     8.2385e+01     2.0061e+01      2.908e+02     5.6784e+01     5.6230e-02     2.829232e-01          3.6585e+00     5.5143e+01     9.1299e+00     

     24         0      2751     -6.362e+03      4.454e+03     3.9573e+01     6.5570e+00     7.0370e+01      8.566e+02     2.6516e+01     1.4279e+01     2.824232e-01          2.7189e+01     5.5556e+00     3.3424e+01     
     24         1      2800     -4.900e+02      6.167e+02     7.8134e+00     1.2139e+02     2.0950e+01      2.905e+02     8.7339e+01     2.3627e-01     2.824232e-01          4.0051e+00     1.2124e+02     9.9053e+00     

     25         0      2890     -5.154e+02      6.418e+02     1.0027e+01     3.1229e+01     2.1466e+01      2.782e+02     2.0705e+01     1.8849e+00     2.819232e-01          6.3860e+00     2.7278e+01     1.0296e+01     
     25         1      2939      1.776e+01      1.318e+02     2.1184e+00     5.8268e+01     6.6939e+00      2.382e+02     4.3990e+01     8.3424e-03     2.819232e-01          1.0121e+00     4.4521e+01     2.8930e+00     

     26         0      3045     -5.359e+01      2.452e+02     3.9635e+00     1.0706e+01     1.0967e+01      2.458e+02     6.5222e+00     1.3400e+00     2.810624e-01          2.4893e+00     5.4383e+00     5.7700e+00     
     26         1      3094     -8.867e+02      7.729e+02     1.0302e+01     2.2966e+01     2.5483e+01      2.805e+02     1.9478e+01     3.7926e-02     2.810624e-01          5.3271e+00     1.3457e+01     1.2471e+01     

     27         0      3200     -4.959e+02      5.567e+02     7.9843e+00     1.0839e+01     2.0374e+01      2.666e+02     6.1072e+00     1.5262e+00     2.805624e-01          4.2899e+00     4.7884e+00     1.0181e+01     
     27         1      3249     -2.195e+02      1.809e+02     4.9395e+00     1.1795e+02     1.2495e+01      2.542e+02     8.6753e+01     1.9381e-02     2.805624e-01          3.2059e+00     9.3235e+01     8.4264e+00     

     28         0      3343      3.141e+01      1.365e+02     1.2640e+01     7.8428e+00     7.3342e+00      2.353e+02     1.2854e+01     2.7196e+00     2.739145e-01          7.4337e+00     5.7918e+00     3.2029e+00     
     28         1      3392     -8.953e+03      4.409e+03     3.0966e+01     1.1264e+03     7.1015e+01      8.034e+02     8.1936e+02     6.2383e-02     2.739145e-01          1.6866e+01     9.0217e+02     3.4536e+01     

     29         0      3486     -1.341e+03     -9.349e+01     1.0375e+02     2.2603e+02     3.4016e+01     -1.264e+02     1.7874e+02     1.8562e+01     2.734145e-01          6.8626e+01     2.0269e+02     1.6358e+01     
     29         1      3531     -1.543e+03      9.677e+02     1.2350e+01     2.1344e+02     3.0734e+01      1.057e+02     1.5280e+02     2.9952e-02     2.734145e-01          7.5504e+00     1.8075e+02     1.4427e+01     

     30         0      3637     -9.652e+03      6.282e+03     3.0668e+01     3.6448e+02     8.0004e+01      7.399e+02     2.7565e+02     7.1722e+00     2.729145e-01          1.8389e+01     3.0434e+02     3.9415e+01     
     30         1      3690     -3.805e+03      2.126e+03     1.8716e+01     8.5350e+01     4.7187e+01      7.355e+01     6.5929e+01     3.9516e-02     2.729145e-01          1.1688e+01     7.1681e+01     2.2130e+01     

     31         0      3792     -2.206e+03      1.659e+03     1.4111e+01     8.2801e+02     3.7969e+01      2.359e+02     6.0521e+02     2.7505e-01     2.724145e-01          8.4928e+00     8.2774e+02     1.6167e+01     
     31         1      3821     -2.279e+03      1.182e+03     1.6691e+01     2.0521e+02     3.5993e+01      2.656e+01     1.4922e+02     7.4256e-02     2.724145e-01          8.2166e+00     2.0458e+02     1.6597e+01     

     32         0      3923     -2.381e+03      1.136e+03     1.7070e+01     5.1458e+01     3.6201e+01     -8.076e+00     3.6590e+01     1.7666e-01     2.719145e-01          1.0270e+01     5.0319e+01     1.7331e+01     
     32         1      3976     -2.864e+03      1.454e+03     1.6065e+01     2.1310e+01     4.0159e+01      4.718e+00     7.9576e+00     2.9844e-02     2.719145e-01          9.9792e+00     1.3058e+01     1.9040e+01     

     33         0      4078     -2.828e+03      1.438e+03     1.6497e+01     1.2144e+01     3.9857e+01      6.392e+00     8.5636e+00     1.3088e-01     2.714145e-01          1.0270e+01     4.0098e+00     1.8957e+01     
     33         1      4123     -2.830e+03      1.440e+03     1.6032e+01     1.6489e+01     3.9869e+01      6.710e+00     7.6054e-02     5.7775e-02     2.714145e-01          9.9403e+00     6.9716e+00     1.8967e+01     

     34         0      4237     -2.719e+03      1.386e+03     1.6002e+01     1.1628e+01     3.8949e+01      9.301e+00     8.3598e+00     1.2620e-01     2.698321e-01          9.9720e+00     3.6679e+00     1.8609e+01     
     34         1      4254     -2.720e+03      1.386e+03     1.5556e+01     1.6150e+01     3.8954e+01      9.358e+00     8.0830e-02     1.5088e-03     2.698321e-01          9.6524e+00     6.7813e+00     1.8613e+01     

     35         0      4311     -2.111e+03      1.078e+03     1.3704e+01     1.0897e+01     3.3580e+01      1.617e+01     7.5805e+00     1.7612e-01     2.621660e-01          8.5055e+00     3.5146e+00     1.6478e+01     
     35         1      4368     -2.167e+03      1.107e+03     1.3464e+01     1.4667e+01     3.4110e+01      1.869e+01     7.2727e-02     5.4725e-12     2.621660e-01          8.3344e+00     5.8860e+00     1.6681e+01     

     36         0      4425     -9.014e+02      5.148e+02     7.4192e+00     8.5071e+00     2.0447e+01      5.313e+01     6.9320e+00     1.6031e+00     2.374425e-01          4.7758e+00     3.0269e+00     1.0989e+01     
     36         1      4478     -9.990e+02      5.236e+02     8.3235e+00     1.2757e+01     2.1759e+01      4.969e+01     3.1139e+00     5.0915e-02     2.374425e-01          5.2247e+00     6.1452e+00     1.1341e+01     

     37         0      4584     -1.883e+02      1.698e+02     3.1815e+00     6.3639e+00     8.6698e+00      9.357e+01     4.7874e+00     1.9482e+00     1.994639e-01          1.8090e+00     2.3194e+00     5.0749e+00     
     37         1      4641     -3.873e+02      2.506e+02     4.3824e+00     8.5365e+00     1.2607e+01      8.723e+01     7.7141e-01     4.9339e-11     1.994639e-01          2.8988e+00     3.0090e+00     7.0297e+00     

     38         0      4751      1.006e+01      1.047e+02     8.1589e+00     4.3037e+00     4.4152e+00      1.115e+02     8.4569e+00     3.2815e+00     1.353726e-01          8.1059e+00     1.5710e+00     3.0891e+00     
     38         1      4804     -5.345e+01      1.217e+02     1.4587e+00     7.9153e+00     5.2395e+00      1.134e+02     3.8389e+00     2.0336e-02     1.353726e-01          1.0950e+00     5.2271e+00     3.3258e+00     

     39         0      4910      3.997e+00      1.005e+02     7.8964e-01     3.5670e+00     3.3009e+00      1.113e+02     1.3625e+00     2.9572e-01     1.057275e-01          6.0419e-01     1.1806e+00     2.2314e+00     
     39         1      4963     -1.475e+01      1.152e+02     9.6517e-01     4.4319e+00     3.9204e+00      1.117e+02     9.9807e-01     2.5380e-03     1.057275e-01          7.5752e-01     2.2218e+00     2.6379e+00     

     40         0      5069      6.054e+00      1.131e+02     6.9462e-01     2.9743e+00     3.1552e+00      1.092e+02     9.2024e-01     1.0922e-01     8.420766e-02          5.5176e-01     9.1652e-01     2.2392e+00     
     40         1      5122     -2.443e+00      1.246e+02     7.3942e-01     3.3325e+00     3.4175e+00      1.102e+02     3.5955e-01     4.6187e-04     8.420766e-02          5.9691e-01     1.2961e+00     2.4267e+00     

     41         0      5228     -4.185e+00      1.401e+02     6.5956e-01     2.5359e+00     3.3745e+00      1.116e+02     4.9539e-01     1.0418e-01     7.138767e-02          5.2995e-01     7.6457e-01     2.4376e+00     
     41         1      5281     -1.397e+01      1.545e+02     6.7664e-01     2.7260e+00     3.5991e+00      1.123e+02     8.3746e-02     9.6747e-05     7.138767e-02          5.5087e-01     8.5230e-01     2.5898e+00     

     42         0      5387     -3.476e+01      1.887e+02     6.7596e-01     2.2893e+00     3.9544e+00      1.172e+02     3.1795e-01     8.4949e-02     6.414745e-02          5.4134e-01     6.8030e-01     2.8141e+00     
     42         1      5440     -4.948e+01      2.081e+02     6.8839e-01     2.4227e+00     4.2019e+00      1.176e+02     3.2706e-02     1.4575e-05     6.414745e-02          5.5814e-01     7.0095e-01     2.9710e+00     

     43         0      5542     -9.733e+01      2.700e+02     7.3316e-01     2.0886e+00     4.8641e+00      1.253e+02     3.9269e-01     7.1514e-02     5.967748e-02          5.7997e-01     6.3131e-01     3.3664e+00     
     43         1      5595     -1.552e+02      3.302e+02     7.8686e-01     2.1934e+00     5.5504e+00      1.250e+02     1.0420e+00     1.7070e-05     5.967748e-02          6.2531e-01     6.3172e-01     3.8150e+00     

     44         0      5701     -6.376e+01      2.454e+02     2.1494e+00     2.0405e+00     4.4097e+00      1.260e+02     2.5781e+00     1.5906e-01     5.917748e-02          2.1105e+00     6.2560e-01     3.0013e+00     
     44         1      5754     -1.351e+02      3.149e+02     7.5866e-01     2.0323e+00     5.3205e+00      1.267e+02     6.9506e-01     4.0073e-06     5.917748e-02          6.0675e-01     6.2557e-01     3.6411e+00     

     45         0      5860     -9.698e+01      2.900e+02     2.0909e+00     2.0016e+00     4.8614e+00      1.317e+02     2.5406e+00     1.5239e-01     5.737932e-02          2.0469e+00     6.0533e-01     3.2680e+00     
     45         1      5913     -5.174e+02      6.721e+02     1.0524e+00     2.8264e+01     8.5092e+00      1.214e+02     2.7422e+01     1.0443e-05     5.737932e-02          8.0546e-01     2.8182e+01     5.6725e+00     

     46         0      6015     -3.093e+02      5.045e+02     9.2498e-01     1.7403e+00     7.3020e+00      1.383e+02     8.7194e-01     1.8435e+00     5.687932e-02          7.1513e-01     5.9994e-01     4.6734e+00     
     46         1      6064     -8.701e+01      2.835e+02     6.7461e-01     1.8481e+00     4.7268e+00      1.326e+02     1.3425e+00     3.9304e-03     5.687932e-02          5.4513e-01     6.5961e-01     3.1456e+00     

     47         0      6166     -9.849e+01      3.004e+02     3.3438e+00     2.1191e+00     4.8841e+00      1.350e+02     3.7142e+00     1.4088e-01     5.637932e-02          3.3170e+00     7.6310e-01     3.2472e+00     
     47         1      6219     -5.989e+02      3.432e+02     9.8032e-01     3.6621e+02     7.5027e+00     -6.924e+01     3.4566e+02     4.4248e-05     5.637932e-02          5.7938e-01     3.6551e+02     5.2999e+00     

     48         0      6317     -4.559e+00      1.215e+02     3.0506e+01     5.4955e+01     4.2184e+00      9.092e+01     5.8874e+01     3.0315e+00     5.523774e-02          2.2962e+01     4.7626e+01     2.7274e+00     
     48         1      6370     -5.052e+00      1.284e+02     4.6616e-01     3.1568e+01     2.7934e+00      9.443e+01     3.0015e+01     2.1267e-05     5.523774e-02          3.5735e-01     2.8243e+01     1.5181e+00     

     49         0      6472     -8.940e+01      2.427e+02     5.1750e-01     5.9982e+00     5.4801e+00      1.415e+02     4.7708e+00     2.4523e+00     5.473774e-02          2.8788e-01     4.5322e+00     4.1639e+00     
     49         1      6521     -4.912e+01      2.108e+02     5.3966e-01     3.7503e+00     3.8804e+00      1.132e+02     4.0631e+00     1.9366e-02     5.473774e-02          3.9705e-01     2.3262e+00     2.5355e+00     

