# Kona Param. Contn. convergence history (opt tol = 1.584201e-09 | feas tol = 9.948392e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      6.565e-03      6.565e-03     1.5842e-02     0.0000e+00     9.9484e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          8.7891e-03     0.0000e+00     1.1000e+01     

      1         0        10      6.565e-03      4.981e+00     1.6706e-02     4.9997e-01     9.9484e+01      1.254e-03     2.5127e-04     2.5127e-05     9.994974e-01          9.7941e-03     5.5283e-02     1.1000e+01     
      1         1        19      6.565e-03      4.983e+00     1.6706e-02     5.0022e-01     9.9484e+01      1.254e-03     3.4696e-11     3.2612e-13     9.994974e-01          9.7946e-03     5.5310e-02     1.1000e+01     

      2         0        28      6.550e-03      5.227e+02     1.7770e-01     5.2538e+01     9.9431e+01      1.450e+01     2.7234e+00     2.6947e-01     9.472145e-01          1.1446e-01     5.8088e+00     1.0994e+01     
      2         1        39      6.475e-03      5.197e+02     1.8066e-01     5.2246e+01     9.6570e+01      1.774e+01     1.8906e-03     4.4153e-05     9.472145e-01          1.1622e-01     5.7567e+00     1.0673e+01     

      3         0        52      6.333e-03      9.095e+02     3.2409e-01     9.1457e+01     9.1654e+01      7.192e+01     1.8545e+00     1.6756e-02     9.024732e-01          2.0572e-01     1.0019e+01     1.0122e+01     
      3         1        67      6.275e-03      8.749e+02     3.1640e-01     8.7986e+01     8.9978e+01      8.343e+01     3.2672e-03     2.2442e-05     9.024732e-01          2.0079e-01     9.6238e+00     9.9387e+00     

      4         0        82      5.573e-03      1.436e+03     6.7986e-01     1.4468e+02     6.7158e+01      5.512e+02     7.5757e+00     1.4269e+00     7.745986e-01          4.2633e-01     1.5325e+01     7.4120e+00     
      4         1       103      5.158e-03      1.205e+03     6.1152e-01     1.2145e+02     6.4356e+01      6.136e+02     1.6786e-01     2.2884e-04     7.745986e-01          3.8362e-01     1.2969e+01     7.1348e+00     

      5         0       122      2.284e-03      1.409e+02     1.2020e+00     1.6236e+01     4.0907e+00      1.903e+03     3.5722e+01     1.3847e+01     4.624943e-01          7.4824e-01     2.8274e+00     5.8304e-01     
      5         1       167      1.639e-03      4.898e+02     7.1829e-01     5.0134e+01     2.0528e+01      1.573e+03     9.5782e+00     6.0071e-03     4.624943e-01          4.5198e-01     5.2105e+00     2.2905e+00     

      6         0       257      2.387e-03      2.537e+00     6.0014e-01     2.5577e+00     6.0247e-01      7.924e+02     1.6272e+01     5.5686e+00     1.778643e-01          3.7047e-01     7.4692e-01     2.0842e-01     
      6         1       302      1.653e-03      1.706e+02     3.3906e-01     1.8200e+01     6.0474e+00      8.462e+02     1.9371e+00     8.6678e-02     1.778643e-01          2.2060e-01     1.9078e+00     6.6799e-01     

      7         0       392      2.295e-03      1.703e+00     8.2457e-02     1.8292e+00     4.4465e-01      1.381e+02     2.2639e+00     9.4749e-01     3.029270e-02          3.7556e-02     5.0646e-01     1.2323e-01     
      7         1       437      1.890e-03      2.534e+01     7.6502e-02     2.9518e+00     8.9636e-01      1.593e+02     6.3896e-01     1.8556e-01     3.029270e-02          3.3163e-02     3.1785e-01     1.0888e-01     

      8         0       527      2.450e-03      7.458e-01     4.6633e-02     2.6101e-01     1.5094e-01      8.300e+00     1.9404e-01     1.4999e-01     1.663863e-03          1.8985e-02     9.0333e-02     6.3524e-02     
      8         1       572      2.097e-03      1.360e+00     1.8281e-02     1.6203e-01     9.2698e-02      8.903e+00     2.2759e-02     7.9430e-02     1.663863e-03          7.4249e-03     2.1220e-02     4.2004e-02     

      9         0       662      2.175e-03      9.726e-02     5.7592e-03     1.3126e-02     1.5445e-02      6.044e-01     7.1530e-03     1.5080e-02     1.117071e-04          2.5442e-03     3.2232e-03     8.3213e-03     
      9         1       707      2.108e-03      9.296e-02     1.5576e-03     1.1008e-02     4.7176e-03      6.001e-01     1.9221e-03     3.4813e-03     1.117071e-04          5.2939e-04     1.3649e-03     1.7292e-03     

     10         0       797      2.125e-03      7.950e-03     4.1270e-04     7.8636e-04     1.0463e-03      3.893e-02     5.2292e-04     1.0263e-03     6.824520e-06          2.1783e-04     1.7327e-04     5.4266e-04     
     10         1       842      2.119e-03      7.674e-03     1.8010e-04     7.6401e-04     3.4250e-04      3.866e-02     3.9275e-04     2.8182e-04     6.824520e-06          7.5955e-05     1.8655e-04     1.4590e-04     

     11         0       932      2.121e-03      2.641e-03     8.4792e-04     2.6002e-04     7.8326e-05      5.458e-03     8.8111e-04     7.6176e-05     6.204197e-07          3.6292e-04     1.2258e-04     3.7862e-05     
     11         1       977      2.121e-03      2.641e-03     1.0023e-04     3.5463e-04     3.7800e-05      5.458e-03     3.6159e-04     3.3112e-05     6.204197e-07          6.0582e-05     1.2554e-04     1.4581e-05     

     12         0      1067      2.121e-03      2.433e-03     8.1138e-04     2.6138e-04     1.7819e-05      4.146e-03     8.4907e-04     1.4072e-05     3.772687e-07          3.3542e-04     1.2392e-04     5.4485e-06     
     12         1      1112      2.121e-03      2.432e-03     8.6175e-05     3.5256e-04     1.2069e-05      4.145e-03     3.6049e-04     5.1810e-06     3.772687e-07          4.9477e-05     1.2304e-04     2.3662e-06     

     13         0      1202      2.121e-03      2.425e-03     8.0939e-04     2.6203e-04     1.1674e-05      4.080e-03     8.4748e-04     4.7799e-06     3.646709e-07          3.3533e-04     1.2424e-04     2.2761e-06     
     13         1      1247      2.121e-03      2.433e-03     8.7376e-05     3.5237e-04     1.3691e-05      4.089e-03     3.6058e-04     8.2204e-06     3.646709e-07          5.0630e-05     1.2258e-04     3.2536e-06     

