# Kona Param. Contn. convergence history (opt tol = 1.584201e-09 | feas tol = 9.056627e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      6.565e-03      6.565e-03     1.5842e-02     0.0000e+00     9.0566e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          8.7891e-03     0.0000e+00     1.1000e+01     

      1         0         8      6.565e-03      4.535e+00     1.6745e-02     4.9997e-01     9.0566e+01      1.254e-03     2.7659e-04     2.7604e-05     9.994480e-01          9.8932e-03     6.0725e-02     1.1000e+01     
      1         1        17      6.565e-03      4.537e+00     1.6745e-02     5.0024e-01     9.0566e+01      1.254e-03     4.9161e-10     4.3538e-13     9.994480e-01          9.8937e-03     6.0758e-02     1.1000e+01     

      2         0        26      6.550e-03      4.333e+02     1.2451e-01     4.7842e+01     9.0514e+01      1.203e+01     2.4762e+00     2.4476e-01     9.472013e-01          1.1449e-01     5.8105e+00     1.0993e+01     
      2         1        35      6.479e-03      4.308e+02     1.2621e-01     4.7568e+01     8.7913e+01      1.471e+01     3.1709e-03     7.6127e-05     9.472013e-01          1.1615e-01     5.7564e+00     1.0671e+01     

      3         0        44      6.342e-03      7.541e+02     2.2122e-01     8.3259e+01     8.3435e+01      5.966e+01     1.6887e+00     1.5271e-02     9.024293e-01          2.0602e-01     1.0018e+01     1.0118e+01     
      3         1        53      6.290e-03      7.254e+02     2.1535e-01     8.0093e+01     8.1909e+01      6.920e+01     6.4208e-03     2.5598e-04     9.024293e-01          2.0055e-01     9.6216e+00     9.9353e+00     

      4         0        62      5.685e-03      1.191e+03     4.5392e-01     1.3150e+02     6.1106e+01      4.577e+02     6.8729e+00     1.3025e+00     7.743010e-01          4.2623e-01     1.5227e+01     7.3749e+00     
      4         1        73      5.323e-03      1.000e+03     4.1853e-01     1.1041e+02     5.8577e+01      5.090e+02     1.5368e-01     1.4819e-02     7.743010e-01          3.8719e-01     1.2986e+01     7.1395e+00     

      5         0        84      2.909e-03      1.191e+02     8.2101e-01     1.3255e+01     3.7751e+00      1.572e+03     3.3063e+01     1.2582e+01     4.617101e-01          7.7188e-01     2.8028e+00     6.7179e-01     
      5         1       101      3.032e-03      4.121e+02     7.8019e-01     4.5444e+01     1.8796e+01      1.300e+03     8.6817e+00     1.0656e-01     4.617101e-01          7.0231e-01     5.0997e+00     2.5176e+00     

      6         0       139      5.024e-04      5.599e+00     6.2668e-01     6.3814e-01     3.8246e-01      6.484e+02     1.5406e+01     4.9841e+00     1.760022e-01          4.4339e-01     1.5425e-01     1.3507e-01     
      6         1       174      3.145e-04      1.502e+02     2.0641e-01     1.6579e+01     5.6511e+00      6.960e+02     1.2910e+00     1.0522e-01     1.760022e-01          1.6041e-01     1.9096e+00     6.6631e-01     

      7         0       197      2.768e-04      4.493e+00     1.6027e-01     4.9983e-01     2.2993e-01      1.370e+02     2.7398e+00     7.9161e-01     3.552706e-02          6.9830e-02     7.5719e-02     6.4171e-02     
      7         1       242      7.588e-04      3.283e+01     4.3975e-02     3.6256e+00     1.1051e+00      1.581e+02     3.2078e-01     2.5920e-02     3.552706e-02          3.9622e-02     4.1305e-01     1.2926e-01     

      8         0       312      8.445e-04      2.030e-01     8.8282e-03     2.2564e-02     1.7888e-02      3.285e+00     5.4017e-02     2.3198e-02     8.330463e-04          3.3830e-03     4.0479e-03     5.0762e-03     
      8         1       357      9.416e-04      6.830e-01     8.9699e-04     7.5323e-02     2.4109e-02      3.763e+00     4.7445e-04     5.3466e-04     8.330463e-04          7.1566e-04     8.3345e-03     2.7061e-03     

      9         0       368      9.421e-04      3.141e-03     4.6809e-04     2.4723e-04     2.6760e-04      1.381e-02     4.7057e-04     2.5609e-04     2.882010e-06          1.9891e-04     4.8124e-05     1.2862e-04     
      9         1       413      9.408e-04      3.313e-03     4.0465e-04     2.6193e-04     8.6854e-05      1.398e-02     4.0479e-04     2.2756e-05     2.882010e-06          1.9463e-04     3.0174e-05     1.5450e-05     

     10         0       469      8.927e-04      1.577e-03     2.7029e-04     7.6037e-05     1.4996e-04      4.803e-03     2.7032e-04     1.4800e-04     8.716931e-07          1.1304e-04     1.1013e-05     6.6831e-05     
     10         1       514      8.923e-04      1.607e-03     2.3389e-04     7.8908e-05     2.7431e-05      4.833e-03     2.3379e-04     1.0708e-05     8.716931e-07          1.1057e-04     8.7863e-06     5.2300e-06     

     11         0       570      8.812e-04      1.373e-03     1.8352e-04     6.3774e-05     7.0557e-05      3.665e-03     1.8642e-04     6.8378e-05     6.192148e-07          8.2105e-05     3.1252e-05     1.7772e-05     
     11         1       615      8.810e-04      1.389e-03     1.7202e-04     5.6120e-05     2.0383e-05      3.681e-03     1.7192e-04     9.6433e-06     6.192148e-07          8.0516e-05     6.3118e-06     4.2243e-06     

     12         0       671      8.766e-04      1.377e-03     1.4715e-04     5.5490e-05     5.2029e-05      3.629e-03     1.4708e-04     4.8932e-05     6.085798e-07          6.5689e-05     6.6420e-06     1.3776e-05     
     12         1       716      8.764e-04      1.376e-03     1.3908e-04     5.5176e-05     1.9849e-05      3.628e-03     1.3897e-04     9.0640e-06     6.085798e-07          6.4216e-05     6.1141e-06     3.8397e-06     

     13         0       772      8.738e-04      1.225e-03     1.2183e-04     3.8765e-05     3.7311e-05      2.781e-03     1.2173e-04     3.5193e-05     4.206819e-07          5.3768e-05     4.4635e-06     8.8373e-06     
     13         1       817      8.737e-04      1.220e-03     1.1506e-04     3.8254e-05     1.4473e-05      2.777e-03     1.1498e-04     7.7226e-06     4.206819e-07          5.2584e-05     4.2723e-06     3.0840e-06     

     14         0       873      8.720e-04      1.131e-03     1.0231e-04     2.8609e-05     2.8127e-05      2.301e-03     1.0223e-04     2.6595e-05     3.161279e-07          4.4692e-05     3.4497e-06     7.0968e-06     
     14         1       918      8.719e-04      1.131e-03     9.6681e-05     2.8595e-05     1.1355e-05      2.301e-03     9.6614e-05     6.7252e-06     3.161279e-07          4.3730e-05     3.7983e-06     2.5582e-06     

     15         0       974      8.707e-04      1.130e-03     8.6817e-05     2.8679e-05     2.1870e-05      2.300e-03     8.6737e-05     1.9854e-05     3.160838e-07          3.8623e-05     4.2582e-06     5.8503e-06     
     15         1      1019      8.707e-04      1.130e-03     8.1735e-05     2.8626e-05     1.0728e-05      2.300e-03     8.1658e-05     5.5825e-06     3.160838e-07          3.8078e-05     3.2080e-06     2.3632e-06     

     16         0      1075      8.698e-04      1.147e-03     7.2186e-05     3.3667e-05     1.7139e-05      2.304e-03     7.3463e-05     1.4086e-05     3.125289e-07          3.3314e-05     1.6814e-05     6.2142e-06     
     16         1      1120      8.698e-04      1.126e-03     6.8440e-05     2.8293e-05     9.8221e-06      2.283e-03     6.8357e-05     3.8042e-06     3.125289e-07          3.2939e-05     3.1263e-06     1.9244e-06     

     17         0      1176      8.691e-04      1.127e-03     5.9699e-05     2.8464e-05     1.3580e-05      2.283e-03     5.9613e-05     1.0072e-05     3.125271e-07          2.8613e-05     3.4056e-06     3.5809e-06     
     17         1      1221      8.691e-04      1.126e-03     5.6572e-05     2.8410e-05     1.0244e-05      2.283e-03     5.6490e-05     4.7217e-06     3.125271e-07          2.8155e-05     3.3108e-06     2.3049e-06     

     18         0      1277      8.687e-04      1.133e-03     5.1969e-05     2.9277e-05     1.3627e-05      2.289e-03     5.1938e-05     9.9286e-06     3.123684e-07          2.5551e-05     4.6020e-06     3.7498e-06     
     18         1      1322      8.687e-04      1.125e-03     4.9343e-05     2.8278e-05     9.7027e-06      2.281e-03     4.9257e-05     3.4970e-06     3.123684e-07          2.5184e-05     3.1248e-06     1.7549e-06     

