# Kona Param. Contn. convergence history (opt tol = 1.584201e-09 | feas tol = 9.056627e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      6.565e-03      6.565e-03     1.5842e-02     0.0000e+00     9.0566e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          8.7891e-03     0.0000e+00     1.1000e+01     

      1         0         8      6.565e-03      4.535e+00     1.6745e-02     4.9997e-01     9.0566e+01      1.254e-03     2.7659e-04     2.7604e-05     9.994480e-01          9.8932e-03     6.0725e-02     1.1000e+01     
      1         1        49      6.565e-03      4.537e+00     1.6745e-02     5.0024e-01     9.0566e+01      1.254e-03     1.0594e-06     4.6493e-07     9.994480e-01          9.8937e-03     6.0758e-02     1.1000e+01     

      2         0        58      6.550e-03      4.333e+02     1.2462e-01     4.7840e+01     9.0514e+01      1.202e+01     2.4759e+00     2.4473e-01     9.472038e-01          1.1463e-01     5.8102e+00     1.0993e+01     
      2         1        67      6.470e-03      4.308e+02     1.2672e-01     4.7566e+01     8.7913e+01      1.471e+01     2.4651e-03     2.8070e-03     9.472038e-01          1.1667e-01     5.7577e+00     1.0672e+01     

      3         0        76      6.331e-03      7.541e+02     2.1932e-01     8.3258e+01     8.3436e+01      5.966e+01     1.6887e+00     1.6129e-02     9.024317e-01          2.0402e-01     1.0023e+01     1.0121e+01     
      3         1        89      6.269e-03      7.254e+02     2.1530e-01     8.0091e+01     8.1910e+01      6.919e+01     8.2984e-03     1.2276e-02     9.024317e-01          1.9802e-01     9.6265e+00     9.9377e+00     

      4         0       147      5.560e-03      1.191e+03     4.5183e-01     1.3149e+02     6.1106e+01      4.577e+02     6.8681e+00     1.3023e+00     7.743085e-01          4.2351e-01     1.5327e+01     7.4055e+00     
      4         1       160      5.115e-03      1.000e+03     4.1317e-01     1.1041e+02     5.8578e+01      5.090e+02     1.5491e-01     2.0915e-02     7.743085e-01          3.7793e-01     1.2965e+01     7.1271e+00     

      5         0       169      2.200e-03      1.214e+02     1.1303e+00     1.3512e+01     3.8497e+00      1.572e+03     3.2932e+01     1.2547e+01     4.621443e-01          7.5765e-01     2.7667e+00     5.7862e-01     
      5         1       190      1.128e-03      4.128e+02     4.7379e-01     4.5563e+01     1.8832e+01      1.300e+03     8.6535e+00     2.2763e-02     4.621443e-01          3.5927e-01     5.2845e+00     2.2389e+00     

      6         0       220      2.013e-03      3.226e+01     4.1207e-01     3.6094e+00     1.1535e+00      7.017e+02     1.3996e+01     4.5785e+00     1.886895e-01          2.1720e-01     7.4691e-01     3.1497e-01     
      6         1       265      6.515e-04      1.659e+02     2.5251e-01     1.8317e+01     6.2111e+00      7.385e+02     1.0584e+00     8.3085e-04     1.886895e-01          2.2943e-01     2.0774e+00     7.1139e-01     

      7         0       294      1.449e-03      9.969e+00     1.3033e-01     1.1150e+00     3.7231e-01      1.696e+02     2.8527e+00     8.1279e-01     4.321958e-02          5.9529e-02     2.2563e-01     6.0309e-02     
      7         1       359      9.107e-04      3.869e+01     5.1309e-02     4.2728e+00     1.3220e+00      1.906e+02     2.3275e-01     1.3050e-05     4.321958e-02          4.5112e-02     4.8839e-01     1.4785e-01     

      8         0       400      9.521e-04      4.395e-01     3.4171e-02     5.0304e-02     1.4738e-02      3.664e+00     4.8681e-02     1.2651e-02     8.857127e-04          1.5975e-02     1.5484e-02     3.3741e-03     
      8         1       485      9.518e-04      4.401e-01     5.0733e-03     5.0372e-02     1.4759e-02      3.665e+00     3.4886e-02     1.2619e-02     8.857127e-04          2.2659e-03     1.5467e-02     3.3726e-03     

      9         0       655      9.518e-04      4.383e-01     5.4322e-03     5.0184e-02     1.4699e-02      3.241e+00     2.5934e-02     9.2882e-03     7.699331e-04          2.3665e-03     1.5447e-02     3.3659e-03     
      9         1       740      9.518e-04      4.383e-01     4.7750e-03     5.0180e-02     1.4697e-02      3.241e+00     2.5789e-02     9.2908e-03     7.699331e-04          2.1361e-03     1.5449e-02     3.3660e-03     

     10         0       910      9.518e-04      4.348e-01     5.4058e-03     4.9810e-02     1.4580e-02      4.348e-01     5.0103e-02     1.4580e-02     0.000000e+00          2.0809e-03     1.5407e-02     3.3530e-03     
     10         1       943      8.682e-04      8.039e-04     1.4405e-04     9.5673e-06     2.1557e-06      8.039e-04     1.4437e-04     2.1557e-06     0.000000e+00          7.2210e-05     2.6839e-06     4.9645e-07     
     10         2      1028      8.682e-04      8.039e-04     1.1648e-04     9.5673e-06     2.1557e-06      8.039e-04     1.1687e-04     2.1557e-06     0.000000e+00          3.3704e-05     2.6839e-06     4.9645e-07     
     10         3      1113      8.682e-04      8.040e-04     1.1273e-04     9.5513e-06     2.1521e-06      8.040e-04     1.1314e-04     2.1521e-06     0.000000e+00          3.5332e-05     2.6794e-06     4.9563e-07     
     10         4      1198      8.682e-04      8.040e-04     1.1065e-04     9.5553e-06     2.1530e-06      8.040e-04     1.1106e-04     2.1530e-06     0.000000e+00          3.3071e-05     2.6805e-06     4.9583e-07     
     10         5      1283      8.682e-04      8.040e-04     1.1031e-04     9.5549e-06     2.1529e-06      8.040e-04     1.1073e-04     2.1529e-06     0.000000e+00          3.3882e-05     2.6804e-06     4.9581e-07     
