# Kona Param. Contn. convergence history (opt tol = 1.250000e-08 | feas tol = 6.074527e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      5.556e-02      5.556e-02     1.2500e-01     0.0000e+00     6.0745e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.1111e-01     0.0000e+00     1.0091e+01     

      1         0        10      5.554e-02      3.092e+00     1.1774e-01     4.9993e-01     6.0745e+01      1.296e-03     4.1150e-04     4.1158e-05     9.991770e-01          1.0288e-01     8.3048e-02     1.0091e+01     
      1         1        19      5.554e-02      3.095e+00     1.1773e-01     5.0034e-01     6.0745e+01      1.296e-03     1.3861e-09     2.7992e-11     9.991770e-01          1.0287e-01     8.3116e-02     1.0091e+01     

      2         0        28      5.542e-02      3.526e+01     5.9636e-02     5.7960e+00     6.0736e+01      1.696e-01     4.6180e-02     4.5359e-03     9.904720e-01          2.7735e-02     9.6282e-01     1.0089e+01     
      2         1        37      5.551e-02      3.549e+01     5.9521e-02     5.8327e+00     6.0689e+01      1.709e-01     3.4106e-06     3.8066e-07     9.904720e-01          2.7748e-02     9.6891e-01     1.0082e+01     

      3         0        46      5.556e-02      6.715e+01     9.2016e-02     1.1045e+01     6.0588e+01      6.191e-01     4.4964e-02     3.5850e-03     9.819938e-01          7.0984e-02     1.8347e+00     1.0065e+01     
      3         1        57      5.564e-02      6.726e+01     9.1713e-02     1.1064e+01     6.0542e+01      6.263e-01     3.8330e-07     3.8407e-07     9.819938e-01          7.0716e-02     1.8379e+00     1.0057e+01     

      4         0        68      5.586e-02      9.989e+01     1.6963e-01     1.6436e+01     6.0343e+01      1.417e+00     4.8312e-02     3.0141e-03     9.732646e-01          1.5876e-01     2.7300e+00     1.0024e+01     
      4         1        79      5.595e-02      9.992e+01     1.6876e-01     1.6439e+01     6.0293e+01      1.436e+00     4.5688e-07     2.8822e-06     9.732646e-01          1.5793e-01     2.7306e+00     1.0015e+01     

      5         0        92      5.638e-02      1.352e+02     2.5922e-01     2.2242e+01     5.9967e+01      2.745e+00     5.7466e-02     2.5831e-03     9.637488e-01          2.5193e-01     3.6941e+00     9.9610e+00     
      5         1       105      5.649e-02      1.351e+02     2.5744e-01     2.2224e+01     5.9908e+01      2.786e+00     4.1411e-07     3.8473e-08     9.637488e-01          2.5021e-01     3.6912e+00     9.9512e+00     

      6         0       118      5.722e-02      1.746e+02     3.5915e-01     2.8733e+01     5.9399e+01      4.982e+00     7.4524e-02     1.9525e-03     9.528340e-01          3.5372e-01     4.7716e+00     9.8662e+00     
      6         1       131      5.735e-02      1.743e+02     3.5569e-01     2.8680e+01     5.9323e+01      5.071e+00     1.7471e-06     1.7529e-07     9.528340e-01          3.5034e-01     4.7626e+00     9.8536e+00     

      7         0       144      5.855e-02      2.200e+02     4.7093e-01     3.6211e+01     5.8527e+01      8.943e+00     1.0462e-01     7.8683e-04     9.396609e-01          4.6669e-01     6.0122e+00     9.7209e+00     
      7         1       157      5.871e-02      2.192e+02     4.6439e-01     3.6086e+01     5.8423e+01      9.139e+00     8.4717e-06     7.6999e-07     9.396609e-01          4.6025e-01     5.9913e+00     9.7036e+00     

      8         0       170      6.068e-02      2.733e+02     5.9515e-01     4.4997e+01     5.7148e+01      1.649e+01     1.5819e-01     4.3676e-03     9.228508e-01          5.9171e-01     7.4900e+00     9.5299e+00     
      8         1       185      6.090e-02      2.717e+02     5.8258e-01     4.4721e+01     5.6999e+01      1.693e+01     3.1853e-05     3.6680e-06     9.228508e-01          5.7922e-01     7.4534e+00     9.5082e+00     

      9         0       202      6.421e-02      3.360e+02     7.2726e-01     5.5313e+01     5.4865e+01      3.226e+01     2.5524e-01     1.8103e-02     8.999100e-01          7.2391e-01     9.2621e+00     9.2220e+00     
      9         1       217      6.447e-02      3.322e+02     7.0249e-01     5.4702e+01     5.4650e+01      3.329e+01     1.5538e-04     1.6131e-05     8.999100e-01          6.9908e-01     9.1751e+00     9.1868e+00     

     10         0       234      7.030e-02      4.053e+02     8.4747e-01     6.6750e+01     5.0860e+01      6.913e+01     4.2477e-01     6.5565e-02     8.656602e-01          8.4133e-01     1.1266e+01     8.6584e+00     
     10         1       253      7.047e-02      3.971e+02     7.9870e-01     6.5395e+01     5.0580e+01      7.126e+01     7.3157e-04     5.1732e-06     8.656602e-01          7.9170e-01     1.1059e+01     8.6028e+00     

     11         0       272      8.117e-02      4.610e+02     8.9535e-01     7.5947e+01     4.3415e+01      1.639e+02     5.8111e-01     2.5372e-01     8.081994e-01          8.7172e-01     1.2914e+01     7.5468e+00     
     11         1       295      8.049e-02      4.453e+02     8.1096e-01     7.3360e+01     4.3313e+01      1.652e+02     1.1011e-03     2.4033e-06     8.081994e-01          7.8407e-01     1.2502e+01     7.4904e+00     

     12         0       318      9.784e-02      4.309e+02     7.6964e-01     7.1050e+01     3.0923e+01      3.713e+02     4.2909e-01     8.7048e-01     7.087740e-01          6.5940e-01     1.2024e+01     5.5307e+00     
     12         1       343      9.457e-02      4.222e+02     6.9121e-01     6.9614e+01     3.2053e+01      3.527e+02     4.1266e-02     5.6702e-05     7.087740e-01          5.9454e-01     1.1859e+01     5.6423e+00     

     13         0       366      1.083e-01      3.329e+02     5.8679e-01     5.4958e+01     2.1274e+01      5.266e+02     1.7390e+00     8.9962e-01     6.005907e-01          3.6761e-01     9.2027e+00     3.8198e+00     
     13         1       391      1.049e-01      3.449e+02     5.5419e-01     5.6930e+01     2.2771e+01      5.013e+02     4.9327e-02     1.0370e-04     6.005907e-01          3.8953e-01     9.6298e+00     4.0462e+00     

     14         0       420      1.133e-01      2.385e+02     4.2591e-01     3.9449e+01     1.4144e+01      5.782e+02     2.0661e+00     8.1717e-01     4.825776e-01          1.9520e-01     6.5475e+00     2.5415e+00     
     14         1       451      1.082e-01      2.552e+02     4.0014e-01     4.2175e+01     1.5423e+01      5.611e+02     3.4852e-02     1.7699e-04     4.825776e-01          2.2550e-01     7.0781e+00     2.7549e+00     

     15         0       480      1.063e-01      1.413e+02     2.2525e-01     2.3460e+01     7.8922e+00      5.135e+02     2.4994e+00     8.8129e-01     3.401686e-01          1.3706e-01     3.8973e+00     1.4224e+00     
     15         1       511      9.856e-02      1.603e+02     2.1897e-01     2.6568e+01     9.0867e+00      5.064e+02     3.5167e-02     2.1571e-04     3.401686e-01          1.1895e-01     4.4239e+00     1.6296e+00     

     16         0       544      7.893e-02      4.287e+01     8.0191e-02     7.2669e+00     2.2868e+00      2.782e+02     3.1394e+00     1.0412e+00     1.579572e-01          7.1899e-02     1.3706e+00     4.2001e-01     
     16         1       579      7.379e-02      6.383e+01     6.6328e-02     1.0685e+01     3.4583e+00      2.860e+02     7.0172e-02     8.8982e-05     1.579572e-01          5.7384e-02     1.7674e+00     6.2440e-01     

     17         0       620      5.637e-02      2.605e-01     3.0824e-02     4.3516e-01     1.4555e-01      3.755e+01     1.2328e+00     4.3442e-01     2.236039e-02          1.5752e-02     2.9640e-01     1.0462e-01     
     17         1       663      5.656e-02      8.024e+00     7.5907e-03     1.3464e+00     4.2685e-01      4.464e+01     2.5291e-01     9.1676e-05     2.236039e-02          7.5742e-03     2.3415e-01     7.8626e-02     

     18         0       753      5.527e-02      3.209e+00     2.2820e-03     5.5449e-01     1.6881e-01      1.829e+01     3.3821e-02     8.7478e-03     9.101839e-03          2.2704e-03     1.2140e-01     3.1036e-02     
     18         1       798      5.523e-02      3.269e+00     2.7333e-03     5.5629e-01     1.7183e-01      1.835e+01     2.0922e-03     4.1462e-05     9.101839e-03          2.7309e-03     9.1615e-02     3.1617e-02     

     19         0       843      5.443e-02      8.409e-02     3.0471e-02     1.5679e-02     4.5304e-03      3.248e-01     3.3617e-02     4.3871e-03     1.441542e-04          3.0467e-02     1.4927e-02     2.9986e-03     
     19         1       888      5.456e-02      1.029e-01     8.5262e-04     9.1387e-03     2.7629e-03      3.442e-01     2.5083e-03     8.8503e-04     1.441542e-04          4.0401e-04     3.4906e-03     7.3956e-04     

     20         0       978      5.463e-02      5.567e-02     6.2533e-04     2.4229e-04     8.3148e-05      6.090e-02     6.3864e-04     6.0864e-05     3.121705e-06          6.2515e-04     1.1685e-04     5.4709e-05     
     20         1      1023      5.461e-02      5.568e-02     2.1346e-05     2.2692e-04     6.4771e-05      6.091e-02     1.0172e-04     2.8891e-05     3.121705e-06          7.7992e-06     1.2797e-04     1.8289e-05     

     21         0      1113      5.458e-02      5.514e-02     3.9382e-05     1.4286e-04     3.4582e-05      5.781e-02     9.8590e-05     1.6905e-05     1.595092e-06          3.2430e-05     9.8818e-05     1.1217e-05     
