# Kona Param. Contn. convergence history (opt tol = 1.939072e-06 | feas tol = 6.188295e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1     -1.075e+01     -1.075e+01     1.9391e+01     0.0000e+00     6.1883e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.2000e+01     0.0000e+00     1.2000e+01     

      1         0        10     -1.104e+01     -8.089e+00     1.9609e+01     4.7613e-01     6.1881e+01     -7.262e-03     4.1032e-04     4.5789e-05     9.992291e-01          1.2129e+01     9.2510e-02     1.1997e+01     
      1         1        21     -1.105e+01     -8.091e+00     1.9611e+01     4.7648e-01     6.1880e+01     -7.262e-03     6.9266e-10     5.2648e-10     9.992291e-01          1.2131e+01     9.2556e-02     1.1997e+01     

      2         0        32     -1.447e+01      2.027e+01     2.2020e+01     5.6042e+00     6.1849e+01      4.346e-02     4.7794e-02     5.3130e-03     9.909379e-01          1.3554e+01     1.0883e+00     1.1960e+01     
      2         1        47     -1.501e+01      1.992e+01     2.2368e+01     5.6375e+00     6.1801e+01      4.427e-02     8.7397e-07     1.3797e-08     9.909379e-01          1.3770e+01     1.0910e+00     1.1942e+01     

      3         0        62     -1.985e+01      4.505e+01     2.5328e+01     1.0483e+01     6.1685e+01      3.051e-01     4.5543e-02     5.1035e-03     9.831831e-01          1.5535e+01     2.0232e+00     1.1871e+01     
      3         1        79     -2.068e+01      4.431e+01     2.5787e+01     1.0500e+01     6.1641e+01      3.102e-01     5.3593e-07     1.2321e-07     9.831831e-01          1.5822e+01     2.0202e+00     1.1852e+01     

      4         0        94     -2.788e+01      6.567e+01     2.9558e+01     1.5127e+01     6.1454e+01      7.559e-01     4.6231e-02     5.6750e-03     9.757939e-01          1.8092e+01     2.8960e+00     1.1746e+01     
      4         1       111     -2.927e+01      6.429e+01     3.0210e+01     1.5132e+01     6.1413e+01      7.665e-01     1.0002e-06     7.8859e-07     9.757939e-01          1.8500e+01     2.8872e+00     1.1723e+01     

      5         0       128     -4.016e+01      7.957e+01     3.5000e+01     1.9382e+01     6.1176e+01      1.351e+00     4.6218e-02     6.4512e-03     9.689782e-01          2.1412e+01     3.6706e+00     1.1581e+01     
      5         1       145     -4.246e+01      7.723e+01     3.5906e+01     1.9379e+01     6.1142e+01      1.366e+00     1.7239e-06     3.0817e-06     9.689782e-01          2.1981e+01     3.6561e+00     1.1555e+01     

      6         0       162     -5.845e+01      8.360e+01     4.1757e+01     2.3016e+01     6.0898e+01      1.995e+00     4.3200e-02     6.7546e-03     9.630970e-01          2.5570e+01     4.2985e+00     1.1385e+01     
      6         1       181     -6.192e+01      8.008e+01     4.2899e+01     2.3010e+01     6.0877e+01      2.010e+00     3.3332e-06     5.7475e-07     9.630970e-01          2.6289e+01     4.2800e+00     1.1356e+01     

      7         0       200     -8.508e+01      7.559e+01     4.9924e+01     2.6038e+01     6.0662e+01      2.601e+00     4.0448e-02     6.8063e-03     9.581571e-01          3.0628e+01     4.7809e+00     1.1161e+01     
      7         1       221     -9.011e+01      7.055e+01     5.1303e+01     2.6034e+01     6.0655e+01      2.615e+00     2.5107e-06     1.2116e-07     9.581571e-01          3.1496e+01     4.7594e+00     1.1130e+01     

      8         0       242     -1.252e+02      5.191e+01     6.0101e+01     2.8668e+01     6.0496e+01      3.129e+00     4.2553e-02     7.4380e-03     9.538365e-01          3.6960e+01     5.1529e+00     1.0900e+01     
      8         1       263     -1.332e+02      4.394e+01     6.1927e+01     2.8672e+01     6.0506e+01      3.141e+00     4.3042e-06     3.1708e-07     9.538365e-01          3.8110e+01     5.1702e+00     1.0957e+01     

      9         0       284     -1.915e+02      1.519e+00     7.3832e+01     3.1126e+01     6.0452e+01      3.529e+00     5.2301e-02     9.3019e-03     9.498283e-01          4.5533e+01     5.9932e+00     1.1786e+01     
      9         1       305     -2.070e+02     -1.365e+01     7.6673e+01     3.1146e+01     6.0498e+01      3.541e+00     1.0769e-05     9.1191e-07     9.498283e-01          4.7323e+01     6.1257e+00     1.1985e+01     

     10         0       326     -3.174e+02     -1.069e+02     9.4473e+01     3.3610e+01     6.0697e+01      3.655e+00     7.5350e-02     1.3485e-02     9.459238e-01          5.8457e+01     7.1991e+00     1.3226e+01     
     10         1       349     -3.556e+02     -1.439e+02     9.9869e+01     3.3684e+01     6.0856e+01      3.666e+00     4.1694e-05     5.3418e-06     9.459238e-01          6.1855e+01     7.4455e+00     1.3603e+01     

