# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective   
    0        0.01        0.01        -5.54435    
    1        0.01        0.02        -3.00242    
    2        0.01        0.03        -3.01196    
    3        0.01        0.04        -3.116    
    4        0.01        0.05        -3.28264    
    5        0.01        0.07        -3.44901    
    6        0.01        0.08        -3.6186    
    7        0.01        0.10        -3.79358    
    8        0.02        0.11        -3.97309    
    9        0.01        0.12        -4.15493    
   10        0.01        0.14        -4.34513    
   11        0.02        0.15        -4.56073    
   12        0.02        0.17        -4.8077    
   13        0.02        0.19        -5.08489    
   14        0.02        0.21        -5.41342    
   15        0.02        0.22        -5.83632    
   16        0.02        0.25        -6.34728    
   17        0.02        0.27        -6.95243    
   18        0.02        0.29        -7.62619    
   19        0.03        0.32        -8.45354    
   20        0.03        0.35        -9.40177    
   21        0.04        0.38        -10.3747    
   22        0.04        0.42        -11.3063    
   23        0.04        0.46        -12.1841    
   24        0.04        0.50        -12.8996    
   25        0.04        0.54        -13.3706    
   26        0.05        0.59        -13.6092    
   27        0.05        0.63        -13.6765    
   28        0.04        0.68        -13.5813    
   29        0.05        0.73        -13.3851    
   30        0.05        0.78        -13.1028    
   31        0.04        0.82        -12.6303    
   32        0.05        0.87        -11.9812    
   33        0.05        0.92        -10.9623    
   34        0.05        0.96        -9.63718    
   35        0.05        1.01        -8.22717    
   36        0.04        1.05        -6.61503    
   37        0.04        1.09        -5.3851    
   38        0.04        1.14        -4.50222    
   39        0.05        1.19        -3.86619    
   40        0.05        1.24        -3.41435    
   41        0.05        1.29        -3.11058    
   42        0.06        1.35        -2.93641    
   43        0.06        1.41        -2.88143    
   44        0.07        1.48        -2.92979    
   45        0.08        1.56        -3.05135    
   46        0.09        1.65        -3.21417    
   47        0.10        1.74        -3.3977    
   48        0.11        1.85        -3.59431    
   49        0.11        1.96        -3.80159    
   50        0.12        2.08        -4.01908    
   51        0.12        2.19        -4.2452    
   52        0.12        2.31        -4.47663    
   53        0.12        2.43        -4.70746    
   54        0.12        2.55        -4.93081    
   55        0.18        2.73        -5.14237    
   56        0.18        2.90        -5.34363    
   57        0.18        3.08        -5.54272    
   58        0.18        3.25        -5.7574    
   59        0.18        3.43        -6.02903    
   60        0.12        3.55        -6.50061    
   61        0.12        3.67        -7.84564    
   62        0.10        3.76        -9.03636    
   63        0.08        3.84        -10.467    
   64        0.06        3.91        -12.3635    
   65        0.05        3.95        -14.8674    
   66        0.04        4.00        -18.145    
   67        0.03        4.02        -22.3386    
   68        0.02        4.05        -26.6435    
   69        0.02        4.06        -26.9963    
   70        0.01        4.07         -27    
   71        0.01        4.08         -27    
   72        0.01        4.09         -27    
   73        0.01        4.09         -27    
   74        0.01        4.10         -27    
   75        0.01        4.11         -27    
   76        0.01        4.12         -27    
   77        0.01        4.13         -27    
   78        0.01        4.13         -27    
   79        0.01        4.14         -27    
   80        0.01        4.15         -27    
   81        0.01        4.16         -27    
   82        0.01        4.17         -27    
   83        0.01        4.18         -27    
   84        0.01        4.18         -27    
   85        0.01        4.19         -27    
   86        0.01        4.20         -27    
   87        0.01        4.21         -27    
   88        0.01        4.22         -27    
   89        0.01        4.22         -27    
   90        0.01        4.23         -27    
   91        0.01        4.24         -27    
   92        0.01        4.25         -27    
   93        0.01        4.26         -27    
   94        0.01        4.26         -27    
   95        0.01        4.27         -27    
   96        0.01        4.28         -27    
   97        0.01        4.29         -27    
   98        0.01        4.30         -27    
   99        0.01        4.30         -27    
  100        0.01        4.31         -27    
  101        0.01        4.32         -27    
  102        0.01        4.33         -27    
  103        0.01        4.34         -27    
  104        0.01        4.34         -27    
  105        0.01        4.35         -27    
  106        0.01        4.36         -27    
  107        0.01        4.37         -27    
  108        0.01        4.38         -27    
  109        0.01        4.38         -27    
  110        0.01        4.39         -27    
  111        0.01        4.40         -27    
  112        0.01        4.41         -27    
  113        0.01        4.42         -27    
  114        0.01        4.42         -27    
  115        0.01        4.43         -27    
  116        0.01        4.44         -27    
  117        0.01        4.45         -27    
  118        0.01        4.46         -27    
  119        0.01        4.46         -27    
  120        0.01        4.47         -27    
  121        0.01        4.48         -27    
  122        0.01        4.49         -27    
  123        0.01        4.50         -27    
    0        0.01        4.50         -27    
  124        0.00        4.50         -27    
