# Kona Param. Contn. convergence history (opt tol = 1.190439e-06 | feas tol = 5.902058e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      5.395e+00      5.395e+00     1.1904e+01     0.0000e+00     5.9021e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.9802e+00     0.0000e+00     5.9802e+00     

      1         0         8      2.161e+00      3.857e+00     8.3224e+00     1.4755e-01     5.7780e+01      8.879e+00     4.2124e+00     2.9766e-03     9.995000e-01          1.0020e+00     1.4951e-02     5.0000e+00     
      1         1        13      2.161e+00      3.884e+00     8.3227e+00     1.5199e-01     5.7780e+01      8.879e+00     4.2124e+00     5.9529e-03     9.995000e-01          1.0030e+00     1.7395e-02     5.0000e+00     

      2         0        25      2.132e+00      5.587e+00     8.3209e+00     3.0435e-01     5.7779e+01      8.889e+00     4.2130e+00     1.1522e-02     9.990000e-01          1.0045e+00     3.4797e-02     5.0000e+00     
      2         1        30      2.154e+00      5.723e+00     8.3245e+00     3.2906e-01     5.7779e+01      8.877e+00     4.2100e+00     2.3039e-02     9.990000e-01          1.0089e+00     4.4574e-02     5.0000e+00     

      3         0        42      2.044e+00      1.238e+01     8.3176e+00     9.1379e-01     5.7775e+01      8.923e+00     4.2121e+00     3.8764e-02     9.971082e-01          1.0129e+00     1.1156e-01     4.9999e+00     
      3         1        47      2.129e+00      1.313e+01     8.3318e+00     1.0215e+00     5.7777e+01      8.874e+00     4.2008e+00     7.7466e-02     9.971082e-01          1.0275e+00     1.5065e-01     4.9998e+00     

      4         0        59      1.899e+00      2.763e+01     8.3212e+00     2.3305e+00     5.7763e+01      9.000e+00     4.2044e+00     1.4595e-01     9.932263e-01          1.0458e+00     3.2673e-01     4.9991e+00     
      4         1        64      2.077e+00      3.078e+01     8.3624e+00     2.8378e+00     5.7764e+01      8.871e+00     4.1799e+00     2.9131e-01     9.932263e-01          1.0937e+00     4.8286e-01     4.9988e+00     

      5         0        78      1.599e+00      5.213e+01     8.2968e+00     4.3794e+00     5.7721e+01      9.354e+00     4.1901e+00     4.3127e-02     9.851277e-01          1.0275e+00     4.1125e-01     4.9960e+00     
      5         1        83      1.957e+00      5.272e+01     8.3477e+00     4.4141e+00     5.7713e+01      9.153e+00     4.1413e+00     8.5204e-02     9.851277e-01          1.0583e+00     4.4673e-01     4.9943e+00     

      6         0        95      1.445e+00      8.166e+01     8.3197e+00     6.9986e+00     5.7622e+01      9.859e+00     4.1469e+00     1.7089e-01     9.766240e-01          1.0856e+00     7.3339e-01     4.9879e+00     
      6         1       100      1.830e+00      8.278e+01     8.4032e+00     7.2162e+00     5.7612e+01      9.605e+00     4.0894e+00     3.3954e-01     9.766240e-01          1.1604e+00     8.7291e-01     4.9860e+00     

      7         0       114      1.302e+00      1.118e+02     8.3227e+00     9.6082e+00     5.7474e+01      1.065e+01     4.1025e+00     1.7190e-01     9.679774e-01          1.1029e+00     9.5626e-01     4.9752e+00     
      7         1       119      1.697e+00      1.134e+02     8.4073e+00     9.8221e+00     5.7460e+01      1.040e+01     4.0410e+00     3.4127e-01     9.679774e-01          1.1789e+00     1.0956e+00     4.9730e+00     

      8         0       133      1.147e+00      1.425e+02     8.3406e+00     1.2315e+01     5.7271e+01      1.174e+01     4.0521e+00     2.5447e-01     9.592490e-01          1.1473e+00     1.2473e+00     4.9580e+00     
      8         1       138      1.562e+00      1.449e+02     8.4530e+00     1.2674e+01     5.7254e+01      1.143e+01     3.9815e+00     5.0559e-01     9.592490e-01          1.2516e+00     1.4522e+00     4.9557e+00     

