# Kona Param. Contn. convergence history (opt tol = 1.177076e-06 | feas tol = 5.896695e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0         0         1      1.549e+01      1.549e+01     1.1771e+01     5.8967e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000     

      1         0         8      5.236e+00      8.055e+00     8.3023e+00     5.7772e+01      8.241e+00     4.0552e+00     4.7636e-03     9.991686e-01          
      1         1        17      5.236e+00      8.057e+00     8.3023e+00     5.7772e+01      8.241e+00     4.0552e+00     4.7707e-03     9.991686e-01          

      2         0        35      5.159e+00      1.202e+01     8.3157e+00     5.7769e+01      8.277e+00     4.0564e+00     4.7738e-03     9.979597e-01          
      2         1        44      5.220e+00      1.215e+01     8.3258e+00     5.7771e+01      8.243e+00     4.0480e+00     1.1697e-02     9.979597e-01          

      3         0        62      4.129e+00      6.944e+01     9.9973e+00     5.7720e+01      9.304e+00     4.0623e+00     2.0976e-02     9.805188e-01          
      3         1        71      4.992e+00      7.208e+01     1.0212e+01     5.7656e+01      8.825e+00     3.9393e+00     1.1016e-01     9.805188e-01          

      4         0        93      3.899e+00      1.277e+02     1.3586e+01     5.7427e+01      1.085e+01     3.9503e+00     1.1213e-01     9.639056e-01          
      4         1       104      4.757e+00      1.299e+02     1.3786e+01     5.7365e+01      1.041e+01     3.8275e+00     2.0140e-01     9.639056e-01          

      5         0       128      3.594e+00      1.867e+02     1.7991e+01     5.6943e+01      1.364e+01     3.8364e+00     2.0393e-01     9.469052e-01          
      5         1       139      4.504e+00      1.887e+02     1.8164e+01     5.6874e+01      1.322e+01     3.7047e+00     2.9249e-01     9.469052e-01          

      6         0       163      3.202e+00      2.488e+02     2.3000e+01     5.6203e+01      1.825e+01     3.7121e+00     2.9619e-01     9.284637e-01          
      6         1       174      4.226e+00      2.505e+02     2.3141e+01     5.6120e+01      1.786e+01     3.5628e+00     3.8892e-01     9.284637e-01          

      7         0       200      2.698e+00      3.158e+02     2.8633e+01     5.5090e+01      2.592e+01     3.5684e+00     3.9461e-01     9.073670e-01          
      7         1       215      3.896e+00      3.171e+02     2.8720e+01     5.4982e+01      2.560e+01     3.3906e+00     4.9684e-01     9.073670e-01          

      8         0       245      2.027e+00      3.883e+02     3.4933e+01     5.3396e+01      3.912e+01     3.3948e+00     5.0632e-01     8.819162e-01          
      8         1       260      3.437e+00      3.886e+02     3.4914e+01     5.3252e+01      3.901e+01     3.1714e+00     6.2497e-01     8.819162e-01          

      9         0       290      1.067e+00      4.642e+02     4.1798e+01     5.0761e+01      6.310e+01     3.1748e+00     6.4217e-01     8.494083e-01          
      9         1       305      2.820e+00      4.627e+02     4.1567e+01     5.0574e+01      6.341e+01     2.8791e+00     7.8848e-01     8.494083e-01          

     10         0       337     -2.598e-01      5.342e+02     4.8618e+01     4.6558e+01      1.088e+02     2.8840e+00     8.2422e-01     8.051618e-01          
     10         1       356      1.760e+00      5.287e+02     4.7979e+01     4.6352e+01      1.098e+02     2.4712e+00     1.0174e+00     8.051618e-01          

     11         0       394     -2.178e+00      5.697e+02     5.3417e+01     3.9797e+01      1.968e+02     2.4732e+00     1.1089e+00     7.408994e-01          
     11         1       415     -1.792e-01      5.593e+02     5.2172e+01     3.9744e+01      1.971e+02     1.8824e+00     1.3678e+00     7.408994e-01          

     12         0       461     -4.207e+00      5.133e+02     5.1919e+01     2.9640e+01      3.421e+02     1.8085e+00     1.6410e+00     6.448223e-01          
     12         1       490     -4.561e+00      5.038e+02     5.0388e+01     3.0204e+01      3.354e+02     1.0609e+00     1.8384e+00     6.448223e-01          

     13         0       548     -4.715e+00      3.549e+02     4.2389e+01     1.8868e+01      4.685e+02     9.7313e-01     2.3449e+00     5.252008e-01          
     13         1       583     -9.350e+00      3.616e+02     4.1678e+01     2.0134e+01      4.543e+02     1.5888e-01     1.7952e+00     5.252008e-01          

     14         0       653     -4.178e+00      2.252e+02     3.3165e+01     1.2496e+01      4.887e+02     3.8680e-01     2.1777e+00     4.253316e-01          
     14         1       690     -1.027e+01      2.360e+02     3.2830e+01     1.3432e+01      4.822e+02     1.7524e-01     9.3146e-01     4.253316e-01          

     15         0       758     -4.319e+00      1.352e+02     2.5652e+01     8.1327e+00      4.556e+02     3.7635e-01     1.2208e+00     3.413166e-01          
     15         1       799     -7.403e+00      1.415e+02     2.5351e+01     8.7767e+00      4.531e+02     3.7369e-02     1.0014e-01     3.413166e-01          

     16         0       838     -3.747e+00      7.864e+01     1.9922e+01     5.3690e+00      4.004e+02     1.2581e-01     3.6466e-01     2.754430e-01          
     16         1       877     -4.295e+00      8.138e+01     1.9736e+01     5.7071e+00      3.994e+02     5.3257e-03     1.8384e-05     2.754430e-01          

     17         0       918     -2.726e+00      4.624e+01     1.5897e+01     3.6770e+00      3.456e+02     6.2992e-02     1.8123e-01     2.269717e-01          
     17         1       961     -2.970e+00      4.766e+01     1.5780e+01     3.8557e+00      3.452e+02     2.1396e-03     2.6456e-05     2.269717e-01          

     18         0      1004     -2.260e+00      2.634e+01     1.2774e+01     2.4973e+00      2.938e+02     4.7329e-02     1.1976e-01     1.875931e-01          
     18         1      1047     -2.449e+00      2.724e+01     1.2694e+01     2.6181e+00      2.936e+02     1.2981e-03     2.4271e-05     1.875931e-01          

     19         0      1090     -2.204e+00      1.373e+01     1.0163e+01     1.6457e+00      2.443e+02     3.7014e-02     9.0548e-02     1.532513e-01          
     19         1      1133     -2.420e+00      1.433e+01     1.0107e+01     1.7411e+00      2.441e+02     1.1395e-03     3.5155e-05     1.532513e-01          

     20         0      1176     -2.595e+00      6.891e+00     8.2273e+00     1.1461e+00      2.040e+02     2.8127e-02     5.1664e-02     1.270064e-01          
     20         1      1219     -2.850e+00      7.124e+00     8.2028e+00     1.2046e+00      2.038e+02     1.0462e-03     1.8849e-04     1.270064e-01          

     21         0      1262     -3.280e+00      3.852e+00     7.1856e+00     9.4317e-01      1.808e+02     1.6759e-02     1.4987e-02     1.125536e-01          
     21         1      1305     -3.431e+00      3.864e+00     7.1831e+00     9.6187e-01      1.807e+02     8.0420e-04     2.8104e-04     1.125536e-01          

     22         0      1348     -3.893e+00      2.113e+00     6.6038e+00     8.3357e-01      1.672e+02     9.7813e-03     4.9789e-03     1.042223e-01          
     22         1      1391     -3.973e+00      2.093e+00     6.6050e+00     8.4003e-01      1.671e+02     7.3613e-04     2.3213e-04     1.042223e-01          

     23         0      1434     -4.490e+00      7.293e-01     6.1562e+00     7.5038e-01      1.563e+02     9.0069e-03     3.4448e-03     9.770918e-02          
     23         1      1477     -4.556e+00      7.023e-01     6.1582e+00     7.5457e-01      1.563e+02     1.0845e-03     3.6408e-04     9.770918e-02          

     24         0      1563     -5.221e+00     -6.709e-01     5.7209e+00     6.7503e-01      1.455e+02     1.1496e-02     3.5252e-03     9.131476e-02          
     24         1      1606     -5.290e+00     -7.024e-01     5.7242e+00     6.7891e-01      1.454e+02     2.1447e-03     8.2572e-04     9.131476e-02          

     25         0      1692     -5.973e+00     -1.855e+00     5.3828e+00     6.2290e-01      1.368e+02     1.4512e-02     2.9561e-03     8.629308e-02          
     25         1      1735     -5.990e+00     -1.852e+00     5.3868e+00     6.2520e-01      1.368e+02     2.4527e-03     1.0073e-03     8.629308e-02          

     26         0      1821     -7.730e+00     -4.471e+00     4.6361e+00     5.1265e-01      1.175e+02     4.2220e-02     8.9410e-03     7.524118e-02          
     26         1      1864     -7.755e+00     -4.438e+00     4.6541e+00     5.1944e-01      1.175e+02     2.4537e-03     1.0381e-03     7.524118e-02          

     27         0      1950     -1.173e+01     -9.613e+00     3.2524e+00     3.4674e-01      8.010e+01     1.2433e-01     2.6776e-02     5.452074e-02          
     27         1      1993     -1.150e+01     -9.311e+00     3.3148e+00     3.5571e-01      8.027e+01     1.5404e-03     5.7692e-04     5.452074e-02          

     28         0      2036     -1.689e+01     -1.576e+01     1.6101e+00     1.8678e-01      3.191e+01     1.4550e-01     3.8262e-02     2.851933e-02          
     28         1      2079     -1.638e+01     -1.525e+01     1.6972e+00     1.8222e-01      3.232e+01     1.4117e-03     3.4645e-05     2.851933e-02          

     29         0      2122     -2.150e+01     -2.150e+01     5.0973e-02     9.3083e-02     -2.150e+01     5.0973e-02     9.3083e-02     0.000000e+00          
     29         1      2159     -2.150e+01     -2.150e+01     3.6064e-05     4.1779e-06     -2.150e+01     3.6064e-05     4.1779e-06     0.000000e+00          
     29         2      2184     -2.150e+01     -2.150e+01     4.6713e-10     1.6014e-10     -2.150e+01     4.6713e-10     1.6014e-10     0.000000e+00          
