# Kona Param. Contn. convergence history (opt tol = 1.163411e-06 | feas tol = 5.891269e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      8.391e+00      8.391e+00     1.1634e+01     0.0000e+00     5.8913e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.9900e+00     0.0000e+00     5.9900e+00     

      1         0         8      3.536e+00      6.351e+00     8.0249e+00     2.4523e-01     5.7695e+01      9.050e+00     4.2509e+00     4.9998e-03     9.991675e-01          1.0033e+00     2.4934e-02     5.0000e+00     
      1         1        17      3.536e+00      6.353e+00     8.0249e+00     2.4543e-01     5.7695e+01      9.050e+00     4.2509e+00     5.0085e-03     9.991675e-01          1.0033e+00     2.4947e-02     5.0000e+00     

      2         0        35      3.472e+00      9.936e+00     8.0210e+00     5.6078e-01     5.7693e+01      9.077e+00     4.2519e+00     5.0097e-03     9.980737e-01          1.0033e+00     5.2333e-02     4.9999e+00     
      2         1        44      3.519e+00      1.005e+01     8.0278e+00     5.6849e-01     5.7694e+01      9.049e+00     4.2453e+00     1.1585e-02     9.980737e-01          1.0077e+00     5.7765e-02     4.9999e+00     

      3         0        62      2.507e+00      6.718e+01     7.9664e+00     5.6079e+00     5.7649e+01      1.001e+01     4.2575e+00     2.0752e-02     9.806556e-01          1.0206e+00     4.9462e-01     4.9982e+00     
      3         1        71      3.246e+00      6.968e+01     8.0767e+00     5.7876e+00     5.7581e+01      9.576e+00     4.1511e+00     1.1568e-01     9.806556e-01          1.0768e+00     5.8892e-01     4.9903e+00     

      4         0        93      2.238e+00      1.251e+02     8.0134e+00     1.0679e+01     5.7359e+01      1.150e+01     4.1597e+00     1.1727e-01     9.640691e-01          1.0753e+00     1.0140e+00     4.9730e+00     
      4         1       104      2.979e+00      1.272e+02     8.1274e+00     1.0829e+01     5.7293e+01      1.110e+01     4.0527e+00     2.1369e-01     9.640691e-01          1.1416e+00     1.1065e+00     4.9657e+00     

      5         0       128      1.913e+00      1.839e+02     8.0568e+00     1.5840e+01     5.6879e+01      1.422e+01     4.0590e+00     2.1575e-01     9.471056e-01          1.1380e+00     1.5399e+00     4.9312e+00     
      5         1       139      2.687e+00      1.857e+02     8.1807e+00     1.5964e+01     5.6806e+01      1.383e+01     3.9432e+00     3.1314e-01     9.471056e-01          1.2062e+00     1.6364e+00     4.9240e+00     

      6         0       163      1.500e+00      2.457e+02     8.0967e+00     2.1301e+01     5.6146e+01      1.874e+01     3.9472e+00     3.1616e-01     9.287146e-01          1.1993e+00     2.0926e+00     4.8672e+00     
      6         1       174      2.356e+00      2.473e+02     8.2392e+00     2.1394e+01     5.6057e+01      1.837e+01     3.8149e+00     4.2021e-01     9.287146e-01          1.2731e+00     2.1978e+00     4.8601e+00     

      7         0       200      9.792e-01      3.124e+02     8.1320e+00     2.7234e+01     5.5041e+01      2.627e+01     3.8171e+00     4.2501e-01     9.076890e-01          1.2609e+00     2.6861e+00     4.7709e+00     
      7         1       215      1.944e+00      3.134e+02     8.3013e+00     2.7273e+01     5.4927e+01      2.597e+01     3.6569e+00     5.4217e-01     9.076890e-01          1.3444e+00     2.8042e+00     4.7636e+00     

      8         0       245      2.834e-01      3.845e+02     8.1552e+00     3.3748e+01     5.3361e+01      3.926e+01     3.6572e+00     5.5044e-01     8.823429e-01          1.3232e+00     3.3247e+00     4.6362e+00     
      8         1       260      1.414e+00      3.846e+02     8.3672e+00     3.3682e+01     5.3210e+01      3.913e+01     3.4523e+00     6.8948e-01     8.823429e-01          1.4219e+00     3.4592e+00     4.6204e+00     

      9         0       290     -6.083e-01      4.603e+02     8.1486e+00     4.0781e+01     5.0747e+01      6.286e+01     3.4513e+00     7.0521e-01     8.499947e-01          1.3844e+00     3.9885e+00     4.4172e+00     
      9         1       305      7.593e-01      4.584e+02     8.4289e+00     4.0501e+01     5.0552e+01      6.312e+01     3.1733e+00     8.8005e-01     8.499947e-01          1.5060e+00     4.1416e+00     4.3969e+00     

     10         0       337     -1.786e+00      5.304e+02     8.0855e+00     4.7746e+01     4.6581e+01      1.079e+02     3.1729e+00     9.1450e-01     8.060222e-01          1.4379e+00     4.5949e+00     4.0675e+00     
     10         1       356     -2.381e-01      5.246e+02     8.4576e+00     4.7055e+01     4.6367e+01      1.087e+02     2.7728e+00     1.1478e+00     8.060222e-01          1.5940e+00     4.7663e+00     4.0481e+00     

     11         0       394     -3.352e+00      5.668e+02     7.8900e+00     5.2707e+01     3.9886e+01      1.946e+02     2.7653e+00     1.2378e+00     7.422673e-01          1.4674e+00     4.9216e+00     3.5218e+00     
     11         1       415     -2.159e+00      5.557e+02     8.3442e+00     5.1397e+01     3.9814e+01      1.947e+02     2.1597e+00     1.5508e+00     7.422673e-01          1.6748e+00     5.1149e+00     3.5110e+00     

     12         0       463     -5.006e+00      5.133e+02     7.4484e+00     5.1446e+01     2.9882e+01      3.377e+02     2.0696e+00     1.8136e+00     6.476362e-01          1.4481e+00     4.5698e+00     2.7125e+00     
     12         1       492     -5.547e+00      5.042e+02     7.9030e+00     4.9864e+01     3.0437e+01      3.306e+02     1.2376e+00     2.0856e+00     6.476362e-01          1.7188e+00     4.8118e+00     2.7530e+00     

     13         0       550     -4.803e+00      3.618e+02     6.9888e+00     4.2323e+01     1.9403e+01      4.632e+02     1.0900e+00     2.5537e+00     5.313691e-01          1.4062e+00     3.5896e+00     1.8514e+00     
     13         1       585     -9.631e+00      3.685e+02     6.8002e+00     4.1626e+01     2.0595e+01      4.487e+02     2.2259e-01     2.1306e+00     5.313691e-01          1.4211e+00     3.8315e+00     1.9461e+00     

     14         0       653     -4.134e+00      2.367e+02     6.2940e+00     3.3476e+01     1.3191e+01      4.878e+02     3.4342e-01     2.4838e+00     4.353647e-01          1.2293e+00     2.8189e+00     1.3848e+00     
     14         1       686     -1.041e+01      2.479e+02     5.5600e+00     3.3259e+01     1.4023e+01      4.809e+02     2.1416e-01     1.2974e+00     4.353647e-01          1.1288e+00     2.9104e+00     1.4405e+00     

     15         0       760     -4.046e+00      1.458e+02     5.0136e+00     2.6167e+01     8.7014e+00      4.612e+02     4.3165e-01     1.5798e+00     3.525701e-01          1.0287e+00     2.1462e+00     8.8007e-01     
     15         1       801     -8.678e+00      1.535e+02     4.2767e+00     2.5965e+01     9.3746e+00      4.585e+02     9.4128e-02     2.8764e-01     3.525701e-01          8.7847e-01     2.1728e+00     1.0757e+00     

     16         0       873     -4.056e+00      8.368e+01     3.5940e+00     2.0201e+01     5.6084e+00      4.064e+02     1.9926e-01     5.3276e-01     2.822211e-01          6.6944e-01     1.6180e+00     6.1170e-01     
     16         1       912     -5.105e+00      8.704e+01     3.4012e+00     1.9995e+01     6.0191e+00      4.052e+02     7.1761e-03     2.5721e-05     2.822211e-01          6.7422e-01     1.6198e+00     7.2371e-01     

     17         0       953     -3.112e+00      4.888e+01     2.8009e+00     1.6010e+01     3.8299e+00      3.505e+02     6.7703e-02     2.0002e-01     2.314557e-01          5.3082e-01     1.2675e+00     4.4437e-01     
     17         1       996     -3.406e+00      5.046e+01     2.7715e+00     1.5886e+01     4.0276e+00      3.500e+02     2.5091e-03     2.8557e-05     2.314557e-01          5.3425e-01     1.2651e+00     4.7671e-01     

     18         0      1039     -2.518e+00      2.794e+01     2.2596e+00     1.2853e+01     2.6074e+00      2.983e+02     4.8882e-02     1.2532e-01     1.912600e-01          4.2627e-01     1.0113e+00     3.0597e-01     
     18         1      1082     -2.725e+00      2.888e+01     2.2514e+00     1.2769e+01     2.7340e+00      2.981e+02     1.3761e-03     3.0530e-05     1.912600e-01          4.2878e-01     1.0087e+00     3.2473e-01     

     19         0      1125     -2.377e+00      1.468e+01     1.7966e+00     1.0238e+01     1.7242e+00      2.486e+02     3.7883e-02     9.3442e-02     1.564406e-01          3.3959e-01     8.0617e-01     2.0911e-01     
     19         1      1168     -2.596e+00      1.531e+01     1.7951e+00     1.0179e+01     1.8224e+00      2.484e+02     1.1400e-03     3.4357e-05     1.564406e-01          3.4165e-01     8.0300e-01     2.2230e-01     

     20         0      1211     -2.700e+00      7.287e+00     1.4362e+00     8.2479e+00     1.1850e+00      2.068e+02     2.9000e-02     5.6529e-02     1.290629e-01          2.7470e-01     6.5442e-01     1.5201e-01     
     20         1      1254     -2.963e+00      7.557e+00     1.4367e+00     8.2192e+00     1.2486e+00      2.066e+02     1.0869e-03     1.9519e-04     1.290629e-01          2.7606e-01     6.5131e-01     1.5972e-01     

     21         0      1297     -3.366e+00      4.063e+00     1.2397e+00     7.1719e+00     9.6864e-01      1.827e+02     1.7501e-02     1.6480e-02     1.139374e-01          2.4050e-01     5.7233e-01     1.2926e-01     
     21         1      1340     -3.528e+00      4.080e+00     1.2402e+00     7.1683e+00     9.8914e-01      1.826e+02     8.6854e-04     3.2750e-04     1.139374e-01          2.4094e-01     5.7112e-01     1.3152e-01     

     22         0      1383     -3.966e+00      2.321e+00     1.1339e+00     6.6038e+00     8.5957e-01      1.692e+02     9.6186e-03     4.9126e-03     1.056861e-01          2.2201e-01     5.2875e-01     1.1676e-01     
     22         1      1426     -4.048e+00      2.299e+00     1.1342e+00     6.6048e+00     8.6602e-01      1.692e+02     7.9564e-04     2.6761e-04     1.056861e-01          2.2212e-01     5.2829e-01     1.1787e-01     

     23         0      1469     -4.521e+00      9.974e-01     1.0563e+00     6.1894e+00     7.7988e-01      1.590e+02     8.3571e-03     3.1999e-03     9.956242e-02          2.0827e-01     4.9708e-01     1.0752e-01     
     23         1      1512     -4.592e+00      9.657e-01     1.0567e+00     6.1911e+00     7.8388e-01      1.590e+02     1.1665e-03     3.7240e-04     9.956242e-02          2.0830e-01     4.9685e-01     1.0850e-01     

     24         0      1598     -5.143e+00     -2.102e-01     9.8960e-01     5.8295e+00     7.1529e-01      1.500e+02     9.2450e-03     2.9058e-03     9.419508e-02          1.9631e-01     4.6964e-01     9.9729e-02     
     24         1      1641     -5.218e+00     -2.522e-01     9.9010e-01     5.8318e+00     7.1853e-01      1.499e+02     1.8870e-03     6.6142e-04     9.419508e-02          1.9633e-01     4.6953e-01     1.0079e-01     

     25         0      1727     -5.878e+00     -1.416e+00     9.2891e-01     5.4958e+00     6.6017e-01      1.414e+02     1.1039e-02     3.2132e-03     8.917970e-02          1.8521e-01     4.4421e-01     9.2762e-02     
     25         1      1770     -5.960e+00     -1.467e+00     9.2965e-01     5.4988e+00     6.6319e-01      1.413e+02     4.1726e-03     1.4064e-03     8.917970e-02          1.8525e-01     4.4418e-01     9.3983e-02     

     26         0      1856     -6.822e+00     -2.784e+00     8.6692e-01     5.1458e+00     6.0731e-01      1.321e+02     1.4018e-02     3.5234e-03     8.388635e-02          1.7357e-01     4.1751e-01     8.5803e-02     
     26         1      1899     -6.872e+00     -2.808e+00     8.6745e-01     5.1509e+00     6.0997e-01      1.321e+02     1.7795e-03     5.1201e-04     8.388635e-02          1.7358e-01     4.1763e-01     8.7147e-02     

     27         0      1985     -1.002e+01     -7.054e+00     6.8951e-01     4.0852e+00     4.6266e-01      1.040e+02     1.0187e-01     1.6737e-02     6.817834e-02          1.3929e-01     3.4033e-01     6.4867e-02     
     27         1      2028     -9.912e+00     -6.869e+00     6.9011e-01     4.1341e+00     4.7187e-01      1.041e+02     7.9597e-04     1.4228e-04     6.817834e-02          1.3955e-01     3.3933e-01     6.8637e-02     

     28         0      2071     -1.470e+01     -1.270e+01     4.6704e-01     2.7455e+00     3.1500e-01      6.549e+01     1.3058e-01     2.6287e-02     4.730017e-02          9.4935e-02     2.3678e-01     4.4679e-02     
     28         1      2112     -1.431e+01     -1.228e+01     4.6837e-01     2.8203e+00     3.1762e-01      6.579e+01     1.5454e-03     5.3031e-06     4.730017e-02          9.5598e-02     2.3576e-01     4.6795e-02     

     29         0      2155     -2.102e+01     -2.013e+01     1.8359e-01     9.8501e-01     1.4102e-01      1.155e+01     1.7743e-01     4.3950e-02     1.882740e-02          3.6548e-02     9.1724e-02     2.1558e-02     
     29         1      2194     -2.028e+01     -1.943e+01     1.8300e-01     1.0968e+00     1.2731e-01      1.217e+01     1.8840e-03     2.6057e-06     1.882740e-02          3.7580e-02     9.4112e-02     1.8661e-02     

     30         0      2229     -2.393e+01     -2.385e+01     1.6120e-02     5.7341e-02     1.8274e-02     -2.132e+01     4.9175e-02     1.4197e-02     1.496422e-03          2.7955e-03     7.0456e-03     2.1796e-03     
     30         1      2258     -2.371e+01     -2.364e+01     1.4481e-02     8.5992e-02     1.0343e-02     -2.111e+01     1.3480e-04     7.3110e-07     1.496422e-03          2.9788e-03     7.4857e-03     1.4951e-03     

     31         0      2281     -2.400e+01     -2.400e+01     2.0858e-04     9.5838e-04     1.9134e-04     -2.396e+01     4.0191e-04     9.5666e-05     2.074232e-05          4.2123e-05     9.7932e-05     2.6532e-05     
     31         1      2300     -2.400e+01     -2.400e+01     2.0069e-04     1.1909e-03     1.4371e-04     -2.396e+01     1.8657e-08     1.7840e-08     2.074232e-05          4.1276e-05     1.0371e-04     2.0745e-05     

     32         0      2319     -2.400e+01     -2.400e+01     1.0256e-06     6.0880e-06     7.6433e-07     -2.400e+01     1.2420e-07     3.5751e-08     1.068339e-07          2.1273e-07     5.2240e-07     1.1332e-07     

     33         0      2338     -2.400e+01     -2.400e+01     4.1928e-08     1.9633e-07     4.9231e-08     -2.400e+01     1.2613e-07     3.7902e-08     3.638113e-09          7.3714e-09     2.4137e-08     8.9974e-09     

     34         0      2357     -2.400e+01     -2.400e+01     7.7184e-08     6.2039e-08     1.3518e-07     -2.400e+01     9.9026e-08     1.3518e-07     0.000000e+00          2.0633e-08     9.5842e-09     2.3550e-08     
