# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective   
    0        0.00        0.00        -0.00263209    
    1        0.02        0.03        -1.25443    
    2        0.02        0.04        -1.27356    
    3        0.02        0.06        -1.54594    
    4        0.02        0.08        -1.81313    
    5        0.02        0.11        -2.10017    
    6        0.02        0.13        -2.41673    
    7        0.03        0.16        -2.81184    
    8        0.03        0.18        -3.41365    
    9        0.03        0.21        -4.17951    
   10        0.04        0.25        -5.23136    
   11        0.05        0.30        -7.06061    
   12        0.06        0.36        -10.6827    
   13        0.08        0.44        -13.908    
   14        0.08        0.52        -12.8803    
   15        0.09        0.61        -9.39698    
   16        0.07        0.68        -5.56589    
   17        0.07        0.75        -3.73326    
   18        0.07        0.83        -2.98627    
   19        0.07        0.90        -2.84335    
   20        0.07        0.98        -3.21747    
   21        0.07        1.05        -3.79788    
   22        0.07        1.13        -4.39083    
   23        0.11        1.23        -5.10355    
   24        0.11        1.35        -6.06271    
   25        0.11        1.46        -7.03838    
   26        0.11        1.57        -8.28126    
   27        0.07        1.64        -12.6763    
   28        0.06        1.70        -17.9734    
    0        0.02        1.72        -23.5    
    1        0.01        1.74        -23.5    
   29        0.00        1.74        -23.5    
