# Kona Param. Contn. convergence history (opt tol = 1.003324e-06 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0         0         1     -8.273e+00     -8.273e+00     1.0033e+01     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     1.0000     

      1         0         7     -8.773e+00     -8.773e+00     1.0042e+01     7.0362e-02     -4.227e-02     3.7650e-04     3.4892e-04     9.950411e-01          
      1         1        15     -8.775e+00     -8.775e+00     1.0041e+01     7.0766e-02     -4.227e-02     2.6610e-08     1.2274e-08     9.950411e-01          

      2         0        26     -1.389e+01     -1.389e+01     1.0140e+01     7.8775e-01     -6.160e-01     3.8817e-02     3.9876e-02     9.450834e-01          
      2         1        40     -1.421e+01     -1.417e+01     1.0111e+01     8.2531e-01     -6.159e-01     1.6897e-06     8.7986e-07     9.450834e-01          

      3         0        55     -1.915e+01     -1.906e+01     1.0256e+01     1.4933e+00     -1.345e+00     4.5762e-02     1.0508e-01     9.025197e-01          
      3         1        71     -1.936e+01     -1.912e+01     1.0147e+01     1.5066e+00     -1.339e+00     1.9534e-02     3.3452e-03     9.025197e-01          

      4         0        97     -2.399e+01     -2.367e+01     1.0337e+01     2.0968e+00     -2.237e+00     1.7044e-01     2.0284e-01     8.629750e-01          
      4         1       115     -2.414e+01     -2.343e+01     1.0116e+01     2.0921e+00     -2.212e+00     1.3440e-01     3.5880e-02     8.629750e-01          

      5         0       147     -2.860e+01     -2.786e+01     1.0385e+01     2.6164e+00     -3.291e+00     3.6335e-01     3.2254e-01     8.246935e-01          
      5         1       167     -2.874e+01     -2.723e+01     1.0038e+01     2.6006e+00     -3.228e+00     2.7568e-01     1.0525e-01     8.246935e-01          

      6         0       201     -3.336e+01     -3.196e+01     1.0426e+01     3.0810e+00     -4.493e+00     5.9209e-01     4.6012e-01     7.871883e-01          
      6         1       223     -3.348e+01     -3.080e+01     9.9615e+00     3.0527e+00     -4.368e+00     4.0287e-01     2.1109e-01     7.871883e-01          

      7         0       261     -3.800e+01     -3.567e+01     1.0411e+01     3.4343e+00     -5.845e+00     8.8410e-01     6.0654e-01     7.488957e-01          
      7         1       287     -3.812e+01     -3.394e+01     9.8716e+00     3.3966e+00     -5.644e+00     5.1798e-01     3.6951e-01     7.488957e-01          

      8         0       335     -4.282e+01     -3.919e+01     1.0332e+01     3.6946e+00     -7.345e+00     1.2604e+00     7.6924e-01     7.079076e-01          
      8         1       365     -4.295e+01     -3.696e+01     9.7997e+00     3.6494e+00     -7.072e+00     6.1321e-01     6.0912e-01     7.079076e-01          

      9         0       417     -4.743e+01     -4.215e+01     1.0113e+01     3.7945e+00     -8.911e+00     1.7410e+00     9.5772e-01     6.626922e-01          
      9         1       451     -4.762e+01     -3.980e+01     9.7293e+00     3.7637e+00     -8.650e+00     6.6674e-01     9.7706e-01     6.626922e-01          

     10         0       513     -5.252e+01     -4.518e+01     9.7713e+00     3.8634e+00     -1.044e+01     2.3083e+00     1.2431e+00     6.130532e-01          
     10         1       553     -5.282e+01     -4.333e+01     9.7035e+00     3.8944e+00     -1.039e+01     6.2956e-01     1.5210e+00     6.130532e-01          

     11         0       627     -5.760e+01     -4.804e+01     9.2975e+00     3.9765e+00     -1.176e+01     2.8950e+00     1.6712e+00     5.650051e-01          
     11         1       671     -5.802e+01     -4.738e+01     9.6456e+00     4.1284e+00     -1.229e+01     4.6415e-01     2.1799e+00     5.650051e-01          

     12         0       749     -6.205e+01     -5.058e+01     8.7731e+00     4.1866e+00     -1.303e+01     3.3586e+00     2.1850e+00     5.261293e-01          
     12         1       793     -6.238e+01     -5.111e+01     9.4930e+00     4.4078e+00     -1.430e+01     2.2422e-01     2.7739e+00     5.261293e-01          

     13         0       877     -6.556e+01     -5.276e+01     8.2660e+00     4.4032e+00     -1.453e+01     3.6494e+00     2.6621e+00     4.953874e-01          
     13         1       921     -6.580e+01     -5.424e+01     9.2673e+00     4.6356e+00     -1.644e+01     6.7275e-02     3.2446e+00     4.953874e-01          

     14         0      1009     -6.831e+01     -5.479e+01     7.8157e+00     4.5985e+00     -1.631e+01     3.8214e+00     3.0772e+00     4.697416e-01          
     14         1      1053     -6.870e+01     -5.702e+01     9.0119e+00     4.7985e+00     -1.871e+01     2.9488e-01     3.6094e+00     4.697416e-01          

     15         0      1141     -7.123e+01     -5.718e+01     7.4680e+00     4.7746e+00     -1.837e+01     3.9271e+00     3.4157e+00     4.472486e-01          
     15         1      1185     -7.179e+01     -5.987e+01     8.7723e+00     4.9320e+00     -2.108e+01     5.2633e-01     3.8879e+00     4.472486e-01          

     16         0      1273     -7.436e+01     -5.987e+01     7.1903e+00     4.9041e+00     -2.066e+01     3.9935e+00     3.6852e+00     4.264010e-01          
     16         1      1317     -7.514e+01     -6.285e+01     8.5427e+00     5.0199e+00     -2.357e+01     7.4433e-01     4.0968e+00     4.264010e-01          

     17         0      1405     -7.761e+01     -6.284e+01     6.9619e+00     4.9762e+00     -2.314e+01     4.0346e+00     3.8963e+00     4.066379e-01          
     17         1      1449     -7.865e+01     -6.595e+01     8.3171e+00     5.0510e+00     -2.615e+01     9.4476e-01     4.2435e+00     4.066379e-01          

     18         0      1537     -8.104e+01     -6.599e+01     6.7791e+00     4.9991e+00     -2.567e+01     4.0481e+00     4.0469e+00     3.885575e-01          
     18         1      1581     -8.225e+01     -6.908e+01     8.1119e+00     5.0344e+00     -2.865e+01     1.1164e+00     4.3302e+00     3.885575e-01          

     19         0      1669     -8.463e+01     -6.929e+01     6.6360e+00     4.9787e+00     -2.815e+01     4.0500e+00     4.1414e+00     3.718257e-01          
     19         1      1713     -8.596e+01     -7.229e+01     7.9295e+00     4.9824e+00     -3.104e+01     1.2611e+00     4.3699e+00     3.718257e-01          

     20         0      1801     -8.852e+01     -7.290e+01     6.5189e+00     4.9233e+00     -3.069e+01     4.0517e+00     4.1924e+00     3.554047e-01          
     20         1      1845     -9.000e+01     -7.576e+01     7.7570e+00     4.8991e+00     -3.347e+01     1.3871e+00     4.3718e+00     3.554047e-01          

