# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.02        0.02        43.1493       0.0000      0     0
    1        0.35        0.37        87.3807       6.5093      0     0
    2        0.33        0.70        22.2073       1.0763      0     0
    3        0.33        1.03        22.1029       0.9328      0     0
    4        0.33        1.36        19.9232       0.8003      0     0
    5        0.33        1.69        4.59709       0.2104      0     0
    6        0.33        2.03        3.17551       0.1667      0     0
    7        0.33        2.36        2.85658       0.1449      0     0
    8        0.33        2.69        2.38223       0.1184      0     0
    9        0.33        3.02        1.82997       0.1053      0     0
   10        0.33        3.35        1.60252       0.1037      0     0
   11        0.32        3.68        1.56726       0.1011      0     0
   12        0.34        4.01        1.85506       0.0922      0     0
   13        0.33        4.34        1.96009       0.0855      0     0
   14        0.33        4.67        2.27263       0.0907      0     0
   15        0.33        5.01        3.25351       0.0714      0     0
   16        0.33        5.34        3.01111       0.0633      0     0
   17        0.33        5.67        3.42298       0.0612      0     0
   18        0.33        6.00        4.43051       0.0649      0     0
   19        0.33        6.33        3.85856       0.0557      0     0
   20        0.33        6.66        4.44365       0.0580      0     0
   21        0.33        7.00        4.17261       0.0485      0     0
   22        0.33        7.33        4.04725       0.0457      0     0
   23        0.24        7.57        4.40148       0.0445      0     0
   24        0.23        7.80        4.85505       0.0453      0     0
   25        0.23        8.03        5.64292       0.0464      0     0
   26        0.23        8.26        5.19366       0.0409      0     0
    0        0.08        8.34        4.73421       0.0412      2     0
    1        0.08        8.42        5.05273       0.0412      2     0
    2        0.08        8.50        4.9056       0.0405      2     0
    3        0.08        8.57        4.87409       0.0382      3     2
    4        0.07        8.65        5.05499       0.0413      3     4
    5        0.08        8.72        5.21094       0.0364      3     1
    6        0.07        8.80        5.29531       0.0396      3     6
    7        0.08        8.88        5.64015       0.0347      3     5
    8        0.08        8.95        5.38843       0.0314      3     1
    9        0.07        9.03        6.08912       0.0362      4     5
   27        0.00        9.03        6.08912       0.0362      4     5
