# SNOPT iteration timing history
# Iter    Time (s)    Total Time (s)    Objective  
    1        0.08        0.08        43.1493     
    2        0.05        0.13        32.1595     
    3        0.04        0.17        23.3734     
    4        0.04        0.21        39.2383     
    5        0.03        0.24        10.2657     
    6        0.04        0.28        86.9672     
    7        0.03        0.31        3.56225     
    8        0.04        0.35        19.1126     
    9        0.03        0.38        3.09738     
   10        0.04        0.42        10.2879     
   11        0.04        0.45        10.075     
   12        0.04        0.49        10.0155     
   13        0.04        0.53        10.0131     
   14        0.04        0.57        10.0122     
   15        0.04        0.61        10.0122     
   16        0.04        0.65        10.0122     
