# Kona Param. Contn. convergence history (opt tol = 1.321086e-06 | feas tol = 9.887564e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0         0         1      4.315e+01      4.315e+01     1.3211e+01     9.8876e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000     

      1         0         8      1.038e+02      1.087e+04     1.1702e+03     1.2166e+02      9.392e+03     1.0534e+03     1.0065e+02     1.000000e-01          
      1         1        48      2.099e+02      3.204e+02     2.0218e+02     3.5048e+00      3.172e+02     1.7895e+02     1.6929e-03     1.000000e-01          

      2         0       184      8.480e+01      8.847e+01     2.4704e+01     3.1293e-01      1.179e+02     2.2701e+01     1.1044e-01     3.193885e-02          
      2         1       257      2.648e+01      2.867e+01     6.8036e+00     2.7176e-01      8.480e+01     4.9371e+00     3.8299e-02     3.193885e-02          

      3         0       405      1.065e+01      1.309e+01     2.5559e+00     2.6100e-01      7.837e+01     8.7571e-01     1.0089e-02     2.682223e-02          
      3         1       478      8.982e+00      1.225e+01     2.0176e+00     3.0007e-01      7.951e+01     7.7941e-02     2.6805e-03     2.682223e-02          

      4         0       626      6.350e+00      9.682e+00     1.1897e+00     2.4085e-01      4.913e+01     1.8516e-01     4.3835e-02     1.424839e-02          
      4         1       699      6.754e+00      1.024e+01     1.1038e+00     2.2437e-01      4.949e+01     3.2658e-02     1.7041e-03     1.424839e-02          

      5         0       847      6.307e+00      9.573e+00     5.7060e-01     1.6529e-01      2.840e+01     9.6003e-02     3.8002e-02     6.509021e-03          
      5         1       920      6.935e+00      9.922e+00     5.1637e-01     1.3988e-01      2.852e+01     7.9765e-03     7.9214e-04     6.509021e-03          

      6         0       994      8.156e+00      9.935e+00     1.6272e-01     6.8545e-02      1.470e+01     3.9603e-02     2.6445e-02     1.665077e-03          
      6         1      1067      8.771e+00      1.003e+01     1.3365e-01     4.5896e-02      1.473e+01     1.0535e-03     6.9614e-04     1.665077e-03          

      7         0      1141      9.810e+00      1.001e+01     1.3099e-02     8.3528e-03      1.034e+01     5.3526e-03     5.8306e-03     1.171859e-04          
      7         1      1214      9.910e+00      1.002e+01     9.4569e-03     3.5498e-03      1.034e+01     1.0315e-04     1.9641e-04     1.171859e-04          

      8         0      1288      1.001e+01      1.001e+01     2.6496e-04     4.9086e-04      1.002e+01     2.0431e-04     4.8941e-04     1.296619e-06          
      8         1      1361      1.001e+01      1.001e+01     1.0166e-04     4.1902e-05      1.002e+01     7.4868e-06     1.4323e-05     1.296619e-06          

      9         0      1435      1.001e+01      1.001e+01     2.5974e-05     1.9264e-05      1.001e+01     7.2563e-06     1.6364e-05     3.436534e-07          
      9         1      1508      1.001e+01      1.001e+01     2.7624e-05     1.0433e-05      1.001e+01     1.5547e-07     3.4662e-07     3.436534e-07          

     10         0      1582      1.001e+01      1.001e+01     6.5144e-07     1.1044e-06      1.001e+01     4.1903e-07     1.1166e-06     5.078587e-09          

     11         0      1656      1.001e+01      1.001e+01     5.5270e-07     1.1131e-06      1.001e+01     4.2015e-07     1.1236e-06     3.381036e-09          

     12         0      1730      1.001e+01      1.001e+01     4.9681e-07     1.1242e-06      1.001e+01     4.4726e-07     1.1306e-06     1.668013e-09          

     13         0      1804      1.001e+01      1.001e+01     5.0016e-07     1.1285e-06      1.001e+01     4.7184e-07     1.1329e-06     1.104697e-09          

     14         0      1878      1.001e+01      1.001e+01     5.3236e-07     1.1375e-06      1.001e+01     5.3236e-07     1.1375e-06     0.000000e+00          
