# SNOPT iteration timing history
# Iter    Time (s)    Total Time (s)    Objective  
    1        0.11        0.11        43.1493     
    2        0.08        0.19        32.1595     
    3        0.06        0.25        23.3734     
    4        0.06        0.31        39.2383     
    5        0.05        0.37        10.2657     
    6        0.06        0.43        86.9672     
    7        0.05        0.48        3.56225     
    8        0.06        0.55        19.1126     
    9        0.05        0.60        3.09738     
   10        0.06        0.66        10.2879     
   11        0.06        0.72        10.075     
   12        0.06        0.78        10.0155     
   13        0.06        0.85        10.0131     
   14        0.06        0.91        10.0122     
   15        0.06        0.97        10.0122     
   16        0.06        1.03        10.0122     
