# Kona Param. Contn. convergence history (opt tol = 1.321086e-06 | feas tol = 9.887564e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0         0         1      4.315e+01      4.315e+01     1.3211e+01     9.8876e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000     

      1         0         9      3.543e+01      6.793e+03     7.8131e+02     1.1396e+02      3.393e+03     4.7042e+02     4.4948e+01     3.985523e-01          
      1         1        47      1.082e+02      3.762e+02     1.2793e+02     1.3325e+01      3.589e+02     6.5729e+01     8.0639e-04     3.985523e-01          

      2         0       179      6.791e+01      6.072e+01     1.6394e+01     1.8138e+00      2.365e+02     9.3384e+00     2.5404e+00     1.570989e-01          
      2         1       253      3.589e+01      4.564e+01     1.0214e+01     1.3481e+00      2.575e+02     1.1082e+00     1.4470e-02     1.570989e-01          

      3         0       403      3.117e+01      3.870e+01     8.5792e+00     1.0713e+00      2.347e+02     2.9287e-01     1.4764e-02     1.334560e-01          
      3         1       477      3.090e+01      3.854e+01     8.5421e+00     1.0846e+00      2.354e+02     1.0758e-03     8.3507e-05     1.334560e-01          

      4         0       553      1.765e+01      1.911e+01     3.8489e+00     3.0094e-01      1.028e+02     1.2708e+00     2.1672e-01     4.287850e-02          
      4         1       627      1.294e+01      1.639e+01     3.1000e+00     3.9279e-01      1.114e+02     2.5201e-01     1.5139e-02     4.287850e-02          

      5         0       777      7.380e+00      1.028e+01     1.6746e+00     2.7063e-01      6.085e+01     3.6257e-01     6.6562e-02     1.925064e-02          
      5         1       851      7.519e+00      1.103e+01     1.4835e+00     2.6239e-01      6.202e+01     1.1771e-01     3.5108e-03     1.925064e-02          

      6         0      1001      6.031e+00      9.473e+00     8.1852e-01     2.0332e-01      3.669e+01     1.3432e-01     4.2876e-02     9.526044e-03          
      6         1      1075      6.603e+00      9.944e+00     7.4908e-01     1.7925e-01      3.690e+01     1.6384e-02     1.1135e-03     9.526044e-03          

      7         0      1225      7.124e+00      9.784e+00     3.2998e-01     1.1445e-01      2.036e+01     6.0204e-02     3.0676e-02     3.654689e-03          
      7         1      1299      7.757e+00      9.987e+00     2.9212e-01     9.0464e-02      2.041e+01     2.9418e-03     7.3008e-04     3.654689e-03          

      8         0      1375      9.180e+00      1.001e+01     6.0502e-02     2.9925e-02      1.169e+01     1.7305e-02     1.4145e-02     5.979066e-04          
      8         1      1449      9.515e+00      1.003e+01     4.8171e-02     1.7587e-02      1.170e+01     3.2247e-04     7.0022e-04     5.979066e-04          

      9         0      1525      9.985e+00      1.001e+01     2.1087e-03     2.2566e-03      1.005e+01     1.2649e-03     2.1134e-03     1.465280e-05          
      9         1      1599      1.000e+01      1.001e+01     1.1638e-03     4.3517e-04      1.005e+01     3.2593e-05     6.1742e-05     1.465280e-05          

     10         0      1675      1.001e+01      1.001e+01     9.0940e-05     9.4640e-05      1.002e+01     3.5226e-05     9.4616e-05     1.180140e-06          
     10         1      1749      1.001e+01      1.001e+01     9.5061e-05     3.5957e-05      1.002e+01     5.9889e-07     1.5309e-06     1.180140e-06          

     11         0      1825      1.001e+01      1.001e+01     2.2420e-06     5.5358e-06      1.001e+01     7.9534e-07     5.5382e-06     2.010284e-08          

     12         0      1900      1.001e+01      1.001e+01     1.7906e-06     5.5525e-06      1.001e+01     7.9517e-07     5.5614e-06     1.422154e-08          

     13         0      1975      1.001e+01      1.001e+01     7.8284e-07     5.6213e-06      1.001e+01     7.8284e-07     5.6213e-06     0.000000e+00          
