# SNOPT iteration timing history
# Iter    Time (s)    Total Time (s)    Objective  
    1        0.12        0.12        50.5414     
    2        0.09        0.20        40.7888     
    3        0.08        0.29        32.0202     
    4        0.08        0.37        -76.2753     
    5        0.08        0.44        -195.675     
    6        0.08        0.52        30.7189     
    7        0.06        0.58        -252.738     
    8        0.08        0.66        -13.1736     
    9        0.06        0.71        -279.901     
   10        0.08        0.79        -281.137     
   11        0.08        0.87        -282.649     
   12        0.08        0.94        -282.862     
   13        0.08        1.02        -283.018     
   14        0.08        1.09        -283.03     
   15        0.08        1.17        -283.03     
   16        0.08        1.24        -283.03     
   17        0.07        1.32        -283.03     
