# Kona Param. Contn. convergence history (opt tol = 8.657800e-07 | feas tol = 1.428386e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      5.131e+01      5.131e+01     8.6578e+00     0.0000e+00     1.4284e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0902e+00     0.0000e+00     1.0204e+01     

      1         0         8      1.212e+00      1.421e+04     8.4996e+01     9.9814e+02     1.4238e+02      8.437e+03     6.9999e+02     6.9429e+01     3.012088e-01          1.5196e+01     7.1302e+01     1.0141e+01     
      1         1        19      1.497e+02      1.340e+03     2.8649e+01     2.2891e+02     2.1134e+01      1.904e+03     1.3912e+02     2.9371e+00     3.012088e-01          5.3548e+00     1.8875e+01     2.0740e+00     

      2         0        93     -3.117e+01     -4.288e-01     9.6092e+00     4.1083e+01     2.7809e+00      8.746e+02     2.2511e+01     3.5517e+00     1.316997e-01          1.5579e+00     3.6652e+00     4.7796e-01     
      2         1       136     -1.123e+02     -5.901e+01     7.5301e+00     2.0606e+01     2.6951e+00      9.138e+02     3.3109e+00     7.5979e-01     1.316997e-01          1.1868e+00     1.6700e+00     4.5033e-01     

      3         0       222     -1.667e+02     -1.428e+02     5.3579e+00     1.2439e+01     1.5089e+00      6.272e+02     4.9790e-01     3.2710e-01     9.403003e-02          8.3598e-01     1.0152e+00     3.5499e-01     
      3         1       265     -1.753e+02     -1.509e+02     5.1389e+00     1.2305e+01     1.5652e+00      6.272e+02     1.0188e-01     8.2341e-02     9.403003e-02          8.0336e-01     1.0115e+00     3.6456e-01     

      4         0       351     -2.244e+02     -2.234e+02     2.8996e+00     5.0750e+00     4.2905e-01      1.020e+02     1.1308e+00     5.4364e-01     3.483892e-02          3.9536e-01     4.4836e-01     1.9576e-01     
      4         1       394     -2.416e+02     -2.371e+02     2.4120e+00     4.4503e+00     4.4487e-01      1.023e+02     3.2367e-01     2.2168e-01     3.483892e-02          3.4010e-01     4.0405e-01     2.1839e-01     

      5         0       480     -2.674e+02     -2.686e+02     1.0366e+00     1.2361e+00     4.8685e-01     -2.183e+02     1.0100e+00     4.9835e-01     4.600437e-03          2.7412e-01     1.2592e-01     1.5259e-01     
      5         1       523     -2.729e+02     -2.737e+02     5.9235e-01     7.7400e-01     4.4565e-01     -2.213e+02     4.1567e-01     4.5472e-01     4.600437e-03          1.7967e-01     8.2533e-02     1.6691e-01     

      6         0       609     -2.751e+02     -2.748e+02     4.0849e-01     4.6517e-01     3.6931e-01     -2.477e+02     3.5070e-01     3.6692e-01     2.329995e-03          8.0457e-02     5.9434e-02     1.6407e-01     
      6         1       652     -2.758e+02     -2.750e+02     3.1847e-01     4.3583e-01     3.0576e-01     -2.477e+02     2.6144e-01     3.0001e-01     2.329995e-03          6.8220e-02     6.5889e-02     1.6586e-01     

      7         0       738     -2.764e+02     -2.754e+02     2.5594e-01     3.2399e-01     2.7714e-01     -2.560e+02     2.2775e-01     2.7096e-01     1.637961e-03          7.6264e-02     3.4832e-02     1.7081e-01     
      7         1       781     -2.768e+02     -2.758e+02     1.9053e-01     3.0229e-01     2.5957e-01     -2.563e+02     1.6283e-01     2.5302e-01     1.637961e-03          3.9046e-02     3.5407e-02     1.6708e-01     

      8         0       867     -2.773e+02     -2.762e+02     1.4676e-01     1.8299e-01     2.6728e-01     -2.702e+02     1.8294e-01     2.6502e-01     4.946623e-04          3.3976e-02     2.6814e-02     1.7284e-01     
      8         1       910     -2.777e+02     -2.767e+02     1.0879e-01     1.5294e-01     2.5565e-01     -2.707e+02     1.4516e-01     2.5365e-01     4.946623e-04          2.3984e-02     4.0135e-02     1.6660e-01     

      9         0       996     -2.777e+02     -2.764e+02     9.8249e-02     1.3295e-01     2.6288e-01     -2.721e+02     1.3048e-01     2.6106e-01     3.517954e-04          2.2674e-02     3.4958e-02     1.7683e-01     
      9         1      1039     -2.777e+02     -2.763e+02     9.1170e-02     1.5177e-01     2.3636e-01     -2.720e+02     1.4957e-01     2.3424e-01     3.517954e-04          2.1175e-02     5.4436e-02     1.5930e-01     

     10         0      1125     -2.778e+02     -2.764e+02     7.9165e-02     1.1154e-01     2.5904e-01     -2.729e+02     1.0917e-01     2.5742e-01     2.878707e-04          1.8006e-02     3.7242e-02     1.7593e-01     
     10         1      1168     -2.774e+02     -2.756e+02     9.2821e-02     1.5499e-01     2.2026e-01     -2.721e+02     1.6083e-01     2.1782e-01     2.878707e-04          2.2042e-02     6.9272e-02     1.4870e-01     

     11         0      1254     -2.776e+02     -2.757e+02     8.6699e-02     9.3941e-02     2.3738e-01     -2.746e+02     1.2033e-01     2.3661e-01     9.272735e-05          2.2581e-02     4.3346e-02     1.6335e-01     
     11         1      1297     -2.775e+02     -2.756e+02     8.6547e-02     1.0327e-01     2.2301e-01     -2.744e+02     1.2859e-01     2.2217e-01     9.272735e-05          2.0673e-02     3.3673e-02     1.5450e-01     

     12         0      1383     -2.775e+02     -2.754e+02     7.7865e-02     8.1373e-02     2.2884e-01     -2.753e+02     1.1184e-01     2.2875e-01     9.666140e-06          1.8778e-02     3.2009e-02     1.5795e-01     
