# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        51.3054       0.0000      0     0
    1        0.11        0.12        -9.8743       6.3728      0     0
    2        0.18        0.30        -137.407       1.4722      0     0
    3        0.18        0.48        -175.449       1.0092      0     0
    4        0.18        0.66        -242.461       0.3662      0     0
    5        0.18        0.84        -273.854       0.0778      0     0
    6        0.18        1.02        -276.095       0.0436      0     0
    7        0.18        1.20        -276.901       0.0316      0     0
    8        0.18        1.38        -277.664       0.0363      0     0
    9        0.18        1.56        -277.807       0.0378      0     0
   10        0.18        1.74        -277.583       0.0464      0     0
   11        0.18        1.92        -277.527       0.0322      0     0
   12        0.18        2.11        -277.445       0.0092      0     0
